n,best_digits_correct,log10_abs_q,empirical_delta,minus_log10_abs_linear_form,q_bitlen,c1_bitlen,c2_bitlen,indexK_bitlen,indexL_bitlen,T_exp,theory_delta,c1,c2,q_n,p_n
15,156.76898507700554,172.80398471174215,0.9072070030012044,-16.03499963473663,575,406,598,988,1009,585,0.9025266028569715,-120358914875884895149082705166723108679854002616364793044200744766086974995755160303162418877265903411856829946742810493952,-718414079613498928288268804168680913921454394776327640742487289575796584612204802052883851216440833352522439369807749979478044905961638772820426858598554347852530237807001125592825,-63677310449885307368480548861613859687334420148079702402050684303664804444153231779254787385576179103263357001462988379400484042827239147423988942622868996646285497681575936,-58326225501836433034897748822292898862651398713767494546831555540561396595317144655366060373075478681836551048845984336673008600260662677560959545152751707997092415683952640
16,166.7590826610114,184.31834673019128,0.9047340409640097,-17.559264069179882,613,433,639,1063,1078,625,0.9025266028569715,-21710830488633014765858862983034564784167293712677567251902830361518173511592995205403108540234327592006133915062722987854711898112,-1565462253272667667082571730491106243917055327900081576521054577834415350027381632362620538551909392850797094145873436839987011285356549093044098013988479113339706852351715841916913095298753436,-20813577295268578516297114934197969449542169253350498698039904351372136699969625136800768528966150232482695582474204724500926746664480647676262164524473156183737649952367047757966577334,-19064520694214158578246081684935778875676847423088963332028227045306104905443917333242084714159886517360776918643978188523713509059780768917625258559277725268233597798938441111679603161
17,176.94500254408803,197.06155425999688,0.8979174208208685,-20.11655171590887,655,468,684,1135,1155,665,0.9025266028569715,635045566545152516604057877914949784110658909879074359186539188679963210315184598092200510894862981985227945395602418626609097417937000382464,57551923220198830428434854094945350142040058520724352324629333605726055850819281389549039397032017751076328064396759547935925644210686175360188226792602517442438012447342599764594324537917939283132400009115,115227001344348929054626142929376363570305811723160159973720618156526856726137120297435734234335874278138161889668109036055789435812246418951509180380004893986122264790534444156042177460826496696320,105543968751635781030725485768120847904570193410210096886238234842984183251495807812630408942730090795616790634265496504609884224242935647415196432540900876900147533955717442116575819784842671947776
18,187.84074164426696,209.70570485941258,0.8957350100236712,-21.864963215145643,697,494,729,1205,1224,705,0.9025266028569715,-28340245818988984859538678364094875274792134379266605283219300681821336488864841175898547054396984622580538570437685065949941646669597582296953520128,1678486764761324273456695317577215467694015100205097618726072829747619030191266926481108816596584717847601582977643176711012207346705354988599786636486050878973509017724599460072552878843004853102956488419384774487861944,507814221673571664484233248197899572770373558265685459970833912537832325780020514104615860939152508322125665859749714580066393816660437980985398459105975673569751533244791492489875784928709806765940704811895154,465140355286875079956579874167974696326091751072528377617289520582580459986788739679276969006141536347195655080052049388447127516625453135349891852470434589497246294618002204238205530553244635344849217496139587
19,198.23627789227135,219.30323849766933,0.9039368467619694,-21.066960605397963,729,515,763,1260,1279,745,0.9025266028569715,79763971164160725834797019617214494957350117449994111408190071836194116526850852240097310679990906589395098050007589753780139257568495211690279615943933952,-43834815557015012331364621049330669571394792896564567254712131062110008474307408468177425543989637288228555040723133565643113334575672274224899592469932009047939088105566920762580499650820246939226348383503129150247845696968266060,-2010196431389124209851767557125888586225462396583445862201331505692558487457797280446062965415175250088258736412583377076505709383201897298090668668257116983010635485300987461864677545961049350764297104520980146102435840,-1841270768690264433653714387453708309545128965617342133027503688521155213967813435186891109888048799189520324398862186310278605462470938957021568888759011401016244204110637850854110675011026778539508714995285414660014080
20,208.68906878022423,235.6763246335727,0.8854901700656271,-26.98725585334848,783,559,820,1363,1380,785,0.9025266028569715,-1029770879561961065785816673741887942279773040810609324493911612686246454489067680470613297003916760631452903164730019429709584954599560287706896696020278248318065512448,-6808798461425435042628766714547309727151297574092684268570688110951443274990188577189790285104438126240225793950664409202695295942838828162372328064370229942582787251798727713024695868665296238306971555021040692783626670698355338385579198023449135,-47459661197350509295233257279591439014105768741358593425847180764960325813353253689838765034172837312685489080990406618313553118622183807935823152296619659075159285496862936301880475512945516155788577938578006965906424097517983899320320,-43471416768080664885030494058580797864544394552481164012500354014183896973417856291847009773825962422664439125819367947221954545441410087219757335249148142142576181416596763409347446682283160706154223116396780639287016150193890352693248
21,219.21474308828166,242.3048450215197,0.9047063960640682,-23.090101933238042,805,571,845,1399,1420,825,0.9025266028569715,-5393194696488531598159189556754653071167852512782888536148425970667872824501684376660957057658485078684794214197353356414048939252300367983710565621187801610103198991343616,-189963800246091316469323466837708714636436346654061132917957332461590191367998063469726553373267724879553453720607352120649368478588153809112831795377658687277448917278780313225546349364342477360476536301553828451834685974012771783000505350455450902399766,-201764623584371495470575132353701160479707479972399271782328876800502083900093210605665486266902453295906241038049408895858072124278829794457403376792631142815661776275622266158558069961036849802135535283804931297065463844378186196276153278286,-184809453325401773829858804086074876277025807744979191454393065393304138444994564710091236996094524264060243833650892049706001968284606436426249389954358423220363252678427007970194926114582768506694061091378122203317533596043573797337665439453
22,229.48544602463306,251.37466572667864,0.9129219341226459,-21.889219702045583,836,592,878,1457,1476,865,0.9025266028569715,-11836134272566734958492276755261032139909284936721687355172483858551985307147688203277417744109761718098741443101406694873208342798352047843870796562219389184481659110067428294656,-1460788291254690651872820185499096144322522278376937951368415341892658432051135837474414869396130307039197261195953650547458067954397313972530110675703952690190385971144682621983140079093950820073747133580549193164064457170226407408795425622573930650257811017183670,-236954917872581640180918761520299762205060723043912124792857113849981467466009862659229675915284311421796162139884850895564182018535633940658569465429022215789805418895895842550497064130864450905368941263395696619126028751537495812265332413608815165440,-217042552142373375519532906037989921657815008865688160566953403228373853471779999428838498299164748943093562549357710198982899600760776953867737519061247975434119122146740906602643383733537353458085958550833505292211279858268628810324338448791497080832
23,240.61901135841237,266.5075165148655,0.902860131320127,-25.88850515645314,886,633,931,1542,1563,905,0.9025266028569715,21407313043022383351189128152196797726770243490624436729074944595257132356314759747273744640293764649272080029336632655878078968715638802260334603666093486155710156658176235674311000081747968,12960954964034150569859803397925595812237744407860918047178116484835358442678515716150885739858488162807766104348220997643113137397525115818541190204256746050007227920418078367799755204582876468389347916892853867070595073866822792525962051734751368716953024334771294988574700137565,321748488129076269293206827147500908824681380268384294393718089517944236814874710716921992461297445852547611305860100549483308037779539767788216863978850133851076768459061749076833447401836303979762596567625410559722045064532877211174257580785534212767931489401733120,294710545104771243835998839273060883540069615431094872470411481906373688395301723902522669580550667118613061991375143510770397666272147665037370274324251228852640835849808204307308815005632379308468021717012638909888112455834455192827568965837481062929620788286849024
24,251.05544272063457,278.2770662780139,0.9021779842605375,-27.221623557379306,925,661,973,1614,1634,945,0.9025266028569715,7741438687699101980585287852352114089633488697909519679177119022532237977865845781264298040486475627350294542127180667135657857043431032419556788098191130790524105479846167229018506903360897763672064,-49723902890895306373298736766120434549159161250315853283894878209488209407074934073778692391093564195797495581244213634690320015612287171166511906792325525459255918249573612481841643302054675292588033656029814774177639310788395590986182938494402790890907700040312777304597934131129447101502650,-189263243269315096944276771322397251080056736060768475339150456635118800832743030580241129034881591947810767360023996316504912228353423146601111640423953388486916849302650282253869955130346538619095196806391199490268733770902995946890640935320072848391844208061144769927685603050,-173358619077085750303959897279823496334946840302909068733350539854302654212157679647964779653973339716889534254400191243480082472753575461364810163949946292122548263398237851522146405788632771739157879825214114454255205718922559535157391010200696219544207327385226750592899879447
