n,best_digits_correct,log10_abs_q,empirical_delta,minus_log10_abs_linear_form,q_bitlen,c1_bitlen,c2_bitlen,indexK_bitlen,indexL_bitlen,T_exp,theory_delta,c1,c2,q_n,p_n
48,500.102831903193,556.8264982920693,0.898130447162873,-56.72366638887634,1850,1333,1960,3278,3297,1903,0.9025266028569715,113311547855965991009248514284911604137097000634543882469066358463194659555343570442360296710591418578410027585993472770741186168151373899447146641380378099963383866677222163400827385920732890840927219044822071467639770846189207329396075283146815618363371037046263427856686876251826792740302517973456970393104523655050310725004372744750048733795916163674226783150527004691127570270796835981891186425856,55666189043197020430972998053572359483387742410986834200084588875961596072361876924500482426505460548678624812054853713237795066120571031955121618999126011154783324013442320486671542758569595906978482947048228521405435865958196201171080667944817454328123873617048573582987728679590658796743230465673637270559167387605599366759016538608074445068979413919311766423464638794009279225610950281994910292652173804083179802169050359321031956812839708763990202486269509670842947789447772000633724886948067617645352147131244248209504191550583519082163781596919957108983060241129708946952089774854761,67065364924721583226205538192543025642783889650513395682258409122819906617553470277796583276138709852804082925654212519563722145407716942620241526173397188057489445561663362404787165674967941337737794225751516141286375649868078418284125253791644319351303224963706692797774477835723407144938732757493455587152425163817988920940056090635957946815062313261537220622404978487533124120604508520737296924803302804446440924561569307544654685913241188120213753825878208400194129307080160233766288941203998683645593857622634430506939854349662794393219769133733773312,61429566831984628180648504940323851074351772585072710116366673053414176923857262029773124085834022315187921029524376352491476057745417666899944596430821793858568051838829058962309718471775503992808858445306465189175618850683348402237350605742053427761415827166779446329333822382887711283233805048987824640302190330955575696937971961250739143022780397591142067614733454052893259134899523492796305523812343130028890849595637597702938046318178419291877143822676290195520146558990414765005364265679619604666479101479584209110058072804198700397037471767482859520
49,514.8455602396646,569.4262217074277,0.9041479661682901,-54.58066146776308,1892,1360,2004,3330,3355,1943,0.9025266028569715,-18798494967808487596405980124667585327242921781112576818022320819241077325043730062266567183237650120182109432931228050583474302316385508586919688194069156197567757141219894251176308615395544398993706536802238598661906097466724018903891373235465074882100224795445970741958079536241096731574538293237507936589239629878650434449210885702733512951477926630404820399395505595225209025428516258701619789154941927424,-1413108143801817141244079282624973618073489185925876114280522542020516864205559347603095801930474486644161894256670146417489918530279534569296130521339914297515117456753526592107096205158265878598322816115933161171537331085663776149766534253998402145379581942133138060255998003005537477101530920446297842722198125283353452192869507886930409450795695747023540575715375525299012287439574177737218126988139874688530693530809221747016395110519615835812439713903175798355896132345345124837205078784116538220675465099846424921629673746302592180104355877496028899184435093306643446857019081463800500995231336420,-266822044401552209392453878684150290827606864165353862445516132977120821393157640323646999365124370641898456702925851821168702295389739779168023712210479793470669918543286552441384510514542455066711216905636048733375864392586366768143472494276838579009408490583744855092026028626923719752113027968777225566507684146774778107963577883503313899248513147049639195650096351990926688682734615214940107526454795138712303206114979705306832852454231404625303554796668036439165801668835720692114447847777930400923296154577012130942757815081812546304981303576929352227275392943660,-244399812439848083901870164611905496628089928536146922731423656367342152672685729569875504375305025628173912323434722915040473502557329906813751526894699532263090437433092626285278359091197012381651526471080450071341448557373344520234370037513409615742997134211562064359512471167448668098393491147372966463800468198963707442082626838781127787013338525037691783873255163925254480720927984780792971782785280490086056723029966254122521876919167153964776362737570837333635583297116461085081932126608989079730656626610836857463576802241022715554021335443567865350906889343442
50,522.2168950462365,581.157158271157,0.8985811972096194,-58.940263224920464,1931,1384,2046,3406,3431,1983,0.9025266028569715,313656315525843174665121042910316915037954614274848747906876447219255016287838052590318906581683915546479218873159554961644284296990661646022415115051045482907949958427361567894351432493185547100921000878428023598546867947111028014186449861543416404717556108827691303760621254926885697358423708804245830778110543985878323702870666535099774557182225474726790431352113871366127269259732948820017992921671106889230319616,-4850557627379363805050513750451121882873482635675292368550920050782192071092895789328390681645518742472003310632130990189805557387258902173827767381691152131266529739923415271830887156084204967872884175475283128646561848461951305907023038899131384538369354349241993155237897277339364059672481966287729935648564320011382236107847816128418654140220796768444932177073096687904014127405063728907164835847421416138135502926513902759782739906055454554503433362438884172294090460683081758926390113994727543904373767545253848364177032660936535316976424227801388759252163813339995151233796205953289582329791108746397050026548,-143601266813291241288554005521651982472923628216085782870381659245803332182546739227960135868301663779858046793007404834150989344957883666110010926441705168885912417090890858425620923434668353749382217404923380131634795946651670956811738813290328711400407863902989854601300371660848520570753154340318231948087720158298203564996578111712867170263624164498548561115284882186217627391900588625229551874928027390551591606653502100040509800856873254297888126553182223588500008960381985116163254563234265309467791290539954466138567908927602938920863834534095072308442780713659817266814962,-131533819681237673987112491674752932763469663251677109607723328293641622244669239624165998967623748627309717590998928568597074658421847052730715369852474901172724814212348376067628976300959362429717779293834839561243039593321395686845341876018035521117399450253850998021671247581868456763719043393605666182537612754169488333222512755728732661381578880649492399079455508069208948504907133774228919522549826679039981450888851870932113221198822464918805268875681703995575293135755807133040129740290744170497066809938744281894581785840896948528833212780828002694259074994987452931802883
51,532.7220380007774,593.5848710571065,0.8974656598845934,-60.86283305632918,1972,1416,2090,3484,3507,2023,0.9025266028569715,-1657333022385667604504951045481132776818347685254555296528794757603123619551144259100459833043023797253141450006667819469361790773089681471745987506416763965862315455686391457583529721558131723035892895103343269714233136424745464004856399414329747659798551019964064851238364003392109652605035747686638116042587432535746337272797868028441492649756957456633128188720835669748963331080847520518266571998027847700864262967688953856,-82796223882010109623010275210682066514463944771761156770218498695617560612564377875666373357488825838084049926006933312044988676738673950434692211986732357711671431107172987600330779331118817824389777238591785894245764277027472916736541454987018063269538132463438776126041921203110085884405821585504201661661466418734752461210655574278615103797002454802472004587715790967838986570354072397482235039128872060444499519816702293056585892948239879731572420071989524355795081381645085111752129078859335865892892818263022964800603006120753552806500701894770879915211317985036137234079751829919772687623530940598415436405379040295429262,-384477612931476057640224758899375581395089648085554784116324371835769642444524131723296181122645413048454799844989063350565152224276920594518864582130126598732275764337365989624329842703150787426862543470372815018108919270449857835529632965021284150349389353001313430524709469526743386556692904163186450074441578566616686380330925584517033528763865619172369119952529175186476693965168993097305291907278041277540110026710507811494101961835098219545921585841034874553767034573410964562079544755930363095811635249574751011388229548032936025590315461969621597249247628371431350544369192517516832834,-352168265176618292307467988088728447992113180892937729829658603189732199652834253395771483522668896959165729869422533059749091521932927282595815211124933793988473397717554403101554219288223309408525033847670137931601266468954701027414335701598486680851773960406686944992738298254634636397973148950875987098363933202312980516261731499040516444826215856055437438400976368896073412445036344959875134296521874152291895953934406451045621910954739218040531577185398158070388640038343318891822158089922610244953322424794830590652677145082594648869253195123305147008090279584912256784951121268895136059
52,543.0902389210828,602.0366134441852,0.9020883892993208,-58.946374523102314,2000,1427,2117,3521,3547,2061,0.9025266028569715,2693112667184509616313474013586714794135971341928061532919269936380294265072494911983158988534263910031899326804972563306672259693216801009074440892138602142856435461401018012880132959539046177165363879692624545788423012455886726159500118065425430658599110867200879045399610510350896989108499316357269453768600996314883732962618045047645175798029046445841907144653465186691252640238540485638430546764838145567512857580263976352768,18663887895045802864829117677855986167855970397729394245569377766998143120881422590640390090085652667830174156602933416220922608488273756314568386260295876155519460863075174617268564530855603087724385933784884918941025455900255220613165852645467611518672833322157668352208007451149708058502932318804367108690863902554857058062640139234315408534957019919094409113128750363600368387602003501546295122177193787683577963732233508927932102013203945733122294985970364024381025403647450550464585844155358364833677265926304061979772632180551489032067203356996780812003752164168340193613937958999801627664132483709853340997572770798574680821490689,108796129220557317505025336894233159774631716286926383966007471184526638291560945777596313240591210007177252447514656873621639607987163928136880202137468371672452915273854866723144999208897120773779216284737167629033599389400901283507928550269741843372259353769897224707334929039186573048094514551455983346791644620906049631494857739974966404061998782512311752250911420146291317299531534275056886115041735578606066983398221526985969340797696674837871747644976611120224490022194815598867352163636809202777751514384230127470363001884347128328836262556281195755750988339457925417950403189016934154856562688,99653511145689283201757667319139531895073485495323693793545455431186087876888171376086238686218133691741746533525293700344014150287516318410616916426871121855082133644862302814466571970954421395244497200173342862624071644502190506674454892886959804411701390863244583511536989180313739109176769024064575698331632314618124893744506295320454801455501003290097520121282171479068511740485300164395006565444440043893670234179123788704213795414956847125906462533567262600449715867304650698248383124219752661579753443805214564205062141396744298249772832357130745230950333434838700365997513447009725562293846016
53,553.5481794575494,615.9147410595602,0.8987415669014165,-62.366561602010826,2047,1464,2166,3607,3632,2101,0.9025266028569715,265192453866308392840980891976060902604427735754748203787662077873200844054745619028548038191358645249371905101164962932752148203385604631814901588197290141021689590975464712567834663065738988868100571247516849256667298880609629323140307456780453428419101843639266360353530271863566697328514968051093254573978864857454376103430025209781149310565750700803289244917409700128575280396804578857636198884341042526493454157783041093877295882161152,8980662733020763888659941746902195487890415233492011298982915354507994377357742938685426710547945685087079821359332366344965701431359698789202236708019530873474278098299328194922302755993428025709091127500164235243795385505665880959111671119927988395617925115558048107905536037476054514947901601327681345252336892785324936537732547898815829849018512557709416856354192841659507100913716632283200344440798620121869032844573669870018200933309923947836951055345117216235806546815762408421069115440036895568677658010371004016988229772943662897156208592593620518158568115550937416076477557370868654596576680649141799803109773700601723887291873695300696782347,8217525483631319542686223330836511134548170018349761575367815148161026279509353802416110746388931153993202379337983839349831737192742580542713701392834399769486727842797173828823034603740111874412480714704213134817892300625500930478175233662153288839430717819372551805573251128245462895176495759666816994643540891456516424563618823768598629013885679341005399682809335582379197841009620859042723384060568075396591071782034649158983915314109757834980611681350824608002768725148761699058241843116725793023814189871243049916964761340418832628548727323405273630944305550075022842387237007731533783767252954585283998777344,7526970612280800654315641756804136109311934546254330051002603121648450141341116173200613508147311432608391172205407569678973205096725021225201019583534398646097375984819959513935999463524763919310864512863140638201986123362972022447387277259450880085205155208585312362102269781051291563416993002475884265524183346036487538352014760144577199968493546035011489970407527634495798295629644694142466866861845935287848429399884704335178640989156061230158552927759733231578491514147394865306158302671172029451848953788958548001792256674759598517989936165490426575542468198079326098220294077876616996803447336264875531829248
54,564.145276553706,622.4000420863922,0.9064030180052589,-58.254765532686264,2068,1479,2190,3647,3672,2141,0.9025266028569715,-10941509384792936976820085842688584749113445301175054057135854058422310011623647256146692335768866658130704518477845215468313925573337275032652924832135033503527452971779032506932518181996465322801240497613865800765581013305756521851018009610992803554603937362408362877275309635199440472212649546639733706691754288633390822514377443289008318137573628445183364579178587490773733254062175941467810801126539695837778883794313942049488970594636214272,174837076179891021299538184570202304464346659892290271028160549810519261670443440856923775404889761398062814366224199553900132493863065646688138982802537689805024207515799766166450556702037709967571273374016754266699807891038395141114093436784951867922683404101253509256301062810801005206641133724761671702699674543867128728754077149646107046298994435452913283394711860828552436581914158951119045220135827527867657618863205248016024431780387443533137007617994394090633325591062640867971446975826544888685986171091701109645987857587977576720838253243576617597109336738159985731944222292597072303437273737004188603894402519004616951789570556761419961181470196675,25121298639374404927864682996034010500798150384654145349747719447681338929609025278713585473600370258101849453254668654835592081855077838861360804965196544020743680750105296503259251123847532022501411050164899097479481664675592846233757194646393668340755636132560549880135344581337652045244335250030634276305061498099762219723448436021491912309438154137898834056600510672657092503903646988143424185500452795744218257012583605795573103518392355145039697301109369157165562559445922365174094705636275072459135967041364561970447736534519746151074846521592340404370623754815050296166221488800591075980994195309194603724695142400,23010245234717940399910584974987278210495492864973116477207692983759784408561530174786788499167389176607411577511624923964225807754820102486730403897171272271230820408590953769250755190845581902838129397918185016178481748401554103637638118767952793226851401536614643250612517525796698605471343620378146358371298769888819539418759450469816264326080179364965881477248293638805290282454367331837999333132356215411841313326926645435479257366381165740510522287453828749233286723544086962352798212059491594703980467430333117810412298922209757315366962718241096534123002848611689740530648329527368060918664105977306023854323269632
55,574.3970422031192,635.3233544224155,0.9041018848194468,-60.926312219296214,2111,1510,2236,3721,3748,2181,0.9025266028569715,-19943050245284102006604544921591119802530120591251547186936235832114074026500084877795232519752452815511491978525893040513679495454069602031602916034257430503076041577800791256971851817320482186815825061539117668587281344227285430668602085010789477639388143541392144089012590021987863450049424966375150410616984117734864111188033999671642447776865745013857272262666862383710145112362135691800236532024588861148015444313719907388114122250639190147022032896,9328700051935988250292995252682375605521415623368765000606106810500207895523527803537703464369468069247770319890297056744185440908341835330280867589275626613523459005510881886372114165520484917616391635079036295897651122190622664696194753101663115334599458934759331877701422709072398465313657343906823028792438829833342089335711324472661043545534974203745186065648661847844619317457451762626859612365102437470443402026635613028585398735900737706389272938094914335667718782811077496312600432223694827274321560444706812905435582202453394543293844864499880684555137196842363344327318434761027757352671772410848293498354406129424625576586168819274816851357165207539149011776060,210549600837101592950319111085562417536120714514264686650197518358247401993459106742794075732023080206633950080781264902997807393012179550400643398709874226698058905097298595333257359738616683892866809692010625935990071973458678815522941290167830808693386207190402769129437116755749096726008061707336545553167320142627246591403686477223114042780918667249236571985467749130931739045929755091213888201907430702834722801044902126359557048996501661112812008839580549945161197573435798642072345042026709393986586488461412183249910563229701302789397190160909953906642830189015522468437811849203063279422226418887839717983056648718328440995510,192856190234532050705576325105941852305245895435024565991034910520744301933237957318753404598437137589527191991220343680265867551305691897284194178469280999786361262206539935423923631042824228558223270988169392772224513927037388012129601223963645540453127291904455061006263452985061611158766077542860926540281819045075369652779263628511477739618841029812811956525483172344598700546725130555007014434327242393697401889831010792648720093101081104692110546860051330330366821760933876541476151138375315050025084735351614329476639360598884367822379406163043992203332721264600163655148284639958217330155368018359297559283149017496256510433753
56,584.9568972820169,644.7953983041367,0.9071976921989521,-59.8385010221198,2142,1535,2270,3784,3807,2221,0.9025266028569715,625067043580795111481229339680823897320666807776477118298750644970600625216048199200654303080544164488257857575326057720484602887582696015537642142075047957779794593272871290527869825341045399724391671965661733757899566715997737169051465118024754537680540272477187306908977224630548925520617686397058966269843688344381818908332831763259161317165042410955175966443917044671002098372157621981835897383181240533860692974044853197807570703510756157108378553152831488,-176034085777364868447164933230398784195908747303684408159983306439489498880850067703361980939467540294181710362913266427164690756453605264601363713827875048155008715377655715148170393177707294719044339919832898305733508547654194249432035705103480552504266362491995283193106428199559294388947405659376016884552794037126365984643098082336115019456658990791626213100660552898158850159231677483615572638636220526155730885829827017506608008674554857779129159227583426540114285466124193895485527192642567013105643962771403838474625417758555132871035607897580395933745742699041840084522068912805643785894783663912195680127969716592998919022723951416961810340129716648964358431582755800504160,-624307143292982060757346424812528780353978415547220511810217365431951762416257458644512100171722436783506062454173572349209521706176139481189185625204207235809685747427122744846901728944661473598445415324170608853308157626821415853874896792388479162282918151930378968353424048965835687408326783973978645934011354808843965122580360296840156978384962586101274573829237303167584159863579859317628812985039803611888453669153606950007784996672540418425208722097956609856885811528362836416882596629817963098460551437764999560656289048135883059459121670064965662995992147062809246672880280504498551317410393955283581288246596731697845072322596396739830,-571843863455438526338882409508463763063564428188517598595426243277566399992160891520062202333682640995665328986381305724244554838123405335627872153431368389288530238067899040686548893534922611824348561511977123358395597635929406491998735230009454541407425880905111777453016924057641450735843155465354102326994571342267122157940920035762643858365693035289209801116165775381916099917969962997175165907874132564001897452444384702104094287160691290120965893364139276104842082309018553712925523288276256281007626282932791102163485477082327279168764716486178953889484229590830017413260842855285910420392004532730320003808150830378923320052891079762489
57,594.7882024037658,657.0796976964759,0.9051994826334074,-62.29149529271008,2183,1565,2314,3858,3883,2261,0.9025266028569715,1006098460656690631673781729230466934387920075280128889290950441371974185813417561861854307315120490924309920211445973430165055162825167342481009308743683709499074335198755628570633106531958445582262556213484991655038722990911727728943896348573388346704745093947697069028836312744988122806258030887791621815132065670070066189029301093585059180482715427816550204159903348598230873185798914158795418216747975009870736491895217244275296881085364904523102968385510338122465280,-2155209525928818015810469642845397252054045452715987289112904703835519192872229214444976255669212145653498690769207998161520502165951413824515229183579220946459340020298292865999315988011525329516487039734172550954233921647785155682083996565428355671158881750856202893964360705583985844898735420369922455568010503233375696803153712652791341191286554614773763833723690058850855724239571949770817289947230386050320746454208710513623388888191372339447335417967844416790752387970334361280791755219943018617055744589751777995220762889049155314720395770760346752352658036939098540611869008241084050230169794479322991473536949050020559354800971308874744588044910655094625525678520173581392097670597972945,-1201427854082011125993072596879311054971012013882169463076234473890053197111891106383254204636488032437733251310734667439569707734507655650429104869630274528037771455404726346503472865362405774813454927047631973066853347258065610671106001675923656112188231502004382140683945154495152591553944617482763684458385947018603039736452977924323713493805746773596250257326080321709667750780351369064447976150972133155010008107310004049937153204732783624321353391049883254352775901205979859128426877245629993155615036011920394598405699610065307260479332015814166028968944692035585308295325929367933673852402042198989220617552911565035018330125179270223208455203717120,-1100466578225290506694433505823763212273602186765316883490889443020871039494889230774446151269881046165247792638163799132971021641426899710344770048648879301855274027060870333323599817746409802996594674168459802232143951210404720695292660867769303054498469830722886307253779979127126558331602425982055526045863417855172765301322810570066156967918763625648395657082654371082175689411865614496549938355303551146337585113305733428886993776728085797437108635716060962217175444738723905055516117575255078690335223863568296779118980450375195185047172487152394556361277878206472652418188934904757698956074644864742036830069937202735570365350006546092967301086183424
58,605.7974275392293,671.0312505759631,0.9027857152990386,-65.23382303673387,2230,1594,2363,3932,3960,2301,0.9025266028569715,-400068694534125328242772841463486181163419116304064464178355771964396998163279869448436264179283044295866168635763750503954706602278595008916907270142576535080143457290436822747406823764831784826556165350406459866180898160154933966629103343649138962554166106329569736808235397810398617431751011462029539532610678773257348892292328532716945607910966129723457074943841700534097547405366115301214105106373552028240725112154285815129028074977277449817614255232513898396976143745979392,1226032847576110963436814001112076979741620759382087979506864636978655495506129393435596281310473425113976039959477555439918269432135893402216013190803774089595727040690047187662264680240307797537902199903891633973205730578627832087715785267699301152715478406216394185907935868932630345288584598273526814633529374964729594163884082635778050172187435265800244446461598269389583280007328875898471117576610080967769204992207742698139400681468045940032404137622976471773900797619272283664316354024816825488856066271800640700939992966159656787251912138381176129480734390611008513137796339636608269361856854815192017842815196235003650747830925517216618127105340024758677728353321860501861172980760425137886223323331885,107460925347165077806481613957843093750695120237793362972191786242072878742228764088692216704448757026486648573929198909379899630961936619453287814030610155343339286386448976205722514484034620137682617323299683861850159903620636559074808257598882613078212810690369251737668595714677155206884390700524282569755609523950610276584501603863788181875381867922974295246119630334115595882575312624073793590499503482872762489689896810125018702331689372298724020716339512578674296889919262312824553451257385391240372059137767366252895935416465693036068477615239825536754995657340521902254092974159711475701325725814085795734906449024206590700941897620692192426235742730739746078720,98430510336449836055951020952079215076473416629966782230133911962470831028057182301227106780312390705002544070384269633195958436376793493599889555362217657611218947925009244584741637378951650660233996568598845275044637632476839511768625632845295978897657834641540493126377437748881725755029593876489199625542751827475100655478821895224290105105215514247441736035005591648765931396084010271578922328861364020402847757893841673008574632367690606653313929988528841511340581463166657765798901114793923125084376382182109332716679226967642883560298471294007385328037162397903133997885974010421163557715670014737855800953750705572252389805154492953368198956912800909008956293120
59,616.2395407592805,681.8482406341443,0.9037781489120729,-65.60869987486376,2266,1616,2401,3988,4018,2341,0.9025266028569715,-1886623348389757489907083618154484140676555435863327343923216584878224485312152878432929698961299611114054000160622560341426535535286465760443689318378577503021409040077758465805482320083330664797420055460598705877479437211566270163394163483500399534428050419976763302913430217622888425287302678451536483031943239998490958449815672839815530250778147707814768970094142501500241377255109363394944393790403691403895408782265102939376431054787673810322540520962761372288413088324358217154560,-511473162931692607427526638825339594573125583483581454108006507065121323013928680245550582961443598840448553628216406373521995556031531112905150303933533753004681259904217300525069234843749314508772397208305567372316464310427681691162368356859395061249137860753212739164855849933551538550075471029639024028458944161430399813689754439754961572058655919820292296566847594138419621523113440410234359276414865848476116870188844406323570418664042001574648575050950211401906641113767086871910965656078657473834479967549534155086900688227796009545966794932662841562935821251517995029255955630081394467232087536036066853708983952155432374398691903019755080341550063970499143589135227853874368703029438503338160679377382010787424100,-7050836339132647271880375038892620098730768767814251815150792753395123390084225175485100789162610089545654958706283685570296250120152364801123782324958332037463052190047604467048925655494314568980586177157381843831076991554202134489526077491053844253599214979149376136013225810432682700356992421828522262853156959377469439614951283715659190862285115624574573898382995996617003816980540794280564588014508406716397655555536462624504623737867310990062284413562260819512552047949385610092641431948412024552684105737813436650789077630688512109819139908768482280998866460502404181045158128817639048318986739771526452438660990108277881210194204417013418701745471340227493566422916582604800,-6458323496819962974512681370636755156616837988553448778413092616068170312701341867472432020590768145110641162090522616637386526943022229421192880972593882483770233925035588275022995768043856683834149827009010120784573469980028688089945662358952767933052235314179447349822587347041724513852053400617729836209852270783732018493753522008950631722758997865579265850120009312815016060514193262015992736559349559170100297031943145516163279494460492896047553289850256274019647975719599417707290717911431137274053346129130186601333653367065061743104775296595293253330268761714301515368582936686890455209909183181793120198846586324810731274494752371781069801787775264883907279325599365070848
60,626.6922105400374,694.2732866471885,0.9026592591031175,-67.58107610715105,2307,1649,2445,4070,4095,2381,0.9025266028569715,-13353010580114340407115381379521074206130940262723071752849638221703373704742860551697131651507448552852316840614015632605637294859320652113132128048725634352021568052075858561391065076295698630211550174909048977457563319125501252403688605424066080037262422983099539326997623501545592250479533785628033856120659706396718974798488551565051242606487044822916667498517632257395768882559183117166507985575832474437450687249511579010834294835680886573081897216572215947915772038120066336554337580453888,8651170007101983797011081366067248192075131480809614203569097810970552810526816075271443619796597302914433384721286505893471349019332748718405214201460831213129908812613918982631259477226216549912858059970502895413169949336416244678324484243113380190059289403313668608176245069389750445415954960947108667508977472629161773532301672719277276824441352999708066634721358127906670842793196561307132570488021180800995470046074335323424764515831638290409759466630001933999054856570336876287281616233316565247333460440912753706251661953482184905373594763863971339330201067027435299418118146007631879115831537815885682875118691184354315141184725744583747118470610780057028363193635904829522308353821063779804574503245336727562956648102889556417,18762324683362748973001960785613060631777203528783028419204443317986760187591763863279899771391203010307168968559776859444020990197509291544205473224942546133218055199663497722267989830866666354165520576967659039700583304759990396279075428451994737254829757437738260855640268888034739246715429610753009327655992918287134449937898604887817443724710831738347448290859489769784311504858372078128162916529071989456436033333881227918616914777084168229697600262244926639008661918212693109868063246570781792371718377600873896672529987544412847529472140264518832379521293787530441656245406288134188296423948956699913428807395974906691568051740295845377221257888406479120885955760066222118354410677469184,17185643876742262981048853110860679665817642892024841791812155985803703957630341999296802595217116396597992237623170948046660290276828316781449166252188335611769702249641372763668005541498850524232518524013379111953833571574737670693029842763121317823985594836643403647570321876553466599643004226584971112595945146554286222101456558975610188385991943928192947465927845713497362794365617263556476924984288104388275631407915040859123327484801549820753856494937089242862656671095627996232466391779823256548474042634289281247939917987292953032817381207695540945363641432643661794894323670808082926292686147941599354815340916698888265747739617518839359604268263917783241121317252371836068816740155392
61,637.1756400971896,706.6320284815266,0.901707840028719,-69.45638838433702,2348,1682,2489,4145,4172,2421,0.9025266028569715,159887833167720842924049856471029691800557841774734869667802376805001884578152814170187121801824624030959813935375389590103626679515681528952509723386000520781118278387856414705174866426647937653499031435622201362467631274717646944552964053924696597021042790998535435345355502571727485071779152595292718683067375123392536327609856723469959889178647342825596456719444442982200853982550443469955773833579912519600675998833143643295013480646744630473398546735065119374725511112374679170992527505548996029871104,125574679988742628334368376950921764697167409706107675077654501595205218128960289738009152534409341546923586091187190817899573834403907161725071738260794832379489146815415657715981645784535110209272000450451277052992033163046381434621043962958989581163713769971351987903250720841148672887958332440118691013542485640855409485600214894134086386235852888681079263977920804178297288162137308606394613147632879763575066149546970444647958277214998311926151590539107101592802443995929254646218603841686510941726831073809525735980991872151695236172078256027529607757892847181735456102554115788563466326361524920631629642577615815639844905785616854864816735332124074740618364610112486101309526458995278159459542379416611606172943239823068409767100036451104045,42857662601890182377287718885933529374244795171867428976298431478984472372888175670814496518273802182513112329376152821233099681536312731635122924018583783175095619005307570261519815008451525484858888118611979291107308829196853036115324828743579229585580376853930653334664788397502164012452054706135228145417074798290733751975391896329563509232989980472270472111204361215650829234255521418727946762653646521671538434298652780346743829876282149320485610152537602903571414399495266433794006792599315817783636551212965436606756746124588100683244845262472232548953723426504153156951673193643671346089656528556323869290039337455814438461582799075018173444268647086554224464462629062524926800027412873881932267520,39256144390187119177830171817181802025181297482414645701281424394117596208557400609380878529132758212580813842557718214758706721721466161231753710383642147295395042848108834973185265610545066507564116673462856870740219209590289129192445437641460634660043034248052413710004643746942480370465453039841732441892859899601005633580100674194667276536718670967378620570517154290818474988983131177932201493829622797824124249019591206342496260836341991577095366045307990383250589637009169865748831347333231351354604000611011446460873648009143863973795214903232596060682056139147565494124561378539939925231242045657371177769274127342997910363066160116040255036972369972641240344400298270213593168718690798595825729536
62,647.8026105920765,721.8812228544738,0.897381162001313,-74.07861226239729,2399,1724,2542,4241,4268,2461,0.9025266028569715,797702503512557232457731736201733189846539724568802531506430707384410313522797576923248002877422094464681532970319219078692452039538324545147948483257877941454251046016710929938910300035624275640154058571981601785906998293203041598541713264739445588722738130167549671426672538057945293723474667047732705490282937416821069610017760798428274782311253000179860614653257327300651804553221745884140307777200366180015413968455374245696075551321098691973420651395276490304584630153710348582706651222438388957378673789005889536,-1416006312954285597443222191572610028031324198651136164040579413704965946236728840965708942098630932321826030673470257081073684711828520803702281860180911162250006266741888896391790830724607870569999222211612363472482693354372564973976600252045557627636456325326230015815725306088574599875210398452161691217519225378117157683734289241893917137396782861734895108617969130763658277550366386610932446428742939777261807829153967101139334825041750337864949448021666024528496946189325848597278499778736604787764352263325312998740335606993054402435859718459835140453835190149754271766138719783090790735952252633147923596285876392155488019093788967815108570729684824835849987797069956774579365251978044782694128816076273547150142104587562907217287237054439911780663434101224,-76071653194153218795694751130762328899892066025485808670650657123641185294922247347268834293886465732798461944921953716765574926728443141088816129929858838118291877648569404489650321276548462945848326580790377019508168008655449053491663272793453404079048707866078501917833308098151873885772952640750163223978056307295390301179779441429463545978395328983151937625757755369070214297520650891367037458583624289567088522487918816116422795565670107535381415780256349454719565231889830633371171169777633377574613608503759572519013174683346653188917788128078364026621417191360665305289055815837785352489560786457923399708145134948331576248839471929692871840154448462027381917379045655447341301945929115953585038848124343900198498,-69679017018025893833853724207341489018882649234046532149569759583280595424316031491909399716790889436177735007632138826460210979840294591918717411977037035827577476376821823767683697154810023662494560748216435811480361435215793390369279544728997175601977007508702672585297669807425536887092850242582456961072325367483149294303167866923514535651344834506088541811610340590538731553685709489390960779022681100615372085903161966927553189227244860748441906728320760506731156864844907212214659100441902245903720397306483305187032141202026349990694823254676999799964872355824757276676302511584199502558717126345103124596395376579775842124426089535295626330776819161717370650526411482316601298319556569416076334234887926806816747
