tag,n,logidx,halflogcov,logl1,logl2,skew,incone,logcone,rho,rho2,gcdflag,cflen,cfmax,cfidx,cfkind,cfpq
S,50,11.747486,7.594409,7.590903,7.598910,1.492353,0,7.604837,2.007069,1.492353,1,370,338,215,0,0
S,51,11.517143,7.479354,7.458323,7.500386,8.543622,0,7.504323,10.443570,8.543622,1,373,8585,205,0,0
S,52,11.544314,7.493059,7.476615,7.509549,5.543234,0,7.512233,6.373699,5.543234,1,406,483,227,0,0
S,53,11.949393,7.695720,7.676554,7.714886,7.626374,1,7.679406,1.163176,1.000000,1,429,539,264,0,0
S,54,11.692072,7.567184,7.559408,7.575011,2.322272,0,7.579032,2.885503,2.322272,1,444,183,265,0,0
S,55,11.514869,7.478708,7.470373,7.487059,2.503595,1,7.475058,1.293900,1.000000,1,417,2114,224,0,0
S,56,11.428349,7.435575,7.434732,7.437431,1.163185,1,7.436599,1.110252,1.000000,1,442,3402,244,0,0
S,57,11.473636,7.458346,7.435662,7.481030,13.276183,0,7.483221,15.042048,13.276183,1,424,1112,229,0,0
S,58,11.544616,7.493965,7.492515,7.496426,1.254608,0,7.500214,1.562876,1.254608,1,474,835,265,0,0
S,59,11.746285,7.594929,7.527920,7.661938,2716.403796,1,7.533354,1.377972,1.000000,1,465,6043,264,0,0
S,60,11.680453,7.562143,7.562108,7.562425,1.019189,0,7.565265,1.208549,1.019189,1,468,1486,277,0,0
S,61,11.618695,7.531395,7.524213,7.538667,2.415061,1,7.527458,1.218896,1.000000,1,455,551,258,0,0
S,62,11.535472,7.489914,7.483508,7.496331,2.214537,0,7.499863,2.756588,2.214537,1,492,754,271,0,0
S,63,11.618132,7.531374,7.527674,7.535094,1.595870,0,7.538686,2.001189,1.595870,1,456,5298,247,0,0
S,64,11.756952,7.600914,7.586596,7.615235,6.251889,0,7.617957,7.441658,6.251889,1,525,15711,283,0,0
S,65,11.846746,7.645941,7.637268,7.654706,3.106342,1,7.638221,1.063917,1.000000,1,547,1165,292,0,0
S,66,11.624323,7.534859,7.535592,7.535669,1.005107,1,7.536368,1.052574,1.000000,1,494,1985,268,0,0
S,67,11.732908,7.589281,7.575790,7.602816,6.115148,1,7.576521,1.050165,1.000000,1,506,2962,256,0,0
S,68,11.619154,7.532533,7.530817,7.534817,1.312591,0,7.537919,1.620839,1.312591,1,516,675,285,0,0
S,69,11.681474,7.563821,7.549127,7.578517,7.598319,1,7.553090,1.314528,1.000000,1,501,2900,282,0,0
S,70,11.687107,7.566765,7.559006,7.574704,3.000773,0,7.576462,3.393665,3.000773,1,560,1399,321,0,0
S,71,11.692715,7.569695,7.569286,7.570153,1.063535,1,7.572843,1.287301,1.000000,1,546,939,316,0,0
S,72,11.698819,7.572873,7.545176,7.600571,53.971274,0,7.602787,63.306887,53.971274,1,494,706,285,0,0
S,73,11.704883,7.576030,7.573228,7.578859,1.508425,1,7.574652,1.109517,1.000000,1,588,427,334,0,0
S,74,11.843442,7.645434,7.641530,7.649354,1.784272,1,7.642841,1.101921,1.000000,1,593,258,348,0,0
S,75,11.784240,7.615956,7.611953,7.619965,1.823741,0,7.623811,2.433512,1.823741,1,541,7005,323,0,0
S,76,11.724035,7.585976,7.568244,7.603711,14.813213,1,7.572731,1.406423,1.000000,1,572,834,312,0,0
S,77,11.890166,7.669163,7.660895,7.677501,3.591946,1,7.661834,1.075058,1.000000,1,599,486,348,0,0
S,78,12.052704,7.750553,7.748375,7.752778,1.409756,0,7.756629,1.903670,1.409756,1,625,1093,359,0,0
S,79,11.875506,7.662073,7.659075,7.665111,1.610938,1,7.660833,1.148986,1.000000,1,610,3492,336,0,0
S,80,11.862754,7.655816,7.647715,7.663996,3.678569,1,7.651712,1.376861,1.000000,1,599,958,348,0,0
S,81,11.666498,7.557805,7.557648,7.558260,1.050805,1,7.561886,1.409598,1.000000,1,649,1906,364,0,0
S,82,11.893632,7.671489,7.663579,7.679438,3.670860,0,7.682188,4.599241,3.670860,1,611,3714,327,0,0
S,83,11.773780,7.611678,7.596653,7.626706,12.114204,1,7.600753,1.405367,1.000000,1,642,1330,348,0,0
S,84,11.906479,7.678142,7.671882,7.684422,2.867149,1,7.673001,1.098574,1.000000,1,685,1259,376,0,0
S,85,11.886803,7.668418,7.664738,7.672481,1.931329,0,7.675101,2.413060,1.931329,1,636,3341,361,0,0
S,86,11.826976,7.642647,7.642428,7.643352,1.082665,0,7.646994,1.480899,1.082665,1,705,670,383,0,0
S,87,11.834844,7.646646,7.646817,7.647298,1.042725,1,7.648765,1.184735,1.000000,1,694,2692,398,0,0
S,88,11.815372,7.636975,7.635139,7.638819,1.382444,1,7.637604,1.242291,1.000000,1,703,1735,376,0,0
S,89,11.709347,7.584028,7.583141,7.584973,1.177086,0,7.588008,1.542185,1.177086,1,708,347,377,0,0
