k,n,npq,a1,a2,a3,a4,a5,a6,a7,a8,a9plus
22.4000,38,748,290,125,84,41,33,21,17,14,123
23.0000,38,796,336,143,59,41,29,34,14,13,127
23.9000,38,836,357,138,83,54,27,29,26,15,107
22.4000,39,794,329,129,71,37,25,29,20,14,140
23.0000,39,781,300,134,88,43,27,24,20,13,132
23.9000,39,849,346,147,76,56,38,24,18,16,128
22.4000,40,834,354,141,73,51,34,25,24,17,115
23.0000,40,856,361,153,90,39,35,27,19,18,114
23.9000,40,844,339,135,82,51,45,22,24,12,134
22.4000,41,833,343,139,71,49,33,34,9,16,139
23.0000,41,882,378,153,83,47,35,27,23,17,119
23.9000,41,870,351,142,98,53,38,29,14,14,131
22.4000,42,886,387,153,78,51,30,20,18,23,126
23.0000,42,869,368,137,79,50,34,27,16,23,135
23.9000,42,893,367,165,87,47,31,26,16,16,138
22.4000,43,851,336,143,77,43,40,37,29,17,129
23.0000,43,931,391,166,78,54,29,31,22,15,145
23.9000,43,929,377,150,85,69,42,36,19,23,128
22.4000,44,875,340,152,88,56,39,20,29,16,135
23.0000,44,944,422,151,83,47,28,24,26,18,145
23.9000,44,939,380,171,87,56,35,30,23,14,143
22.4000,45,910,354,172,87,58,31,25,22,18,143
23.0000,45,921,381,146,85,57,26,24,25,24,153
23.9000,45,1004,468,153,88,42,33,32,20,22,146
22.4000,46,993,412,194,96,53,31,28,21,16,142
23.0000,46,972,393,176,98,64,39,31,25,18,128
23.9000,46,987,411,172,82,59,43,27,23,22,148
22.4000,47,928,378,140,86,56,33,29,27,10,169
23.0000,47,973,388,179,84,54,34,36,20,23,155
23.9000,47,973,393,176,83,52,46,28,29,11,155
22.4000,48,984,391,182,96,53,39,43,19,17,144
23.0000,48,1049,467,168,92,58,37,31,20,14,162
23.9000,48,1054,443,181,96,55,49,25,25,23,157
22.4000,49,1009,429,157,82,75,42,32,24,12,156
23.0000,49,1020,432,155,81,72,34,37,26,22,161
23.9000,49,1041,442,170,90,65,50,32,21,21,150
22.4000,50,1033,427,190,85,46,56,22,27,23,157
23.0000,50,1066,434,197,94,80,44,35,27,7,148
23.9000,50,1053,444,175,101,51,38,34,25,17,168
22.4000,51,1033,428,171,105,56,39,25,24,23,162
23.0000,51,1084,463,165,114,62,47,34,26,17,156
23.9000,51,1103,460,199,98,64,41,38,29,12,162
22.4000,52,1090,455,180,134,45,44,27,30,11,164
23.0000,52,1099,457,197,100,71,40,37,21,7,169
23.9000,52,1114,471,174,106,75,33,35,21,21,178
22.4000,53,1070,453,172,86,68,46,33,25,13,174
23.0000,53,1102,449,184,103,59,49,35,24,23,176
23.9000,53,1129,461,203,94,66,53,28,34,13,177
22.4000,54,1148,474,212,110,67,49,40,22,23,151
23.0000,54,1108,464,170,113,66,44,40,17,18,176
23.9000,54,1147,466,209,91,69,52,33,29,23,175
22.4000,55,1166,500,197,97,78,45,36,34,21,158
23.0000,55,1162,492,192,110,66,51,32,26,17,176
23.9000,55,1188,476,207,122,71,38,37,30,21,186
22.4000,56,1128,461,177,101,80,42,37,19,23,188
23.0000,56,1236,524,227,107,63,60,46,35,25,149
23.9000,56,1213,506,202,113,62,54,46,30,23,177
22.4000,57,1167,479,185,124,57,51,49,35,10,177
23.0000,57,1194,484,220,97,88,43,34,25,23,180
23.9000,57,1246,530,213,128,68,47,41,26,22,171
22.4000,58,1159,453,195,94,79,52,37,32,25,192
23.0000,58,1208,475,206,127,83,53,31,20,21,192
23.9000,58,1237,512,215,108,66,52,40,31,27,186
22.4000,59,1235,509,196,128,79,45,39,16,34,189
23.0000,59,1284,570,190,115,73,58,37,24,23,194
23.9000,59,1334,592,222,111,77,55,39,26,22,190
22.4000,60,1259,535,215,120,67,44,37,33,20,188
23.0000,60,1264,531,211,114,82,44,42,29,27,184
23.9000,60,1342,581,236,118,78,53,28,29,23,196
22.4000,61,1220,491,194,102,94,65,24,26,26,198
23.0000,61,1274,516,236,112,81,51,42,33,23,180
23.9000,61,1302,543,221,118,69,47,37,26,25,216
22.4000,62,1241,504,191,120,79,44,49,37,19,198
23.0000,62,1325,548,245,117,80,50,41,31,25,188
23.9000,62,1307,518,231,133,85,46,51,26,20,197
22.4000,63,1285,524,229,128,60,57,29,25,29,204
23.0000,63,1280,524,215,122,81,55,24,26,11,222
23.9000,63,1312,548,209,118,80,49,32,34,37,205
22.4000,64,1293,538,216,112,77,44,32,35,21,218
23.0000,64,1381,576,242,136,87,44,45,24,29,198
23.9000,64,1428,606,246,138,88,54,36,23,17,220
22.4000,65,1345,565,223,106,72,71,34,33,36,205
23.0000,65,1389,586,246,119,87,49,40,22,36,204
23.9000,65,1415,573,249,163,85,60,31,30,22,202
22.4000,66,1361,568,238,121,78,42,48,26,17,223
23.0000,66,1401,578,230,128,104,53,41,34,31,202
23.9000,66,1463,602,263,151,80,52,46,37,26,206
22.4000,67,1396,569,243,118,92,54,41,32,26,221
23.0000,67,1414,582,242,124,71,63,56,32,19,225
23.9000,67,1433,609,243,117,80,52,36,29,26,241
22.4000,68,1368,557,213,126,100,47,48,40,22,215
23.0000,68,1428,589,247,142,86,46,45,32,26,215
23.9000,68,1525,672,226,148,97,65,47,23,27,220
22.4000,69,1387,592,216,124,87,49,35,38,26,220
23.0000,69,1454,618,243,122,88,62,52,30,26,213
23.9000,69,1502,624,252,139,98,64,39,37,26,223
22.4000,70,1462,628,236,141,78,61,55,29,22,212
23.0000,70,1444,587,239,135,80,57,52,45,22,227
23.9000,70,1502,582,261,168,93,64,46,39,33,216
22.4000,71,1445,591,257,129,94,58,41,35,25,215
23.0000,71,1524,647,245,140,98,67,37,36,25,229
23.9000,71,1516,632,267,126,76,59,50,31,28,247
22.4000,72,1499,644,242,143,99,52,41,33,31,214
23.0000,72,1512,641,238,151,77,67,41,42,22,233
23.9000,72,1561,639,267,157,101,63,45,42,34,213
22.4000,73,1458,571,251,142,96,74,42,32,26,224
23.0000,73,1515,647,245,127,94,55,45,35,28,239
23.9000,73,1543,613,251,181,87,61,50,32,35,233
22.4000,74,1505,623,243,143,94,67,49,34,17,235
23.0000,74,1557,645,278,134,101,56,47,40,33,223
23.9000,74,1573,650,288,127,91,58,49,46,21,243
22.4000,75,1545,631,268,134,96,71,47,40,28,230
23.0000,75,1579,638,295,150,85,74,43,37,21,236
23.9000,75,1624,693,253,162,102,61,42,43,21,247
22.4000,76,1535,612,282,153,71,54,51,34,26,252
23.0000,76,1597,673,258,154,94,59,38,36,37,248
23.9000,76,1661,729,267,144,81,66,51,38,34,251
22.4000,77,1616,704,251,140,91,65,54,45,30,236
23.0000,77,1637,690,277,158,87,60,50,56,23,236
23.9000,77,1619,660,255,151,99,69,54,55,29,247
22.4000,78,1619,656,266,165,90,79,65,36,25,237
23.0000,78,1607,643,259,142,106,78,48,41,31,259
23.9000,78,1732,731,301,178,78,68,43,37,31,265
22.4000,79,1638,690,294,148,93,62,41,32,30,248
23.0000,79,1674,696,292,153,102,55,44,35,33,264
23.9000,79,1731,767,264,142,110,62,45,34,30,277
22.4000,80,1692,733,273,146,114,52,49,39,25,261
23.0000,80,1703,740,263,151,96,69,52,37,30,265
23.9000,80,1751,745,287,165,88,73,51,39,30,273
22.4000,81,1719,715,299,169,92,69,55,33,25,262
23.0000,81,1792,750,308,194,104,70,64,35,25,242
23.9000,81,1732,710,298,156,106,63,54,41,47,257
22.4000,82,1701,689,293,171,100,71,43,40,25,269
23.0000,82,1767,722,311,151,122,69,49,42,35,266
