k,n,logidx,halflogcov,logl1,logl2,skew,incone,logcone,rho,rho2,logq,jhi,mrg,ok,cflen,cfmax,cfidx,cfkind,cfpq,logh11,h22,logsinth,pqnext,cvkind,cvidx,cvt
22.4000,14,26.646861,-0.477753,-0.549932,-0.405508,7.552930,1,-0.543662,1.091753,1.000000,14.191644,2,7.537 e-3,1,308,279,170,0,0,26.349798,64,-0.000925,78,0,170,0
23.0000,14,27.092455,-0.700551,-0.731503,-0.668813,2.405257,1,-0.707640,1.396664,1.000000,14.161555,2,8.167 e-3,1,290,12251,160,0,0,26.795392,64,-0.010982,4,0,160,0
23.9000,14,27.686582,-0.997614,-0.998392,-0.990820,1.111833,0,-0.982217,1.254134,1.111833,13.920519,3,3.982 e-3,1,284,354,157,0,0,27.389519,64,-0.084223,2,0,158,0
22.4000,15,26.439294,-0.612425,-0.614448,-0.609102,1.083502,1,-0.603760,1.173891,1.000000,14.295952,3,1.002 e-2,1,310,423,160,0,0,26.162035,64,-0.019494,5,0,160,0
23.0000,15,26.855183,-0.820369,-0.978780,-0.661957,115.855517,0,-0.656705,125.353107,115.855517,14.254908,3,3.039 e-3,1,287,328,143,0,0,26.577924,64,-0.000006,328,0,144,0
23.9000,15,27.455910,-1.120733,-1.188820,-1.052559,7.720769,1,-1.175609,1.219167,1.000000,13.720665,2,1.301 e-2,1,323,75,174,0,0,27.178651,64,-0.001303,31,0,174,0
22.4000,16,25.956524,-0.837241,-0.837952,-0.831266,1.112902,0,-0.806638,1.650413,1.167110,14.064033,3,1.870 e-3,1,324,533,163,0,0,25.492963,1664,-0.084231,2,0,164,0
23.0000,16,26.389741,-1.053850,-1.235662,-0.872037,336.297677,0,-0.857447,424.722487,336.297677,13.633935,3,1.437 e-3,1,333,695,165,0,0,25.926180,1664,-0.000000,695,0,164,0
23.9000,16,26.996245,-1.357102,-1.383473,-1.330469,2.335135,0,-1.319929,2.764068,2.335135,13.586851,3,5.243 e-4,1,325,1906,165,0,0,26.532684,1664,-0.004178,5,0,166,0
22.4000,17,25.993588,-0.803862,-0.832788,-0.774444,2.696224,1,-0.813035,1.399063,1.000000,14.054292,2,2.418 e-3,1,335,963,178,0,0,25.667402,256,-0.008378,4,0,178,0
