== kernel identity for rational surrogates ==
e,k,n,zerof,equal,inlat,logcoordZ,logpred,t,g,logkerlen,logpredlen
4,22.4000,6,1,1,1,24.091746,24.091746,7,101384192,21.401422,21.873624
4,23.9000,6,1,1,1,23.052025,23.052025,7,101384192,20.361701,20.833903
4,22.4000,7,1,1,1,25.219112,25.219112,7,31195136,23.081499,23.486244
4,23.9000,7,1,1,1,24.129880,24.129880,7,31195136,21.992268,22.397012
4,22.4000,8,1,1,1,26.054826,26.054826,1,42893312,23.901370,24.498760
4,23.9000,8,1,1,1,25.015105,25.015105,1,42893312,22.861649,23.459039
4,22.4000,9,1,1,1,26.408622,26.408622,17,405536768,24.559629,24.775841
4,23.9000,9,1,1,1,25.330393,25.330393,17,405536768,23.481400,23.697613
4,22.4000,10,1,1,1,26.257082,26.257082,17,405536768,24.592989,24.787580
4,23.9000,10,1,1,1,25.217361,25.217361,17,405536768,23.553268,23.747859
4,22.4000,11,1,1,1,26.393028,26.393028,17,2558001152,24.712782,24.889683
4,23.9000,11,1,1,1,25.384814,25.384814,17,2558001152,23.704568,23.881469
4,22.4000,12,1,1,1,27.060490,27.060490,1,218365952,25.489231,25.887491
4,23.9000,12,1,1,1,26.020769,26.020769,1,218365952,24.449510,24.847770
4,22.4000,13,1,1,1,26.930412,26.930412,1,29697769472,25.102122,25.469747
4,23.9000,13,1,1,1,25.917351,25.917351,1,29697769472,24.089061,24.456686
4,22.4000,14,1,1,1,27.668763,27.668763,1,124780544,26.361942,26.703308
4,23.9000,14,1,1,1,26.629042,26.629042,1,124780544,25.322221,25.663587
4,22.4000,15,1,1,1,27.543369,27.543369,17,499122176,26.420131,26.549858
4,23.9000,15,1,1,1,26.526753,26.526753,17,499122176,25.403515,25.533242
4,22.4000,16,1,1,1,26.916446,26.916446,17,15597568,26.080019,26.201638
4,23.9000,16,1,1,1,25.876725,25.876725,17,15597568,25.040298,25.161917
4,22.4000,17,1,1,1,27.444895,27.444895,17,17843617792,26.243417,26.357882
4,23.9000,17,1,1,1,26.384787,26.384787,17,17843617792,25.183309,25.297775
4,22.4000,18,1,1,1,27.889583,27.889583,17,42550165504,26.706574,26.814680
4,23.9000,18,1,1,1,26.849863,26.849863,17,42550165504,25.666854,25.774960
4,22.4000,19,1,1,1,28.335971,28.335971,17,134513426432,27.154648,27.257064
4,23.9000,19,1,1,1,27.278010,27.278010,17,134513426432,26.096687,26.199103
4,22.4000,20,1,1,1,27.761467,27.761467,17,124780544,26.988353,27.085648
4,23.9000,20,1,1,1,26.721746,26.721746,17,124780544,25.948632,26.045927
4,22.4000,21,1,1,1,27.656572,27.656572,17,998244352,26.821252,26.913914
4,23.9000,21,1,1,1,26.633355,26.633355,17,998244352,25.798035,25.890697
4,22.4000,22,1,1,1,28.175217,28.175217,1,249561088,27.312097,27.529330
4,23.9000,22,1,1,1,27.135496,27.135496,1,249561088,26.272376,26.489609
4,22.4000,23,1,1,1,28.111054,28.111054,17,998244352,27.348371,27.432976
