k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,5527,1,1,60943,1,117113,0.520382,6,1,360,741,302751,27.48568,0.00339,2.36387,0.00700,0,1,3,1.308623,1.001804,1.001804,-0.001523,-0.001474,14.959576,9127,0.000099,0.076515,48679,19873,10857,6950,4787,3457,2591,2076,17842,1,1,1,1
22.4000,5527,1,1,61104,0,116940,0.522529,800,2,800,800,888228,27.52029,0.00339,2.36387,0.00700,1,1,3,1.413826,1.000000,1.401812,-0.018860,-0.018797,14.942565,8851,0.001258,0.074285,48295,20026,10948,6895,4657,3527,2633,2149,17809,1,1,1,1
23.0000,5527,1,1,61916,0,119075,0.519979,1,71,71,239,2513602,27.93628,0.00339,2.36387,0.00700,1,1,2,1.032414,1.000000,2.391033,-0.226905,-0.226900,14.734586,5536,0.015399,0.047119,49216,20237,11207,7010,4983,3547,2676,2127,18071,1,1,1,1
23.9000,5527,1,1,63732,0,121832,0.523118,1,1,19,131,1881280,28.56008,0.00339,2.36387,0.00700,1,0,3,1.410665,1.000000,1.318061,-0.538747,-0.538685,14.422694,561,0.037350,0.004878,50642,20480,11357,7202,5082,3574,2693,2210,18591,1,1,1,1
22.3500,5528,1,1,60978,0,117206,0.520268,1,1079,1079,1079,1316446,27.48402,0.00163,2.36775,0.00820,1,1,2,1.108092,1.000000,123.028449,-0.003626,-0.003607,14.957865,9131,0.000241,0.076543,48444,20075,10948,6948,4818,3494,2658,2163,17657,1,1,1,1
22.4000,5528,1,1,61283,1,117139,0.523169,3,28,163,542,44183,27.51875,0.00163,2.36775,0.00820,0,1,3,11.418700,10.354443,10.354443,-0.020768,-0.020328,14.941160,8854,0.001361,0.074304,48606,19895,10880,6841,4792,3419,2659,2135,17911,1,1,1,1
23.0000,5528,1,1,62031,1,119597,0.518671,1,135,135,135,176419,27.93467,0.00163,2.36775,0.00820,0,1,3,37.224076,35.320976,35.320976,-0.228836,-0.228182,14.732604,5537,0.015488,0.047125,49722,20486,11158,6918,4923,3555,2710,2144,17980,1,1,1,1
23.9000,5528,1,1,63222,0,121735,0.519345,1,3,10,40,73194,28.55847,0.00163,2.36775,0.00820,1,0,2,1.311406,1.000000,1.549660,-0.540456,-0.540407,14.421021,562,0.037474,0.004886,50215,20658,11423,7190,4975,3658,2835,2238,18542,1,1,1,1
22.3500,5529,1,1,60859,1,117223,0.519177,2,13,313,313,395815,27.48437,0.00176,2.37221,0.00564,0,1,3,5.851944,5.103185,5.103185,-0.003183,-0.002863,14.958611,9128,0.000191,0.076500,48787,19907,11028,6853,4757,3449,2671,2042,17728,1,1,1,1
22.4000,5529,1,1,61307,1,117116,0.523477,8,3,12,20,494538,27.51897,0.00176,2.37221,0.00564,0,1,3,1.575805,1.435700,1.435700,-0.020364,-0.020282,14.940720,8853,0.001358,0.074284,48702,19878,10963,6727,4851,3450,2614,2129,17801,1,1,1,1
23.0000,5529,1,1,62387,1,119137,0.523662,1,95,95,145,1014100,27.93493,0.00176,2.37221,0.00564,0,1,3,27.333261,26.051769,26.051769,-0.228613,-0.228015,14.733476,5534,0.015476,0.047088,49556,20147,11126,7015,4761,3502,2670,2151,18208,1,1,1,1
23.9000,5529,1,1,63360,0,121976,0.519451,1,2,7,19,567298,28.55875,0.00176,2.37221,0.00564,1,0,2,1.381857,1.000000,1.395994,-0.540258,-0.540200,14.421203,560,0.037459,0.004868,50618,20827,11318,7204,4913,3556,2752,2170,18617,1,1,1,1
22.3500,5530,1,1,61211,1,117385,0.521459,3,11,11,124,264936,27.48432,0.00175,2.36824,0.00725,0,1,3,5.984190,5.162534,5.162534,-0.003166,-0.002843,14.958086,9137,0.000190,0.076565,48818,19965,11029,6882,4676,3479,2664,2086,17785,1,1,1,1
22.4000,5530,1,1,60824,0,116712,0.521151,7,9,9,93,193484,27.51904,0.00175,2.36824,0.00725,1,1,3,1.109184,1.000000,1.082511,-0.020385,-0.020366,14.940717,8853,0.001363,0.074271,48346,19848,10825,6903,4760,3357,2629,2059,17984,1,1,1,1
23.0000,5530,1,1,62039,1,119017,0.521266,1,5,5,495,510779,27.93493,0.00175,2.36824,0.00725,0,1,3,2.672004,2.302227,2.302227,-0.228398,-0.228220,14.733255,5535,0.015490,0.047089,49334,20193,11086,6987,4912,3474,2813,2079,18138,1,1,1,1
