k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,5851,1,1,64640,0,123948,0.521513,1,6,14,53,8755639,27.49412,0.00130,2.38420,0.00660,1,1,2,1.164825,1.000000,1.394853,0.001699,0.001725,14.963196,9662,-0.000115,0.076496,51408,21216,11690,7294,5013,3524,2875,2198,18729,1,1,1,1
22.4000,5851,1,1,64807,1,124206,0.521774,1,4,24,24,118605,27.52883,0.00130,2.38420,0.00660,0,0,3,2.032260,1.576368,1.576368,-0.015671,-0.015550,14.945728,9369,0.001040,0.074263,51674,21108,11411,7323,5198,3730,2802,2206,18753,1,1,1,1
23.0000,5851,1,1,65552,0,125668,0.521633,1,4,41,41,56817,27.94477,0.00130,2.38420,0.00660,1,1,2,1.243940,1.000000,1.600027,-0.223636,-0.223599,14.737649,5858,0.015172,0.047089,51939,21380,11534,7456,5249,3800,2790,2308,19211,1,1,1,1
23.9000,5851,1,1,66857,1,128534,0.520154,3,2,15,686,832265,28.56850,0.00130,2.38420,0.00660,0,0,3,1.240871,1.012774,1.012774,-0.535462,-0.535425,14.425809,593,0.037116,0.004870,53055,21820,11871,7674,5349,3776,2954,2312,19722,1,1,1,1
22.3500,5852,1,1,64416,0,123463,0.521748,2,3,63,201,354366,27.49930,0.00142,2.38998,0.00648,1,1,2,1.400847,1.000000,1.618044,0.004254,0.004312,14.965715,9664,-0.000288,0.076486,51197,20779,11515,7410,5004,3682,2828,2272,18775,1,1,1,1
22.4000,5852,1,1,64971,1,124187,0.523175,2,230,230,230,164009,27.53389,0.00142,2.38998,0.00648,0,1,3,20.116355,19.225739,19.225739,-0.013251,-0.012738,14.948754,9372,0.000852,0.074259,51544,21320,11669,7350,4978,3731,2743,2121,18730,1,1,1,1
23.0000,5852,1,1,65651,1,125835,0.521727,1,1,73,112,84587,27.94987,0.00142,2.38998,0.00648,0,1,3,1.696357,1.206991,1.206991,-0.221005,-0.220914,14.740485,5859,0.014987,0.047080,52072,21434,11738,7437,5026,3784,2822,2258,19263,1,1,1,1
23.9000,5852,1,1,67342,0,129089,0.521675,33,5,33,87,196554,28.57361,0.00142,2.38998,0.00648,1,1,2,1.269197,1.000000,1.750462,-0.532906,-0.532865,14.428400,593,0.036932,0.004868,53704,21810,11902,7701,5212,3837,2868,2333,19721,1,1,1,1
22.3500,5853,1,1,64942,0,124429,0.521924,1,10,27,88,464059,27.49815,0.00370,2.38753,0.00684,1,1,2,1.395958,1.000000,5.153299,0.004761,0.004818,14.966169,9661,-0.000322,0.076447,52049,21110,11638,7159,5008,3630,2799,2224,18811,1,1,1,1
22.4000,5853,1,1,64829,1,123840,0.523494,29,4,29,91,782506,27.53285,0.00370,2.38753,0.00684,0,1,3,1.916471,1.626131,1.626131,-0.012489,-0.012377,14.949091,9368,0.000828,0.074213,51390,20912,11597,7258,5130,3670,2832,2186,18864,1,1,1,1
