k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,6216,1,1,68415,1,131119,0.521782,2,18,68,68,3169727,27.48621,0.00397,2.37630,0.00576,0,1,3,8.085964,7.211155,7.211155,-0.001064,-0.000728,14.960775,10264,0.000049,0.076503,53965,22488,12310,7685,5331,3930,3043,2351,20015,1,1,1,1
22.4000,6216,1,1,68685,1,131882,0.520810,1,5,6,97,536465,27.52089,0.00397,2.37630,0.00576,0,0,3,2.853786,2.251219,2.251219,-0.018310,-0.018141,14.943145,9953,0.001214,0.074272,54726,22358,12313,7806,5347,3941,2994,2401,19995,1,1,1,1
23.0000,6216,1,1,69408,0,133394,0.520327,5,3,58,58,194697,27.93682,0.00397,2.37630,0.00576,1,1,2,1.332835,1.000000,1.422164,-0.226238,-0.226192,14.735133,6221,0.015351,0.047078,55215,22613,12416,7858,5368,4002,3033,2424,20464,1,1,1,1
23.9000,6216,1,1,71485,1,137314,0.520599,1,23,23,89,273924,28.56061,0.00397,2.37630,0.00576,0,1,3,10.698492,9.462461,9.462461,-0.538286,-0.537905,14.423597,627,0.037293,0.004847,56775,23316,12904,8320,5582,4189,3173,2387,20667,1,1,1,1
22.3500,6228,1,1,68885,1,132115,0.521406,2,2,24,1221,111128,27.49590,0.00200,2.38485,0.00532,0,1,3,1.694239,1.231356,1.231356,0.002962,0.003047,14.964264,10278,-0.000204,0.076442,55031,22487,12060,7776,5357,3998,3003,2352,20050,1,1,1,1
22.4000,6228,1,1,68764,0,131573,0.522634,1,2,11,22,1774589,27.53063,0.00200,2.38485,0.00532,1,1,2,1.410657,1.000000,1.576167,-0.014420,-0.014365,14.947019,9966,0.000961,0.074207,54462,22456,12255,7691,5334,3872,3014,2336,20152,1,1,1,1
23.0000,6228,1,1,69993,1,134258,0.521336,3,3,5,16,84307,27.94654,0.00200,2.38485,0.00532,0,1,3,2.755296,2.031643,2.031643,-0.222397,-0.222234,14.739231,6230,0.015078,0.047042,55733,22717,12664,8014,5429,3878,2972,2443,20407,1,1,1,1
23.9000,6228,1,1,72007,1,138149,0.521231,21,14,21,127,740832,28.57035,0.00200,2.38485,0.00532,0,1,3,3.035208,2.967044,2.967044,-0.534331,-0.534153,14.426682,624,0.037025,0.004814,57738,23514,12722,8032,5668,4098,3125,2448,20803,1,1,1,1
22.3500,6240,1,1,68716,0,131591,0.522198,1,5,5,137,167938,27.48852,0.00297,2.37718,0.00560,1,1,2,1.290924,1.000000,1.995531,-0.000372,-0.000331,14.960970,10307,0.000022,0.076527,54336,22403,12250,7760,5425,3851,3051,2385,20129,1,1,1,1
22.4000,6240,1,1,69014,0,132431,0.521136,7,7,5986,5986,136306,27.52318,0.00297,2.37718,0.00560,1,1,2,1.346104,1.000000,3.206747,-0.017741,-0.017694,14.943641,9993,0.001184,0.074281,55055,22665,12226,7775,5408,3882,2956,2336,20127,1,1,1,1
