k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,4204,1,1,46331,1,88681,0.522452,22,4,22,88,881805,27.47455,0.00231,2.36132,0.00660,0,1,3,1.874505,1.730804,1.730804,-0.007904,-0.007755,14.952784,6944,0.000519,0.076569,36712,15048,8234,5306,3549,2703,2035,1583,13510,1,1,1,1
22.4000,4204,1,1,46179,1,88898,0.519466,410,152,410,410,50715,27.50918,0.00231,2.36132,0.00660,0,1,3,11.372141,11.339151,11.339151,-0.025442,-0.024864,14.934575,6733,0.001665,0.074332,37023,15023,8181,5164,3657,2649,2031,1547,13622,1,1,1,1
23.0000,4204,1,1,47156,0,90497,0.521084,1,114,114,114,65779,27.92516,0.00231,2.36132,0.00660,1,0,2,1.035050,1.000000,4.118319,-0.233315,-0.233306,14.728134,4210,0.015841,0.047130,37569,15330,8433,5367,3683,2721,1992,1644,13757,1,1,1,1
23.9000,4204,1,1,48254,0,92909,0.519374,2,4,25,640,4466314,28.54890,0.00231,2.36132,0.00660,1,1,2,1.345705,1.000000,2.068721,-0.545097,-0.545026,14.416165,427,0.037807,0.004884,38765,15535,8627,5541,3786,2746,2150,1686,14072,1,1,1,1
22.3500,4205,1,1,46560,0,88904,0.523717,1,2,14,251,279126,27.47386,0.00247,2.35285,0.00903,1,0,2,1.387160,1.000000,1.566913,-0.008097,-0.008019,14.953309,6943,0.000536,0.076537,36922,15020,8210,5278,3602,2678,2107,1613,13473,1,1,1,1
22.4000,4205,1,1,46569,1,89349,0.521209,1,6,135,135,193221,27.50864,0.00247,2.35285,0.00903,0,1,3,3.819235,3.120636,3.120636,-0.025573,-0.025254,14.935759,6730,0.001691,0.074276,37013,15199,8306,5293,3644,2682,2019,1642,13550,1,1,1,1
23.0000,4205,1,1,47157,1,91019,0.518106,2,3,6,114,407038,27.92453,0.00247,2.35285,0.00903,0,1,3,2.902292,2.094386,2.094386,-0.233469,-0.233216,14.728176,4207,0.015835,0.047085,37847,15467,8511,5415,3791,2732,2014,1629,13612,1,1,1,1
23.9000,4205,1,1,48458,0,93056,0.520746,1,8,8,25,589488,28.54828,0.00247,2.35285,0.00903,1,0,2,1.244706,1.000000,2.637442,-0.545372,-0.545320,14.416067,423,0.037827,0.004837,38627,15915,8583,5564,3754,2787,2062,1668,14095,1,1,1,1
22.3500,4206,1,1,46553,1,89038,0.522850,2,6,9,24,314214,27.47293,0.00231,2.35183,0.00738,0,1,3,2.548571,1.906776,1.906776,-0.008776,-0.008554,14.952801,6944,0.000572,0.076532,36854,15276,8356,5285,3577,2591,2063,1594,13441,1,1,1,1
22.4000,4206,1,1,46144,0,88834,0.519447,5,4,44,279,181124,27.50754,0.00231,2.35183,0.00738,1,1,2,1.275507,1.000000,1.651945,-0.026062,-0.026004,14.935125,6734,0.001741,0.074305,36676,15148,8342,5326,3564,2639,2004,1524,13610,1,1,1,1
