k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,2243,1,1,24616,0,47449,0.518800,2,5,13,59,259825,27.48359,0.00433,2.38073,0.01292,1,1,2,1.256959,1.000000,1.801450,-0.003124,-0.003022,14.957637,3704,0.000202,0.076525,19616,8107,4427,2799,2026,1438,1048,822,7165,1,1,1,1
22.4000,2243,1,1,24712,0,47493,0.520340,1,19,19,26,78361,27.51820,0.00433,2.38073,0.01292,1,0,2,1.116001,1.000000,2.474434,-0.020500,-0.020451,14.940788,3592,0.001369,0.074295,19607,8040,4440,2843,1971,1455,1081,839,7216,1,1,1,1
23.0000,2243,1,1,25180,0,48189,0.522537,1,1,21,22,55237,27.93415,0.00433,2.38073,0.01292,1,1,3,1.405257,1.000000,1.029576,-0.228272,-0.228120,14.732809,2246,0.015484,0.047111,20039,8106,4631,2809,1916,1446,996,877,7368,1,1,1,1
23.9000,2243,1,1,25968,0,49731,0.522180,2,90,90,90,53939,28.55777,0.00433,2.38073,0.01292,1,0,2,1.096769,1.000000,9.256408,-0.540579,-0.540538,14.420711,228,0.037483,0.004886,20690,8469,4660,2975,1977,1500,1126,860,7473,1,1,1,1
22.3500,2244,1,1,24473,1,47147,0.519090,2,2,27,27,15580,27.47483,0.00732,2.37464,0.02169,0,1,3,1.804968,1.276380,1.276380,-0.005802,-0.005539,14.955449,3706,0.000370,0.076544,19544,7904,4305,2772,1998,1391,1058,830,7344,1,1,1,1
22.4000,2244,1,1,24816,0,47424,0.523290,1,7,140,140,48294,27.50943,0.00732,2.37464,0.02169,1,1,2,1.407828,1.000000,4.204698,-0.023382,-0.023230,14.937709,3594,0.001555,0.074318,19578,8136,4422,2779,1969,1401,1064,840,7234,1,1,1,1
23.0000,2244,1,1,25135,1,47999,0.523668,1,8,26,34,1308721,27.92550,0.00732,2.37464,0.02169,0,1,3,5.777894,4.574456,4.574456,-0.231438,-0.230656,14.730575,2248,0.015658,0.047139,19727,8162,4443,2914,1938,1485,1105,840,7384,1,1,1,1
23.9000,2244,1,1,25729,1,49462,0.520188,3,117,117,117,76543,28.54915,0.00732,2.37464,0.02169,0,0,3,6.079491,5.781734,5.781734,-0.543314,-0.542509,14.417450,230,0.037629,0.004928,20493,8476,4452,2950,2092,1462,1130,892,7514,1,1,1,1
22.3500,2245,1,1,24846,0,47683,0.521077,1,33,33,76,360735,27.48173,0.00494,2.37480,0.02019,1,1,2,1.039825,1.000000,1.406112,-0.003470,-0.003453,14.956395,3704,0.000231,0.076463,19901,8078,4374,2813,1875,1385,1086,852,7318,1,1,1,1
22.4000,2245,1,1,24798,0,47767,0.519156,1,1,25,25,16010,27.51662,0.00494,2.37480,0.02019,1,0,3,1.375792,1.000000,1.255060,-0.020891,-0.020749,14.940330,3594,0.001389,0.074272,19729,8133,4477,2855,1984,1459,1119,838,7172,1,1,1,1
23.0000,2245,1,1,25287,1,48580,0.520534,1,5,168,204,666218,27.93251,0.00494,2.37480,0.02019,0,1,3,1.593948,1.588261,1.588261,-0.228882,-0.228674,14.732616,2244,0.015522,0.047028,20260,8293,4420,2872,1982,1490,1108,832,7322,1,1,1,1
23.9000,2245,1,1,25858,0,49405,0.523399,1,14,46,46,52677,28.55619,0.00494,2.37480,0.02019,1,0,2,1.155504,1.000000,2.580587,-0.540837,-0.540773,14.420448,224,0.037500,0.004796,20529,8404,4569,2923,1970,1436,1149,893,7531,1,1,1,1
22.3500,2246,1,1,24672,0,47301,0.521607,2,8,24,24,539744,27.48146,0.00432,2.37135,0.01593,1,1,2,1.217416,1.000000,2.111584,-0.004208,-0.004121,14.956465,3709,0.000276,0.076532,19499,8058,4456,2757,1933,1431,1091,834,7241,1,1,1,1
22.4000,2246,1,1,24714,0,47649,0.518679,1,2,26,26,54792,27.51603,0.00432,2.37135,0.01593,1,0,3,1.311920,1.000000,1.240047,-0.021374,-0.021253,14.939882,3597,0.001423,0.074303,19849,8040,4472,2792,1954,1341,1066,878,7256,1,1,1,1
23.0000,2246,1,1,25168,0,48548,0.518425,1,4,58,58,224419,27.93204,0.00432,2.37135,0.01593,1,1,2,1.403262,1.000000,2.400205,-0.229527,-0.229376,14.731548,2249,0.015570,0.047115,20105,8253,4590,2950,1943,1458,1111,815,7322,1,1,1,1
23.9000,2246,1,1,25919,1,49859,0.519856,2,3,8,45,38755,28.55575,0.00432,2.37135,0.01593,0,0,3,1.576736,1.287340,1.287340,-0.541243,-0.541040,14.419560,230,0.037521,0.004923,20794,8488,4595,2903,2031,1474,1139,912,7522,1,1,1,1
22.3500,2247,1,1,24843,1,47594,0.521989,1,20,26,732,402404,27.48512,0.00432,2.37724,0.01528,0,0,3,4.942203,4.157595,4.157595,-0.002423,-0.001712,14.958812,3709,0.000114,0.076486,19705,8197,4403,2701,1951,1426,1105,847,7258,1,1,1,1
