k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,2383,1,1,26353,1,50545,0.521387,1,2,10,30,497841,27.42497,0.00784,2.38436,0.01880,0,1,3,2.481123,1.778491,1.778491,-0.030604,-0.030223,14.930483,3931,0.002024,0.076583,21071,8544,4684,3090,2089,1474,1085,929,7578,1,1,1,1
22.4000,2383,1,1,26488,0,50445,0.525097,1,2,63,152,21952,27.45959,0.00784,2.38436,0.01880,1,1,3,1.254379,1.000000,1.005049,-0.047788,-0.047693,14.913019,3808,0.003198,0.074273,20976,8489,4765,2956,2105,1492,1123,953,7585,1,1,1,1
23.0000,2383,1,1,26601,1,50982,0.521783,8,36,99,99,93493,27.87554,0.00784,2.38436,0.01880,0,1,3,1.697617,1.222693,1.087862,-0.255770,-0.255548,14.705547,2378,0.017378,0.047036,21064,8756,4769,2975,1985,1488,1187,896,7861,1,1,1,1
23.9000,2383,1,1,27617,1,52771,0.523347,1,3,11,1347,294862,28.49916,0.00784,2.38436,0.01880,0,1,3,1.622636,1.489056,1.489056,-0.567653,-0.567450,14.393841,235,0.039423,0.004749,22082,9035,4847,3081,2107,1597,1192,948,7881,1,1,1,1
22.3500,2384,1,1,26276,0,50353,0.521846,9,5,22,81,49085,27.42683,0.00813,2.37664,0.01957,1,1,3,1.190738,1.000000,1.121958,-0.029334,-0.029261,14.931331,3935,0.001960,0.076624,20891,8555,4718,2899,2061,1450,1213,914,7651,1,1,1,1
22.4000,2384,1,1,26136,0,50132,0.521354,2,3,10,101,171680,27.46143,0.00813,2.37664,0.01957,1,0,3,1.307644,1.000000,1.311407,-0.046664,-0.046552,14.914614,3816,0.003121,0.074390,20693,8494,4784,2953,1983,1478,1124,929,7693,1,1,1,1
23.0000,2384,1,1,26807,1,51308,0.522482,67,5,67,67,61155,27.87749,0.00813,2.37664,0.01957,0,1,3,4.041990,2.871971,2.871971,-0.254862,-0.254276,14.706978,2387,0.017290,0.047190,21368,8691,4832,3031,1966,1570,1192,831,7826,1,1,1,1
23.9000,2384,1,1,27429,1,52974,0.517792,1,4,71,71,67680,28.50115,0.00813,2.37664,0.01957,0,0,3,1.653960,1.190938,1.190938,-0.566491,-0.566280,14.394652,238,0.039340,0.004807,22079,9159,4903,3133,2147,1516,1171,974,7891,1,1,1,1
22.3500,2385,1,1,26317,1,50539,0.520737,1,356,356,356,493178,27.41971,0.01374,2.38243,0.01596,0,1,3,3.529550,2.740249,2.572235,-0.030161,-0.029633,14.931545,3933,0.001985,0.076552,21182,8515,4541,2972,2101,1508,1164,903,7652,1,1,1,1
22.4000,2385,1,1,26318,0,50326,0.522961,3,18,18,221,23257,27.45458,0.01374,2.38243,0.01596,1,1,2,1.392818,1.000000,8.944521,-0.047860,-0.047721,14.913368,3812,0.003200,0.074287,20915,8553,4563,2994,2044,1514,1087,887,7768,1,1,1,1
23.0000,2385,1,1,26647,1,51321,0.519232,2,2,3,465,13909,27.87047,0.01374,2.38243,0.01596,0,0,3,1.442312,1.137586,1.137586,-0.255369,-0.255216,14.705520,2380,0.017355,0.047036,21242,8884,4825,2989,2050,1443,1112,895,7880,1,1,1,1
23.9000,2385,1,1,27131,1,52226,0.519502,1,87,87,178,236650,28.49416,0.01374,2.38243,0.01596,0,1,3,3.050612,2.976591,2.976591,-0.567417,-0.566950,14.394352,236,0.039387,0.004765,21549,8767,4880,3183,2138,1548,1199,966,7995,1,1,1,1
22.3500,2386,1,1,26270,0,50327,0.521997,2,17,17,20,319067,27.42104,0.00841,2.38096,0.01514,1,1,2,1.391656,1.000000,8.453411,-0.032599,-0.032461,14.928631,3932,0.002174,0.076515,20921,8548,4605,2987,2014,1462,1201,905,7683,1,1,1,1
22.4000,2386,1,1,26142,0,50153,0.521255,2,9,9,332,146829,27.45561,0.00841,2.38096,0.01514,1,1,2,1.262739,1.000000,2.901482,-0.049659,-0.049561,14.911166,3813,0.003324,0.074287,20744,8523,4754,2931,1966,1479,1169,876,7710,1,1,1,1
23.0000,2386,1,1,26547,1,51009,0.520448,1,4,304,304,703058,27.87161,0.00841,2.38096,0.01514,0,1,3,3.210343,2.544777,2.544777,-0.257634,-0.257145,14.704067,2381,0.017488,0.047041,21176,8661,4704,2963,2119,1534,1158,898,7795,1,1,1,1
23.9000,2386,1,1,27204,0,52402,0.519150,3,122,122,122,55559,28.49533,0.00841,2.38096,0.01514,1,1,2,1.241632,1.000000,33.296272,-0.570032,-0.569941,14.390750,234,0.039605,0.004724,21706,8842,4929,3154,2172,1545,1158,927,7968,1,1,1,1
22.3500,2387,1,1,26354,0,50527,0.521593,4,13,13,87,81718,27.41911,0.00935,2.37018,0.01903,1,1,2,1.389436,1.000000,6.599645,-0.032935,-0.032797,14.928136,3934,0.002197,0.076525,20942,8751,4679,2937,2011,1568,1145,876,7617,1,1,1,1
22.4000,2387,1,1,26290,0,50355,0.522104,1,2,131,131,169177,27.45367,0.00935,2.37018,0.01903,1,1,2,1.411388,1.000000,1.607956,-0.049909,-0.049765,14.911283,3815,0.003337,0.074294,20980,8396,4755,2908,2057,1520,1144,920,7674,1,1,1,1
23.0000,2387,1,1,26623,1,51026,0.521764,84,12,84,137,290603,27.86979,0.00935,2.37018,0.01903,0,1,3,5.475063,4.929793,4.929793,-0.258212,-0.257500,14.701199,2384,0.017516,0.047090,20883,8764,4780,2975,2135,1526,1154,976,7832,1,1,1,1
23.9000,2387,1,1,27498,0,52400,0.524781,1,2,23,56,129748,28.49354,0.00935,2.37018,0.01903,1,1,2,1.401977,1.000000,1.872537,-0.569877,-0.569736,14.391338,236,0.039589,0.004762,21815,8763,4851,3098,2165,1549,1213,920,8025,1,1,1,1
22.3500,2388,1,1,26174,0,50298,0.520389,21,14,21,868,1010500,27.43067,0.00840,2.38438,0.01935,1,0,2,1.079092,1.000000,1.175207,-0.027169,-0.027137,14.934142,3936,0.001817,0.076501,20705,8591,4668,3075,2120,1508,1067,918,7645,1,1,1,1
22.4000,2388,1,1,26452,0,50467,0.524155,6,14,14,16,27372,27.46550,0.00840,2.38438,0.01935,1,1,2,1.304127,1.000000,5.028351,-0.044889,-0.044778,14.916391,3821,0.003002,0.074354,21059,8469,4736,2913,2074,1530,1077,907,7701,1,1,1,1
23.0000,2388,1,1,26856,0,51468,0.521810,1,9,9,23,49160,27.88145,0.00840,2.38438,0.01935,1,1,2,1.283599,1.000000,3.182093,-0.252764,-0.252660,14.708521,2383,0.017178,0.047027,21426,8795,4815,2928,2093,1541,1170,912,7787,1,1,1,1
23.9000,2388,1,1,27250,0,52458,0.519473,1,2,4,34,867941,28.50522,0.00840,2.38438,0.01935,1,1,2,1.414209,1.000000,1.580933,-0.564505,-0.564359,14.396662,234,0.039201,0.004718,21819,8893,4791,3099,2171,1541,1217,894,8032,1,1,1,1
22.3500,2389,1,1,26281,1,50356,0.521914,1,2,9,94,125118,27.42228,0.01377,2.39287,0.01755,0,1,3,1.407455,1.246497,1.246497,-0.028869,-0.028726,14.932531,3933,0.001924,0.076419,20913,8564,4733,2884,1986,1526,1180,880,7689,1,1,1,1
