k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,1654,1,1,18074,0,34605,0.522310,1,22,38,172,345124,27.50618,0.00787,2.42571,0.01873,1,1,2,1.307266,1.000000,8.175724,0.009447,0.009609,14.970040,2734,-0.000642,0.076536,14206,5919,3193,1994,1370,1035,785,662,5440,1,1,1,1
22.4000,1654,1,1,18094,0,34772,0.520376,1,12,22,72,48901,27.54096,0.00787,2.42571,0.01873,1,1,2,1.249933,1.000000,3.717666,-0.007705,-0.007570,14.952728,2653,0.000506,0.074354,14379,5816,3163,2097,1395,1067,828,623,5403,1,1,1,1
23.0000,1654,1,1,18783,1,35671,0.526577,4,3,21,981,268170,27.95710,0.00787,2.42571,0.01873,0,1,3,1.581795,1.409293,1.409293,-0.215475,-0.215197,14.745954,1657,0.014594,0.047091,14772,6141,3383,2087,1447,1040,808,647,5345,1,1,1,1
23.9000,1654,1,1,18801,1,36263,0.518477,3,4,251,2866,67418,28.58068,0.00787,2.42571,0.01873,0,1,3,2.584909,2.056468,2.056468,-0.527387,-0.526813,14.432977,169,0.036501,0.004907,14891,6201,3445,2157,1482,1085,799,624,5578,1,1,1,1
22.3500,1655,1,1,18117,1,34640,0.523023,37,12,37,37,51050,27.50890,0.00844,2.43603,0.01956,0,0,3,1.210571,1.184311,1.184311,0.011407,0.011522,14.970386,2732,-0.000770,0.076432,14240,5885,3247,1942,1440,1089,800,627,5369,1,1,1,1
22.4000,1655,1,1,18124,0,34748,0.521599,1,10,11,59,69592,27.54366,0.00844,2.43603,0.01956,1,0,2,1.169819,1.000000,2.083900,-0.006139,-0.006044,14.955023,2649,0.000404,0.074186,14356,5757,3318,2039,1392,1030,764,696,5395,1,1,1,1
23.0000,1655,1,1,18828,0,36000,0.523015,1,15,20,224,232750,27.95955,0.00844,2.43603,0.01956,1,1,2,1.217861,1.000000,3.878839,-0.214277,-0.214158,14.746057,1659,0.014523,0.047119,15095,6083,3365,2056,1478,1080,809,661,5372,1,1,1,1
23.9000,1655,1,1,18756,0,35951,0.521725,7,8,71,146,116503,28.58317,0.00844,2.43603,0.01956,1,1,2,1.162849,1.000000,1.637697,-0.525822,-0.525731,14.434311,168,0.036422,0.004875,14851,5984,3316,2087,1426,1081,860,649,5696,1,1,1,1
22.3500,1656,1,1,18363,1,34997,0.524717,1,87,87,87,29205,27.51686,0.00544,2.42542,0.01829,0,1,3,4.777833,4.525318,4.525318,0.013630,0.014574,14.975713,2737,-0.000973,0.076498,14519,5991,3287,2035,1398,1090,797,599,5280,1,1,1,1
22.4000,1656,1,1,18347,1,35010,0.524065,2,37,37,37,19825,27.55160,0.00544,2.42542,0.01829,0,0,3,3.389894,2.939579,2.939579,-0.003610,-0.002872,14.957134,2653,0.000192,0.074243,14531,5968,3221,2085,1341,1085,776,665,5337,1,1,1,1
23.0000,1656,1,1,18579,1,35727,0.520041,1,8,8,93,1239273,27.96765,0.00544,2.42542,0.01829,0,1,3,1.550405,1.126674,1.126674,-0.211319,-0.211054,14.749829,1659,0.014309,0.047079,14718,6116,3308,2193,1429,1125,913,597,5327,1,1,1,1
23.9000,1656,1,1,19104,0,36241,0.527152,1,3,6,349,66549,28.59132,0.00544,2.42542,0.01829,1,1,2,1.412108,1.000000,1.909013,-0.523341,-0.523132,14.437654,170,0.036234,0.004929,14838,6093,3445,2168,1468,1199,841,643,5545,1,1,1,1
22.3500,1657,1,1,18389,1,35117,0.523664,1,22,571,571,33648,27.51194,0.00586,2.41243,0.02649,0,0,3,5.271591,4.721799,4.721799,0.011513,0.012517,14.972364,2734,-0.000836,0.076386,14644,5907,3222,2075,1437,1093,779,680,5279,1,1,1,1
22.4000,1657,1,1,18444,0,35268,0.522982,1,35,35,83,15453,27.54666,0.00586,2.41243,0.02649,1,1,2,1.300035,1.000000,12.366318,-0.006138,-0.005980,14.954990,2651,0.000400,0.074153,14766,5964,3238,2061,1440,1075,789,623,5311,1,1,1,1
23.0000,1657,1,1,18682,0,35912,0.520231,1,2,21,21,139295,27.96288,0.00586,2.41243,0.02649,1,1,2,1.404211,1.000000,1.732660,-0.213654,-0.213449,14.747228,1657,0.014474,0.047002,15010,6126,3341,2089,1401,1053,827,637,5427,1,1,1,1
23.9000,1657,1,1,18963,1,36509,0.519420,1,6,33,42,289356,28.58659,0.00586,2.41243,0.02649,0,1,3,2.274844,1.647944,1.623509,-0.525478,-0.524982,14.435620,165,0.036367,0.004781,15135,6154,3345,2151,1513,1113,874,694,5529,1,1,1,1
22.3500,1658,1,1,18270,0,34997,0.522060,1,2,108,109,107848,27.50612,0.00875,2.41371,0.02242,1,0,3,1.343724,1.000000,1.332537,0.010160,0.010338,14.971264,2735,-0.000691,0.076373,14475,6060,3251,2029,1385,969,775,669,5383,1,1,1,1
22.4000,1658,1,1,18202,0,35089,0.518753,1,35,88,88,15348,27.54082,0.00875,2.41371,0.02242,1,1,2,1.369809,1.000000,16.170569,-0.007943,-0.007753,14.952823,2652,0.000518,0.074147,14611,5957,3177,2099,1465,1058,754,577,5390,1,1,1,1
