k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.4000,2087,1,1,22915,1,43943,0.521483,2,25,25,209,387727,27.48753,0.00498,2.35753,0.02825,0,1,3,3.576916,3.289605,3.289605,-0.035463,-0.034853,14.926372,3341,0.002335,0.074340,18180,7344,4123,2607,1811,1327,1009,763,6778,1,1,1,1
23.0000,2087,1,1,23513,1,45026,0.522221,1,2,28,2618,60362,27.90369,0.00498,2.35753,0.02825,0,0,3,1.582577,1.154261,1.154261,-0.243289,-0.243069,14.717726,2088,0.016515,0.047119,18674,7790,4073,2678,1841,1301,1016,797,6855,1,1,1,1
23.9000,2087,1,1,23874,0,46015,0.518842,1,41,41,529,49656,28.52742,0.00498,2.35753,0.02825,1,1,2,1.108512,1.000000,4.856410,-0.555500,-0.555451,14.404731,212,0.038560,0.004888,18993,7858,4350,2737,1855,1352,1074,827,6968,1,1,1,1
22.3500,2088,1,1,22902,0,43988,0.520654,3,9,29,2204,22727,27.45376,0.00927,2.35201,0.02636,1,1,2,1.402666,1.000000,4.942884,-0.015641,-0.015479,14.945513,3453,0.001036,0.076697,18063,7644,4095,2553,1748,1333,1058,754,6739,1,1,1,1
22.4000,2088,1,1,23138,0,44330,0.521961,1,2,163,163,26043,27.48862,0.00927,2.35201,0.02636,1,1,2,1.370860,1.000000,1.498475,-0.032776,-0.032625,14.928170,3344,0.002185,0.074363,18359,7376,4221,2775,1791,1331,1007,844,6625,1,1,1,1
23.0000,2088,1,1,23493,1,45005,0.522020,1,23,42,42,165731,27.90458,0.00927,2.35201,0.02636,0,1,3,5.079271,4.682010,4.682010,-0.241034,-0.240255,14.720971,2091,0.016321,0.047153,18753,7506,4212,2684,1799,1338,1052,785,6875,1,1,1,1
23.9000,2088,1,1,24044,0,46040,0.522253,1,235,235,235,73757,28.52834,0.00927,2.35201,0.02636,1,1,2,1.067694,1.000000,16.494707,-0.553220,-0.553188,14.406775,213,0.038398,0.004908,19020,7799,4383,2666,1944,1401,1056,821,6949,1,1,1,1
22.3500,2089,1,1,23135,1,44313,0.522093,5,10,10,19,86994,27.44857,0.00844,2.36871,0.02686,0,0,3,1.242132,1.077557,1.077557,-0.018507,-0.018403,14.941938,3446,0.001232,0.076524,18393,7577,4155,2628,1786,1280,990,777,6726,1,1,1,1
22.4000,2089,1,1,22948,0,44162,0.519644,1,2,14,5172,79393,27.48307,0.00844,2.36871,0.02686,1,0,3,1.276713,1.000000,1.255832,-0.035783,-0.035666,14.925456,3342,0.002390,0.074296,18255,7625,4089,2637,1802,1307,971,784,6691,1,1,1,1
23.0000,2089,1,1,23596,0,45006,0.524297,1,3,21,204,48185,27.89916,0.00844,2.36871,0.02686,1,1,2,1.273573,1.000000,1.506603,-0.243878,-0.243762,14.716857,2088,0.016563,0.047076,18630,7694,4226,2662,1814,1365,1014,773,6827,1,1,1,1
23.9000,2089,1,1,24047,1,45950,0.523341,2,3,10,26,101213,28.52296,0.00844,2.36871,0.02686,0,0,3,1.764990,1.396186,1.396186,-0.555766,-0.555494,14.405108,211,0.038562,0.004860,19117,7848,4203,2638,1817,1361,1079,801,7085,1,1,1,1
22.3500,2090,1,1,23180,0,44323,0.522991,6,7,19,56,49327,27.45289,0.00788,2.36582,0.02627,1,1,2,1.365864,1.000000,3.132227,-0.016762,-0.016613,14.944173,3448,0.001112,0.076520,18515,7559,4049,2597,1773,1265,1068,741,6755,1,1,1,1
