k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,5350,1,1,58764,0,113108,0.519543,2,2,25,671,254666,27.45491,0.00207,2.33322,0.01053,1,0,2,1.361954,1.000000,1.472840,-0.017672,-0.017615,14.943789,8826,0.001179,0.076520,47043,19035,10445,6665,4703,3407,2526,1966,17317,1,1,1,1
22.4000,5350,1,1,58973,1,113438,0.519874,1,58,58,389,242918,27.48964,0.00207,2.33322,0.01053,0,1,3,11.000472,10.290827,10.290827,-0.035218,-0.034770,14.926194,8558,0.002329,0.074284,47086,19206,10486,6786,4687,3292,2604,2075,17215,1,1,1,1
23.0000,5350,1,1,60191,1,115223,0.522392,2,9,99,99,231656,27.90552,0.00207,2.33322,0.01053,0,1,3,5.692361,4.619451,4.619451,-0.243087,-0.242762,14.718192,5348,0.016494,0.047077,47618,19558,10900,6779,4741,3509,2559,2017,17541,1,1,1,1
23.9000,5350,1,1,61154,0,118208,0.517347,1,2,7,86,661972,28.52936,0.00207,2.33322,0.01053,1,1,3,1.328564,1.000000,1.246736,-0.554881,-0.554828,14.406446,533,0.038512,0.004793,49061,20055,11118,6816,4744,3612,2678,2108,18015,1,1,1,1
22.3500,5351,1,1,59083,1,113469,0.520702,1,3,41,42,73797,27.45443,0.00207,2.33471,0.00873,0,1,3,1.467318,1.048212,1.048212,-0.017830,-0.017758,14.943625,8826,0.001188,0.076507,46964,19469,10656,6631,4656,3400,2550,2033,17109,1,1,1,1
22.4000,5351,1,1,59156,0,113663,0.520455,3,3,212,212,529483,27.48915,0.00207,2.33471,0.00873,1,1,2,1.411842,1.000000,1.761157,-0.035243,-0.035179,14.926190,8558,0.002357,0.074270,47197,19593,10399,6734,4652,3291,2557,1963,17276,1,1,1,1
23.0000,5351,1,1,60181,1,115374,0.521621,21,5,21,157,210201,27.90509,0.00207,2.33471,0.00873,0,1,3,1.326487,1.011434,1.011434,-0.243160,-0.243108,14.718314,5348,0.016517,0.047068,47772,19697,10651,6891,4692,3527,2595,2005,17543,1,1,1,1
23.9000,5351,1,1,61729,1,118780,0.519696,2,27,27,27,328652,28.52881,0.00207,2.33471,0.00873,0,1,3,12.208298,10.858406,10.858406,-0.555242,-0.554775,14.406094,534,0.038510,0.004802,49187,20459,11069,6994,4851,3618,2797,2104,17700,1,1,1,1
22.3500,5352,1,1,59088,0,113795,0.519254,1,2,37,99,58118,27.45290,0.00220,2.33507,0.00798,1,0,2,1.406496,1.000000,1.476479,-0.018654,-0.018591,14.942786,8830,0.001244,0.076531,47337,19472,10558,6607,4618,3371,2719,2025,17087,1,1,1,1
22.4000,5352,1,1,58684,0,113211,0.518364,2,9,24,46,203829,27.48748,0.00220,2.33507,0.00798,1,1,2,1.321448,1.000000,3.596796,-0.036028,-0.035976,14.925442,8562,0.002410,0.074295,46997,19255,10497,6575,4518,3510,2476,2009,17373,1,1,1,1
23.0000,5352,1,1,60177,1,115614,0.520504,3,4,17,46,321421,27.90347,0.00220,2.33507,0.00798,0,1,3,1.684370,1.590767,1.590767,-0.243945,-0.243847,14.717634,5353,0.016568,0.047105,48001,19732,10798,6807,4716,3408,2662,2026,17463,1,1,1,1
23.9000,5352,1,1,61359,1,118023,0.519895,1,7,7,14,11451335,28.52720,0.00220,2.33507,0.00798,0,0,3,2.660110,2.071588,2.071588,-0.555837,-0.555654,14.405588,534,0.038572,0.004801,48815,20124,11042,6971,4722,3575,2723,2166,17884,1,1,1,1
22.3500,5353,1,1,58706,0,113201,0.518604,16,3,28,28,502195,27.44877,0.00403,2.32642,0.01188,1,1,3,1.371408,1.000000,1.386137,-0.019753,-0.019694,14.941706,8827,0.001318,0.076496,46915,19299,10626,6633,4590,3350,2588,2004,17195,1,1,1,1
22.4000,5353,1,1,58860,0,112983,0.520968,1,10,10,1428,224093,27.48348,0.00403,2.32642,0.01188,1,0,2,1.258742,1.000000,3.430223,-0.037191,-0.037148,14.924288,8559,0.002489,0.074260,46727,19484,10266,6573,4595,3394,2665,1993,17285,1,1,1,1
23.0000,5353,1,1,59856,0,115467,0.518386,2,193,193,193,126474,27.89939,0.00403,2.32642,0.01188,1,0,2,1.013519,1.000000,2.673836,-0.245124,-0.245121,14.716364,5347,0.016656,0.047048,48022,19588,10890,6854,4652,3418,2560,2033,17449,1,1,1,1
23.9000,5353,1,1,61331,1,117894,0.520226,1,99,394,394,327025,28.52313,0.00403,2.32642,0.01188,0,0,3,5.939957,5.275066,5.275066,-0.557059,-0.556726,14.404366,530,0.038650,0.004764,48644,20177,11099,6889,4820,3534,2649,2083,17998,1,1,1,1
22.3500,5354,1,1,59028,0,113492,0.520112,1,1,6,699,163626,27.45461,0.00233,2.32906,0.00933,1,1,3,1.367825,1.000000,1.077689,-0.017613,-0.017555,14.943746,8832,0.001175,0.076515,47167,19296,10525,6678,4610,3347,2593,2072,17203,1,1,1,1
22.4000,5354,1,1,58985,1,113359,0.520343,1,4,66,66,698104,27.48931,0.00233,2.32906,0.00933,0,1,3,1.833947,1.298250,1.079954,-0.034961,-0.034848,14.926519,8561,0.002335,0.074253,46873,19189,10687,6723,4547,3433,2619,1988,17299,1,1,1,1
23.0000,5354,1,1,59922,0,115394,0.519286,1,5,27,32,218905,27.90528,0.00233,2.32906,0.00933,1,1,2,1.381269,1.000000,2.691738,-0.243032,-0.242971,14.718424,5349,0.016508,0.047050,47696,19582,10919,6911,4717,3424,2625,2051,17468,1,1,1,1
23.9000,5354,1,1,61393,1,118329,0.518837,37,10,37,165,15967936,28.52903,0.00233,2.32906,0.00933,0,0,3,1.330045,1.303973,1.303973,-0.554841,-0.554788,14.405967,530,0.038511,0.004763,48956,20352,10973,7001,4915,3470,2624,2088,17949,1,1,1,1
22.3500,5355,1,1,59086,0,113365,0.521206,1,2,9,101,781234,27.45492,0.00181,2.32760,0.00739,1,0,3,1.342496,1.000000,1.124603,-0.017807,-0.017752,14.943660,8837,0.001188,0.076544,47054,19345,10574,6576,4519,3374,2621,2001,17300,1,1,1,1
22.4000,5355,1,1,59292,0,113620,0.521849,10,33,33,404,1019044,27.48961,0.00181,2.32760,0.00739,1,0,2,1.052289,1.000000,1.789853,-0.035195,-0.035186,14.926292,8568,0.002357,0.074301,46861,19633,10757,6669,4532,3346,2554,2078,17189,1,1,1,1
23.0000,5355,1,1,59935,1,115295,0.519845,17,44,96,96,1765025,27.90550,0.00181,2.32760,0.00739,0,1,3,15.436366,14.241555,14.241555,-0.243333,-0.242822,14.718660,5356,0.016498,0.047102,47514,19891,10828,6887,4647,3427,2576,2105,17419,1,1,1,1
23.9000,5355,1,1,61572,0,118499,0.519604,2,116,116,1281,1357502,28.52927,0.00181,2.32760,0.00739,1,1,2,1.115714,1.000000,14.353071,-0.555218,-0.555197,14.406268,538,0.038539,0.004834,49343,19940,11141,7117,4774,3466,2752,2049,17916,1,1,1,1
22.3500,5356,1,1,58846,0,113227,0.519722,1,24,154,523,374692,27.45144,0.00194,2.32084,0.00847,1,1,2,1.266254,1.000000,7.804574,-0.019622,-0.019578,14.941652,8838,0.001310,0.076549,46962,19226,10604,6711,4537,3203,2528,2058,17397,1,1,1,1
22.4000,5356,1,1,58756,0,113077,0.519615,1,10,10,27,1294926,27.48612,0.00194,2.32084,0.00847,1,0,2,1.110276,1.000000,1.392667,-0.036797,-0.036777,14.924689,8570,0.002464,0.074312,46884,19164,10504,6572,4553,3347,2564,2060,17428,1,1,1,1
