k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,6002,1,1,66143,1,127177,0.520090,5,28,782,782,1333874,27.48316,0.00162,2.38144,0.00843,0,1,3,2.899986,2.837715,2.837715,-0.003698,-0.003521,14.957978,9909,0.000235,0.076504,52637,21769,11950,7445,5176,3783,2928,2269,19219,1,1,1,1
22.4000,6002,1,1,66167,1,126717,0.522168,2,36,1302,1302,9838777,27.51780,0.00162,2.38144,0.00843,0,1,3,7.587593,7.158084,7.158084,-0.021099,-0.020761,14.940234,9610,0.001390,0.074284,52758,21398,11763,7374,5172,3797,2743,2287,19424,1,1,1,1
23.0000,6002,1,1,67387,1,129335,0.521031,9,2,96,96,41213,27.93378,0.00162,2.38144,0.00843,0,1,3,1.670995,1.408589,1.408589,-0.228952,-0.228867,14.732140,6005,0.015535,0.047074,53603,21970,12132,7626,5367,3958,2963,2255,19460,1,1,1,1
23.9000,6002,1,1,69020,0,132123,0.522396,1,1,6,116,511951,28.55752,0.00162,2.38144,0.00843,1,0,3,1.354135,1.000000,1.150909,-0.540805,-0.540754,14.420677,606,0.037499,0.004853,55003,22094,12149,7926,5406,4015,2993,2407,20129,1,1,1,1
22.3500,6014,1,1,66545,1,127854,0.520481,3,9,42,76,283888,27.47975,0.00465,2.38476,0.00927,0,1,3,2.150571,1.528069,1.308489,-0.003800,-0.003673,14.957731,9927,0.000246,0.076492,53147,21644,12038,7622,5159,3845,2855,2363,19180,1,1,1,1
22.4000,6014,1,1,66444,0,127354,0.521731,1,3,69,229,320224,27.51444,0.00465,2.38476,0.00927,1,0,3,1.226734,1.000000,1.004939,-0.021122,-0.021088,14.940375,9624,0.001411,0.074243,52962,21490,12066,7385,5151,3803,2885,2296,19315,1,1,1,1
23.0000,6014,1,1,67464,0,129176,0.522268,3,2,86,230,999731,27.93040,0.00465,2.38476,0.00927,1,1,2,1.414189,1.000000,1.529854,-0.229138,-0.229080,14.732309,6015,0.015550,0.047057,53528,21896,12011,7638,5115,3825,2991,2258,19913,1,1,1,1
23.9000,6014,1,1,69117,1,132761,0.520616,8,15,21,27,242664,28.55416,0.00465,2.38476,0.00927,0,0,3,2.257553,2.148125,2.148125,-0.541048,-0.540913,14.420091,603,0.037511,0.004820,55054,22650,12243,7942,5385,3924,3008,2415,20139,1,1,1,1
22.3500,6026,1,1,66813,1,127683,0.523277,1,12,15,1123,270884,27.47833,0.00489,2.38276,0.00753,0,0,3,4.135250,3.604369,3.604369,-0.004561,-0.004325,14.956851,9944,0.000289,0.076475,53143,21682,11828,7526,5212,3715,2907,2321,19348,1,1,1,1
22.4000,6026,1,1,66325,1,127619,0.519715,1,4,387,606,8431761,27.51295,0.00489,2.38276,0.00753,0,1,3,3.201214,2.444213,2.444213,-0.021841,-0.021648,14.939854,9643,0.001449,0.074244,52867,21804,11736,7545,5230,3833,2813,2339,19451,1,1,1,1
23.0000,6026,1,1,67237,1,129378,0.519698,1,7,15,78,1857892,27.92889,0.00489,2.38276,0.00753,0,0,3,2.207290,1.633332,1.633332,-0.229771,-0.229640,14.731687,6027,0.015588,0.047059,53455,22005,12264,7621,5142,3893,2900,2408,19689,1,1,1,1
23.9000,6026,1,1,69137,1,132978,0.519917,1,18,18,338,348669,28.55267,0.00489,2.38276,0.00753,0,1,3,3.266442,2.837495,2.837495,-0.541713,-0.541517,14.419961,605,0.037553,0.004826,55189,22615,12582,7746,5359,3903,2962,2349,20272,1,1,1,1
22.3500,6038,1,1,66280,0,127936,0.518076,1,5,5,105,55339,27.47354,0.00228,2.37735,0.00844,1,1,3,1.152842,1.000000,1.080348,-0.008129,-0.008106,14.953078,9968,0.000542,0.076526,53080,21737,11933,7600,5274,3781,2969,2324,19237,1,1,1,1
22.4000,6038,1,1,66844,0,127934,0.522492,334,6,337,337,825391,27.50821,0.00228,2.37735,0.00844,1,1,2,1.377827,1.000000,2.914739,-0.025552,-0.025498,14.935925,9666,0.001707,0.074293,53009,21760,11889,7615,5070,3869,2936,2381,19404,1,1,1,1
23.0000,6038,1,1,67556,0,129799,0.520470,1,47,68,551,1047734,27.92412,0.00228,2.37735,0.00844,1,1,2,1.054897,1.000000,2.747210,-0.233502,-0.233493,14.728001,6044,0.015854,0.047110,54146,22016,11833,7693,5211,3739,2831,2308,20021,1,1,1,1
23.9000,6038,1,1,69167,1,133104,0.519650,1,2,8,39,1816577,28.54793,0.00228,2.37735,0.00844,0,0,3,2.161030,1.633259,1.633259,-0.545361,-0.545234,14.416077,609,0.037821,0.004850,55073,22794,12376,7872,5432,3900,3074,2410,20172,1,1,1,1
22.3500,6050,1,1,66580,0,127842,0.520803,1,36,67,67,1241826,27.48054,0.00183,2.38050,0.00585,1,1,2,1.049115,1.000000,1.940622,-0.004887,-0.004879,14.956123,9985,0.000326,0.076489,53031,21806,11790,7551,5239,3852,2845,2270,19457,1,1,1,1
