k,n,ok,brk,idx,parity,len,irat,pqat,pqnext,pqw5,pqw20,pqmax,logh11,logh22,logmz,logg0,incone,redst,jhi,rho,rho2,skew,loglam1,logcone,logq,v2qp,dinf,d2,q1,q2,q3,q4,q5,q6,q7,q8,q9,cY,cX,cIdx,intq
22.3500,2915,1,1,32049,1,61690,0.519525,3,48,86,86,77823,27.48711,0.00480,2.36647,0.01087,0,1,3,28.128698,22.877897,22.877897,-0.001116,0.000029,14.959785,4816,-0.000002,0.076550,25562,10374,5754,3690,2600,1833,1448,1122,9306,1,1,1,1
22.4000,2915,1,1,32311,1,61637,0.524223,2,60,60,156,240056,27.52183,0.00480,2.36647,0.01087,0,1,3,22.544842,20.784500,20.784500,-0.018458,-0.017389,14.942586,4670,0.001164,0.074315,25474,10600,5701,3608,2530,1796,1438,1080,9409,1,1,1,1
23.0000,2915,1,1,32871,1,63047,0.521381,1,1,16,32,28214,27.93771,0.00480,2.36647,0.01087,0,0,3,1.576065,1.137583,1.137583,-0.225904,-0.225748,14.735305,2921,0.015320,0.047137,26239,10864,5764,3704,2557,1876,1429,1114,9499,1,1,1,1
23.9000,2915,1,1,33419,1,64419,0.518784,2,3,42,92,396581,28.56143,0.00480,2.36647,0.01087,0,1,3,1.735496,1.491862,1.491862,-0.537801,-0.537612,14.423700,298,0.037273,0.004913,26935,10884,5968,3778,2542,1856,1445,1135,9875,1,1,1,1
22.3500,2916,1,1,32487,1,61949,0.524424,2,29,29,89,49190,27.48781,0.00684,2.36756,0.01063,0,1,3,1.873050,1.401686,1.360033,0.000831,0.001046,14.962280,4818,-0.000070,0.076543,25850,10498,5698,3598,2522,1824,1460,1148,9350,1,1,1,1
22.4000,2916,1,1,32411,1,62210,0.521002,5,14,68,68,59581,27.52251,0.00684,2.36756,0.01063,0,1,3,4.786882,4.442118,4.442118,-0.016734,-0.016197,14.944054,4674,0.001084,0.074346,25918,10599,5844,3655,2479,1917,1380,1100,9317,1,1,1,1
23.0000,2916,1,1,32504,0,62474,0.520289,3,3,4,49,111684,27.93850,0.00684,2.36756,0.01063,1,0,2,1.342201,1.000000,1.550412,-0.224538,-0.224437,14.736793,2922,0.015230,0.047132,25827,10597,5901,3667,2546,1806,1390,1106,9633,1,1,1,1
23.9000,2916,1,1,33353,1,64238,0.519218,1,1,18,30,415752,28.56223,0.00684,2.36756,0.01063,0,0,3,1.471414,1.054029,1.054029,-0.536346,-0.536214,14.424857,298,0.037173,0.004911,26643,10881,5979,3803,2571,1910,1451,1187,9812,1,1,1,1
22.3500,2917,1,1,32084,0,61878,0.518513,1,4,13,37,217427,27.48497,0.00763,2.36681,0.01517,1,1,3,1.168668,1.000000,1.088169,-0.000073,-0.000020,14.960720,4816,0.000001,0.076493,25681,10640,5652,3659,2526,1879,1442,1092,9306,1,1,1,1
22.4000,2917,1,1,32154,0,61974,0.518839,39,6,192,192,379739,27.51966,0.00763,2.36681,0.01517,1,0,2,1.222396,1.000000,1.673291,-0.017496,-0.017427,14.943862,4670,0.001166,0.074258,25851,10574,5733,3595,2534,1780,1398,1103,9405,1,1,1,1
