# NN=2000 MM=6150
# eta_N mod 5^6149 = 70672120525562630129946356094253550558993908192765501001298526013139594801724471328908632216057699189189180950842304109090874909017353338934940441437550954123415226568718823337444775159360277220080841225585688668371271161856647174072076143425753271247157021936066908815064977069977917961950152344803617046661603532259441736841998782805173702912688814160277904211689386926708652951426452952428153639430963099276702993865946151474101184616761031106555583109809023439897226167390379080483580883598148827235119679751042682484323386434331322308364736440911730552848847878011906053434917127497136151201183467157664976970797939199741136372040664909109657766614719362008031964074240425628916908752617813629739762096972023300146047171050353215966166754189761165935852496367897795161394022800893697805833309187024239356260389506329738215865002369448265280098291971495701427025140199886661113130853378939998960367175958634457746484409737146230355916630402291955003602363233732670680009465972598297405118553556839232926740174755009704951643022294824649190553895289237477191219019144631137389309538700495610968232080980011106160924969297985273644948912931197828232181986697698106480450954897311173026752586608736201971694825145921067828891697437866308585165132527993684729864836225240607010250139360585762124884974724842570357286390432537539149579557705646069123153918718274062016278858653087743092684298650429492681237266043734930177671403415159181674439484372002396940374510601703426585903752208560885138536348150087890883206882298534095664715960830189996681210085066186435427259476725186528348207988475464946063935611105278346737576513055578992864182112003300110020325859430642295060904503021503628428698637370769303727716939734623829289773316112923473085292458500948976542306621028705935294591305812609423003381719803337748108181344086794300909327780592541002164710279975856498733948803057043716080199462591601324228584717615489471572640472235063634737294876032682547184157698256587798795321659738978839267593173073688151714990345370517213587422494304595495746389494290366778556060509511045518088913464194960855656210612084314155038631099295151976551853717357301139755029198878864347206999884602961576259899895849401827228345375534125866818444848809478459798654109339273901151204661451891027929562128950883864355761711819298337976840590724897057690053003160901987424419197550042882797598424747101713420300494056012435400954010738699250768509945827303610237861889633924961655151050928311640478355887285768131155404238433762177732201631451747357226775220931777829267691708488419150357538658193107237696952814919898718698510224645549911135322909120207323207272945457184678597925474117566827904058018188924983148731951592288443671589204509757377166280327888397175878403986998707838472221215648727888105960353123140985955573105548060808159187286559489302749835304226147926217486006683487552104767823767958431748196208326283651828062438477202049811818021503171753756046439814725229175881339046143106365226064465716457151863653756229068299631510576907678598602290647400908758878232365152443565694335942504100397295122135711323434157042565843033509661236472558009673253831592052960166200947307124876773589672018113884429495473692675073940111419350967679616757693657756347815079701426408303270004554660003481523004470279394600227621535761426984051297204011144584406875214656454379477417637146958643521989793976129717120243733897571708943635016950918421872554956390557126912398287606614750915335210580335197398032457558534411291890912837261010543705869747118533120341603837449894310640706128783331691076270633298785694478777777786844500739107669559772812040034887583526080808684366250575472384725378158747341508742646181895024638905124910036692180348075978435013488731575109426255785380529851331731498160862726165400872581962742752594135358510784386496690223605650393015222299385695333684065640551918501889755170205878449110776366866930235455943437539678684412255696137112208422791965633594601958302436257094137041220325349430736892043454942868484303391330225408059523205745030202204100756899508831838830930791299816878787664646529701069035891667033911755436703884708733472111842967117369985714304950474260194747523299509904044011322807924030115575998185987659814906948793821274883761962474008807009225173579958119836
# n  v5(a_n)  v5(b_n)  v5(e_n)  v5(h_n)
592 3 3 4 1765
593 3 3 4 1768
594 4 4 5 1771
595 3 3 4 1774
596 3 3 4 1778
597 3 3 4 1780
598 3 3 4 1783
599 4 4 5 1786
600 2 2 2 1789
601 2 2 2 1794
602 2 2 2 1796
603 2 2 2 1799
604 3 3 3 1802
605 2 2 2 1805
606 2 2 2 1809
607 2 2 2 1811
608 2 2 2 1814
609 4 4 3 1817
610 2 2 2 1822
611 2 2 2 1823
612 2 2 2 1825
613 2 2 2 1828
614 3 3 3 1831
615 3 3 5 1834
616 3 3 3 1839
617 3 3 3 1840
618 3 3 3 1843
619 4 4 5 1846
620 3 3 3 1849
621 3 3 3 1853
622 3 3 3 1855
623 3 3 3 1858
624 4 4 4 1861
625 0 0 0 1864
626 0 0 0 1867
627 0 0 0 1869
628 0 0 0 1872
629 1 1 1 1875
630 0 0 0 1878
631 0 0 0 1882
632 0 0 0 1884
633 0 0 0 1887
634 2 2 1 1890
635 0 0 0 1893
636 0 0 0 1896
637 0 0 0 1898
638 0 0 0 1901
639 1 1 1 1904
640 3 3 1 1907
641 1 1 1 1912
642 1 1 1 1913
643 1 1 1 1916
644 2 2 3 1919
645 1 1 1 1922
646 1 1 1 1926
647 1 1 1 1928
648 1 1 1 1931
649 2 2 2 1934
650 0 0 0 1937
651 0 0 0 1942
652 0 0 0 1944
653 0 0 0 1947
654 1 1 1 1950
655 0 0 0 1953
656 0 0 0 1957
657 0 0 0 1959
658 0 0 0 1962
659 2 2 1 1965
660 0 0 0 1968
661 0 0 0 1971
662 0 0 0 1973
663 0 0 0 1976
664 1 1 1 1979
665 1 1 1 1982
666 2 2 1 1988
667 2 2 1 1988
668 2 2 1 1991
669 3 3 3 1994
670 2 2 1 1997
671 2 2 1 2001
672 2 2 1 2003
673 2 2 1 2006
674 3 3 2 2009
675 0 0 0 2012
676 0 0 0 2016
677 0 0 0 2018
678 0 0 0 2021
679 1 1 1 2024
680 0 0 0 2027
681 0 0 0 2031
682 0 0 0 2033
683 0 0 0 2036
684 2 2 1 2039
685 0 0 0 2042
686 0 0 0 2045
687 0 0 0 2047
688 0 0 0 2050
689 1 1 1 2053
690 1 1 1 2056
691 1 1 1 2061
692 1 1 1 2062
693 1 1 1 2065
694 2 2 3 2068
695 1 1 1 2071
696 1 1 1 2075
697 1 1 1 2077
698 1 1 1 2080
699 2 2 2 2083
700 1 1 1 2086
701 1 1 1 2092
702 1 1 1 2094
703 1 1 1 2097
704 2 2 2 2100
705 1 1 1 2103
706 1 1 1 2107
707 1 1 1 2109
708 1 1 1 2113
709 5 5 2 2118
710 1 1 1 2117
711 1 1 1 2120
712 1 1 1 2122
713 1 1 1 2125
714 2 2 2 2128
715 2 2 2 2131
716 2 2 3 2136
717 2 2 3 2137
718 2 2 3 2140
719 3 3 4 2143
720 2 2 3 2146
721 2 2 3 2150
722 2 2 3 2152
723 2 2 3 2155
724 3 3 4 2158
725 1 1 1 2161
726 1 1 1 2166
727 1 1 1 2168
728 1 1 1 2171
729 2 2 2 2174
730 1 1 1 2177
731 1 1 1 2181
732 1 1 1 2183
733 1 1 1 2186
734 3 3 2 2189
735 1 1 1 2193
736 1 1 1 2195
737 1 1 1 2197
738 1 1 1 2200
739 2 2 2 2203
740 2 2 3 2206
741 2 2 2 2211
742 2 2 2 2212
743 2 2 2 2215
744 3 3 4 2218
745 2 2 2 2221
746 2 2 2 2225
747 2 2 2 2227
748 2 2 2 2230
749 3 3 3 2233
750 0 0 0 2236
751 0 0 0 2242
752 0 0 0 2244
753 0 0 0 2247
754 1 1 1 2250
755 0 0 0 2253
756 0 0 0 2257
757 0 0 0 2259
758 0 0 0 2262
759 2 2 1 2265
760 0 0 0 2268
761 0 0 0 2271
762 0 0 0 2273
763 0 0 0 2276
764 1 1 1 2279
765 2 2 1 2282
766 1 1 1 2287
767 1 1 1 2288
768 1 1 1 2291
769 2 2 3 2294
770 1 1 1 2297
771 1 1 1 2301
772 1 1 1 2303
773 1 1 1 2306
774 2 2 2 2309
775 0 0 0 2312
776 0 0 0 2317
777 0 0 0 2319
778 0 0 0 2322
779 1 1 1 2325
780 0 0 0 2328
781 0 0 0 2332
782 0 0 0 2334
783 0 0 0 2337
784 2 2 1 2340
785 0 0 0 2343
786 0 0 0 2346
787 0 0 0 2348
788 0 0 0 2351
789 1 1 1 2354
790 1 1 1 2357
791 2 2 1 2363
792 2 2 1 2363
793 2 2 1 2366
794 3 3 3 2369
795 2 2 1 2372
796 2 2 1 2376
797 2 2 1 2378
798 2 2 1 2381
799 3 3 2 2384
800 0 0 0 2387
801 0 0 0 2391
802 0 0 0 2393
803 0 0 0 2396
804 1 1 1 2399
805 0 0 0 2402
806 0 0 0 2406
807 0 0 0 2408
808 0 0 0 2411
809 2 2 1 2414
810 0 0 0 2417
811 0 0 0 2420
812 0 0 0 2422
813 0 0 0 2425
814 1 1 1 2428
815 1 1 1 2431
816 1 1 1 2436
817 1 1 1 2437
818 1 1 1 2440
819 2 2 3 2443
820 1 1 1 2446
821 1 1 1 2450
822 1 1 1 2452
823 1 1 1 2455
824 2 2 2 2458
825 2 2 1 2461
826 2 2 1 2468
827 2 2 1 2470
828 2 2 1 2473
829 3 3 2 2476
830 2 2 1 2479
831 2 2 1 2483
832 2 2 1 2485
833 2 2 1 2487
834 5 5 2 2490
835 2 2 1 2492
836 2 2 1 2495
837 2 2 1 2497
838 2 2 1 2500
839 3 3 2 2503
840 3 3 2 2506
841 3 3 3 2511
842 3 3 3 2512
843 3 3 3 2515
844 4 4 4 2518
845 3 3 4 2521
846 3 3 4 2525
847 3 3 4 2527
848 3 3 4 2530
849 4 4 5 2533
850 2 2 1 2536
851 2 2 1 2541
852 2 2 1 2543
853 2 2 1 2546
854 3 3 2 2549
855 2 2 1 2552
856 2 2 1 2556
857 2 2 1 2558
858 2 2 1 2561
859 4 4 2 2564
860 2 2 1 2568
861 2 2 1 2570
862 2 2 1 2572
863 2 2 1 2575
864 3 3 2 2578
865 3 3 3 2581
866 3 3 2 2586
867 3 3 2 2587
868 3 3 2 2590
869 4 4 4 2593
870 3 3 2 2596
871 3 3 2 2600
872 3 3 2 2602
873 3 3 2 2605
874 4 4 3 2608
875 0 0 0 2611
876 0 0 0 2616
877 0 0 0 2618
878 0 0 0 2621
879 1 1 1 2624
880 0 0 0 2627
881 0 0 0 2631
882 0 0 0 2633
883 0 0 0 2636
884 2 2 1 2639
885 0 0 0 2642
886 0 0 0 2645
887 0 0 0 2647
888 0 0 0 2650
889 1 1 1 2653
890 2 2 1 2656
891 1 1 1 2661
892 1 1 1 2662
893 1 1 1 2665
894 2 2 3 2668
895 1 1 1 2671
896 1 1 1 2675
897 1 1 1 2677
898 1 1 1 2680
899 2 2 2 2683
900 0 0 0 2686
901 0 0 0 2691
902 0 0 0 2693
903 0 0 0 2696
904 1 1 1 2699
905 0 0 0 2702
906 0 0 0 2706
907 0 0 0 2708
908 0 0 0 2711
909 2 2 1 2714
910 0 0 0 2717
911 0 0 0 2720
912 0 0 0 2722
913 0 0 0 2725
914 1 1 1 2728
915 1 1 1 2731
916 2 2 1 2737
917 2 2 1 2737
918 2 2 1 2740
919 3 3 3 2743
920 2 2 1 2746
921 2 2 1 2750
922 2 2 1 2752
923 2 2 1 2755
924 3 3 2 2758
925 0 0 0 2761
926 0 0 0 2765
927 0 0 0 2767
928 0 0 0 2770
929 1 1 1 2773
930 0 0 0 2776
931 0 0 0 2780
932 0 0 0 2782
933 0 0 0 2785
934 2 2 1 2788
935 0 0 0 2791
936 0 0 0 2794
937 0 0 0 2796
938 0 0 0 2799
939 1 1 1 2802
940 1 1 1 2805
941 1 1 1 2810
942 1 1 1 2811
943 1 1 1 2814
944 2 2 3 2817
945 1 1 1 2820
946 1 1 1 2824
947 1 1 1 2826
948 1 1 1 2829
949 2 2 2 2832
950 1 1 1 2835
951 1 1 1 2841
952 1 1 1 2843
953 1 1 1 2846
954 2 2 2 2849
955 1 1 1 2852
956 1 1 1 2856
957 1 1 1 2858
958 1 1 1 2861
959 4 4 2 2864
960 1 1 1 2866
961 1 1 1 2869
962 1 1 1 2871
963 1 1 1 2874
964 2 2 2 2877
965 2 2 2 2880
966 2 2 3 2885
967 2 2 3 2886
968 2 2 4 2889
969 3 3 4 2892
970 2 2 3 2895
971 2 2 3 2899
972 2 2 3 2901
973 2 2 3 2904
974 3 3 4 2907
975 1 1 1 2910
976 1 1 1 2915
977 1 1 1 2917
978 1 1 1 2920
979 2 2 2 2923
980 1 1 1 2926
981 1 1 1 2930
982 1 1 1 2932
983 1 1 1 2935
984 3 3 2 2938
985 1 1 1 2942
986 1 1 1 2944
987 1 1 1 2946
988 1 1 1 2949
989 2 2 2 2952
990 2 2 3 2955
991 2 2 2 2960
992 2 2 2 2961
993 2 2 2 2964
994 3 3 4 2967
995 2 2 2 2970
996 2 2 2 2974
997 2 2 2 2976
998 2 2 2 2979
999 3 3 3 2982
1000 2 2 1 2985
1001 2 2 1 2993
1002 2 2 1 2995
1003 2 2 1 2998
1004 3 3 2 3001
1005 2 2 1 3004
1006 2 2 1 3008
1007 2 2 1 3010
1008 2 2 1 3013
1009 4 4 2 3016
1010 2 2 1 3019
1011 2 2 1 3022
1012 2 2 1 3024
1013 2 2 1 3027
1014 3 3 2 3030
1015 4 4 2 3033
1016 3 3 2 3038
1017 3 3 2 3039
1018 3 3 2 3042
1019 4 4 4 3045
1020 3 3 2 3048
1021 3 3 2 3052
1022 3 3 2 3054
1023 3 3 2 3057
1024 4 4 3 3060
1025 2 2 1 3063
1026 2 2 1 3068
1027 2 2 1 3070
1028 2 2 1 3073
1029 3 3 2 3076
1030 2 2 1 3079
1031 2 2 1 3083
1032 2 2 1 3085
1033 2 2 1 3088
1034 4 4 2 3091
1035 2 2 1 3094
1036 2 2 1 3097
1037 2 2 1 3099
1038 2 2 1 3102
1039 3 3 2 3105
1040 3 3 2 3108
1041 4 4 2 3113
1042 4 4 2 3113
1043 5 5 2 3116
1044 6 6 4 3119
1045 6 6 2 3122
1046 6 6 2 3127
1047 6 6 2 3129
1048 6 6 2 3132
1049 7 7 3 3135
1050 2 2 1 3137
1051 2 2 1 3140
1052 2 2 1 3142
1053 2 2 1 3145
1054 3 3 2 3148
1055 2 2 1 3151
1056 2 2 1 3155
1057 2 2 1 3157
1058 2 2 1 3160
1059 4 4 2 3163
1060 2 2 1 3166
1061 2 2 1 3169
1062 2 2 1 3171
1063 2 2 1 3174
1064 3 3 2 3177
1065 3 3 2 3180
1066 3 3 2 3185
1067 3 3 2 3186
1068 3 3 2 3189
1069 4 4 4 3192
1070 3 3 2 3195
1071 3 3 2 3199
1072 3 3 2 3201
1073 3 3 2 3204
1074 4 4 3 3207
1075 3 3 3 3210
1076 3 3 3 3216
1077 3 3 3 3218
1078 3 3 3 3221
1079 4 4 4 3224
1080 3 3 4 3227
1081 3 3 4 3231
1082 3 3 4 3233
1083 3 3 4 3236
1084 6 6 5 3239
1085 3 3 3 3241
1086 3 3 3 3244
1087 3 3 3 3246
1088 3 3 3 3249
1089 4 4 4 3252
1090 4 4 4 3255
1091 4 4 4 3260
1092 4 4 4 3261
1093 4 4 4 3264
1094 5 5 6 3267
1095 4 4 5 3270
1096 4 4 5 3274
1097 4 4 5 3276
1098 4 4 5 3279
1099 5 5 6 3282
1100 3 3 4 3285
1101 3 3 4 3290
1102 3 3 4 3292
1103 3 3 4 3295
1104 4 4 5 3298
1105 3 3 4 3301
1106 3 3 4 3305
1107 3 3 4 3307
1108 3 3 4 3310
1109 5 5 5 3313
1110 3 3 4 3317
1111 3 3 4 3319
1112 3 3 4 3321
1113 3 3 4 3324
1114 4 4 5 3327
1115 4 4 6 3330
1116 4 4 5 3335
1117 4 4 5 3336
1118 4 4 5 3339
1119 5 5 7 3342
1120 4 4 5 3345
1121 4 4 5 3349
1122 4 4 5 3351
1123 4 4 5 3354
1124 5 5 6 3357
1125 2 2 1 3360
1126 2 2 1 3366
1127 2 2 1 3368
1128 2 2 1 3371
1129 3 3 2 3374
1130 2 2 1 3377
1131 2 2 1 3381
1132 2 2 1 3383
1133 2 2 1 3386
1134 4 4 2 3389
1135 2 2 1 3392
1136 2 2 1 3395
1137 2 2 1 3397
1138 2 2 1 3400
1139 3 3 2 3403
1140 4 4 2 3406
1141 3 3 2 3411
1142 3 3 2 3412
1143 3 3 2 3415
1144 4 4 4 3418
1145 3 3 2 3421
1146 3 3 2 3425
1147 3 3 2 3427
1148 3 3 2 3430
1149 4 4 3 3433
1150 2 2 1 3436
1151 2 2 1 3441
1152 2 2 1 3443
1153 2 2 1 3446
1154 3 3 2 3449
1155 2 2 1 3452
1156 2 2 1 3456
1157 2 2 1 3458
1158 2 2 1 3461
1159 4 4 2 3464
1160 2 2 1 3467
1161 2 2 1 3470
1162 2 2 1 3472
1163 2 2 1 3475
1164 3 3 2 3478
1165 3 3 2 3481
1166 5 5 2 3488
1167 6 6 2 3487
1168 4 4 2 3490
1169 5 5 4 3493
1170 4 4 2 3496
1171 4 4 2 3500
1172 4 4 2 3502
1173 4 4 2 3505
1174 5 5 3 3508
1175 2 2 1 3511
1176 2 2 1 3515
1177 2 2 1 3517
1178 2 2 1 3520
1179 3 3 2 3523
1180 2 2 1 3526
1181 2 2 1 3530
1182 2 2 1 3532
1183 2 2 1 3535
1184 4 4 2 3538
1185 2 2 1 3541
1186 2 2 1 3544
1187 2 2 1 3546
1188 2 2 1 3549
1189 3 3 2 3552
1190 3 3 2 3555
1191 3 3 2 3560
1192 3 3 2 3561
1193 3 3 2 3564
1194 4 4 4 3567
1195 3 3 2 3570
1196 3 3 2 3574
1197 3 3 2 3576
1198 3 3 2 3579
1199 4 4 3 3582
1200 3 3 2 3585
1201 3 3 2 3591
1202 3 3 2 3593
1203 3 3 2 3596
1204 4 4 3 3599
1205 3 3 2 3602
1206 3 3 2 3606
1207 3 3 2 3608
1208 3 3 2 3611
1209 6 6 3 3614
1210 3 3 2 3616
1211 3 3 2 3619
1212 3 3 2 3621
1213 3 3 2 3624
1214 4 4 3 3627
1215 4 4 3 3630
1216 4 4 4 3635
1217 4 4 4 3636
1218 4 4 4 3639
1219 5 5 5 3642
1220 4 4 4 3645
1221 4 4 4 3649
1222 4 4 4 3651
1223 4 4 4 3654
1224 5 5 5 3657
1225 3 3 2 3660
1226 3 3 2 3665
1227 3 3 2 3667
1228 3 3 2 3670
1229 4 4 3 3673
1230 3 3 2 3676
1231 3 3 2 3680
1232 3 3 2 3682
1233 3 3 2 3685
1234 5 5 3 3688
1235 3 3 2 3693
1236 3 3 2 3694
1237 3 3 2 3696
1238 3 3 2 3699
1239 4 4 3 3702
1240 4 4 5 3705
1241 4 4 3 3710
1242 4 4 3 3711
1243 4 4 3 3714
1244 5 5 5 3717
1245 4 4 3 3720
1246 4 4 3 3724
1247 4 4 3 3726
1248 4 4 3 3729
1249 5 5 4 3732
1250 0 0 0 3735
1251 0 0 0 3742
1252 0 0 0 3744
1253 0 0 0 3747
1254 1 1 1 3750
1255 0 0 0 3753
1256 0 0 0 3757
1257 0 0 0 3759
1258 0 0 0 3762
1259 2 2 1 3765
1260 0 0 0 3768
1261 0 0 0 3771
1262 0 0 0 3773
1263 0 0 0 3776
1264 1 1 1 3779
1265 3 3 1 3782
1266 1 1 1 3787
1267 1 1 1 3788
1268 1 1 1 3791
1269 2 2 3 3794
1270 1 1 1 3797
1271 1 1 1 3801
1272 1 1 1 3803
1273 1 1 1 3806
1274 2 2 2 3809
1275 0 0 0 3812
1276 0 0 0 3817
1277 0 0 0 3819
1278 0 0 0 3822
1279 1 1 1 3825
1280 0 0 0 3828
1281 0 0 0 3832
1282 0 0 0 3834
1283 0 0 0 3837
1284 2 2 1 3840
1285 0 0 0 3843
1286 0 0 0 3846
1287 0 0 0 3848
1288 0 0 0 3851
1289 1 1 1 3854
1290 1 1 1 3857
1291 2 2 1 3863
1292 2 2 1 3863
1293 2 2 1 3866
1294 3 3 3 3869
1295 2 2 1 3872
1296 2 2 1 3876
1297 2 2 1 3878
1298 2 2 1 3881
1299 3 3 2 3884
1300 0 0 0 3887
1301 0 0 0 3891
1302 0 0 0 3893
1303 0 0 0 3896
1304 1 1 1 3899
1305 0 0 0 3902
1306 0 0 0 3906
1307 0 0 0 3908
1308 0 0 0 3911
1309 2 2 1 3914
1310 0 0 0 3917
1311 0 0 0 3920
1312 0 0 0 3922
1313 0 0 0 3925
1314 1 1 1 3928
1315 1 1 1 3931
1316 1 1 1 3936
1317 1 1 1 3937
1318 1 1 1 3940
1319 2 2 3 3943
1320 1 1 1 3946
1321 1 1 1 3950
1322 1 1 1 3952
1323 1 1 1 3955
1324 2 2 2 3958
1325 1 1 1 3961
1326 1 1 1 3967
1327 1 1 1 3969
1328 1 1 1 3972
1329 2 2 2 3975
1330 1 1 1 3978
1331 1 1 1 3982
1332 1 1 1 3984
1333 1 1 1 3988
1334 5 5 2 3991
1335 1 1 1 3992
1336 1 1 1 3995
1337 1 1 1 3997
1338 1 1 1 4000
1339 2 2 2 4003
1340 2 2 2 4006
1341 2 2 3 4011
1342 2 2 3 4012
1343 2 2 3 4015
1344 3 3 4 4018
1345 2 2 3 4021
1346 2 2 3 4025
1347 2 2 3 4027
1348 2 2 3 4030
1349 3 3 4 4033
1350 1 1 1 4036
1351 1 1 1 4041
1352 1 1 1 4043
1353 1 1 1 4046
1354 2 2 2 4049
1355 1 1 1 4052
1356 1 1 1 4056
1357 1 1 1 4058
1358 1 1 1 4061
1359 3 3 2 4064
1360 1 1 1 4068
1361 1 1 1 4070
1362 1 1 1 4072
1363 1 1 1 4075
1364 2 2 2 4078
1365 2 2 3 4081
1366 2 2 2 4086
1367 2 2 2 4087
1368 2 2 2 4090
1369 3 3 4 4093
1370 2 2 2 4096
1371 2 2 2 4100
1372 2 2 2 4102
1373 2 2 2 4105
1374 3 3 3 4108
1375 0 0 0 4111
1376 0 0 0 4117
1377 0 0 0 4119
1378 0 0 0 4122
1379 1 1 1 4125
1380 0 0 0 4128
1381 0 0 0 4132
1382 0 0 0 4134
1383 0 0 0 4137
1384 2 2 1 4140
1385 0 0 0 4143
1386 0 0 0 4146
1387 0 0 0 4148
1388 0 0 0 4151
1389 1 1 1 4154
1390 2 2 1 4157
1391 1 1 1 4162
1392 1 1 1 4163
1393 1 1 1 4166
1394 2 2 3 4169
1395 1 1 1 4172
1396 1 1 1 4176
1397 1 1 1 4178
1398 1 1 1 4181
1399 2 2 2 4184
1400 0 0 0 4187
1401 0 0 0 4192
1402 0 0 0 4194
1403 0 0 0 4197
1404 1 1 1 4200
1405 0 0 0 4203
1406 0 0 0 4207
1407 0 0 0 4209
1408 0 0 0 4212
1409 2 2 1 4215
1410 0 0 0 4218
1411 0 0 0 4221
1412 0 0 0 4223
1413 0 0 0 4226
1414 1 1 1 4229
1415 1 1 1 4232
1416 2 2 1 4238
1417 2 2 1 4238
1418 2 2 1 4241
1419 3 3 3 4244
1420 2 2 1 4247
1421 2 2 1 4251
1422 2 2 1 4253
1423 2 2 1 4256
1424 3 3 2 4259
1425 0 0 0 4262
1426 0 0 0 4266
1427 0 0 0 4268
1428 0 0 0 4271
1429 1 1 1 4274
1430 0 0 0 4277
1431 0 0 0 4281
1432 0 0 0 4283
1433 0 0 0 4286
1434 2 2 1 4289
1435 0 0 0 4292
1436 0 0 0 4295
1437 0 0 0 4297
1438 0 0 0 4300
1439 1 1 1 4303
1440 1 1 1 4306
1441 1 1 1 4311
1442 1 1 1 4312
1443 1 1 1 4315
1444 2 2 3 4318
1445 1 1 1 4321
1446 1 1 1 4325
1447 1 1 1 4327
1448 1 1 1 4330
1449 2 2 2 4333
1450 2 2 1 4336
1451 2 2 1 4343
1452 2 2 1 4345
1453 2 2 1 4348
1454 3 3 2 4351
1455 4 4 1 4354
1456 3 3 1 4359
1457 3 3 1 4361
1458 3 3 1 4362
1459 5 5 2 4365
1460 2 2 1 4367
1461 2 2 1 4370
1462 2 2 1 4372
1463 2 2 1 4375
1464 3 3 2 4378
1465 3 3 2 4381
1466 3 3 3 4386
1467 3 3 3 4387
1468 3 3 3 4390
1469 4 4 4 4393
1470 3 3 4 4396
1471 3 3 4 4400
1472 3 3 4 4402
1473 3 3 4 4405
1474 4 4 5 4408
1475 2 2 1 4411
1476 2 2 1 4416
1477 2 2 1 4418
1478 2 2 1 4421
1479 3 3 2 4424
1480 2 2 1 4427
1481 2 2 1 4431
1482 2 2 1 4433
1483 2 2 1 4436
1484 4 4 2 4439
1485 2 2 1 4443
1486 2 2 1 4445
1487 2 2 1 4447
1488 2 2 1 4450
1489 3 3 2 4453
1490 3 3 3 4456
1491 3 3 2 4461
1492 3 3 2 4462
1493 3 3 2 4465
1494 4 4 4 4468
1495 3 3 2 4471
1496 3 3 2 4475
1497 3 3 2 4477
1498 3 3 2 4480
1499 4 4 3 4483
1500 0 0 0 4486
1501 0 0 0 4491
1502 0 0 0 4493
1503 0 0 0 4496
1504 1 1 1 4499
1505 0 0 0 4502
1506 0 0 0 4506
1507 0 0 0 4508
1508 0 0 0 4511
1509 2 2 1 4514
1510 0 0 0 4517
1511 0 0 0 4520
1512 0 0 0 4522
1513 0 0 0 4525
1514 1 1 1 4528
1515 2 2 1 4531
1516 1 1 1 4536
1517 1 1 1 4537
1518 1 1 1 4540
1519 2 2 3 4543
1520 1 1 1 4546
1521 1 1 1 4550
1522 1 1 1 4552
1523 1 1 1 4555
1524 2 2 2 4558
1525 0 0 0 4561
1526 0 0 0 4566
1527 0 0 0 4568
1528 0 0 0 4571
1529 1 1 1 4574
1530 0 0 0 4577
1531 0 0 0 4581
1532 0 0 0 4583
1533 0 0 0 4586
1534 2 2 1 4589
1535 0 0 0 4592
1536 0 0 0 4595
1537 0 0 0 4597
1538 0 0 0 4600
1539 1 1 1 4603
1540 1 1 1 4606
1541 2 2 1 4612
1542 2 2 1 4612
1543 2 2 1 4615
1544 3 3 3 4618
1545 2 2 1 4621
1546 2 2 1 4625
1547 2 2 1 4627
1548 2 2 1 4630
1549 3 3 2 4633
1550 0 0 0 4636
1551 0 0 0 4640
1552 0 0 0 4642
1553 0 0 0 4645
1554 1 1 1 4648
1555 0 0 0 4651
1556 0 0 0 4655
1557 0 0 0 4657
1558 0 0 0 4660
1559 2 2 1 4663
1560 0 0 0 4666
1561 0 0 0 4669
1562 0 0 0 4671
1563 0 0 0 4674
1564 1 1 1 4677
1565 1 1 1 4680
1566 1 1 1 4685
1567 1 1 1 4686
1568 1 1 1 4689
1569 2 2 3 4692
1570 1 1 1 4695
1571 1 1 1 4699
1572 1 1 1 4701
1573 1 1 1 4704
1574 2 2 2 4707
1575 1 1 1 4710
1576 1 1 1 4716
1577 1 1 1 4718
1578 1 1 1 4721
1579 2 2 2 4724
1580 1 1 1 4727
1581 1 1 1 4731
1582 1 1 1 4733
1583 1 1 1 4736
1584 4 4 2 4739
1585 1 1 1 4741
1586 1 1 1 4744
1587 1 1 1 4746
1588 1 1 1 4749
1589 2 2 2 4752
1590 2 2 2 4755
1591 2 2 3 4760
1592 2 2 3 4761
1593 2 2 4 4764
1594 3 3 4 4767
1595 2 2 3 4770
1596 2 2 3 4774
1597 2 2 3 4776
1598 2 2 3 4779
1599 3 3 4 4782
1600 1 1 1 4785
1601 1 1 1 4790
1602 1 1 1 4792
1603 1 1 1 4795
1604 2 2 2 4798
1605 1 1 1 4801
1606 1 1 1 4805
1607 1 1 1 4807
1608 1 1 1 4810
1609 3 3 2 4813
1610 1 1 1 4817
1611 1 1 1 4819
1612 1 1 1 4821
1613 1 1 1 4824
1614 2 2 2 4827
1615 2 2 3 4830
1616 2 2 2 4835
1617 2 2 2 4836
1618 2 2 2 4839
1619 3 3 4 4842
1620 2 2 2 4845
1621 2 2 2 4849
1622 2 2 2 4851
1623 2 2 2 4854
1624 3 3 3 4857
1625 1 1 1 4860
1626 1 1 1 4867
1627 1 1 1 4869
1628 1 1 1 4872
1629 2 2 2 4875
1630 1 1 1 4878
1631 1 1 1 4882
1632 1 1 1 4884
1633 1 1 1 4887
1634 3 3 2 4890
1635 1 1 1 4893
1636 1 1 1 4896
1637 1 1 1 4898
1638 1 1 1 4901
1639 2 2 2 4904
1640 3 3 2 4907
1641 2 2 2 4912
1642 2 2 2 4913
1643 2 2 2 4916
1644 3 3 4 4919
1645 2 2 2 4922
1646 2 2 2 4926
1647 2 2 2 4928
1648 2 2 2 4931
1649 3 3 3 4934
1650 1 1 1 4937
1651 1 1 1 4942
1652 1 1 1 4944
1653 1 1 1 4947
1654 2 2 2 4950
1655 1 1 1 4953
1656 1 1 1 4957
1657 1 1 1 4959
1658 1 1 1 4962
1659 3 3 2 4965
1660 1 1 1 4968
1661 1 1 1 4971
1662 1 1 1 4973
1663 1 1 1 4976
1664 2 2 2 4979
1665 2 2 2 4982
1666 3 3 2 4988
