n,best_digits_correct,best_q_n_bit_length,q_n,p_n
59,383.04003891022717,1969,32042510428669565329947819947175937520855431800410117522103205636226366601845239631042605169508909527243672753713351909745110983228334255179965943300901602216532468612011356147961859156334021779173471525118529166701460858227979919827206900296842520936852204651647965981499479382415572683298906169873374092110110678168069026446494965339896920144935283371655384918568472870936156592246875425036112007391352844674605103232688016182434084480924908884780408048007475878971317215070651608111851597901041854379296560249665177211701613306488463837634476716336206124123196239054625602978376033150976000,29349837103726055175213142711834491091107305615110537286313555173590692440988905271295488499366335774781452885812806486441986511918989953814053992309879127111420776447286078531869946233831865328334594634408604488449987330077098040887453474444799915362875681966389780260381396045976549790286764762798925522873087892951776384630351507905868711529074178058571022885862000800620872347771004767470877230001458566309784141670256833402876252152551882484293021766765889386118316063220207878128557477416164477217847724286888019052756829198667626679238246021532623584632425538400766857462706674234777600
60,389.53778087089773,2000,-61903489170155039998606257731377173272019694719577261341814787191997253164135353173863790572165903967429033537776368201211497792562574186220403811668888145267278948971453126790259468637833052108024954807764327699757708497801007928854439357180296918228042370867921336998368812085574236938421229787988359781470185631316317203681558176836460504192475980721023332588055193982606421626279187688069914653990741817901120530492702061009931149714495352184914367248979698946511756427977536388674915901306764789404077308067358088664089136657517219615439059903371462651249340713001881702062699605657893609301760000,-56701466239384103663595331716145826134603890206833457158959298028502954913295371192658603509478548276073515754004067914533778955790430700263525798163129579151085553378547671630750128662621209003070481335615955732632995384262056242374479116129645831494163461997985491204679168494162629968918592269065634333125422283717313188484032475764124618149642730222461596339779327525748710791164270057510242467578704525498323179805975000906979007345507025036699355951574579498875113850670823110215676475735895236528739611467477401012539100330590602496184646032194477983741117062824741376669343796669523198089143296
61,396.03552318479444,2032,249786719178038253472811261208186009387717045191178164732830222396772089334227527406882108852403177144680480912081628247983757762146882274541025433846847752569698814200627087382165334942753503145019681524817522612011616801071906945965493823510074719036454009240946532190986576509140686459284780694694981460779437069296665001254835032699126666428594712703966412368350472615576868612882211790348592008323696680593691540905790648349143594369082885708779199297575173954015379042286312546223838864042019460182701922191176214559669558309869796969039701178392933540737324894892154580848696702729672074167545474312192000,228796040649489956943398911485766445053577813309424764500940758826048599615413764010175439891829412908948941811107575504623003729551096876412678230550924118604508605039923277193246297197862668350482368482366646484034407282131361668949565271016785580196656835597559685097641432800519445815403818788077604765589455666952029208943947444914055976023567357641669335205568166881197912697612362850634425972869622941565365942993763798728553814424884686337872123500104880698280939685686027121241717862062547282621275760768733990284167601068031853727520352845210909209287006573106929685620039244712279346054877257257082880
62,402.53326583483346,2059,-54459626097171058342988074712717089419760610233995209078625383166032742104931034356680445610468509792730556210184219275084158145702622623167975595943902476988099595691727813959691466464043680627210211296387135914569061079331137184276876851364084276923277227443732431239423056771689951560341934992249545527905123382579305517190736704040914764691181896926800779578019322182298821877995784363755497356124359216220855376787344412340038978840209598668946142770195834069590862646844829216741653899355203174270219663893463036618406919632397374033442499030298642488852018452372251599879271614250154079819741829398415291955200000,-49883143776764471471926363842011102217985935608453499011413568365803742267212579203397615761642831136716273630646455837716416695192073746890738521189031974533885459687179983808544509352333288180150000745496208907091254898053222913004710494744202134672690260090354259476363971028455844290488704520444331356842041563479640655568399807812166093917830137163819864722378765649787029172454957696456705085540691058497226237506673551960790455799172599140711695629338268065948243364394886310927294926554688538392104431937130485058603704089578150237976858112127182106869877335461530147542488980364012153015080648813923210648297472
63,409.0310088050152,2098,24368300378157003076143080631193168950080344759905368158099919985058711935988406118271408845521903493891645712335386845835508493800156615420832719346965750592588381945067640319019020413429149950159045966728482136498581570558955444888496408774954154242308220915164337770752963998104211747433151671466370835971963440819390958501765874340081342608844581104231182658202476673773199866080693945271073526528535284525241482187523137054347727390086094746041466044638475559524482458258920051199504518860714585797911093452739491325752199130292662596229668955499099366090824578433874299261470470555183771231511616311196334286709020127246581760,22320524734967530139470930533422309965459838024516822683451714912208863043917200656635572737145013007637203088018995461683639368520532645267277673022096018861867173257957616080962995560470401991588836627682301521046749965809797375298317419524405180879328497521634452151328495275991106477762321371682984235482173084404019032004168238617819292620769002542893969451513959711148986510113515605050910809077916823538896552191992519343628928223156941633319323060756441064206199089573708467190610720519913075151788411762573564349247248076990642512237703401932139841303694995273528198647751912339843081559299248254166267481233460164329586688
64,415.52875208033953,2137,-14206517278622621889673749110591579580216650174429302491035423572487898698606161805632648351125550739942300217525566365270721488056303623712015634698968387271605015680777618114774594600246122167241161899590501232522626077980616274268065984172646903937448486951764642427430932314198181287616741028972143121306082053642803036764771231768670547117686716624467134181958283848955694169961362492742258938163372083048690953058840307264484457318151522870144424536465897351599972198002227006375712953532250654834618532020047779847115106829253272308701342760361698555572834455993458109542583548481533144185366714472784709973252504656023301823519978743360,-13012681040302498360486125456655851585423229239641565876944722651104912431113860808097502590103150263663804010235572124789900101488972079033816060251283144367222143715711016050524230563794972868032146678653629350470257439541387065514442307001756476720282916073043606569606936336624044941091229966357499991599724001643105184750727607761024436891278412706983279491287483513540562971202851834552411846711948223485018477419005324839087750375616382788110616860828768125204630498961794508229531709630309605726594534110079392161024098642802299412611416165330942712657137396165149122992046270842460266127202877207213771610745503302776578050690608012384
65,422.02649564672913,2173,795309853958252553102280363955330253115823785240455612159900386949694170964461246038355651458896623259380963065842192353062567690440328663529212953679460401133570705595642443547230809471463315324936727680471583014323764007704665581031763341174243867348131294355565338134854771320775603754638255627680234509681847705924109559769239618289783653837843207381237849278464940542529209521334431718592253558571847112794942444868773723987561773857578459018716874453868245531235525309601614617756972868751260681047995936791917589767244384778869107249418815513156743880508312374198426206132731135488751534493975192734537135437277484190355005513241139679722861484032,728476462935868079986048858393383254787051034670475976809791994006100312980420678845882929317850860151861027230952935387711923160174185266277987245496118531883393961274365356932788518618208214784120496487739662183817436680296362097334132676140490140369848283509073687695397650217978817317550583597518691883853930891039927344981970303649826244686800418193050723043759352877386806624076817288466534582251472444433484025126436313162241114876197354872412063742063257055588239652532681311291188683001307313796202761328203374972687643463076590037343389217977241382690248564751600206400289091735980949446349936197131568579038754884266812976899389486258046297088
66,428.5242394909594,2197,-20479207481215110805001339974021336090175332295449410829741192037281031663102092222104795232484231140253033280384499508532363212691033875349460687320434366943992727776444274277067089772603054578766170873541999892171114923912994440639060395332010125828270817802872037587648569826740383060682224038281620168358550557258538537013667181319108764775093918798668844622413922749285697981149145829648000630068463791060898107034987833017030053635850180834389474443775210074727447180075686274028395185922086708506289647245869049538422055309981420030292019857718985837990313989072572600329552765539602305762301206498032144619407459393799120820974920339309449545071524029952,-18758249448809747789198680191582513920971772982163535104647776859800235707028428062037673788235509838719556682647600552209605747141586092638319500196354096091403790490605041829099259518660364662449602898910602408141232224015386401394842945380286685640135943586700029903416077384170302501895355970509128045191793489887801105808436844390868915165523287696327169640086038433174172970087482838568063698615302199504178078986186270385072356341641148269143663983883528024978865308271450042574999709473348876744053419716632029039786899846678333179533955243717667393491453847243138089706919860497486499565261266681152976257284672627086607660687262597748786100199061356800
67,435.02198360059504,2234,2687996866196119725083505195325873427665059072560269998461276894330430458021099073023160652553481221027631069230716256364831134042233474931494036872533979282916492436985774275633532529173619252597718416734067193671044808984678282522442722249656502966030952042931876421752425798671708470833984609514710699940286475396435229734876228164254327374150158241706152820923606906380931535455383692384279605567762196314210880889978587539867519412988795899949430679489306938147146637528345049449505572549559840901953308110180616386058079332155578609517334668908830369130229114207314906044739422329567119126370590139708428849401628042427081725609742891263939941839724180147679071616000,2462112646691831481578366747361660779209318353772531720796502110542208690890204565528084087600426705385707962381727247032072624697009783086414756313043221669074529204004873943693940496747103375779884850225647216799250285012253700983006291079028041895968619028005953524439618546068086916213575581403364512272111776481168323859475705463350488378979823010774785665154301823492857747797802154438880023680070962306320298866511911957124409982547336988892514201521835443584277824767559437287817811664189528564293486430467201276587074741946798159509881011501570486347532040377618163366041296482677012399667480707160593484203330036584031075502263057829275321284485556237750044224000
68,441.51972796393176,2266,7172439815525566764759224974537186868158416857193299475006451949537940903865665523636706206366344236945590026263957313293940892554440296229231019394083149237828631998440566743967984784957917705467917771528906871053793711117913001377975433334239954270729445389447366494169838677574494060726496639469987780173755669112606719208581649982641376859901488695853195088885787488343965211231635752621424247766594371920934296432075997375390281949038312805539140870689942776750144434841225340537789608324925648843747771094584699462865006279568571244805491073022987633704375756615130289119203354481017472422496142959505106680543781712566309731622556749211275946075941825066597439165062109304320,6569708097328218903515204844717632428609978913338612917355750741292966194232746940657076789536446208680301659069835766002323246199197793205016325534837757129858410331435528735687073845528875622263507496032349368600888588362339349026654194133399457241267340914589692018579933609300533298189022222989641769914472773382410457049130425123829108544850267096265382639560363608077476067011718318699681714123393467892415786803580131694552008578114306762682978191385889161183220369186683084710368286066785045098414156770009866615589666411552308041864780424005126757784279133601740220145327789878995861416906246653029331323012193328232036402240198437113218066596382028802712715014457997043968
69,448.0174725699436,2300,-157513435901017013153989570154774155088588037311139898883657664129399337653010521627818349965996090913018393207807406102271192867925100552225123646341639420814505126408714531618166554209923703059873160202887337567752968747795691452779038332268692007714069243284104210056705059733302338282611529662045429206371494083416360311218975772067970382183338416717993440476243692723183402609383252168852121327961253206709377725026387959488771471793781159471312208521932310350471127673777583409456871543597144631965147554385882337578348205000235467674692192913680195966092941096389057987318299217729014330141332210909654533014959976746204009641923086698405763310587185966817508775484141835773483683328000,-144276887905970349625944529915286765804211914927218873435791942289147588026539331948475143019135210586426180496470058144623083763926177295794837907998163709048388397193094081577296905464113675614071990840667098271825147927149138026186834450698005924366350688513173427016857727647312870186938359111466973329161793761669556825063915896668738890043563231695171977003013208902996853163078792384667517081983990427428017839160140923937071301387263448763668756377469821317761144360589982272091978618471042333142862879608999860676090278890913595341395224418454294381158855759929735220333862697202414910440732588690692455667333394286900404929134106528064511763563389539253567337063653230869201486104576
70,454.5152174082344,2328,32360860550971729653034165858053577055380925497757514998574124662859029112903376620967797833224695251049336664636996122980489383978782199667611297870328342662593343317197877124569651700958445953340250307395868947602235007302573098576093123605627239615701958617229314905192739766702912201997033350767454978062647002478585209875944780764368136124143734141510219694813383119877082788967085259964963307047589914898775970767524013655642189518737252766469117473509828276047902661340076351478883264537969521580986828454530478088876486572696839023414246382997860338187630513320208146249692215794436286079722216973228801930981194326468554039703039479194406620760345039669608934273209669185218605761855984225280,29641434862656947462011437586743355768485337015169048261467438733429896048408103613226903625794614304353319950209078883155702163914585971487319811802388122717696323045990907729763176959312981224127029771274887639992446662417443968622871823899396604111326055291509083954147908555317515216836110736923153068601666025872011716785711045704844209651438183057019340985704221009175386575120126754884435982244227122594928601349466069136770838238849698790870888041751806332055736305551221345310240844011071756225944989025198885123357320908992226139979440306797276752115937882709452488514024799318190031329792842856985050129254053901506974355792502155150820730509317948204091106195231511320588690072520161083904
71,461.01296246899346,2369,89871891620658947925167091473323878094860704751224138192119109659491893895422019081347663726099811777460424541137754946983093929234332075217716751915183915582525936945821099548215449170175412387776033845292633759871022406192510368806886630204703592710120584847833770451449174483110330226299682196241772579056745556467024597877246027946690933722081297960549501548771809657385400964137376910769059041083386719330604015329663910370155205949109165395229919443040424957114523079523114035286115242923818050352541588647560328715962820853256517140186879527751170025869303877719959183866838184975056638245878407339268258106347762063537017983708320836711365886878636753341726965803458609303212161355944315391576425504112640,82319560608147504021797996068960104119435981896654494340356038033304982004885787816712750637254711672368306560684746840560690682384922624490405405486425494503905069775214300130468674361857733532521487006451159209897064359420116947983496379475710007662587215345792590543841315889958510853730750122423531040827634575716279173825613654339785416629369274774122528022051593751003051004462416296035089526537362517485697005089376355138432150196836753383005406876147110186955340911290657020871071683363642977840519728462120669069412763299390332830106408922772144089133459010440712197529188978227291191581031424113441776098861953484178415555700447864662737296974423828367477681513434490311425724675339414368864535188111360
72,467.51070774295493,2395,-5951410639879837936641480714404287369550177368843051057848070267243378329820485088803064649824193598862097380785706670663187702777068948962416154476265527774923012070970936383180541704723082465811119486336199831057050428945912865288592190698605755279874690800613323557335374877798748015030094630179144783133164799479653700301921128148520574518577835692384064398641148294687542427908487000688676820749125820067730682009197773797547217952820906301786399363273645649700164911656723859338478731278720893434656495164437852277426848283068869985600861893695973611595050011091744726252014301430326712820920122257226975816048082186022607336833898128789831253205043881124307768265830190362287194430742209045299278155780916823488000,-5451287382950158976044540784843531463352258075491976184084808342362295498802691764210042372609078154722522458950572309168890835217074954502989096382010478018376780105784198839844690327133525979211231698666860316052044374763150338433126059663621382600893306373680126979924685068923454092263484145547951933652148598260374831423744334384940934645822739510683398519868463737359753898008484454967062514267676141560286773002081117907070498709554103288462869201475135811755927820923833972361772221513018794150513934837841426782152265124398843566048356980894619236853416384379992075011297206534228682122645166411914927127634281879622547671535838851028202562519320182879932724012204523008671114589213369940448771469448517121964288
73,474.0084532213604,2436,20309229234237363032524381765646788519407615057291818115860675671900974432744615970478534008617362746021740751805239752884353480251610538443581517053388737994451199713151810389674994903806378438246191857218463619288784070409287996482983487724142740433028206668901387158901579201780941488085035123298475752417953377671747356625247257836770647896982348688500489608329036384368619413768831140129760945335116886870516460084452157381138270474090753907516367017825903031725142747612892433670741678558818790765737652780789293761996383266104516394548154711247827969875329317445998267555817779724851602884513888456698831718299614735268145615294510270404594446327939956006881509991471329970203930240933193564846091789907367588379933973323960320,18602555222819572968489541718031705112105751252135253920378718749027566862332683435905312363895766517580686762248191512285841600895304071867854869406215804065730087104208287361420647273180338005155292439077019654225595485730122196517680406959334724683944087273792990047561277317640464341462879934855152464217885314081905256209561530321402543141725546659828251717142587044412388880012289740934496600106308434367849162378164022443598451492359365667774490407541123455228633486741087275436185705209326459035422832106399886841418146796074073003083917700011175714918409859333009803916217353467800733589242108023294091311898900662014251849436794133349131087973294734465020412670890706390655424184288449975078728847514726892183974538007640064
74,480.5061988959248,2477,-38759177330024374225624255108939852408456518273107012002462448925736436113902464553059749424301286311477337021636139987816917504934369159957587305806990740846796759129119212262757923050834608818747248046986099494744878475228022621245111804140998427622662768295908316040666411176775847168557608213853548518813005434237428269365988526836596269364891690162112230475675109965472869309650453434549477073490466181653794920763052359630311667696708415411850594078020537267552354882643846278228702809087573515132436194273559259173073476702530209517748455258081381488156176476082050809371089050208245769336664336864682392796230371431066125907078141206185606296146673728754771070129752640514172033711223630829429214254679668207736488690582649448358332620800,-35502072892915973202805847696031054499661702212227280275865486183419582243159539391015990932537414755567726884374365774802396378190260783318084361432195131613430687803002435594605081424112782270327528947320062778154221304586020958500241299040186747051782140519250638796117000745169123487595056574790683642412115805640102159846531976149040585953901781225898803918625954171213963000643720147950704473265174289627744173870818057504447983181321516412517737848235904914138344157901127550445712889463396213835314262929076418108083348080927623411591404667527425993694725254335658550562525115294264498603893434994439793030839874609957575979897953984117019928041088506267503938960015478017947388363861241529784844902099212899872231109583974786149624123392
75,487.0039447588047,2508,-75180429569707905769756864688872611469894730418360576466942503441918518836004757627756486335139524142192177386655172299666589398171528136311230940894718354236792062640274037753731239021489394002810817926653863553665239009547110289460259601429374534488283364143845947660866300194825819809334857049805638007464894698698401879545321620063700541038355452329198483461429502954287570445584847814627175228128139566263615151288112877529298958510091492022074232713179923707516637393346574460823495789864536709137806408662901603962626143652595795493372449464746458197078647185442911509192797992818853345232628476675349623194329127307863959976192896494104659837902919270967593136943770858920458880723837056890478133011676799263519483791699758001919747649089776975872,-68862686841316067994616998407182552685583896458646237358575720663601751593441312215449637570738547596087913615730209284022308866179393612533107763809670424633857645384227525888050566117923009029700346481349012876469207701934660332465236958435454823133469170178698285258482088069726624624166594217882417259186174670060238613973306505921725307112022714349706012631073997976195465417809416144737680595355519859178079579769585190990400148293362561344398936324959938466447900934775690964068243646696322343273609292263299512551226362675493251111766984827373777030713079912643991670789746683583633453958099007689180590851727310657048796405751717825861701527184856083069789315698868336011342694525464834885391545050232173868717607137787019535352624389577293529088
76,493.50169080256944,2538,78281221073268559582260237485414793490967664288305267554209624723775093466535568306811909883295770573854330846004314108848024862601646982836572986274335743790829091507835725362868890628493202809789874276327767211070480484290938644864477517033024340530474752826718810398607017947247804356890063975498503868774318290107788398664210942980815481834321562944436863641422046520271549467874118912760349732263055205180330616681254491401577662417190585526707265810798336445553184980193563495709928122776698565238027578362893080024907891818388185335728535394899175285646279219164208362378858118005604135012970627031871802186423141749616904906386484344919590594031732381788254527169164753314721990435008047304591762719523441379199731596307959510065792058222380445279538996224,71702905173294674595165717074345479936796706881669779446246541691109870489983462192932248891339941598919715438845814312720770023773783571358206970572867334283891366723021928697953500317030168910095216493044607711267129360071740746599233660057837069921862277455054201561783919883327134847779469097551761648614687117688819918433390870347987984127745861128285149874565282689233097557262530905680799267384025646562419253738219673870213546600794505283286703220996915483272503623127689100014261932315319844007084961005533330251313309877306691324400618405551959063180588301851280189162033701185913714148086017285766640854476487538258686072345445475972670726445968318332632625214028105088258602946064625777007894507575752998065071290008892419242218189307267054164568196608
77,499.999437020174,2581,470388232333532601423353190178760864484811857073107796422063680202344669321880382219918465204936011549208574654540207547385441715126564760819962443442029472637236367521128290638505668472161055927931676797241223955363888162734502286405595579045789129336743988178149948742830352073996303826947986177558601973076916875243688147662705651822998570836662151662390530257903060786760772065290424617446006185058063977576804762802376100767329345023578292173863014023790086210600753721716644842399872109678697497397495653976617004555971776599849280627550593797992928597263221653990127402126212805495381457920923236453373216558322880179804927829843470314353449104434992283767605183013681350335264670608261127425535636662480069857192643569568395039239248996059542117691904273790864534118400,430859436723355934608531600276759725576573130278193732689328684942034105918269833999717096925300061387277331755997028363790499913937131526271963935932249618821555624699590791117396778053664463602139489549774796633408303767851746673357972099195564434068285833757527937932902283193137933002440124603609601808064146143935623401131398338868902791423937532179964179997731426439377929547426182034041814809871070604312909384370428999412972447744990869472726756533105277746541310240304403567916895672122522819965880080097611629132559607722151101009623575701781273021592268761358068557781170007252152255237890190375784436307747824006339569880599880560248003633816470463210264692633139628504305195560190822501470785715187230556246733511891165310075202639120800298284915941259793683181568
78,506.49718340493473,2624,5376399619935469197942030664470212887974646478982225519960173385012354158988024379780282654826982099469030879960625992242806026919868288467591553161342124888452602325306329249801562387024952532939285912960904525063542009232968257702209177113458996645448698156188963827574852417170348413449508642191349757434789779140374799243897247363794802351958544161109397592825584866156599313742679592670674980421581859110635985749103028960748614172280065995264088098967862472910306989323278725250793865849040078855282829022136205255289871808105138091546373638943379047585753835123867112002413317126672916444910949266980054263237787519029082108745386718635829549249344849502706606908978655301495320469593476812246100243623181653074892936802252549937291333071284290099823961213761063588859520158847303680,4924597072408366530746584226899410594943762693700820928106917453337946998173763158500242941526375543317343234031164504758164791977035246277400020076782730986351519049529007831154821128775581381094890309727529257881355718019314878694277555617034088454833584233783371906177024753484246815668171554191683704466727343830063458275081887154241587583363636311098006349228460916016440608151271368648021663060443088935389319260383674502635152380434613026905068783153521719696761719639928684807073671632197481946578983084405329420253903518367552170142799738491784968293642253622126368477607625468888922168883405002092582132907887965937700703906728921250043629340272710932844111423500874753896462379170025906989384960125197274865527544552504052400144917175078231457581018925315377776503068134858309632
79,512.9949299505062,2647,-39063108784512008366289504329151534019810211906729252984837648227678975568342226341094008951467217110999836995869281045729961074659171353594848097831257627917218255160778601506341201464807287986516183094687364720620771284310830875564105770739032703020467642295575727470916529862313250678375878805857245104104764886576632755356411265631605387459311448237304167163187968055478299125993860086469069945103799894194079468646380488285890646198128419741226235136333592601416194188346328124488473606335667088716081134406683848028925941510400271796588663599094259091566096299300452803056369282574886348740937022552998450577883102015779232483052647879801015503554899665442993440035639727669028954079252813397335978324339906530962888695568116747411386702389874163270228569533909088126976947526537743734784000,-35780463648214885407123383830982887916635037166775030335397873885469673709733197924735527734865282586617208660715768387087640441432522213863847233951045491234222847561775754042191635789237476452805055417254213651365814256443503066194288080386960701462377743020519290844133651301593239910948562660578310984471527988809000279545593734477176356003135951637844977922002604560507408370734705856535190652015665509443454351912875271577618420301354847079713492070490716085244921312412552382358116800747952278279890148588198353509772122009829237508880881250949423422932084331119268606090732998995769932886335839607181805756968715914498749397335261562574446141716981021919356943749298589654030710977600295537027771659388493229356081372133401847094704280762061191138980647778533317522377282047898432772218880
80,519.4926766508601,2680,355346009609456265363396785643613817163713334602799791837438052755773037378026178248185828525958498608707972046891398627440038607028740886832307084640495044200401466484672681772565489865266932933047806954344085749990620873961545576146029483134900485024812550561596193887369784725537233069821851573749068765064610065335297362491505289121991792587860246227023762570089112527194736068181601474290247447377076532531629694035218266470287832634341460126310984455872597898053550925155606390318518248508433154407402804649360889643682667183591128849734328861968775367022823676933903150006134173311219859999504050481160049776701645330093977572499224362319161280857312534543440015956544955871393949560021680080759106009397682871575951765993162861964723990175626579743495282714178048831021114670247278943083879986953728,325484718830429385947176877794896250655908631523187862170633400580354152683944474963535570454821064923546218958051951325338686610631324379348950318744553285421179347507304814886810981449538486014227681700614886680059023906795990993355611011626879088671133543811691103532171165900339487690234047036575706716113505908828850563253917916889960853097129356209419782416166103042589340658816587570743862905278821151345565018592746519153012519837857343051632399564275657400610976486008082229995384446423163890352725109852420024806023005587953175622764250677555203105420663623811439042497571942606813597214637400304316829113958256160202038249362464324126940875356778299933916706884112254079761064794959626324044371143592451487151491663394472505335397596717958930370553233477995513894285506013293791546152488770053376
81,525.9904235002657,2701,814279528736737577109668170002239382900908577707171333732415373980699064371190368926074269555763416549913891479481425996748111541659448296452355743449447997923311948313032327182166246342927375211974910164811637436278927010760397585705631687426753613243726878910299115599536606101374667280619273405324820591090761769897550978689536693624756570208331309331971221750307769758337944485088183014548409466880307116522156147596016681004644674264189545081571699241141239558582128785394465609778309462490679937615486528083391420007673386308573119296815339002450705672836796788014585087896808298948170692954502192720083471562268966644788221134806868777163187954989870811980254214748774681194353016921695998710194049383402302749892833496692176863306725771986281519990513490413061169592272185748122505910132608766754534924288,745852032365691720501229360614367264682503903006097455637269238404089460991414974975612090587053625889700840255426771909830823162434236363356474776356185514983601674704655576178922577881086447040598919961749383293932726374341239888613086997490431528883790700015696622880326140894083392682847778685052097893110419480094480041494580818128013204803309345923772627093503319534400442839579771485832444032147415144070282180687860519131611482738713446990556318402417721160831208597277209011597624423254845109895451669096492463856888870724164380058435034889084164651150838619923622187749984456343618002827432095671375407114297802942780859782692257327301243190293763655684653062987577625222200341314852543190637034998022189831206753485872648366421202887107120574358544406759542966664538861758818439909573961337057159163904
82,532.4881704932718,2749,250401281596053711232311498928787507863443007710435947459935969566207868641413440800429129758529228748796881439378379777142065068838170758520170188929988637376324633517594481824779659481026299245686088892869775310827847758409619847856418313937934697304598170647942302534287403644867198860411902856009224332849316197396725933644300862146436577423997836390980169294468074177226596929967448767802051625879895749276109669460611800768926423301261862553591733638922530465153014889036677253612348095167201858631315168067283001428365305999558746479837663311132052527916189382638923704709776454060897141649518541705806012775927332724487112950134652297307686725614865656356695279673532896259618170623000615890772401043855773895656386405055610276272015297633841612251219925415564054131748788437835451536957531076215182236780912263924224000,229358958679866474157671730819740130796920915441068725640401580639587683015151050673358384787246456059526333532366010877266946288558168423427546484771892882048530198452218988219985839583037578537480392875759152804237084044335038636458513559404314718393527913087374608520796574501686907658846391771601840316459321492674429959425779360044535858229459709444069523945643010130003786801572872386557787825820869952066494883130198008774310788189936588905964583973053375554388366047837477573824245516052238336189852913863095515081862820957748372839251878255591654776017319192454973537947465498121487128761868272988043170320950591671041563036183682634342795476465333582686931639762659586812196828861979753237567179377343692586945576797838847821606945733699034409527638533973232735166731042140128909937335264489839751613496770397232125952
83,538.9859176246899,2775,-17604273268170245806006205627336574582354995160809764065392009739020826858790174064856067900449268901728044409622066952286558527447549093690631759132537148219118421137206526222028807383795291862775264906387138961324737317337734081559095408237203502845920703410863817229518061066671977097028282880792939624502260610318689013514771795898506365130602034176385442575658331694844954812192346922649828927734665928740817025134703365153902094904264413620810000795079728725086075535732138772810906214569669522075138872255957142918595076134554018192626231545415255415868985166815362706593980456110640516759935216122583196810429555717940946500324016785236021751552276879681737689863903207328830903782631241783425594876749302694866523420799323560877131192668619200962460941867549855753884226823709449641295087999883796631264640573934175134669578240,-16124908624137692462161699917450093468635884114908272946927991588433299921231177252110901889442829321536582478248625112729928080796362678708765295557004042368138905658221272886971318943289096899165750289467765334041928203840814700230761832811740393741483586493628172134328484801816629831936308458977662872588714193554522326238432667548409777656406023002590163939073581963199021991740094476915371100715137163554006819204229652829970382573274853306010536437906771279821194723006008031235668531732537340577353780129688987252477884948217266839535971902317376827736670856947939865037577879949078647974987795664055518734429910390396001280135530563771560216894305134338604818511113755243198184026313190027937302584118526122600886923366938878534917194542393934769329245319264647412501529124916037337872488558617712963978402377493517540389744640
84,545.4836648895782,2815,-13317436713671436525631454772045608579645084079222193847636791688893118811702621970354242944186065650367308229926492110363952833662381104010886634659468173273959645172238911797032156220927318187115064507416092385532946643222496976063950825330732707614881437696967206196646094433119485666150341814233035805727205625585352730994502104514841466064801249625703322723248888308376441949884732319722390904087274640897701270035253152544496160829635407718222580831325561321666468228742596715249780968585865084889695053543237598779477429913312901406192876211596131998389241018589925595258668831460549133981439481934763974533602792245351435580071620730134407717400490731648115714717526485693591206740612711386059570554553226777511087739422341382290578788387634006454812641343950384878569648925493840822924742792545435723803808218402621021271203512155392716800,-12198313832355568295482179564524357789260059011147596688199064663764080311118529159815468711593005961206914845758750830622759329549009798633083671023971520904883688246372072123173825077333464939592136929176320703191100385746634173127708047148369294771150972771501712295681872718371160793622373927250359874848444902234300748831348234865722046887323493712215961104905713376433662287456083988447628750603869584929279341959233412638966801452325188426758886871737183642217395672305334585030995738954309347861596820277677073277688061643378920906291755951375154886284913850789930430395372335069504139616810560177177637183964955040276740958855550312077427587347990079370705487081529313226182868864012548770373399769610154071882393605422713410802628441581858517375142941278185486070636879914618215101266534370334794512752107644490122606736747692658724603904
85,551.9814122832277,2848,-136217127799567397844914625507978550619548648534994461175407713705219806139348139107101127424294554866063029259306281884711018097566841688247691369978840705720808586172503165250359205022253268303379067469455156433171434377933522971699639811574754978552607470323218474936856614912243772172864041170001503127321269849428797644457795995986023146284263542952914077057551739305880986449612000896607191012690442058259121851323369922691982845345010894577942739298128940400229892336249369423730798730044389135692378715489604086604296771402384423785626411015228206274069003355527603972511697487765455069038357952433860882597333731041078801971319606835546408018641625198658189798854160472774863415199499672604594503839598826457188777924229746761517495580928034101661428572194066100171732750881723619629322430126688842521476428860539086229551878191878885225101709312000,-124770202402044929732257930476742170726888455709035455309295376305716786541446865037344200186165550826990556488500107841632778234558910135286294993814630988424423331245446418560243813096251218254735248861572762462635071143413282872857513123010029090010285009976327118936576172540496430082966972943971858965756785204636728608442715065473899245150350731865313066790098202876785730542843318398028423636309788074504540347660789647344270717739658175131790130206321107960360741008290693732770827776931814773086498900082272459915756419109978425970126744201584304089376589332701872921938994907775557948366986768110726939921620238191343770808615005115827809177789614711141909794793344666342090200489985531729527528900057563714410224204260536435465324888289177735136784312208107601013765637874539091870882767589911490277941522319262081337185852076748151314675442696192
