n,best_digits_correct,best_q_n_bit_length,q_n,p_n
29,188.1081254046025,960,-7365384334116252064843811580460479960175291766078935409998798465121389456134850296984763455232450408722888322944249236092518694166431870424775425224556449034634405208385852848598857612091029311878732032998314452812368134813050875223652097271004873010637510885323687453817904234367144448000,-6746438637942373444819077351414563507506916936671527955545390246551327008012066363414832112387639715356767702083983002245541418070022343095534230515483167489752471737841235101541655208936023866553407898569305232961024901614354066151118765284072850010078732236587427582488773369417693411328
30,194.60583432925498,990,7742775729213809557772334629054403189114699258548200180263172283281150464268369131016390691281067675992960872679497374194921252219667665265761453909745351105299366400318770821869353931246251786623114760513144205995479240946986382880710147034719831491922460189305831802842144329577435288384961280000,7092116171390277313107774629642812335032190848012724543497509770879637347883685646880258302076148556748868203166494585478080707391555529883755976419123041500350485838717833841510515166722806273934864965073293117307766719171586994118717518047998470066397307725337607553729707762168564070304910496768
31,201.1035460780499,1030,-6815847884047654201292294422414135836414966590492453751003224322824206434943990339350264873932294934123876497860209931735928375832423253519090847410645343639599501067021132654287539891241307918403829784959836332953411488946842323182596980719297939814587927781206887362212464686913070011884759385293644514918400,-6243082156933250553566220770576537721415811029836876134256729592179462929477549916110824444819973356627916309141085368953441141966065542940032427333249471581114793690314269972425475181156547232932555536419856827916678135537760858261201029674523981949214561116309328468910857365890428564428107536427736457838592
32,207.60126038646055,1060,8928474290123089802967435663639909653440114354102907534168946383972284542274362924557109447949047344982971179645114831843561756923985148921898077844955621511467488502602156824593213272746542059412810418610479766975801340724838125033169553192809141999131959651613441516753957693528597330379854602758081201419423324760000,8178175258248619704126374453165290830551605867437760184884672806066500344480767038311424659528309799820202544920652856036467424636359221755766865433732208247538621981956772610161829067894455565413553213252447914930509568189309258414854566560327623826138848678359076053004104967614451921273556259299369766282894899118240
33,214.09897702199606,1101,14003606922232296458473324017005935940153810111409184473018925653604833799177652136126689056627261504766404652005561027761059266703205084931229681653699710837378998547666849155577630697440573669876009724896849760104119491731774292992045187550751429038399776437337978157971329067808267943765638351401931009407502092617649404083904000,12826822135146722657539449905635287799757249396338823877978148005997039816019447354637414470052326324343003022934929717337956864363961991744901160059891481860005006057775843533938848976318218780893988058438956963411607879734661647643940732980998683281290092920203712139418862150534046650472807215190632980576171794851378081603409152
34,220.59669577949438,1134,230780407172942687130139926811026482292518166453081361855197910531047803989550793321315874228320420325658615999709375940779859247673470462351221693502965247972487635544928661648533170597693868311622874206129756887574774025525414878708116523809703007394028739315304077865282777695602845811606677138165170745072544122923251225330869202787212800,211386912780624985598204032438404433408367594967614484600810650619819145482113326527527731857226506664971939197437845613731785855967931155683371718442218706471870725830003586475399377521731707699630725871357025006861834693580298852349195697495003772568331918300829545211356428800034051839287873340229362667996495781064423231484345559234843904
35,227.09441647722127,1157,-1372220498197974770956685435561970455696816118925519059121546293323148781331814260841313145491421629664938350548084733053298586412229579867227030045907553016629488813061141669117134866292456301641169595711116577492863228263493526476182514846788812390223284008105194819202147306251649732202980500158009565868665864269469970456296448768150555265280000,-1256906763974067455804736749623340071993882353149732321425901568414775680116141987803172359619951900764601172312283549070074390012610347832298026472100914585284884899971029270502818242959010334279199958331845741493459014238334180759908375943796893598665688063357565034579949077944007829759518660232296694293510904782856892349136122243309066403290112
36,233.5921389536191,1191,-24597943958488215420449233552225680039984876931010765556403764353364609597445130498470308537067193169245996600881272341679691003047353311528664286081620806644202618416398688507507834485784549228339636098148226492127885381349113889702224005519805869415221922494506022825694321298276766654016679134766188808173730792975120552342605405947611941505353839229644800,-22530870353474592980283358583672207861661987838442801802345989152647794623618757550041341459495231612452195789452414984522717326989244668629865709439676456703906950538962819007016229154284794521454404457276769528395854491852066557173374847233602202537871136758284509160369826566420709283683405232046407995554988800720473211315976769274988180242318566905006080
37,240.0898630645824,1217,1158754196607635130837662554788273979439482893485007109374705045994450460744800251698595329815167245298930803623404481990979669151533058954161525169255065857703362747679950158429348151881658865680764234032406251527649904342615895922701187814057084722763758114535654475716691406979397961784732381470707223951879396276621540032028523322806039907462752630445329415680000,1061378976201058574966180791012073361257401059728755946231256667212254357105832058540088181162266216791727921944301787879383606873056022195162992425977006202405822505215295834215228988880749511751017957867319096071338455589729034072244154809532751057094606492351133914780425955758725053659608777661841698194313234824494063358021984559863428416438096955317419016751104
38,246.58758868116328,1259,5711917345165419190541015821983599513855547808003059829481361408076533092532538200444385007761531614603203490059853741758302408879533994052821313821202092889163318076734847246307836474509984811372360313275514466808152084595193203200255503007821814293752849052839451529357944694623980556386448832226000347677564647185912406265279476457896903236701576213144993664417341991758592000,5231919764955606583106422103805665901812231368620727267020934318317311340521830234481352616013126970840886787363206516915179320390594436340876107877972573217150177424915147206639273240850449416076266109234293820853702379276920776918885362706046225204090045856772363435401817834198584994647397893031926421939647710668614229325850976905773342879685605653957776594127404847003636736
