n,digits_correct,V_n_bit_length,time_s,V_n,U_n
25,162.1173247175949,1044,3.7,107247945093784000528808507689263939682112137479434712410536832592035735713692346868512261643126610626089223430101818601993204488708372962037572205624506838506399061403275872732097098804363531282819663084422664790374746234638022004162451626862192633035056965652216048175734677514556598728545942694635310415872000000,98235427752113622948216996825721080694490690852013899134251545276590238883957626496610534375621651573956927484304237301276822927117594539800816061967386347306397692365712392799858101410726448060502611536654958833986514909033754675919188975788604762017712828713255247605335360150659679316632352869306006524571680768
26,168.6150188305373,1083,3.73,80985046746750918609570460320008386573338013914316016919217319963139416102029511803671712298381603220901971376765893293191551208241922298685810940291544617286787507544410531995708881299366798027102086519174847843894990911282910701579106384370471348327986093329017837779321561534846536335619047097600655695370268431351808000000,74179516462857562952871081227539197479420464606778928309565704141826397567608250676486456520708756804965009943116480529875360784399954714421800049556876845802192036684515209266534158908923222560064549097289103986448329487996478753698746352072917482005604120752228971182448828982035620875097815980506704147261606275713861681152
27,175.1127172815686,1123,3.85,66207636176337600638466981063261111264444530701198210487431076254373481535041945296936938855825181943600830121114320443033768636808631032502397840994905736538640601056457743853041241995233687280753618889772896006393475261918595266150592927659122690737370863941708338763918978318002424026736838581869628432260360594983010622367334400000000,60643916809328211185612273102201709478413690158302853844959697567684084440524797993909229166558992979570912743739776962844073550604580339880907458510454719617417132315691899634870599083221132587108030746894882142492026318416695404295894854893737794280806773541913545296271389839951814145095343103195987495467422730417777964135689591193600
28,181.61041960636985,1177,15.04,1629354103111429529634237294976444661247951798477621148226195918479889658187628567435210676795438131948544390012331552086127654687290450846188164409941076812516264417851104057210381567867725998244665579935369229042446722555550528797569489107122512559027412540258411269867716210643464590138716729760913014497384782190083517090689566665149074128896000000000,1492432299181550326629149204213131456287257324682586901082481181157404119759755019575631958706888055435756714462970378655282136960880187269047571639251609498746152471847493551173939288311175468509560450054500153849720978166149422411573784757653784260262732278990907990744700542725399655067625318828597588574227344645325212080068023806365064795518402560000
29,188.10812540460245,1224,15.45,274060962117993453955426997794814819065738941609354735004529070438799121410838055331213981053654854815521709970186464351416252025624321048305410972379593963103972690684879715066014911533718748379604824925513980349475125076010832267141575539768419246580863553449480084177987075032509005998261208270338072363101530845095358117035455363848577355842559712917690777600000000,251030412007188185911862145082586283996413026383179005028039085811150377578799899496417888575375550625977915852910845966799153303912356804446942734008377673697659110109391705524960682255184014972816896402174314864986166071352558979967008031755650142143105470712249449275370731931243668508524069364706088810861532532578449711181593611297091012539503812674116401915494400
30,194.60583432925495,1264,15.9,292362762471897731228059695402441178850327492233278612833128809119272302737649405313438411610936108541220888752237808077888335918084213569564221693591856559321671521998541333688226999741507780477132712909816657727280674125786050954915016665983390584702992729722131302650120429499777706760020175624359427697510394666662679953793696190555115881700989271514966303381104066297856000000,267794231442864954495474763942034919700634923372996644948132549868139882160770196233290541956995662335868896185193535828129761515873081732869056920565573733120482805824009367556407544823403096934924074512141166780692647322660378835070924632441100367743020593340186729372641644986252135959781315404113580895560537837830568781188141793410166091302220281960854928780373292093731241984
31,201.1035460780499,1304,15.67,319249499762021946344688061941950239493530212057377316326876199128222827841816648726331944719262422052557779030831198335171469653693726842375649837684785537528952785188799536715527275181933810219005159742814462802094204016698698406750714295545297980663555879933639803449699615704484142923646398034790380514752019144199390886322459094373593149026331793424968512831284801174915664358408192000000,292421557740300372629148737968367436421989336605585104334363519475840428913754450764575295918259128307354850885594039008848095485300381011793786170675038284624782499795390123953704959294081234488518522717821778236097628874422999232991011632678288333809306343503355729770987883612008127232830493126156203424763274557218634861808047445945555860114794884163449472880753244221092263578997293580288
32,207.60126038646055,1345,15.33,388597118147056718265015255015317284608614187512894884518196738827748475159064606231060868830012683692176353457251659390789664793933386131411032369939566839671202645425851482014764241126268219665246298347599540950709458676203421459825158047225174300018875465055919223046016991806244807824426340120725952160868981839079192649194293892597980060695596077114904163717088258870241929832423414948546560000000000,355941590219123784828384132782649332176303050300583830657428021707882049101094722236219505081887084553049111417692687970604562396206320378702687098967899981362154863960845062993358003250987883666976672785356809340881507053407674005344746777211940964795297371568570005652034343581542383262894748462350668595380700466074671432631871840691988828458040736999060292057143874488773002191295565220026336870400000
33,214.09897702199606,1400,15.79,18761738441283880122512849947089184937789140501448164638614179779846491855933907578915308713227152275670552408657872772369858055897721850249349695821182406265607371506011797109886955138556163786010856941881223842338119059675157097949914368471999993044768261904144916320431801018748783276436334380509669820743202826307097309448671111404832506699901647017818888052199367827319182867087246651730431696832463484148121600000000,17185106899168160186318696810244349784381428615384182333701335903788544735434713649040374010390959303155279245409575770529176397206395562557181505863918205513315462456933308415339652025672519947647728827694911476147188426531648040936250887670193903809202991492874558402109795750613330854294628499949764404309703998217026585826071404998329437587109772551079430431752833538852826988155347690548366499834386011838765491814400
34,220.59669577949438,1440,15.65,24837288565870406931066232162367489932976593830013380100359039576171278444754670744254507267723959349812636782240719416751581287712791267871368337291139365633077049184394935357218201247595669701532388139602705097511396365947141224144191806565871793873070072878515585033869163501919318877563785467495295728151764099761612087201516169725335957377069038772699661082935643186613139516637499470451545580255881089674660642239181619200000000,22750101778988535227906317787004010826900211776236477814197522621890107540692151799195301645515931051967172253549404526116472630992043439578787744880386270072549515038234070488763049817545672405320043193514586741774852905395716036209591047360566810998498287779493019143872765908319088196275709000306877075028721746857811907399632315405624310942448400148029685516035859186028513587783526823233697544896055557762035439403913250236006400
