n,digits_correct,V_n_bit_length,time_s,V_n,U_n
55,357.04907498494526,2300,16.83,187042153076716239018328860637610337764718669531981338605481979261200121481542896711268857212355427128256927986483691918437256476020684490945493144935191686154863065848757934258718285066513648914695348655020513682054850508940313440942058032835196045584808938152324232616468323913032686031877622316327399801413456025119832078767534986150599950290915173762821094070266347109967118217826370698367144940092784297301085499008122825906047756774835660686320151622537519360517384124481464182754224097900673398874104061398608405134969289856820835832575324072856573668560746541310895709450667386815515542935981340736299696612971703221009443619763300052466578456835314956957216128151072008820490240000000,171324176879100743583817602033114529204451808599949979463439941328170236396518085817207250848967705680291015693503028115371820090312650038562028011260506944236832370163108850890453984474045390795317035242122884770685829229318749072602902128292062180640284643519831919996687670141791154807409745074708724070333314604617923366901767092425136037868145491651285164049693228017906962403233921436384734470140541401797921644701090841006962636116111515366090734320180248713199273640234888418494838254326329235668284110872572295741253205686858770893704995273218734124140526927803198035833754711981467840455241081991719101924157385985468418695102055142752336986009582047502059613347651004796704516997120
56,363.5468153367047,2342,16.47,693194911963479080233312508064798728773820282279641736407796867449483889006103055992047315109732412819328988397448112820021612067263417029190030931288475295325413643508453780334691469326753024453495007297568747804248881905922122902194312332063547691933120549663622899229252747913080701540647333817606033065000068785674610353888860167779048767760662467025384543309514956276227206735375170569997842733634723443137398306429850624573322033864200856336716290524876662760149912901839278426646956122881627653728320963094035687301953417963560755999486893196791097058512983296573105494602100201596249194377328679373453778721030723448256217103944266980276356889682906173659452268859963924089687437297626644480000000,634942689417253141571510107335707289988640378273281462026372905905684331904296848982993299758770460908113223182022146658121496693892681632845020547410825891668731317742441861486417953489308872867416506447215906957795583588994871927311857836691739613588563224162014565977417052679979068243543195433575849576083754002184456520455918193589687100462946034310363295267094858898021309799570751307003467434049094020934361626735253133012181526312728201645776734456261904711504136233202325388483531884560984497640584061211356434487865880425610692038580883580305290390433622302381615307579050159244593859218181248751146333444311205248097677053853623421662793032105567841497089423458576535570805754206584414918410240
57,370.04455612289075,2384,16.92,2663872704999349682919062619139944855827354696433673641518025020335877542910275669672191345967776293292886725959346554390766132551592819758781646445438229018966099854190531998636461012023995844080067663605400097824086699569274573432844584709815912428848534369602326889621300695848208698758692631195027855924327960014819426137679892924495469150249760288195993515198391476646102239993874404777943658019730934544942930670603400047936973814123456728578211763540257259097473835789313571248424558248842274993040985062006652887348889779362162123587996989305941051487187176230286538320275955022805215656080591715379532722377243450606922400142130886934372827452746015400138394311758282712127658626861836115512050319360000000000,2440015745047204998939497985336596404750961669491229354758591078507540492824198726695098688310186977043226406396300225682596443911054339889652030712819713011575154892362471443152416511395019908330163276967249941600858441141809430469079327761451980962039357225800507033829275198500652321020198324091282499659390859092201481312034671644440059313875990063612381214478334592306514091526115875118058539445150869068342517819001704655208689434830133599658434313265751434992197986243076688790285678454722093725660092116678267357626562762500589900094093757098557073735735224912757885876352871563812451772312519288871062462621227478224793713220639210667569145881208179193960703476817119423234785766223451245073609891543777280000
58,376.5422973210441,2431,16.81,531986238891491143274845724315777990420704874305559537574899286610126335093760047911523012163089587745731472247159351990529434427108666290431254970454261134796081506759775854363190471044085373889917321013039151616102329953667236725134467138839593729080479025157626055226414673141419733913352991433877376979350084402492734001025936977529136965740053786966058338612389339056727198338926679456759195544002092559832201283612052938015596677021947149746005366131124229668713395226530456594276681894686261169265985319644406629445058326102309552020620841890188793464223963207642261859955119633766787602250815703999222086376961313664521554426991915698720456714026621538886449380364073149250181383774131021474398894667744036109208780800000000,487281091400348663874436239962788261523642189028048194543328424396107113982762821799423262313334760984466139031980322119607982305159897531814203418835633658931245300595583904434793749364223184327864286561251969840229883087044581275401688866544000806418415774256631060927048929470864796283742172857193113581791682856410106681609768203482234428137686067191233419127385854687644878202875994044491041102170013449873009913628629077052462290655005001545667886888182618757260932039681722794997140673517265464535184882279200450401909075232004728536563286586596519013170211996994441527873038822422379915399146187385225508996842074105869599497691217421163592407486655224810198138840973908952215506897577463011751753719880239380256774317670400
59,383.04003891022717,2490,17.17,273376764036770446629614375296797068820913762840073571838501961991311184103285403308969339246700897036537316536571780941706533537925187527206343276255226774432923915274718901224585512897784643120112002331640171992397083232131383192811271147222293652723888395837466883977678946352712963144750209748471578761953668653318960103711364897756728110527767862758456830561077227067621866714490509880657251458542490125179881023077544407936720515075297378951122335138577629353299911871091048078983667951950516515959018017267821745338560028398606662285397103959660496137170219519917789664838865237856880252713857203360352090269838998977206899769342416752852621984941085973499774417817059628089574212528863907114259307759615575263110388780856654806332211200000000,250403710105185840850151243809728625500010935927302247365170769851309730484399674549578945869114200986256833447858167237260306608858591532498389266321171864763143818694307003133863614987862696861643098314393109569520956439586051625526353055870567564324915513049327192687730866679435603187111528646791636524415202892196860769106175534222781091918050967879464377753274795823457426427540577305275037394103577114984638212602337723277882196436611752953441989012402684564276306897601175653615407187813256410084472960295960883801978657458059010055867684209445076320908046592604769476523647688692825846195901335596669929945226411618202300054115193581768727069875926794145412185477496713876427595547197798859237603269174157257102082583602683061587876092313600
60,389.53778087089773,2532,17.18,1193262876046559735716236501318644843927279658796377561098477469852693299511964373241764753529029929563284256231336873574928155985864119306675116199610209530926734875987189766707584443043221340152582274645989310232474238525275388196047319284880217507726076564235633432818827423307118736310475914395447858407210751574941536407488657237853659950101461661533783981638792701138966946527867019013235515658529764324279831569414240109339324614469392617862392468306399105129014060187225748310230914204739469101555251473630219687220258651654309472847764166030902450159245578731925635502779729072456539532137691149114468234193747594424511042971594954019595421472987521039085705430140223104205521197661499896061761281643883077742129367124458641869239403295251103744000000000,1092987739267604331576000340147573994797117892268837270884522060087755069905843258846770201389263955523063071025226767064715989768368865284881893249372375055406110692486352243435368588430334908800123800115445794861782504518531705778260289240293921891663066711423695002973609380975117678837518403389070891284514647997436327790830937747164818183521093227456658495386930016542137963872343959415487158413830667550516781932325748012611718987971068298027516551739972413585250340265389591192809237867682005421027365723319284194638856675086765964935902650304076295548659991681962530911902841057842963468822545670062803834865252073460043229631086151472215223204399738580597020248275820683391156580754977127393429351865538842443642324398908679577759935081700394964877312000
61,396.03552318479444,2566,18.49,14593166654294469595961001372394660371259020396682962854876220223922761737832761908277040838990000825775153849075611713626437276346465101170489425272857391985281124958841919695096385126541675033664045170138340187277515989318343176144757173449458476435125501598277059878011207159757816092458268990504295218809630961603412463575919205799972492107698550456892807833174031460404370464920815567428223226646469493446483201591984099795617195588245160963750001799360981427999336544939013747602136052639719936974842440399838719349135368307351684292187833154396340387730982818010453710112720089421867106088386439593471891693962220623444317507687163545997328884163713559295449384292551353494228188287175826261865678711209097964936533324940036553853468269950775947637640344371200000000,13366838565428013115381108237962484876066907476013838962625015024209563219352615958319148618619755045546602885617964646529324551162400598299981555644234371759559970759353715839837649718227767211209802887734063005892270697601807297289403933563577705813427275737376783888616731346518801682336613083068073878030872523822148469263498751659556462073362811059592666339595653518171641014111553095036101324544679786672399155612478300399824586232657624734503341591859607510332912763829438652862983229689792167068810574657905779010887293476386040675666183869692325212581059056310172565638713086768215929649004674957863862528987006417313774269783466059954893621079091765655603179524413337217656076721918676411817917419916454882177241012511768899377294937183198082487054340114192793600
62,402.53326583483346,2608,18.08,66604648147894789142940405731622732068932880031228655814304984447260808933288377137442262938901210502377176249204707271916798164953963518004309019130027870852796254311413869594002451418202022756752684967860849263469429840628321385055090530292348369900739536968365985307531113519483628480162861859554719905229074242788820971508879664872935179558966452018890958401022126994848255915519902672429597655502166573049938024336408431469762121019659412746610417695880968487120096561711101749625839439236153106487005848559155522882406210131798860748813049119112382529561705914022755727354451975827472604157636606998408928434944477209528202220525397643175942838256109483206234292951125676430346998998353184619172536079218542479473401772965182625741639571899160723293573351390197899591680000000000,61007566115751060529646496397821176097175061814954470276137113746584024556096719613421124108204778985253133832200079402344330785850456600021198675734630270865476691668872524352893576257437224291031278463864912401171341835879631951038436528392202191558505626665910964554591120981673310332110978627126668253764914446987598571927668407227123396724174052694881127824475817025216599489104185658022616872882559389446622614215502657137363815262020718831161317427194269640653632412475219864792035792728957240467555580496774784294003699000670100393668593374240263504394272653769340696252203883619504803247833086358131112103230386195787359678841688718826729950320342738139911027666964208116291647085051424553284767046074644244504123923526741808681008828707761974477949605656983689917146071040000
63,409.0310088050152,2650,18.5,314092809686937940763471265474041934500451906507232972124754935423930690444557613433937225888336823544643075838792684021264149563316218839870585574086396234120933736389436777798048403826966806005917296755109703105023162902072583202799519730590795893658139566771276761904217707120833514222274777293516761511856912258445176754340770202641421241234565715932974912107761564508990730327738859606987091273245504528689561202513617326666429381639265761606626089255108741367938339710031852136564518253851961432825232628479365228422803196990293885359559803161248995603266577584829386281750669830373959296976849997480816435901754713598570382147110331921729322805918730036432483537692197744232745697556534949039275456631897800960753865880323406899654355958230098322913358299253373849379476579877262458880000000,287698207051688283321001942833988434289847880055601495192562527213075526962507528073966967693666144170480050039099940875617691481862528606598200769474771224104380961284177559043260333183579469687734970638576320886635525018303836711425063955565349034904908915153308568767683014181416978082343083533203889984448095619410068686397025610408739957363328812821953181890464669247299209086206765305004839108804553293008314798630565277916486804566781574823111308016664754309784984155502736378876976525271475840183167859943893469767310029959982382440788280907641736152390942888131558690066741479868494086654367574950707336763378972652378852614542480337393709780557960000425717985168283953091964701592475428775872067260662970336871911830617863124520241387159724194407241722487758909062849705236363402685710336
64,415.52875208033953,2709,18.89,224377406458224781033504682789476890184923455237186874013439384702279284533353816257991151031230380711904795808527478556200122466486804525801054425078351426164475956304928956215860245578151504787740727118446252524667087528688538334967284484561259277065678548870126222808757786648485482451382490433950132272091851986271138311890024327897934670369470508117051024257456443216063141026371689595688715545559268190534801993244619764105054470222615198293837550970116367454450087796708153841335411969799193150157346557827338128088553541153862034713625964630561731934885820530267552029720492550088881240314019398446074800623755097172108184348673819130672387988055261335388492380603654852199332022913833147924061346786689168084104369001862262729357169558356122881749484092368639535429667850741131524125804331320654233600000000,205521984426451240717907080080424454394016430236906627148286113312675308413966948857823038296672075173517820254506914139516423041994800151149598239232714155810029448624013801076329374265377058900737482206655862591507175519934773969124394544703774047133979497580097617440169848716680292637539195084805426439358055854200231830781361940205208755221469579271197980813528384816134522326869926278428888389062663858801489615844841664736317015479989835276771380901378158902201734651130448522412409678705348671428980960409534686585137067094059247087574367764568107983132413025643733228453266764878630748334690967551006801237893726001986219357996927356262081811944504614139040669717960850783815087207236151840280146651672736922652035120966849046091124864277648383717108842075497666804800636450449615732092987012393804989726720
65,422.02649564672913,2751,18.82,1151408592908159163927797835476073044794808572064876247051454888801640033829041800630137491688509043153203314218334081623584200341598989026674967976998596282762287924974831948760488788580092068560887898795220649317628868170873439575267149358509623139660445719067249761897163546995764560666528341591191635973035318208447277999254154958190218057364069104951602208916767320818323014126782461922879202434109764528507159564418009498655740921970844619303513838672200211766925168369257434270867080576266916204884595134642178307213505765177763240151332533705619758095641645882082366970512351786386375994338356323482567936984553931477682714635929870621389831806371908770585193843033119776953537683385903426253193398297490288234014215014536228527638461104461776662283888703745903138638444086142891754295831503232065027314840064491520000000,1054650655943877692794259626274399429443215502532426342702926017716735872127559255461493524556918438225695221952417178675797225005718643711180053654222447036033625880317448140072629733168831756377018740143989082697429827031513297026429540883543209945433165517094894564992015360697938208562540662148406412308683596728933547441768149624207654186242492997645525648925578846737745972164947887876974593168254299352955499273203198932675951187368072522827194910377978385954295830936942723728243031141409269929373500904564362405611003785397412703037063052020694833222014343366862089560974412799839725893711791916457819056490297004156789390132564105606762903996451850414395658761202256760205050980520728613849756536976649244496100940275367692293451818415325395047142475106586940830695323109761147195054240564929333544839314243236443193344
66,428.5242394909594,2776,18.82,39055603159602679695375194652059342634331239390109343078121942718593609396248667335791770096762537156844353951594421283883484324078092713025700643014828652564912569522023850941655318440222095151377959569190994971046345013694820517957837142705714565551714624176941447132982648436611833344934007228374419965081788236497273597670251152953049223592981517581429372217545616382506355686718237887390623057157376066903351716586110740144572690841673249213641432783278080511977895595895683752940554221581292848469733448214789950184707121055928507150622648362008531036215169875778376811060167528966058366466407633851781487052591672760844368504981657901740088186468307786998286537183971555868565414268376470815167069269642616906097128564086570765293904168425406270626965167302825013106853382920927195576221993515281674287089329599604433879040000000,35773588754035140835474327119632684128874101289945020683975636568906173679360114818356465171316614949077040644962647209580883417333471511146984075434283308446223501403411869346824347656783308742948960041864520055549712087727368401121819083413689696354264413930531833782921818355270798559804928417073189160153705506993153249431101499355938003859238250972851406717874698620779597325548187433129311362033164801316033596116157920964216318015367677362844268792158453702959505795485042318462131539606682736342311941054738176884871077681692893767757719898527931707086534458807117394812366212223094068720902845748582636377668254766451854458636498065150953399537156603074110525275081241080969151540590835152465819136352089117287638614312272550362586351633354282197563152135618437740770902800817799513410626836190793628655872392285831365560107008
67,435.02198360059504,2836,18.9,33582006777615189490359775925158434022088961897630405802435091908502904010480382805144038009479823218375048303822931586197423311493375000795481010828694932090981328397071723981641880510863148794534751603786427259713918469589619227178738467350427957478819976827582752199734057673276101748667244987867334830424727441063262257493163558917258201640727508039616646325620371922091742317648780670189256098878870484746664175327817866954928912207639959115406440895341023938117651841381802839570757638755278250082666769006517528607863384542485531292748386070173819480423738270562181508145608679469549961368771483831807238634825637779018159752623363605394402237945418891959949064523288585247880451559822536082159833946978500607039073167779788755085064161748193083246183403587384242751765635373586574409705837261966214284193866510923080444954266217980231680000000000,30759962791721693109645932968055491461537525300973872352136856092841585532776779742369204033359845656260053294095209191581128564259387183417730600901270471377188136296616506150945227041817704060637595006591094616325604172437844316250021424150936126316534696755067469204576215933925394307577428554711919748527044241545822662463456387376037447784507611392688179019989556895366042281194332435960868028476886397855619376295359103610308970585218231648276763196294188291519039896565065637999421264833251180544938145841919201094543722581243625980222375402055527168618463012385872296980890513075527599535144612984505423399686635447213706206913986218569948018248292382755026327260734742671702418130056911360811798279079964802863971112550576755147645354978845686839951794880422411220249779593997701617644873654007633001115460091566450304609184841794691736272896000
68,441.51972796393176,2861,19.36,1139611658947739454541749324785658637835120342181719590548045864027653990083202792527585705002321268358585658876725417866010860226661323193147354107516788389045870359586071178627317769098005576455250769255017880588821749095229518968493116437169613854906384279214567982307274069690639709156261508402368100119329282550606954872208201321104506493753488290996908959793738511117483080181672154018732393161922929802947431026627274053404921575737602940948246299406842757956096626558584320604878896766236636401519781754493483117272493778745673803232988893851075652939774802167229762121052262325427338796734410659780448911153078685230926767726022731214194018556210075236792208312275373866282087881242915097829658907360614758697814016395158269636857029796177270091952625448929978236075969157097457142564165778256122417868528623306350188390535720688158312944382771200000000,1043845070319352440180030542923392748431570401585053306268704132817297954285621020222983498165788088801033506095899862344551296616359039559479429803002332610889072355910120504361991666922201213999841388914214750737999382346010858251923994615727565160302648889812657011411048541701341356241056272499051931508670807866840238414268160522081903640256528462947765372046087271100429485484367099402910181318649270771984443795341779508233279085664661496104234706082372755960898978910042492102765527611211360651543704666750684005710074283380614565859102812260665484700247776619302715358527590023259344038784702052887204140344745705161049780471510430008136295477623441824812393034910583984474202700891846490785632792294985129664193947634088427805758656176348037358953190295640655810576111773775498974540243824072116154744694324088826916403703056722584698491988031265832960
69,448.0174725699436,2903,19.57,6470645653085216631955134227236401867496152484661074140144543340023531002029218786396412712886308285707767787771901907855311377029939056196527476087456970003047591538028317634458056951169057646790159246337603849671214248632288947792282302228281521233835314131412589275185233329855428173796736872303987920283707141674583359876863881055803384947340256370088433754759711883607352496871666244047713295807245025103443251801117227180743051677893605681695012029939407697689640489210655423959866254233510727452526326533518255332013467725826772824451371741842202519866673365642724990467799222960286770193609549879491143453786918167705343740065788994644302285387479239664969880925000837863750929482722703237109234727772489718848217571664633895654073492040755616092888303024128531193408458515342519398599637975209969510488240756968164195316519133989246159960136728509932896256000000000,5926888790338439834314577702917433189869913680654794955619983786193923752560928331163259954609397845295599247962515034614012512088408675972245374067633502234396458167215900228530535151234000831847176187673770359229824709258055713944466781659340682744926113781592890677031112552063498312816381505332128218088975796697901563129472362485679007985005442351390801793875748438540751628665866971702553716195614666161902356824377386955848133319737872547788416394927030382339233840705876859835941222534849419814173634286782586690520503535516670227821509983601800772562299914129520828283628841972104635151281841462045176721306971715016812960831268874619260849791232291043678473060004643404035796579789897443637226035276698567500619196832137015036072551696819893858441074136610482509933167736927252086175382468826466715925636009937893635588574535066787126923592955354126552383514214400
70,454.5152174082344,2946,19.66,38566565004865773130230261838722762085188504653447745995433518400049085546745214456980777064464470787245518460822046187713140735071732290231627523691483873601593364367171140141035521599871845562712631192039899418475844387276898478587440634918577697952445407939907803803745611295296976428905554356173071699215550788159375542318192323438149333839974262908000708119190523648325687085694686544458034392015020602881742994510721523025688391605646771766045253508493455072406940663505575460961566744541078833993918059076054209882696027773872375469630524272035920831844640109106277424050180890749086540511724499322224998809939128561098562621013942814980281547945556607181098293802138508325190320703091344755870512339031002980570569965856180388562924754081048334640599999004760069451708438309215798212498939638244705275098510560450291100281287363355172594189000039028376793100522424447795200000000,35325646630056219439702253671368051429843457663419774452919013071637991438889302574428230573158488429837502566871826786823592915753639114785354391352123312161690713388870035781960427061193187520023926243564379964684365172817643133251018813550807365793829099688070242766103018894813552532605794103168038820435875032918542365643325163679802517476461893394767493565985835418380293939013565142413548681257149422695186874348780531403573513345701161214200011738914834479587385828292138054462342365142783431482855066031092385854677897579945636197823056431700875864734776819217976851620486546297092118978276896205905907848619460900472307413941097248070808534811346678806911234747338260233124088572779938527612192193110342082314952859985274027206861451356229946370539792572042184572647111369898959967104539429146452850610077575018232168975117498165933670674565548806476865810498827598509144801280
71,461.01296246899346,2988,19.74,232112772520900009743196887564307051881030986645349914810606070396211367368224084505692387066385935869370801931860247368093028367217890166650999286876340188619936356266105060176372992375717328264549133187215664707687135995544491161435471714452735317368429031995662855446191011253000049433652884577954757387670863822289168669648202859716617003663168756574062284286950573888704913575348729815250125564096599566023521002800259523060335993245263277321206028998190764954054198186479120514685199875445615502040829216816236692645538565807181272854601767281832387569662236577811573727133477624237789796095049246035479191937507834928187806387307920774730499838466248678316128341230069191444871550843105429332817386689774659882386350403786133574327110951806051995736897131774504796681868405565232194255984346189732039797372437435128072154278897918982470522997614655099201891476215966943556632663849697280000000,212607313598227851766780264457313517320644167155039079754980207180740786698390441703495905762691306615033625102029874921832989902650053757469871041836294257274306410306376225886616387087135873511767285261640214441555475278841134757349064834495440786082138750577550289510252380666095850671003878328138679283951411242519060251142144071825891680141147705136245068137125125783904736971075588396849770793131330747517009582905533586748826004216187855832882850673890599936162351405328634863981602738754879604845514391652258950951246827891608597753675594755205278688291667598545932467265407438846777655057112307391640408100240249686185061667782016641286681478858427988963731423871861441275264258426253346552127681265603194844948904968348794040731128410047933294715726040164468526795345159706501734520734708485336507235299384247961942989645303189069323481310871260000254658382994969456899263157741740695224320
72,467.51070774295493,3031,19.94,1464413021660476001895486695650228020461176733878799454929264576737748690606724493695673507911500007812624445842842288041793024307750129534908932451990327004327407581228030510519148166591163222185329787670148244672338420516834588551128521852226762371150068530384429990912546596607689990429220971121762525458288730348358802017557145019341539710201602739401921058408773293097819337832960955015423615811871132375394878681009635325636396265608587515391127491347715390599868862625085410738245532320235411481057267919817201465535972649782394111769407078280698408089343857219660888280859653673192075279312708577576546010799620854536188527318629053240126704929525126177234700266845358098496806141060328666279200765234605294680529374473050105346337601774646112271021007825448028413224166961769796432457018294697560510771739790992029441182128825888093686653564726580830698169893159057327364856651785912531828670464000000000,1341351943506094600730749916882830147769056393232626972487372553594216384715642689900533506597346051686655855070378464828295180293457027289899291626038092226190193446066702776234816279639021449684057369195701488921900887706403427162226906813993229336562590443719671828214345668467619523381342655090802003244941309599492810766274406992057959638641105315448311358656776526245792780138854320920508805181300870153817754353950812015138849871550776308261095575415439424980285318949352096458511889244229223471646119688875040315087543551828497469594789369302150254906891167420263955719348888095147497261764904528844441921089042583146245940886855837493846852269419169054840020312184223669421283210382870557457849853619658028387159652413702239784691856784979504387543023393402100785558289292507476496232750745815425883017429959339500480064359642573362336939553438755212257781247186208259026542543931697985944575606259712000
73,474.0084532213604,3073,19.68,9326809721716837744869541924516747338438700517685126011715508662742786614932796720873977277595497836982801416717354927213279467993731975000525445658209124297378770315103809788882451679577061337218084896353541059969014500235009301115233399887351068032447293196424558188039302405698793098998142615800662436619219878743866842230550979913234494950391852272805880371420453240932762218015874544418649861341125505141161973137124552460449737189286356873692413752990346886443429996266589566110292506713677667028204712983113050667517001484371172998250520041563112801902811501186186245549665337842192588700228028406146671970935132039096234868847172492496889310192886431058587440886995677595559258254469417421238684097024966354295145568764351718443326431594033748944532236468098763349711794753490760296463402380217446270340235055482408026519633009385106929122093426020123668047943002731159427837205275912134101205570115680264519680000000,8543036808530226017265409109369757804745343470116380711500962609100769431046981216588552151212483570235141142411857328625154740557228632518398800872137568154626841051052903123878957912793325567344667583356220792961091728310927774127560181800535917550468849951320380306672393512866054672106524816168827949479464114059820073823741606389262501842988892194617535863798040717727537010330811811219587125807066232887487667498454030073637120581165392571207552417781927363446214174252933750983866229020474078991287159459070079482203183280882129259755610935563191001014352885740600776129668400802955965365928862108664374557717853504326390400880268910463903761968880848182575407272814611544846688640413913316547014653470911186722353904343453742721404638641210335077648481984858518719756743219648140210365890663429433256318118623807488435903601886133062587878066282464129658402902722311321224720146553166611912244345632917307144997437440
74,480.5061988959248,3133,20.47,11985186956691044141908266839612548053534113089577109308732848863927008654677971138225743314508387657653734781133176332548184302000113613308819546208504088743436813613657714273154014156770952599623519099272982115010488362961444840112070669658631332696906509471234809351482832436145362083190333176813369674792662003480424507119669739649496709715922831512562827332269012913979899729749907821146466793333411573304690330738844385403305538322057190770903947883186793859042931469911793118407096125670413466115004267909613873556983646724025619157033024427249187233325124061995722961047924710397873083930498896923205998587612588894049391088616171178163938144248659919107008715005385555648573830655203168987880726032158604700104231885744740568824242695628788878885469721453937977036005886927364193396873573018308241611208448275335300211419101309255813648179437335214285729781305285577636312799364171322377022892349272092910800780791072401181900800000000,10978018892110567549633293766363808282935835198532757652060170139214993952601070849248208325506369923280212516488137026353867109832050610429110035431953317535902857639454778271983942972478935815680992684960128650796358177266239578348472414160255663432147610278769479791096458800597183073577802068833649483127760409820166039489925830922410574588946105845650107211838457348207204726789893886469726170982663851420206240827359261043870260671621637561180843448134775377836461286993285419311872362920598816274442146885256179098133904802305870531884404717852370666955880559529680851306482896588950544210747234848782093652576346644534869595700286035356134582829602181135551931921911966254814254071242174696189522962935669768600602880046847501950155612758948364606890536531523980010067386026726171236261018972576136265655280306194884110368318331059173213070958947654994959202535756271888135594651135157057343400737543655638349422915431483311026234982400
75,487.0039447588047,3176,20.14,82109228820965198766214291927918966290555171868507051560127412241719065171671977940166333475341447743784787414415601502127724390101594814644156757226444877400316797993598456224573802022651949587221725949786849853429742423128464261760907367001207851731623583535305706383466828155940671960415478770237754608348083785201323015878024724529475058398238908917175993687633872415069628272601627567321453700438535729931645909031999063793195604775360009426068374320724466198163895078144430563174428061615695650902015187555922127118774120694618285131706577058763093200931912215766515742287081800954999420864983044056776712400210441231960540914961395522984558121038562805772549786433962225052811068134219781731885163716166826863833008327489329972595234532229039334185681444092687247812334544378371477825253691050925769480722871289230347569571190349836445527023888197621723136009472813547023139226321052218370766351607696492796622158737141153148337509026423111680000000,75209228564428624599768057413685530261513153919536412077985921005988547544625093524973574410650062094592979091815291120541877413484263908626791705955709470695154358762054867522127207707616976968222158363341421352213021445163184409556213605076489699906660377286944003647872723113719847152360958348786443620809005280078205664800307052722434709871191631039337421101313364903301431023697562334019615866518462861075761228837061922903225599125286858775832729134578630999488584773796232155689998495031977274225657837848638072729400589171265476924575408188417221554891581857245466403375603426260998402024780536738974816801037136737135385840183943325039891607630569775035652599403229991321946006171183843225768827738400345198676827881112049108539437874028274245867837428704191667731793619478363486659491389012001971688626807807534121964174897415392081207719953948280543470967053476685665594103354041458138235651152749022522751319894094920288992516526306764055904256
76,493.50169080256944,3201,20.41,2790767307434291601717795089273455120123003352427558592934366784404248180633102812346036238024785429230101330183514800589067692037353022212077181875121109495317481519918992123273448195243153016802166019437868682778172634551260942787782466183994118152279090208253186481450744719821631607219335339638839344809055807567046705463818816283658167783246791322543588201024177437088337422574884786515802561317033278475405141551361810098950136979387612808998764608497240510757031044254340687204194463295093944865472130833089585169580818018967934335476811622353073452413684512620049028246924163618641892087490750758246483875764257086345488401380727239935890488719094138336757272841028209663561689223363540259049276735468530710289099827085015941610437565407758920619066347721959464870366993353010499049410737558081316165115124797730396885542269045121043516866414837902103476408187863826215537286996321264321408714074085159604553281690275605584055979926397513424117432320000000,2556246834964408556406744638540141041102856072375604356789923974451054404122329838852376166546198607719763153640481669600597083952994995819708273934788679990699872434378742304040761895938815316863982873920211666237752663193586614988477731449990462921917618005719182806864481697906150754703883751605482932857052741292977286004464917496066527491482408625797284231345781453626873671592330296319661736960930536749029082002906336455514502589962144747798307204723589907266820321455790790415274254250375785700829626588102483449566924388427848493514130702557967756515161642128809852274776508588669361417734073687550799989640552998633933701641732142235715462969286893336368581437218330740629328072254265166048050458398817524224696247108953518354655619343811325509642574888024904420483658148343230214053761940648840389549947400212338524980728645352408292896551328933157254952460130249442320912377735021157929737426884688211317348133759022621874667541751125264528306228690944
77,499.999437020174,3261,21.05,4210800728176760694549722538088645268086544473774484040531339908652446640311219955110878488635421459894631347910833054164010857650966059900268999640637395637735534149504064131132978423276520098737702570340658934375526673498882812916123101923027543726019001011895174345088532333818256797775826291044743755797255665906268632548668650850884771288354136799328834370886795138771931299563097294203310873305998276729949129103394935717946878113438405467337135492099896509549314386899548658122301856684293420846058711556390081041823878661224664844709232545256355210333247529527096509617136710818560712477975141358656370443402886814158235637946838341608110019034123733627574852903105183531394979567282321108573992146853344811297262152500261587576071898501109689917130783761983005028071673071994630803410202541042186286902490074783024972135205931753113398776394582472985846254724444447269232040683641348835455058901625793345366797172754537767372052354690553052542415267305147713191936000000000,3856948590946293104217781963752664924009275839541183498294481737554095614239573159021958107356219084387789977271102984816938892198429369238877003673150102254207964463723479011183666030154483343281935634564841465094795819247051352077805332213398023031765524182992007174129155124413308786607411499342728088051648547834294067273111020318885306264594642903890343025792030857889095998619622776054903328230242009248960211397125201146226641519384705930970245510477295770852009452483677356213665286834077860721340051584483695347423800840082671934147185878096657191176940321705170219764028591708018595409498463906029422610320365696129504914278833675307335550883222282333536998756274233234481210881057895232384706798878695464586145849721433729276909134300749153401668035494611689454960571531297492554342055099152670416398206019236881724948471984341829188002547776000120183490788842952646746055827114295849764184959763764332393740806279240852549085609217378834987046862685805976750686155571200
