n,digits_correct,X_n_bit_length,X_n,Y_n
57,357.0941379270984,2242,726021226583550067432738917120546879556420235395467784000027120223863459175993086511286362678444569341672505736516706236778728290207782055667799018549333487971727778041210779046437139922322165195040550634203917893811619115531463621510774607624417013076760580837401338190976419649104473056627866230146422069755205633602786726967053202507412951080011376054478318273539349168648308545621093075453594910184411467556844709571504907234115464218385771593485413905312908225954055442186325077229787570899261420867201512293327631838086383205134924002968043289833189224452277169347453238845267788367764581976064374448628879871127632656357998943774773728856297121458630166040281088000000,665010464192874794828640626307834765810037923741860177864903632732402630395627468132048122332741716705589361949296586951462958185662019619132933661948727830698334794669465376794974647220934513840923507577404048565493370859747270584413010744237977379596617173306972607118499639590884617734418689080072426588606983476891317707984227355414718595801740509894149626904499608710342306592226925812193462043322658574835134389333576900421770263221806254424541125542315525803009157698388607538299120455511143499772677700855134923151614737221855223384138041123889859755600308190155952883031093187972880086207383939053698317713672280828893423750278909753677382657020053814994540003590144
58,363.36375735458114,2287,23519583234144691965631561673589627429954373624717783602752411244972372735548233842048529467885038608381366747464522993390975837144963552074836013575723885865436349953726119528134638520698952368026176089846673259586404196761275549903722193592466155207854857575047269595375416497849932773683670870939807949489301562294256502349803759846158962955603090279460309963768365147945822354920338223796144574511517441956422319691621405075297655975302481077438527491799394639158076673899931162291580099294636402780729219276930485947322026349683754264024218297519511167649948359442488561325822441349360894251847764577561069168811153204203821314776872647091693784941030906359828024391770702872576000000,21543129031863901233496629565453867079139797887780122116575895341255439872067605959452448789679458557008795213994207511171448143574168637597933193557976103451521957907476873183107020673739549952956196029389310707265165565501151461714956309738439380764761366814381417068770103351515012916882321141782549650521025557063019077304150666637569391285898795704576820659716841001217303805702963001573765140135523194000838179242605263750596883974945401375491917406517143105036125092123212388984368504990171802435757722098718268903873237318658437778536529613259284302803213704826173409890992813256069941383003567739996935353081663894106030558287346399182331298787078569986857415131110481692865855488
59,369.6333771134011,2343,1960578109887313504602255558661417421295135783525361909700708011140638831798661440296010976877193222271357619571508701275323081937394340932182058523455121940712692700787020740931315664170087407651267247311336564657787882610799795548146848959457840883157362498029694640007181225727448543687823318323697200367569657249842519732607346767989500252542613416217508453443736633519434746745340787141439747869443072233970832636366122672953795815123795097217905253172914681409056587278003276371376134478377326034446703974558874061711368622641534803609235805567102704774719470245413689378851225965831899075872643196574721144799820964242928494041403080988196674948107517380900930087357205289045485025751545675776000000,1795822093353782108879072662910254089024282056281336184747931293131712613008140744388681855907773141779439340197284565831685522713296850938704329212021635320095918095733298000739980965083440775007821911609911482300987663498703345409032640515230373554505424732683231343745827396896596626194019266728980259153741601739452804361045094391542380644373111519351363505963195454136301079031093446178045867366380211687536464720234354705967509127766992961817842399149392277485760638233550580828643197511202068748383823788836403487517695450990553955379679298570424487159236107862406291704669274335434002036767483665177696137416695585971881182085003076334558761649806656001816638517194136599143987496485254787799973888
60,375.9029971870006,2383,1388199758373956767265622626473328069794109079782044613329170497734435966929103441154497540464427186772213061919952952949068351301015858294319427678798178088701504223931932265254573580855238414146866704773110403678514796312200598766658404668115602103302251304277841698265960955110601565281592703148651023668800786900122740032167726342501968919327566640736047217288517840759952370664814513642480485210663457349639485664014878577401089541800037463182850880603924447162530925231668143260857918558787952635706340465886164288281985065370476409098911308499743205903567816213352686347088309685111840697429009700774951437421982957447565971389543475193393421231814204828376902094125610629144138156269932830632173589495808000000,1271543216515673178336846991020384318696324574016072052781051222823311302514814513504316880077653389521888463889711487701959872976489467945341843790930422330724260172778702114169783200657374688080283233693407365027924709610271154364289856005893234262074666268431853049008743796320252315097973872952179698392384211894569231006274722515093486682936091248954043737198902900477417273802263906626864001675275066036204188553402126404281413633764285105912637367801009287243172418396707014168286375963346337081616513065002806418286654009852523138754726375804515912979683300461631113012261721858113946772170351803254461365876199399188988360838250698989256114613479134328593638747646911274930711943370095426738603284443015675904
61,382.1726175599074,2414,2753966291967874965544254384348695370349851913399069238914529208013167977991284333785878559521152438642178092973484760575870150817040667516331490198109930156732755614423775922835077238060803702060960190562219122840829723800894318975127188686260630432748193245984428885171768545987139235851261754100424942642534239721818077063511102184745291449961991976812652310844423441643722229245674257247447461613104443857544821850566952116276705574330022993891980263321978563787957067872178885340248973332530744440176991389281404625853181708141191698247598025866002327585407763749230345688727137003302098862943894335364004704774658231262483072123727089389357097047800121363604732924640860842844365676970314292256210688707701197766656000000,2522538370966387215488597953030719119401053047692428830102053940322825839247900213511232957526618079773589518143673743667145304201622209570091856946565460007897791750588613698807298452299126470724964044262926626894408171201190299878436726127352374616739917928464062235459472975587693600999972107032101407293391499215247756797433176748510001146424784808094074757054489724761939841655765651698584581624136448876584563990270239962557566264362844826315327036243196102196063711508103277185209880489128241299231868761404982875315488956055421602220493776800508236325015428767907558932542249607272073013873722576228977856825619790812165779351990936607342421617338302778741755428965969456855809266360346073875374429726631947635762659328
62,388.4422382176466,2453,2038951147415823006726270719777023787630444989453166247317051469552543677555693132505884799147330320595281117006327096299458276922374848454866566041774343048158347445351150372124388982588703473461320758263081783497946486380811413798888610092017610306023636091045585430731422297270313978143084515960183597583585443563941333636614254939163288919697357120803933326115341096808855030194508264295551283459375328173657177563554333035506373341003881152029881488117700172954680143442944030349955239649595933249927759908499470440065120280269189498085511451779967524167115886463923780849012310137320138554110087473681326214533744296994325883457329584447199157608749453471334962841008710572554774004118155813531120490746600175950817008426156032000000,1867609099241056799444380403336058820635809278946219355601341584632270490888128525032863809299553498123914717236453643940695373696947723402483023706859932584910944910246164301569793021807259067116407374487522939371572872420862182491808233475073201374100379013246994188261294325617827177726219832374263189645241789932470435962063251677131530224022472867255567597310157789071216340265370742716071597977515392811685757389739435600118252037303002205609582189268900015909004429162014589070075174563848157370159405302297358632737205055285118144514694913559119805541550464685960490160408898547376131546138921091945942366108557409781141511361538219113504810422022171940497186523324412344495770316359194127354480149895193282574157811694544162390016
63,394.71185914666205,2493,1559744428514077990801458139000469072917426331844644865560923625683206129665880077507384330639826356736352046972680176688666888088496677780740829808730949352480406833491920441483398873957754654996629404583431898565505562958002054545465980941013968175217901064527872050083857389006565622086953576744486922302144611035077204428143869928211767608423491408231963180897116643950282533562060074628130853041394593903207356846226098675072510673257095491632998054861055298206796771645590923618878501374903951382388112899475498795814991366362080457876279885074606023191476634680553559616087758403878427656807893061698521752608378945100336864521442589610428446172232415175318205903282960728837328519521395423489833027007821392092376976437367338608506175488000000,1428672232228504355564954483711784071393687630650540282386921334371973589816179694482423838289501613140416693398245257347121731853999076360417003584268456767689030254830410701207017727665451951628207809351351091071235945106510042326869686631179515862475747260176350110221744802951765560025845666378413478085621962858298317438236327044785469540580343746626635371371279215102224519258973069870396155719646651160124918974961619925414339487243382000297840781651842059233287917088974176972453772524095096983895783539531419469205198442811895162863509651322377331656576592567250909304162946439872828459354209627604644378410544463838642094610968987506326297672547405802804917700928564686732627381554904108014704913682175022776380875203337052731416872902197248
64,400.9814803342444,2549,180745587271218711565816136017188710464015544455348207090430426233867620641504735260621848442980262660927420353870463058347293920827185565631733077735689645097448376591302379448077864401546473445570717213950234350764254747348133847851405635499963740649844986297653191947961325993836527041208809189478303912732997923502620119930958412845310160995999718299868350789951838571472751453217517939872380073737000243193817949476240252614030894072588333750595257345386916574701329298499603366273835444043309946326186407242704132848972302081794779718805558386167107158443775698450743881693820981633443524173449819612418700137035433247428792975182353332901181260548300488772128285558900694077463242666842750169943037292250662550949557213012673724127955586521838272410288128000000,165556739239792241194968709408558621064610893733097436215674789511474340317420990176279164656766942453689750775915172468559237104771926680771884047803973863351052388392763250057696964896425627927681910369322555209496424306144856969397445077367390092500267592364339234923825888588345789038588902643512823400717295114614523451411064238592649565094442154181532795239848943061104828677452003075172991972564681802658346243598757362474461316187547078493846811183375366153268411809739303142006835546014776277976820770633537542600873564115373352218200765140443151779936209982454257121983353630529189181846066599868719151653792575409987839472516262051096400388603402949576501533118275753026728696285214014123712603045905240363463383989579686170331593252033539256496877037682688
65,407.25110176846596,2589,150456565103106107471331604289502863845014914516449908051840810683783466278860930957107083092729322598487224017210916438557939849912690653428959370542259344163337036446402665908070429398442627933179184518738462825408988401072868249984741752364273106645750850525981694876808813980373950795832337798434335489924105950125233377264782516149704335040285145554474900897888066856168228601721457892010308601812421776928038499454268349836692607578435257553396610715126750923817077040143722475369769177172143618476608385241431025766348124667398269694159602925526237662171065181277708488280785826871665745820144695813318484635358540782428005807355642207345914654300569706900194529897760428996996198339277603141773369322277515325807806957237906866863903960536661564708455292737003978752000000,137813037052530021251077385999843642743644544319037377031712184128539071637316034384981646777488975109389971320721092486520915112192999423624737774668261660295170034089420877118341270390118982495048227168301381793609262906508761506577627805768515094956666709162014846231592443772663371039751962143093905398880779254470551701217287569634600515109433624920495245769907051430024472980002988744039555959050116858970776099037384057486978756216788856652232713757912590738301469589881801361080924880158581159281116532319178698316108127166472362998435055548684180283633149176122170049074769175558431007077110261850955457864618050009932511870978171145781388074968449073853493211435169057078797537553233092712113460781083430500420311162789585776912845229576103246096547848740634587710881792
66,413.5207234381216,2611,827862270816787809009871247144677366839265883433384068549457284254443149876701642751700000516936064837645796896835875167886897043221392924421531844084565280268529539671486440360148448105593475313301084162205135795214759968461649696599904111868122352303638023617298006546616800515164026866075184978938405600095754574834681064466691551360465136198709501417712616387212613485038871880595781260952512108772124981169506210465446168062049800586479944575101250777645239523559376112860427946367922286282321950296026524790611449008860732294749835618969352285029111000489814286739865747532327492237215140959692068439580228665331404573994789996627143057212706316259869397163331397568515947249753259161266681276964937035540600811668284270836374741624950201270168199574918028861382909113663488000000,758293356785600846886703839597634607734363926975443879308978210293247576853212553855121232746249698101218892925885812176207725481828674704325684816721611093264849772744582146010099513090967919182048527043948707416705574371261680287458574693493803040687573042176908649596252903191209204222178098024885774835164828084931746803584603405695495713815699014016011407018418150978254800358982339294424903972474692977302634998345723041524882414603678906841375133565236197187187116928121608653245046911610076964002539380336679449669533561242949467174400358800208884679964219733571166336993496660195337901348684588104180858927342094358157641113653480657482367293757147101805141725867325124343765891476487207587892029016593479286908406139687677195388995656368756106115335077450503646793835372085248
67,419.79034533267475,2668,115471396938528055505933304351083219051845195592327979863006525661479795862388027037062032683667443761252391813685687609702102079191447376610604428226629960013536784293588118271955922766368486421347929634802631686978979237260887932162205236763805171020519533748504685003189188140298766494592011516538385222140229387750793592530500035339855247046984367816283192244703211484335385765109869972793578379603230669673651767517485555246231772723526478188789907232769862583716901484958484476484892509050525447784436394920377403635779762037813363364433910797445806262247352935415384891489278447312084562106336958694753171568570291987748331749642006007027713026030976150919090096381223346615826302744471039275400430443858979834839783931722111770571619630666075664470902870266696033811784529915194516046872576000000,105767826707272359079582271337945721707639005337693062050564562863188744872033235550533483143868511066666714537915320660562911738710921389733088995616571424484549511008484055188741152162059447925460533968250387589972214026700063904386883646165045196758798576520230462683991789933216937165581076857950931233496732729388196187938772481594732972594147166806522069302701662318204627626560443920467184032736501358076881429916154282290472407104899096019151426381392192268350827969223712832545184971504806257804918355640676743526485014047907112599746358772012271038105697930310097888449360508121663437367686025412382635866337283701638917029907783559328634939708802350443547955772791644260003453741473529690704377869704819575564826996211509103603375174467638357256749906079824810076527479578302431505894023888896
68,426.05996744220835,2691,635649431241604542365744194936836473951692310886022742828052839780329941092944734504392297378188642350848228088830564247687302875492371164563932090265318021600977502691828751023986114738662312752871835770224153207075178434754087835082679426758139842394210234965799657323027166881928187002313396003454815440381852883561252696821258846228198887641706969213500159304370950116588188816097478791191963202033069428447251202136397021142137396813001318707008350635122197463280300203843393299994016679577956202329170986874421225320197185217591853857169987682684213864963278293807281635105854907303882911102250390192230636731390900994901096739498058648803965869125311046209768470282668322810409153176645172146996103849902579457842542324014943562193919097155249119733678057344858846962883166554348399923413110489088000000,582233008975627628285793123995516590036530283908223463226387782157775952870850763735612655290028836481864239314556929371459225956665141590429267191924682071764837429152417820495051226298730132715959112948505386551629288030913917799396124452958045977426547878264987775243628424320057927717857340874864608156134451365553489934626009612501031137757392062217780175659134617233932535374629006658858393615588357019030438485361687649242334647822602965169797112053877905514185003099759719641552998322594546010288927733139818705047397163033672436805789074402746899467433421586051100925451451935975073914597365481360271586819023132980225243210967544538257361009932950933884396125136100062740983191297630315606175045761543060395396872879267769490398986697172857872812696246095969355027203312132422150631997437705346613248
69,432.32958975738,2730,585465586520900454366536150501696266251161237475851093459152564998647767531025014066705993543098494942197587323151026993611227952863980046854005325238828925347224069186082693777217912432335535891388822532728983346391900940488549031959749287751369336837098238530161494486053202128109469462790624525482182122455848403000178935241814072798284612517685990112616965234597305335008877315304792214806948133095999731019712964675644422858623633898683782214620319767204372242557437428959013401165792919871951728218642142871186695243927868894127928705665586418872749922793319543018338139834807308268869248691065132377967437749152831184828303679183314992774441016335942011170070601063739393593549936513449485831238853920416988647638837727863710093771791223324112220186471226738014961797753063036490255708106915011857810578210816000000,536266333827930612690313913148640613607894526045722712112955419804118321082815492273026583457802609524719462872507628877274570405154389735558058279013129495633737561418474985880627386920981364331765964411606040927604937304885717458285969286376977062398234532245928697371742408470602094700499727654302987727336425315782604360454467411046130137239461526626896019942113740781742496556325555615484478564813364144072590577291990968341778614034118140185294608521944998285151011543844478185910291492531417085654867821510435018745840606418109806601283757472099334662395492438644140741777824688174961705827426295729496735924011267858023511979015895042487411056885442760536180537745300570449960006171224914512940698966933451287364484307133521145772513183802854507395113555283364410808742488587192869895369965959492638802835130023936
70,438.5992122693809,2770,566053738681031012229011674300306521651604831203490321953763865144502028198859733382188107604072198088583558645751059080873349410375769511188727826688857028411200006542878738315005729617149831288184259222799282441750384336732670145467732703810417368717820334741325031828815635257342175766226700296830405858248158906151227328424707465850468697604063731985932266759941288878940430936019140167621548168458470775901408406033647404806060837399676268091946046702569748594504295409516624223969829042039256401664534051596530210996764991411119893930602614970510597462261585822966152970786048638472394500226111779719053021017682777609387449380800123353148366120855192545898207257264247150256751648112230610915004053752255714621532509457391434754479396781953100552510662894829132554412406248208588738519393086773728208773781090779426455552000000,518485749087206833685796181227694731030864048224836030933642594928276909487350257242849839357902753918797719372549886882527912338425978367761128601660229619699769770520921818309974688936943122217670227820036566450748034133748536860530307286782631555176777579887552081669463919128082726446239639807140238593141199567184891156986872952377393684538909275618679234170710956855673156565390798244622413689045919755489051992009684791587710248399477575597039801031224845516984713698094967240847720175647506300495398558548536843456925116837796086080711070382138573645682948431148455481860724408543976614812281981782774141237089813319585006330976365130494367467701357371862279446964545912193396510576220968321687966176140770080344246041538723467082965118456872469157518293020682908371619442598700611573083544288162394262127984604679902112776192
71,444.86883496989833,2810,552635355251294826307263462546823450971173325406087753327184977181084128486629617553594515228544113579886975634880881367772358985797761906821526113748381329778699763283649628444534579027208041224202636762123188044139949676940061651640167471269597163319081034030030641731433594783871685421834338753970531856894426259149669642693107784527719915613748267104773383872388038104566736890833254368935471506185139573359671981041971266776432434362997377338606773114866552934174834298378210098742381395291504325613379607684494712729746803311169281870964713372652697808478007092570145255806713570314886939533038615460406327757973776111968496020731071347254272678450961679547175465175452622191986506679320218813722520314665398058394506386697796929461271185360316945317132486921172780317711777537865831523811888799622767124576296978212136346087130660864000000,506194971536090778189644783451594688114708991469240452798036247734675938975714426764661083416197155384042558482129755138548792032715437972343952872703928719680027163373222323063730807093062853178267144528874639657426536003230988552473336024168871315335734592914425406544414718054571440906414046073398199527513245816737609456249315208213596396133431600463912635234693756187453288071057966153181107565571847521353173106879177005717250170761840425827748761880540659367668132500767313822307739007958308792643412981422526366759410620155724143260280632058389303492278583003245136247893138069753142223907658595388977263596621196181856071641246017576946932802237312660885589953530675171469267507136845145784633137054065450765112875522051320803003780150962460312665122201156503710263451490396249346518589679156636984279837902735483488625674202180321542144
72,451.13845785108094,2850,565582686817801311376306717836276410829409972106771489196266311466805164481717635885579586424889304989549648059883970849213950094587848920698664745087876449599094044721208194757514655209118998163258467001080604778821037939827308891637007225935850920982971565750936475194126113263529054151244221867955804079368449294102051034454358968545158807240988521276397418765576632255816177671827293327560096254268119906908178145761928365157819253436378688898172021300922276534307270843335301689530108737374853213130118417329747324042797134701669152125051688275506115113946111490601289108268347641475247458598470798272242840090592324239953454658001577603421838865710008456138888410757269635320695453675663593509786702651990938521038819870671767571563647143599470300713381938295295578415549197804068140780969918710461692589372085744139020777913972524543205055660032000000,518054281787415354638564775882066428139200788669871349473750729895051499008178085053300639630910650428944628574043544947318474286157431166676512113620464433893295449047648324447399360773301342341249782236996307767194083892368672438567826837581913821947734730235153642398172978786184800709857143665428925748070119348207430870188443565369999268479595896026509072648507867995422366464665827037948327904892139405515373597188205841750355024286666975930368718107171303590455853004895327303481055427361740330799143941808477263615117803563680598883460745965865407871604276800986829982609231278710398752569718226396388393487442416315487782419912628176117953624442822578427354565029373003009075492865703062367825358483740157725127031462153244083073390627878286728778439713676423014558587834841622085174555955259746137882685207238378349742130284463625995308362914332672
73,457.4080809055077,2890,584330446320837721119233136956234747386877337314338288705012217660882121904519494529299312458184987790779980190288273316158839784648350133528683821814551084731216873965971038057323791758852573247436450749714461838746343248258224463241574720974350900653664138532518286124031106755908161033129149055124257080273821479544129795749698090026962942729683853768051664117280988214223261678580368049466948356963958744532382164258259525291203112704497437741235496926674774643147345970628384878048610913933842808712286929579276880235670395463600868605379371770418422700180546401027344290315887096197571099675878181919960898377529179402225061441700533758291041415320522570764522415875391908430399960532162054048737408638624005488520545348013614930000651435301262790624417397444204597428627004472380795537506978352684487700937887651882831697226089383194473898558043301775147008000000,535226584460105703965980456279322641068383312835187263567099334718135166360869153936627437868354254332832382515213106829768258349569044893627265834433097355234246759550469609250195754975067157877955996351516386550794620328182824241541202820099565494600287273232310319316372480197117564530878358351091937797792215094385264751456313085059823633309153444363254751333576660144501121188837175355317916189315525571225051777608320661884889162609946637200629031538241494255488757008244164780469255085038205625820664757751825084761093727184512951689050190610457629058297339013109854158502438301268457007175986485822654739849939222317525433089898569212710420270663718088210073108865018119913988124616545563806729462073210031681072907666604789951599892139099406119092966369683642037458345928763500578533880408418124380662650219548885851425507839684205925498360872805197078402695168
74,463.6777041261583,2947,121804424253614878144920856315995618293944869284869615237663287764674243187411284606932229904221632976021347075782130235742061595277881590392803377435947567902937213837401624918996700710619180438865399859950179303488159744064518928478933205438648621236965279870018979265470055872813900100766511397461448673703413334179532556956885211360974880115200430044994188527194121179178039221074431671404925107041819067723905288749827990493651912881838900273974590483190980391292280734631053956135487948788340414097021727869791272792775766266657569330936128890318128198802150477379234821980345039525270458003590921188142425724300449429060703232427120373423590668080761268395139398784745350787851078471441091321235682186173544711576516353757775958781669566969538892269795390750373255407074464966278707437621326380010008361632488808872434099252479211947510471484964280051571102764967966105665536000000,111568661834876418602768738831220188966746172285465068632360052440336111068724128999230069188242784276703744537404133519241567915790222815321479738565655202945927043730675990799539031113115204331805027862953421861633781420928480759729267898138659333393547865055174886377712629967168061676784466633082891874045455852869044246136683718933710323465215122362970879404168727293929909350692440321488454566032706028073108856446748279656603194243452367600547713184230893528720943335551224092234831205738286818659521011004744578069623061343893591882929895737665588204475423836211254518729111654647686991339319103469733099798014443897672926675950598720193530827061369290278738455594162527588955122448964345526674805084947050333229343424632522309853175247082649367092113553359605169316492649001347063867672213911450838335344559809932605842189713199011686242816762319007188615051261586841332147552256
75,469.9473275063868,2987,135363960632142146835610975471163329666083759389065773146111512669576182393216627014796302370486668841792381286967751107512365362083465717123419701150117496661990201011543543268914059696893639692018142014555368390073527307226618317010056457750744836261830028890729467221339318503778644998725034313729725727079527634825985632709033815405154304028098294078982906823863650391395450925768367344029006991639650853660781820672290372923858939880105199401907438443353597285406496344884129655374520122228470553620623943679275628870223342402032778181870489152873891522804308531063531730207247437264417778346982289840445797734356299624056035722456171457850965741800387601374634202435983792344052651255491175131642182002863673817484541723219704927156536511924843195187077422013731005668234999576872325789422598507876404662070841620342096064963564398517560521135499527727200229300160594298734729011730055168000000,123988730630601764795833984148239721754396116502267872835721616288194369935215578280374344245077563363914378772256909234260069757202552698447895593434615209563649784278374119450937622262144104267042156461855389092031495605953601261067875240336586167286329198791076503337363954706131938434838624533517379607874141823233428413646634190982062699483167981782054253669502648876788774397043850179327354996285247619750892300200658993881729311247703264736154994637671731694188501032416921987731322597633515894805275337434600837570897911840292591127880698567095804474980037612893894470927680299198290245531257543836808072286891755363179680477060236868842747893788714021292601563120676571966053404211097119580538215991368188845111754552965164461863204398526706305279933676839426351063065216879345026091693460773095138189832458016669077034038108352427624126640102842723218624868198675955765267770030759323107328
76,476.2169510398968,3010,746324184174971977709670153480859008298674503688333379136468896420071404086743975468116190156298042377912834728081353720158986227343066617910909280237340622995082382346084528572522051359543318851599735601833858234188570016391440530177979176269361738668293552606021672704070368995203643047886815658705589688392202943583429858977818991201509730420555974007795251742583252392468379951283129155185098312011952355536508637184105093101161163030922755611934350088039021010731698477086857414265256553936280178821312028115238990261923211539461711676084089898888811133779451637560347609323695430812497005496355408001723212702787587900053622698180015081537285777718063692908965861691906672899219255098701486773546780735152810237694365560651015453401796615402234893729942097321918762132283360754795266578791024475984396548894159476486328706666188193684548732861146173652458900914039285578991456067680685720076288000000,683607274806656444327111826954473361387024370051186262701250647272003474419672565601743723694910460257943518953991239849339738655937018581191854438153585594398731490310264673682656169244859059936879197990403482010410700861765078528949714470263736514502097268160219711376208544544379853778134601207327929417611899610414418166373252985817658199985524807580359328167196314453038014759184429958387575073498074941284933556335564076598831996534891800540403591388978973033949392793946930788804985554619945022986711062186609139037436527543888643574433639686331259086097012628499930991881579586267524570283413684082614262294974592993150097775921197974995535158258863984930015355424452367073845901457848418747163469960549408040016077342097939367511546817680229007589427475666663883082524390443702580172898560399959829098025632898997369589600248245924733960783232753608695258609326287103758891084417335885405878222848
77,482.48657472071903,3068,182667533885724528544301763158726683330752152411419728715226636202862797105881605809883637908666965706694957814678791329898471967415633552678735050388892720229962002696944119285028958658153263033028450667874791964157306647253452890795311818063226347998410633648951703496276963727098019890564017589204145324826774520530880231246091265311681783777308298440387839910069645326762369696393821592286759684786596992933058254042055418929066171415244599303441492211138989935089614844439637607398872648844882884102188938781000505129290115795778260106679038923179107918703739405240986117878227606726869747964447928977468222903954086290875016965700448803844849331659470893331966337698288493112023429146192583930124222100702996250998605128032394207305322193052250520073711079156148750590079073160493827384194198647794908692388663442926277369402807893790860978805210001128790073059717847896931506017144914234991723602338359644520448000000,167317176212524956346132832731081884954315369480417816984853796508111259594275823963271960035661183356936460715711368837679665526325514822096155555639749709603422563470007566990051912835759085256036674865933656359490662816500848102801689065516329800087210615889909949820544584117652942575111834276667712176312968458789995998711468823014353785950802622409761896087003832628952849139395554840115857523032025882150297021832009531286147331642063668071268708234764308822838843015409262593231296004385984879729159377934656799856565118746192684188907468775696794168887207159897243873425420198751910825764297386946079367407626535517887136650850220384643251876901245482124450290967815422505526312084625574745281593252405231957014518596901840911280157432197015472422103127736224827951345249838228082994296239698993129525577614536274482203451605059419440074028728445594080972262622775499913799320994665076381247863406460780835093086208
78,488.75619854318995,3125,47100976171134452917850563347128869914652312757028998617712510352682327024990084399259122003743149846056045742729575992237652849149309124999235850526498159518816843687639508842314068097564903799771061801398671760225730439364388253923919615578093196815532965815437871223896337673915854726935031935787185218982501630829359048531761478019678069233729620907745185550053127492582308757071575914759696657292338976502954309715956963579257960090014341813568926758847580886861085685409964312779141494980723364032404334276586624228407497346610066916712518210219613862355086873669473499677758360490752618773263120837239672877306996469291977271958873986817962773681360520752003276705460057626084139316279673281000266238935330326000354281402182646963731279655722783456719540916823487749982739244927529977726973445883017335688637950259985022083937748369971382696061391948008032972129200984578039541392162528061728476825545067100233522147020618334208000000,43142873624920203425922822493843284559196306253023186136316499900310327108578039998106761803361181606110690909097817171915177402116323657929850696868075746590178259981769593304821257621252614179405011298212704127682956553189007889219865378198635978793459298311447652542387934850836356195532543163738434946277716094356057142987062855879188275488405165426233820644532795777803830819665331112145804382055293772533590469218112097489209136807301830710423574382594408818489184398913989896085133005360688258118401801585041896966949573213551047506666202536828482204955802292139958512675374163652599678508001625558212764787665965457432983092774620626459589832026902467379743421401302039464356757019160580598346746537393261142361134588269276696548470960708076465127867606974015740895310137839249575392139659505651434557393405742770595833751075812396823091407602719739714695463897465842269594466845516113683158968038925318188655796608817133451286151168
79,495.02582250193285,3148,259820875817397406965706568393135960786991206347064456656937764732718658082555375187385907653343986810974699650107247593556107934351611880579802416184138278929225084553123372652899292212952662143884008390272523558263602629718070710694338454866133753575803176292732765781172815594031372570586081110951690844988037388292898859574555609585291654341672010723620811004659992292030418477267697269445781864140575604401036861476021338428635903982224856828852998636812814374746865200629121684267863103212638745809843278814276836366307922470431986064825301604857689175950849426726672735671287551390044123493910753279522652959823571392338808153265362054439975068833206357329822362505571754757777968616520509272154839315563661570000698344764214003826889758709114163608182526673714239479120259296153722587043324258279205398524715703377605857041187643840954257154426040223040946001322968379535854407964112570560765740111582177568992214663858286312200077312000000,237986982897727851108386775946377439689059223902743589361873969484859551551632356383483428310433596014637689213989691760656206069434071982757192312366926479860125094257057348616556874159072480346049194550110414152616213744050689807559627678170517038402314337914432551571008913757273124426094120116479971946807239918309624735764470466621393928947696459066288037051701576183496827855387375806090933547740440809037362754104584873421940586870275155831611036481439379498286982605863331160292704282378107635469150808537653105972158694355373059012758344762345006687965466977648804780236285607004072180537236230100584403734583775970834259177971776259784306461981177488366868262955794890917789599218907931110448909483153618752263480232910151811785275345728780985454144044141552429995820653315636253238516817627470417104415356630061453096812526195760006118351612332037903010494532177346029097272020866500076554132293759459864974354490920945426981856846282752
80,501.2954465918397,3188,328896115898824583845372323729199168802318553724934469372425085548295101841026154053055004691100099942524044776101380786609789616203284999097701121093034931542740752903221424574788370408549285067300758704472560129394977932098146462770749653236271394392407487677082774861639739398226292279331232791240512500533867646959290587385719484379855519026186306547565374628871760505839774243561101967455657016766488732034249719922428630506649690637640679443890254448683137503998200663235258934029795373091984311518479706857711627020441610371903191587723952058569323903690097843252653471878178488125557387859104395079239700735118658161587462993191741448786901119514150159849409951434414686963607753800845807604001211881444287865924136619965913607750038936694067375207777247578614541777589321896169319900175327278847581943884933001780197116475406855207813161464956212259902149863124592432043657085523048924034280676524216915452601065458455920102609684625680182018048000000,301257526221846349558603681038322610622813879569341218195401572976953561184696969714776175508095011652565932076910907820427663698522879614271311231641020763587674238913865162473457976349139292609440691379861189328204968043789106972156563774463394907542647077111863056856445774715524379586429523127096716483080468584627832903760736935198177490978514914849574904921879793714395594394894380462061716186656671375015175942898498236660243945340211792170063265926830307309934295012450306284423750689204724947520880896944829387505385133386792923675809189474913879142980695020817858919686409295372469276773776369000128984164304975908614204237094745745316754272658944793201818867616178463638168929527041324981784557431947446527229153883709772458292362516838482112029098794915013688297656295116256808779997278024922603870358216474038446343191707855871479814720994999763235361961165782257313447039583247341553863768045857895669689880174897016329381053530640689581269188608
