n,digits_correct,X_n_bit_length,X_n,Y_n
47,294.3979665252977,1878,13390805266699899188609409497886005320951771606551932852294885745192889780743546003635922729340374911095725503828588435593864130384438019412422279173708821104759070529552081482765824385719885212831070090908111694876599653907242005599346221790777727196721843164482206765663871300204358369232761567543857536784925876207372842170262632820959144091954560422287719893101054241089844461784506713673937310089599945239948963546243084933526903208956488395652498683446283231679516340255687763168066378298998933425835955833579657679855941948360110415095076464253812604928000000,12265516902624206900187289274861951119325356762665811869520661337196931152859497075745278851974480689077183537395199510995036534413390128388540624141466922619527246241951831673814154330080922859230314363570502976463718442431790578539697671688522683835859717179069624181865800078270829906653202398115107659116748933668230037313647142737140404610154844883792125215482711654015251155709657618623012664647706227237095334301571759347757987173843311335358456430827574246892091071866754073300592994862230514007177418763113376606329984830854240220936538851969726394782449664
48,300.6675814044412,1916,5867004128323608003295941883010120490114100124017547495034224596599561957169409823279726406685491009101034826660403815276259234425508361617309734434825267884868343218179362923720952483689262824461959576321062877329913814333273631303476057383103575022738709317552040080314924143075350380949825448071629427585294784765558932107097736742172739049827844833190347187360957272049618222987366249429678752654476922530393640298903029826416770208106846686438139051724372132403706542702108139725812843024823267410399726057391025162819117373692654313709308881021295895397470360829952000000,5373973922440130521904923823780344449976984259904346314575960056978279112862181557723376593079629732810591109969561662895419486591042750950046757710461513179030173476136644159635802068651527546208270994253043502849943687248397145323390637031132747768684071385783930229598551276780873228368040918407170197215294674259911857314836247554048799573505991186682195852347675482586468721289364998694669733178041318585225320213920864417299179646807232016497353321421243511915859896675513559430801541956037714721302433241022574323022929488905384437492219213600038501459798768474470219776
49,306.9371968680138,1963,796662934345112679498615284775594548899342496618060045264147595748087821594891996129380517374545050333560698690860337415380360056071737257879804320354699213559939919683966538883924519306557814841196868646133788607658443026184286342547729171312503669800439437476034690441283412536643500137982739096726717736352087753222015790433731204840881245690033787039884147554580604831707960713584412361599314657300079702603208281320237958435930872227272339678273770564999230436429396563085358594760168500873327437516242183450260737507708102220518193027930058771261168070947477813232931836648226816000000,729715838016387957029031907053302214970296241463074824024688089132900760780913125575815598857565362327432883544096246927839070524660991958593049121520533416413415430370172050085764554047647501237292609932246005919263616006906561656818741546104326444560434312238561464169831139897645400083908120886712682095622955850242731896089502603004148350118258379193542038599193418148952029088907823926901372292348545166012032137208880199531885215444048693026796190801811396239450811258181172155764347072309663475870861105024228008533598007200335270874999510206061516708679672898948358868957594342391808
50,313.20681288097353,1986,4361947632121796629181277748124056546844388659295027175259378928328583823667541111549714924108882685305479922086156278811367038448667528567706792827199283175793270894706758076064524493782161189381520588698921799525134887056456237057232432891428909459232622473608322194603294775035613399360132326495813502923770464189738347693542727829913136523215338382983218684526782118067961657750206979419461366301629295050882932470283953193515085428997436576968652824852966757454742109715246490355905960541122967898949329615707273697873340937221951444020886036656185747427991161616431367863856810795466752000000,3995393954626354992879611637558100175749813182728373432884336847088635826172406857211071395625294057467436249645335138058590422613701694544779505593978468330709983473109209999713018595822497372999174089198431960312142986401398908394859166669950218258552292331986920102505087630845666090696625554191739823704477355192939396398888336824213658548248331348224066495633102198996151893340627403929384941781779537832162364838872548264095698834029864009988849022383572691755347852405310046073039340187497189418380196704790865288315981676150269317565620435791224847516230323234099421552943689360574959845376
51,319.4764294110248,2008,23892402992432957757490646349040332725712255961710798756870342669995721045531492062061193696495756860135951282970901668783663689982092946321686227887257662011926718912788897095127939856651285665600758653372161795965149841775445786587501366158610362290774020567821761689120131474724667817547085288016264021588341619996293806612985631713674556066313192095006537848240839903963155426271772985570421928517534015070088423061707306016270839951384951503713324081845456903914238205644752953327889849678145368400947687774816080737679572575936052178730749550819471073819096672817384857775316601823367698317312000000,21884619103285419783123458243429612734084717558823374167104963002383889203240948626232441147130713995449554284691486900761097744699955937885092441400519009324509041243068298785819062165516410357468968687930946504415656190267896478910697817080687361601014395387584648369910344294798631920860735328062114633859268611817645777176745559155132813268948909497355280721827681918028937038895384101829103739854665438888309339962596016451823812558036577514856733172286295500874562311077699148406762479793991937555775450914125795946703555231861776993453536524991217121917841172824230154045110120149587661669485510656
52,325.7460464283548,2064,1193448151822603687132067558473881158590321029020001694141934623407648033354193335038775428552181054051230779609742673148043779587012644195055654774133911550556812273059597797330142373171032385579992629185273057875136170543025368850838846509605830052349288978362603657443546388159456185450889839877956923366927068707251515259734036196805572687629212199954826008669726793317210865244070140250557625023129583726411296599500628058631024766380167398266202262025437013975115339794454856756612193468831771506341947468422400068406576211590820749757461329607399722738762171434465697917790961679286317494310015095017016655872000000,1093157445503895074895253161793643236278725553607944913901062454079324489639478521566689617821643161554198781879241432702607507951207166858150270020453621968261516287202318907708092271392431316724297489039828957414070667594921361563162369720008020535900028314249825867047659378394411604634514449086326969748326129144720023649075487495126960511262330410210579503494496526677265597885546990264760450061522464537932297630440984394475383410673333480031314940479582444429978085011182292480524197132402784096070284006081479482310855818137001472407823636587581784083878832590078510398175160920276135043872391334226419377751719936
53,332.01566390539926,2119,64404677770965308963322936168833579383693210800975380296478696900816193346422133226868519250696838855830505702319748297079618748230101875273567339966921494895967635634083632664929114030859622543905123270904475167529878836598294197327202435809737892436908227440688030960824137389863868683188958616569083795951361978299054016531744832678227000345519800616523260408031478960042760871052907376997663383105385661413178285291085675417951674274759383308446458584665618572460549555134091796298664835483573968519914770636273274904402024781054764622044469258189331102251352828903637447015821473551858988326681778697927839181186029799165919232000000,58992468942274568737463206879742786956749510249849449425055461241370367057462476649203501485055775841023190045422766507355307561665974805965710363097517384497703775030334019353410498928510971501343979933111117106830134753323800098387983944798305939933362610540622382442673615814747184652072757215539622863901780387624758794270309302520193693320854554770747621109708467025336306068423911717302291498473638343981318409206381998029756524509796250793837623220028178557087220830262515337995832385401832024294821561525150106493554999055776030127184906823772316772173774527539901857423268626363422730263173351092955182615463841424220319295471616
54,338.2852818166345,2142,353165711661899513930505991992292256075417311453628046481116318425334303782464751220892137559544319836718537518135727424502608207961929322511776381484625746057253745034356464041077550193414137591874411719825547512875153507482841664470241421754402717858638927209455863852666415710742494937504071566508935937775714181103285540569435650358599083846257247964302369071233085493641712680710695517793802640884717848690673436873440845963610511677911730381202362122771312747940094191570626229596024604664645162154954045055434829620243615566406027250300394554524992982262001407108415800858636303232456739295781977972583323376866622347269055822430208000000,323487640925412195017447129773858861509489040564482036103761089085111109593468687521632388551615102483967293639435892914314657039707703130869506022190546447428739217338969560520123081952435932731397728949464287063274760392100841411057050000260850966531963047686501351304602513318460153074885222757351498406307621727816118682536568526084587767192141132986832291673093730528863564708679810521309081317971616593944559607416575832802988619281320085320477749246096034881690062187449477534046801894509159765262917111877665659503930341195807304784960965956223853815111643128322823570167342438239431088881269155998294790078598422563322563573827558703104
55,344.5549001383919,2164,1937262405478164564193324289657718923250922645015931052001760501710645251486616519563495188206571441907675210596572032719188612719488814530216344531823961631613670654428787390298520271818962760505963515519003646594308783220951155697802584395511966897452009214493998286752518325423155893718474670612725521242604695396219732495454752276013321667499780739360241112427953074072133121178533257852810960224067231533031169741211945447184380862652726774203787024102944845141540864056429311447655269819532780992466754811143786461932201325763118260052304660278390795662766375214841803194873194092652193127809006554795259014909753480525281520200597955936256000000,1774465710310995594472241678570679091152469558511581485112976055675204901936992341990611401141082689914729197305994867127977816001821496200187190478060073627218193590803858690693114462019783609300245674168187440503807036440743072848229716769115767123688975649518856360088270737346489264321903900809109684590236630029636894685325516593381961721859859910295913610972918355247487288421891441121279964043442562475666044956328544793385878725599090131178001394392819114977891611530950168861072865746433109327977941608529184840563258902862015628737720425344928105540920917136835951485689995159770261506231674498096470432286309101281217400056847953083213283328
56,350.8245188486923,2203,1164656341153143816827306394747383699090049087840829775954247347056139932637447924606821769410247899254787443091885716115510472180663867595749847509313069208843800092928358155919044775418343146014507237396013852372791592284937513621126100053062965048939065206640728789950613132889761022633317668688305383041412876888873475157565949473814667650223455913672398144396073145654233502627813046726429623282649066130521729837439169557899835189675811148895174659546601942449475058629206416701180356215772162379921208494857733700796306014092920010083629762869343255639728921270633593742114682310305721238584883928578778317022178635825693527989506193820386805501919232000000,1066785137536605270803909338571512985812958194632376068902549401697082813989358955133612779439969942445758134965568012462116390823061907654199192050010279731006852337274407693154893185057771529254843108762097083230157449006962527221662705524309653000109143470263351693616193981303509762069373906560555566696600916551617004907024938978695287544565322661365410980966275030703528956854067861884335176105217948242587503873280255135698150094137193814694257942996895459510491028313702113203999620132167580140009109263583913898403336898725400382392013573067821681700027472329894556100096095052869208395425302517241473875126686564882198630704219821734879917502351871574016
