[0;31m  ***   Warning: new maximum stack size = 8000000000 (7629.395 Mbytes).[0m
[0;31m  *** zetahurwitz: Warning: increasing stack size to 16000000.[0m
[0;31m  *** zetahurwitz: Warning: increasing stack size to 32000000.[0m
### F<0 candidates: two conductor-6 rows, bridge at BOTH primes
    surrogate Th* = bestappr(Theta, 10^1200), so 1/den(Th*) ~ 1e-1200
  c6_1/3 x c6_1/4 [p=3]      n= 72 v2(h)/n= 8.014 v3(h)/n= 3.958 sig= 15.953 F=  2.5030 | log|q|/n=  7.305  log|qT-p|/n=  2.4949  d_emp= 0.6585 || SURROGATE log|qT*-p|/n=  2.4949  d*= 0.6585
  c6_1/3 x c6_1/4 [p=3]      n= 84 v2(h)/n= 8.012 v3(h)/n= 3.893 sig= 16.016 F=  2.3815 | log|q|/n=  7.206  log|qT-p|/n=  2.3863  d_emp= 0.6688 || SURROGATE log|qT*-p|/n=  2.3863  d*= 0.6688
  c6_1/3 x c6_1/4 [p=3]      n= 96 v2(h)/n= 8.104 v3(h)/n= 3.906 sig= 15.885 F=  2.6122 | log|q|/n=  7.426  log|qT-p|/n=  2.6059  d_emp= 0.6491 || SURROGATE log|qT*-p|/n=  2.6059  d*= 0.6491
  c6_1/3 x c6_1/4 [p=3]      n=108 v2(h)/n= 8.037 v3(h)/n= 3.889 sig= 16.198 F=  2.5697 | log|q|/n=  7.390  log|qT-p|/n=  2.5703  d_emp= 0.6522 || SURROGATE log|qT*-p|/n=  2.5703  d*= 0.6522

  c6_1/3 x c6_1/4 [none]     n= 24 v2(h)/n= 7.917 v3(h)/n= 4.208 sig= 11.102 F=  4.3537 | log|q|/n=  9.180  log|qT-p|/n=  4.3547  d_emp= 0.5257 || SURROGATE log|qT*-p|/n=  4.3547  d*= 0.5257
  c6_1/3 x c6_1/4 [none]     n= 36 v2(h)/n= 7.861 v3(h)/n= 4.000 sig= 11.181 F=  4.4289 | log|q|/n=  9.249  log|qT-p|/n=  4.4203  d_emp= 0.5221 || SURROGATE log|qT*-p|/n=  4.4203  d*= 0.5221
  c6_1/3 x c6_1/4 [none]     n= 48 v2(h)/n= 8.042 v3(h)/n= 3.979 sig= 11.687 F=  4.5999 | log|q|/n=  9.406  log|qT-p|/n=  4.6006  d_emp= 0.5109 || SURROGATE log|qT*-p|/n=  4.6006  d*= 0.5109
  c6_1/3 x c6_1/4 [none]     n= 60 v2(h)/n= 7.950 v3(h)/n= 3.983 sig= 11.584 F=  4.6783 | log|q|/n=  9.493  log|qT-p|/n=  4.6554  d_emp= 0.5096 || SURROGATE log|qT*-p|/n=  4.6554  d*= 0.5096
  c6_1/3 x c6_1/4 [none]     n= 72 v2(h)/n= 8.014 v3(h)/n= 3.958 sig= 11.604 F=  4.6773 | log|q|/n=  9.489  log|qT-p|/n=  4.6442  d_emp= 0.5106 || SURROGATE log|qT*-p|/n=  4.6442  d*= 0.5106
  c6_1/3 x c6_1/4 [none]     n= 84 v2(h)/n= 8.012 v3(h)/n= 3.893 sig= 11.739 F=  4.5199 | log|q|/n=  9.337  log|qT-p|/n=  4.4984  d_emp= 0.5182 || SURROGATE log|qT*-p|/n=  4.4984  d*= 0.5182
  c6_1/3 x c6_1/4 [none]     n= 96 v2(h)/n= 8.104 v3(h)/n= 3.906 sig= 11.594 F=  4.7580 | log|q|/n=  9.578  log|qT-p|/n=  4.7501  d_emp= 0.5041 || SURROGATE log|qT*-p|/n=  4.7501  d*= 0.5041
  c6_1/3 x c6_1/4 [none]     n=108 v2(h)/n= 8.037 v3(h)/n= 3.889 sig= 11.926 F=  4.7059 | log|q|/n=  9.512  log|qT-p|/n=  4.6880  d_emp= 0.5072 || SURROGATE log|qT*-p|/n=  4.6880  d*= 0.5072
