311 integral triples
-106 0 0 1,0,0,0,0,0,0
-104 0 0 1,0,0,0,0,0,0
-102 0 0 1,0,0,0,0,0,0
-100 0 0 1,0,0,0,0,0,0
-98 0 0 1,0,0,0,0,0,0
-96 -8 64 1,-8,288,-15104,930304,-62705664,4478386176
-96 0 0 1,0,0,0,0,0,0
-94 0 0 1,0,0,0,0,0,0
-92 0 0 1,0,0,0,0,0,0
-90 0 0 1,0,0,0,0,0,0
-88 0 0 1,0,0,0,0,0,0
-86 0 0 1,0,0,0,0,0,0
-84 0 0 1,0,0,0,0,0,0
-82 0 0 1,0,0,0,0,0,0
-80 0 0 1,0,0,0,0,0,0
-78 0 0 1,0,0,0,0,0,0
-76 0 0 1,0,0,0,0,0,0
-74 0 0 1,0,0,0,0,0,0
-72 -6 -108 1,-6,198,-8700,447750,-25160436,1496820636
-72 -6 36 1,-6,162,-6372,294354,-14880348,797056524
-72 0 0 1,0,0,0,0,0,0
-70 0 0 1,0,0,0,0,0,0
-68 0 0 1,0,0,0,0,0,0
-66 0 0 1,0,0,0,0,0,0
-64 -4 0 1,-4,100,-3600,152100,-7033104,344622096
-64 0 0 1,0,0,0,0,0,0
-64 12 0 1,12,-252,8624,-355740,16221744,-787655792
-62 0 0 1,0,0,0,0,0,0
-60 0 0 1,0,0,0,0,0,0
-58 0 0 1,0,0,0,0,0,0
-56 0 0 1,0,0,0,0,0,0
-54 0 0 1,0,0,0,0,0,0
-52 0 0 1,0,0,0,0,0,0
-50 0 0 1,0,0,0,0,0,0
-48 -4 16 1,-4,72,-1888,58144,-1959552,69974784
-48 0 0 1,0,0,0,0,0,0
-48 24 0 1,24,-288,6912,-207360,6967296,-250822656
-46 0 0 1,0,0,0,0,0,0
-44 0 0 1,0,0,0,0,0,0
-44 22 0 1,22,-242,5324,-146410,4509428,-148811124
-42 0 0 1,0,0,0,0,0,0
-40 -10 100 1,-10,150,-2500,43750,-787500,14437500
-40 -4 64 1,-4,48,-832,17248,-395136,9633792
-40 0 0 1,0,0,0,0,0,0
-40 20 0 1,20,-200,4000,-100000,2800000,-84000000
-38 0 0 1,0,0,0,0,0,0
-36 0 0 1,0,0,0,0,0,0
-36 18 0 1,18,-162,2916,-65610,1653372,-44641044
-34 0 0 1,0,0,0,0,0,0
-32 -20 64 1,-20,324,-5200,83300,-1333584,21344400
-32 -8 64 1,-8,96,-1280,17920,-258048,3784704
-32 -4 64 1,-4,36,-400,4900,-63504,853776
-32 0 0 1,0,0,0,0,0,0
-32 16 0 1,16,-128,2048,-40960,917504,-22020096
-30 0 0 1,0,0,0,0,0,0
-28 0 0 1,0,0,0,0,0,0
-28 14 0 1,14,-98,1372,-24010,470596,-9882516
-26 0 0 1,0,0,0,0,0,0
-24 -6 36 1,-6,54,-540,5670,-61236,673596
-24 -2 4 1,-2,18,-236,3634,-61236,1093356
-24 0 0 1,0,0,0,0,0,0
-24 12 0 1,12,-72,864,-12960,217728,-3919104
-22 0 0 1,0,0,0,0,0,0
-20 -2 16 1,-2,12,-104,1078,-12348,150528
-20 0 0 1,0,0,0,0,0,0
-20 10 0 1,10,-50,500,-6250,87500,-1312500
-18 0 0 1,0,0,0,0,0,0
-16 -20 16 1,-20,216,-2080,19040,-169344,1478400
-16 -4 16 1,-4,24,-160,1120,-8064,59136
-16 0 0 1,0,0,0,0,0,0
-16 8 0 1,8,-32,256,-2560,28672,-344064
-16 24 0 1,24,0,0,0,0,0
-14 0 0 1,0,0,0,0,0,0
-14 21 0 1,21,0,0,0,0,0
-12 0 0 1,0,0,0,0,0,0
-12 6 0 1,6,-18,108,-810,6804,-61236
-12 18 0 1,18,0,0,0,0,0
-10 0 0 1,0,0,0,0,0,0
-10 15 0 1,15,0,0,0,0,0
-8 -10 4 1,-10,54,-260,1190,-5292,23100
-8 -2 4 1,-2,6,-20,70,-252,924
-8 0 0 1,0,0,0,0,0,0
-8 4 0 1,4,-8,32,-160,896,-5376
-8 12 0 1,12,0,0,0,0,0
-8 24 0 1,24,72,-128,480,-2304,12544
-6 0 0 1,0,0,0,0,0,0
-6 9 0 1,9,0,0,0,0,0
-4 0 0 1,0,0,0,0,0,0
-4 2 0 1,2,-2,4,-10,28,-84
-4 6 0 1,6,0,0,0,0,0
-4 12 0 1,12,18,-16,30,-72,196
-4 20 0 1,20,70,0,0,0,0
-2 0 0 1,0,0,0,0,0,0
-2 3 0 1,3,0,0,0,0,0
0 0 -112 1,0,28,0,4900,0,1234800
0 0 -96 1,0,24,0,3600,0,777600
0 0 -80 1,0,20,0,2500,0,450000
0 0 -64 1,0,16,0,1600,0,230400
0 0 -48 1,0,12,0,900,0,97200
0 0 -32 1,0,8,0,400,0,28800
0 0 -16 1,0,4,0,100,0,3600
0 0 0 1,0,0,0,0,0,0
0 0 16 1,0,-4,0,100,0,-3600
0 0 32 1,0,-8,0,400,0,-28800
0 0 48 1,0,-12,0,900,0,-97200
0 0 64 1,0,-16,0,1600,0,-230400
0 0 80 1,0,-20,0,2500,0,-450000
0 0 96 1,0,-24,0,3600,0,-777600
0 0 112 1,0,-28,0,4900,0,-1234800
2 -3 0 1,-3,0,0,0,0,0
2 0 0 1,0,0,0,0,0,0
4 -20 0 1,-20,70,0,0,0,0
4 -12 0 1,-12,18,16,30,72,196
4 -6 0 1,-6,0,0,0,0,0
4 -2 0 1,-2,-2,-4,-10,-28,-84
4 0 0 1,0,0,0,0,0,0
6 -9 0 1,-9,0,0,0,0,0
6 0 0 1,0,0,0,0,0,0
8 -24 0 1,-24,72,128,480,2304,12544
8 -12 0 1,-12,0,0,0,0,0
8 -4 0 1,-4,-8,-32,-160,-896,-5376
8 0 0 1,0,0,0,0,0,0
8 2 4 1,2,6,20,70,252,924
8 10 4 1,10,54,260,1190,5292,23100
10 -15 0 1,-15,0,0,0,0,0
10 0 0 1,0,0,0,0,0,0
12 -18 0 1,-18,0,0,0,0,0
12 -6 0 1,-6,-18,-108,-810,-6804,-61236
12 0 0 1,0,0,0,0,0,0
14 -21 0 1,-21,0,0,0,0,0
14 0 0 1,0,0,0,0,0,0
16 -24 0 1,-24,0,0,0,0,0
16 -8 0 1,-8,-32,-256,-2560,-28672,-344064
16 0 0 1,0,0,0,0,0,0
16 4 16 1,4,24,160,1120,8064,59136
16 20 16 1,20,216,2080,19040,169344,1478400
18 0 0 1,0,0,0,0,0,0
20 -10 0 1,-10,-50,-500,-6250,-87500,-1312500
20 0 0 1,0,0,0,0,0,0
20 2 16 1,2,12,104,1078,12348,150528
22 0 0 1,0,0,0,0,0,0
24 -12 0 1,-12,-72,-864,-12960,-217728,-3919104
24 0 0 1,0,0,0,0,0,0
24 2 4 1,2,18,236,3634,61236,1093356
24 6 36 1,6,54,540,5670,61236,673596
26 0 0 1,0,0,0,0,0,0
28 -14 0 1,-14,-98,-1372,-24010,-470596,-9882516
28 0 0 1,0,0,0,0,0,0
30 0 0 1,0,0,0,0,0,0
32 -16 0 1,-16,-128,-2048,-40960,-917504,-22020096
32 0 0 1,0,0,0,0,0,0
32 4 64 1,4,36,400,4900,63504,853776
32 8 64 1,8,96,1280,17920,258048,3784704
32 20 64 1,20,324,5200,83300,1333584,21344400
34 0 0 1,0,0,0,0,0,0
36 -18 0 1,-18,-162,-2916,-65610,-1653372,-44641044
36 0 0 1,0,0,0,0,0,0
38 0 0 1,0,0,0,0,0,0
40 -20 0 1,-20,-200,-4000,-100000,-2800000,-84000000
40 0 0 1,0,0,0,0,0,0
40 4 64 1,4,48,832,17248,395136,9633792
40 10 100 1,10,150,2500,43750,787500,14437500
42 0 0 1,0,0,0,0,0,0
44 -22 0 1,-22,-242,-5324,-146410,-4509428,-148811124
44 0 0 1,0,0,0,0,0,0
46 0 0 1,0,0,0,0,0,0
48 -24 0 1,-24,-288,-6912,-207360,-6967296,-250822656
48 0 0 1,0,0,0,0,0,0
48 4 16 1,4,72,1888,58144,1959552,69974784
50 0 0 1,0,0,0,0,0,0
52 0 0 1,0,0,0,0,0,0
54 0 0 1,0,0,0,0,0,0
56 0 0 1,0,0,0,0,0,0
58 0 0 1,0,0,0,0,0,0
60 0 0 1,0,0,0,0,0,0
62 0 0 1,0,0,0,0,0,0
64 -12 0 1,-12,-252,-8624,-355740,-16221744,-787655792
64 0 0 1,0,0,0,0,0,0
64 4 0 1,4,100,3600,152100,7033104,344622096
66 0 0 1,0,0,0,0,0,0
68 0 0 1,0,0,0,0,0,0
70 0 0 1,0,0,0,0,0,0
72 0 0 1,0,0,0,0,0,0
72 6 -108 1,6,198,8700,447750,25160436,1496820636
72 6 36 1,6,162,6372,294354,14880348,797056524
74 0 0 1,0,0,0,0,0,0
76 0 0 1,0,0,0,0,0,0
78 0 0 1,0,0,0,0,0,0
80 0 0 1,0,0,0,0,0,0
82 0 0 1,0,0,0,0,0,0
84 0 0 1,0,0,0,0,0,0
86 0 0 1,0,0,0,0,0,0
88 0 0 1,0,0,0,0,0,0
90 0 0 1,0,0,0,0,0,0
92 0 0 1,0,0,0,0,0,0
94 0 0 1,0,0,0,0,0,0
96 0 0 1,0,0,0,0,0,0
96 8 64 1,8,288,15104,930304,62705664,4478386176
98 0 0 1,0,0,0,0,0,0
100 0 0 1,0,0,0,0,0,0
102 0 0 1,0,0,0,0,0,0
104 0 0 1,0,0,0,0,0,0
106 0 0 1,0,0,0,0,0,0
108 -12 0 1,-12,-450,-26400,-1851300,-143068464,-11755458792
108 0 0 1,0,0,0,0,0,0
108 6 0 1,6,252,15288,1089270,84963060,7023612960
110 0 0 1,0,0,0,0,0,0
112 0 0 1,0,0,0,0,0,0
114 0 0 1,0,0,0,0,0,0
116 0 0 1,0,0,0,0,0,0
118 0 0 1,0,0,0,0,0,0
120 0 0 1,0,0,0,0,0,0
120 10 100 1,10,450,29500,2271250,191362500,17083687500
122 0 0 1,0,0,0,0,0,0
124 0 0 1,0,0,0,0,0,0
126 0 0 1,0,0,0,0,0,0
128 -24 0 1,-24,-1008,-68992,-5691840,-519095808,-50409970688
128 0 0 1,0,0,0,0,0,0
128 8 0 1,8,400,28800,2433600,225059328,22055814144
130 0 0 1,0,0,0,0,0,0
132 0 0 1,0,0,0,0,0,0
134 0 0 1,0,0,0,0,0,0
136 0 0 1,0,0,0,0,0,0
136 10 4 1,10,534,40900,3672550,360764460,37546578300
138 0 0 1,0,0,0,0,0,0
140 0 0 1,0,0,0,0,0,0
142 0 0 1,0,0,0,0,0,0
144 0 0 1,0,0,0,0,0,0
146 0 0 1,0,0,0,0,0,0
148 0 0 1,0,0,0,0,0,0
150 0 0 1,0,0,0,0,0,0
152 0 0 1,0,0,0,0,0,0
154 0 0 1,0,0,0,0,0,0
156 0 0 1,0,0,0,0,0,0
158 0 0 1,0,0,0,0,0,0
160 0 0 1,0,0,0,0,0,0
162 0 0 1,0,0,0,0,0,0
164 0 0 1,0,0,0,0,0,0
166 0 0 1,0,0,0,0,0,0
168 0 0 1,0,0,0,0,0,0
170 0 0 1,0,0,0,0,0,0
172 0 0 1,0,0,0,0,0,0
174 0 0 1,0,0,0,0,0,0
176 0 0 1,0,0,0,0,0,0
178 0 0 1,0,0,0,0,0,0
180 0 0 1,0,0,0,0,0,0
182 0 0 1,0,0,0,0,0,0
184 0 0 1,0,0,0,0,0,0
186 0 0 1,0,0,0,0,0,0
188 0 0 1,0,0,0,0,0,0
190 0 0 1,0,0,0,0,0,0
192 0 0 1,0,0,0,0,0,0
192 12 0 1,12,900,97200,12320100,1709044272,251229507984
194 0 0 1,0,0,0,0,0,0
196 0 0 1,0,0,0,0,0,0
198 0 0 1,0,0,0,0,0,0
200 0 0 1,0,0,0,0,0,0
