311 integral triples
-200 0 0 1,0,0,0,0,0,0
-198 0 0 1,0,0,0,0,0,0
-196 0 0 1,0,0,0,0,0,0
-194 0 0 1,0,0,0,0,0,0
-192 -12 0 1,-12,900,-97200,12320100,-1709044272,251229507984
-192 0 0 1,0,0,0,0,0,0
-190 0 0 1,0,0,0,0,0,0
-188 0 0 1,0,0,0,0,0,0
-186 0 0 1,0,0,0,0,0,0
-184 0 0 1,0,0,0,0,0,0
-182 0 0 1,0,0,0,0,0,0
-180 0 0 1,0,0,0,0,0,0
-178 0 0 1,0,0,0,0,0,0
-176 0 0 1,0,0,0,0,0,0
-174 0 0 1,0,0,0,0,0,0
-172 0 0 1,0,0,0,0,0,0
-170 0 0 1,0,0,0,0,0,0
-168 0 0 1,0,0,0,0,0,0
-166 0 0 1,0,0,0,0,0,0
-164 0 0 1,0,0,0,0,0,0
-162 0 0 1,0,0,0,0,0,0
-160 0 0 1,0,0,0,0,0,0
-158 0 0 1,0,0,0,0,0,0
-156 0 0 1,0,0,0,0,0,0
-154 0 0 1,0,0,0,0,0,0
-152 0 0 1,0,0,0,0,0,0
-150 0 0 1,0,0,0,0,0,0
-148 0 0 1,0,0,0,0,0,0
-146 0 0 1,0,0,0,0,0,0
-144 0 0 1,0,0,0,0,0,0
-142 0 0 1,0,0,0,0,0,0
-140 0 0 1,0,0,0,0,0,0
-138 0 0 1,0,0,0,0,0,0
-136 -10 4 1,-10,534,-40900,3672550,-360764460,37546578300
-136 0 0 1,0,0,0,0,0,0
-134 0 0 1,0,0,0,0,0,0
-132 0 0 1,0,0,0,0,0,0
-130 0 0 1,0,0,0,0,0,0
-128 -8 0 1,-8,400,-28800,2433600,-225059328,22055814144
-128 0 0 1,0,0,0,0,0,0
-128 24 0 1,24,-1008,68992,-5691840,519095808,-50409970688
-126 0 0 1,0,0,0,0,0,0
-124 0 0 1,0,0,0,0,0,0
-122 0 0 1,0,0,0,0,0,0
-120 -10 100 1,-10,450,-29500,2271250,-191362500,17083687500
-120 0 0 1,0,0,0,0,0,0
-118 0 0 1,0,0,0,0,0,0
-116 0 0 1,0,0,0,0,0,0
-114 0 0 1,0,0,0,0,0,0
-112 0 0 1,0,0,0,0,0,0
-110 0 0 1,0,0,0,0,0,0
-108 -6 0 1,-6,252,-15288,1089270,-84963060,7023612960
-108 0 0 1,0,0,0,0,0,0
-108 12 0 1,12,-450,26400,-1851300,143068464,-11755458792
