k,n,h11ok,h22ok,okY,okX,lcmok,logh11,logh22,logmY,logmX,v2h11,logoddh11,logmZ,v2mZ,logg0,v2gMODY,logh12
23.0,18,1,1,1,1,1,26.53661,0.30807,26.53661,15.28775,398,11.21035,2.33033,0,1.09416,28,26.49388
23.9,18,1,1,1,1,1,27.15274,0.30807,27.15274,15.90388,414,11.21035,2.33033,0,1.09416,28,27.06501
22.4,19,1,1,1,1,1,26.15926,0.60470,26.15926,14.88442,409,11.23835,2.22574,0,1.09715,28,26.15165
23.0,19,1,1,1,1,1,26.59704,0.60470,26.59704,15.32220,421,11.23835,2.22574,0,1.09715,28,26.58289
23.9,19,1,1,1,1,1,27.21722,0.60470,27.21722,15.94239,438,11.23835,2.22574,0,1.09715,28,27.19523
22.4,20,1,1,1,1,1,26.29476,0.27726,26.29476,14.93732,432,11.32278,2.40256,0,0.69315,28,26.29060
23.0,20,1,1,1,1,1,26.71065,0.27726,26.71065,15.35321,444,11.32278,2.40256,0,0.69315,28,26.65182
23.9,20,1,1,1,1,1,27.33448,0.27726,27.33448,15.97704,462,11.32278,2.40256,0,0.69315,28,27.33028
22.4,21,1,1,1,1,1,26.01841,0.29706,26.01841,14.82015,450,11.16525,2.39276,0,0.75916,32,25.80191
23.0,21,1,1,1,1,1,26.44750,0.29706,26.44750,15.24924,463,11.16525,2.39276,0,0.75916,32,26.36481
23.9,21,1,1,1,1,1,27.04163,0.29706,27.04163,15.84336,481,11.16525,2.39276,0,0.75916,32,27.02102
22.4,22,1,1,1,1,1,26.63303,0.18904,26.63303,15.06020,479,11.54132,2.49623,0,0.66164,27,26.60576
23.0,22,1,1,1,1,1,27.07412,0.18904,27.07412,15.50129,493,11.54132,2.49623,0,0.66164,27,27.05645
23.9,22,1,1,1,1,1,27.67275,0.18904,27.67275,16.09992,512,11.54132,2.49623,0,0.66164,27,27.66691
22.4,23,1,1,1,1,1,26.53577,0.18082,26.53577,15.03828,500,11.46735,2.62529,0,0.69315,29,26.51337
23.0,23,1,1,1,1,1,26.95768,0.18082,26.95768,15.46020,514,11.46735,2.62529,0,0.69315,29,26.91489
23.9,23,1,1,1,1,1,27.56042,0.18082,27.56042,16.06293,534,11.46735,2.62529,0,0.69315,29,27.47992
22.4,24,1,1,1,1,1,26.53446,0.20217,26.53446,15.10483,524,11.40075,2.23613,0,0.57762,27,26.51849
23.0,24,1,1,1,1,1,26.96768,0.20217,26.96768,15.53805,539,11.40075,2.23613,0,0.57762,27,26.95820
23.9,24,1,1,1,1,1,27.57419,0.20217,27.57419,16.14455,560,11.40075,2.23613,0,0.57762,27,27.53741
22.4,25,1,1,1,1,1,26.40019,0.22181,26.40019,15.02743,543,11.34504,2.30689,0,0.63770,31,26.38877
23.0,25,1,1,1,1,1,26.81608,0.22181,26.81608,15.44332,558,11.34504,2.30689,0,0.63770,31,26.81354
23.9,25,1,1,1,1,1,27.42605,0.22181,27.42605,16.05329,580,11.34504,2.30689,0,0.63770,31,27.42415
22.4,26,1,1,1,1,1,26.28241,0.21328,26.28241,15.03596,565,11.21979,2.47843,0,0.68801,31,26.26226
23.0,26,1,1,1,1,1,26.70896,0.21328,26.70896,15.46251,581,11.21979,2.47843,0,0.68801,31,26.50854
23.9,26,1,1,1,1,1,27.32213,0.21328,27.32213,16.07568,604,11.21979,2.47843,0,0.68801,31,27.31298
22.4,27,1,1,1,1,1,26.37173,0.15403,26.37173,15.09521,589,11.25085,2.15477,0,0.59046,29,26.30973
23.0,27,1,1,1,1,1,26.80815,0.15403,26.80815,15.53163,606,11.25085,2.15477,0,0.59046,29,26.77014
23.9,27,1,1,1,1,1,27.42429,0.15403,27.42429,16.14776,630,11.25085,2.15477,0,0.59046,29,27.39705
22.4,28,1,1,1,1,1,26.72866,0.17329,26.72866,15.12546,612,11.57845,2.61697,0,0.54462,29,26.67250
23.0,28,1,1,1,1,1,27.14950,0.17329,27.14950,15.54630,629,11.57845,2.61697,0,0.54462,29,27.12291
23.9,28,1,1,1,1,1,27.76838,0.17329,27.76838,16.16518,654,11.57845,2.61697,0,0.54462,29,27.73554
22.4,29,1,1,1,1,1,26.62775,0.19121,26.62775,15.03412,630,11.56973,2.56910,0,0.73929,33,26.61464
23.0,29,1,1,1,1,1,27.05798,0.19121,27.05798,15.46435,648,11.56973,2.56910,0,0.73929,33,27.01087
23.9,29,1,1,1,1,1,27.67942,0.19121,27.67942,16.08579,674,11.56973,2.56910,0,0.73929,33,27.66898
22.4,30,1,1,1,1,1,26.56140,0.16173,26.56140,15.11061,655,11.42769,2.49941,0,0.79375,31,26.55827
23.0,30,1,1,1,1,1,26.97729,0.16173,26.97729,15.52650,673,11.42769,2.49941,0,0.79375,31,26.97205
23.9,30,1,1,1,1,1,27.60112,0.16173,27.60112,16.15033,700,11.42769,2.49941,0,0.79375,31,27.57587
22.4,31,1,1,1,1,1,26.49216,0.38303,26.49216,15.07036,675,11.39944,2.35304,0,0.58135,33,26.44005
23.0,31,1,1,1,1,1,26.91700,0.38303,26.91700,15.49519,694,11.39944,2.35304,0,0.58135,33,26.88680
23.9,31,1,1,1,1,1,27.52070,0.38303,27.52070,16.09890,721,11.39944,2.35304,0,0.58135,33,27.44467
22.4,32,1,1,1,1,1,26.74356,0.17329,26.74356,15.20592,703,11.51598,2.88001,0,0.48649,27,26.74107
23.0,32,1,1,1,1,1,27.17677,0.17329,27.17677,15.63913,723,11.51598,2.88001,0,0.48649,27,27.16384
23.9,32,1,1,1,1,1,27.78328,0.17329,27.78328,16.24564,751,11.51598,2.88001,0,0.48649,27,27.75878
22.4,33,1,1,1,1,1,26.98507,0.18904,26.98507,15.14422,722,11.81985,2.64655,0,0.52107,31,26.94900
23.0,33,1,1,1,1,1,27.40516,0.18904,27.40516,15.56430,742,11.81985,2.64655,0,0.52107,31,27.38538
23.9,33,1,1,1,1,1,28.01429,0.18904,28.01429,16.17343,771,11.81985,2.64655,0,0.52107,31,27.96507
22.4,34,1,1,1,1,1,27.00850,0.18348,27.00850,15.14730,744,11.84081,2.56020,0,0.44851,31,26.99677
23.0,34,1,1,1,1,1,27.43662,0.18348,27.43662,15.57542,765,11.84081,2.56020,0,0.44851,31,27.42898
23.9,34,1,1,1,1,1,28.04823,0.18348,28.04823,16.18703,795,11.84081,2.56020,0,0.44851,31,28.04765
22.4,35,1,1,1,1,1,26.63673,0.15843,26.63673,15.17002,767,11.44691,2.35245,0,0.51109,31,26.60675
23.0,35,1,1,1,1,1,27.05262,0.15843,27.05262,15.58591,788,11.44691,2.35245,0,0.51109,31,27.03744
23.9,35,1,1,1,1,1,27.66655,0.15843,27.66655,16.19984,819,11.44691,2.35245,0,0.51109,31,27.63252
22.4,36,1,1,1,1,1,26.61774,0.17329,26.61774,15.17222,789,11.42626,2.25850,0,0.47764,31,26.61436
23.0,36,1,1,1,1,1,27.04133,0.17329,27.04133,15.59581,811,11.42626,2.25850,0,0.47764,31,27.01594
23.9,36,1,1,1,1,1,27.65746,0.17329,27.65746,16.21194,843,11.42626,2.25850,0,0.47764,31,27.59658
22.4,37,1,1,1,1,1,26.28814,0.18734,26.28814,15.09937,807,11.17004,1.84501,0,0.46834,35,26.28587
23.0,37,1,1,1,1,1,26.71901,0.18734,26.71901,15.53024,830,11.17004,1.84501,0,0.46834,35,26.65782
23.9,37,1,1,1,1,1,27.33723,0.18734,27.33723,16.14846,863,11.17004,1.84501,0,0.46834,35,27.32768
22.4,38,1,1,1,1,1,26.65896,0.14593,26.65896,15.19452,834,11.44620,2.16920,0,0.41954,31,26.65005
23.0,38,1,1,1,1,1,27.07849,0.14593,27.07849,15.61405,857,11.44620,2.16920,0,0.41954,31,27.04962
23.9,38,1,1,1,1,1,27.69868,0.14593,27.69868,16.23424,891,11.44620,2.16920,0,0.41954,31,27.63229
22.4,39,1,1,1,1,1,26.88905,0.14218,26.88905,15.16037,854,11.71090,2.17380,0,0.44433,33,26.87752
23.0,39,1,1,1,1,1,27.31560,0.14218,27.31560,15.58693,878,11.71090,2.17380,0,0.44433,33,27.28036
23.9,39,1,1,1,1,1,27.93765,0.14218,27.93765,16.20898,913,11.71090,2.17380,0,0.44433,33,27.87026
22.4,40,1,1,1,1,1,26.72463,0.15596,26.72463,15.21458,879,11.49272,2.08258,0,0.58046,31,26.72014
23.0,40,1,1,1,1,1,27.14052,0.15596,27.14052,15.63047,903,11.49272,2.08258,0,0.58046,31,27.13621
23.9,40,1,1,1,1,1,27.76435,0.15596,27.76435,16.25430,939,11.49272,2.08258,0,0.58046,31,27.65901
22.4,41,1,1,1,1,1,26.74024,0.26297,26.74024,15.14780,897,11.57553,2.58746,0,0.48114,35,26.72358
23.0,41,1,1,1,1,1,27.16289,0.26297,27.16289,15.57045,922,11.57553,2.58746,0,0.48114,35,27.13162
23.9,41,1,1,1,1,1,27.77151,0.26297,27.77151,16.17907,958,11.57553,2.58746,0,0.48114,35,27.75274
