xi2: 2-adic precision (bits) = 4931
xi2 valuation = -1
xi2 mod 2^40  = 638147118555/2
xi2 mod 2^80  = 2221961521540699540440539/2
Zudilin tail v_2(xi2 - P_m/Q_m) vs 8m-1-4s_2(m):
  m=40  v_2=311  8m-1-4s_2(m)=311  match=1
  m=80  v_2=631  8m-1-4s_2(m)=631  match=1
  m=120  v_2=943  8m-1-4s_2(m)=943  match=1
  m=160  v_2=1271  8m-1-4s_2(m)=1271  match=1
  m=200  v_2=1587  8m-1-4s_2(m)=1587  match=1
  m=240  v_2=1903  8m-1-4s_2(m)=1903  match=1

k,n,v2ZudForm,v2NestForm,v2Nesttail,v2mixed,v2MOD,logq,archrate,v2qxip,d2,dinf,dad,incone
23.9,79,1910,2219,1097,1940,1904,14.26740,-0.67494,6,0.00369,0.04731,0.05100,1
22.4,80,1938,2252,1116,1963,1808,14.80285,-0.14591,130,0.07609,0.00986,0.08595,1
23.0,80,1938,2252,1116,1963,1856,14.60805,-0.34215,82,0.04864,0.02342,0.07206,0
23.9,80,1938,2252,1116,1963,1928,14.27548,-0.65135,10,0.00607,0.04563,0.05170,0
22.4,81,1958,2277,1127,1986,1830,14.70073,-0.24632,130,0.07567,0.01676,0.09243,0
23.0,81,1958,2277,1127,1986,1879,14.49151,-0.45704,79,0.04665,0.03154,0.07819,0
23.9,81,1958,2277,1127,1986,1951,14.14751,-0.76648,7,0.00423,0.05418,0.05841,0
22.4,82,1982,2305,1141,2010,1852,14.81836,-0.13259,130,0.07416,0.00895,0.08310,0
23.0,82,1982,2305,1141,2010,1902,14.60713,-0.34489,80,0.04630,0.02361,0.06991,1
23.9,82,1982,2305,1141,2010,1975,14.27314,-0.65521,8,0.00474,0.04590,0.05064,1
22.4,83,2006,2332,1154,2035,1875,14.72989,-0.20797,131,0.07427,0.01412,0.08839,1
23.0,83,2006,2332,1154,2035,1925,14.52538,-0.40032,81,0.04657,0.02756,0.07413,0
23.9,83,2006,2332,1154,2035,1999,14.23014,-0.71866,7,0.00411,0.05050,0.05461,1
22.4,84,2030,2361,1169,2058,1897,14.79795,-0.12790,134,0.07472,0.00864,0.08337,1
23.0,84,2030,2361,1169,2058,1948,14.59460,-0.33908,82,0.04636,0.02323,0.06960,1
23.9,84,2030,2361,1169,2058,2023,14.29312,-0.65510,7,0.00404,0.04583,0.04987,1
22.4,85,2050,2386,1180,2081,1920,14.81465,-0.13731,131,0.07211,0.00927,0.08138,0
23.0,85,2050,2386,1180,2081,1971,14.56338,-0.36013,79,0.04424,0.02473,0.06896,1
23.9,85,2050,2386,1180,2081,2047,14.30393,-0.64867,3,0.00171,0.04535,0.04706,0
22.4,86,2089,2422,1200,2116,1944,14.78755,-0.15654,145,0.07903,0.01059,0.08962,1
23.0,86,2089,2422,1200,2116,1996,14.54846,-0.37773,93,0.05152,0.02596,0.07749,1
23.9,86,2089,2422,1200,2116,2073,14.27597,-0.66725,16,0.00903,0.04674,0.05577,1
22.4,87,2111,2448,1212,2140,1966,14.77368,-0.13696,145,0.07820,0.00927,0.08747,0
23.0,87,2111,2448,1212,2140,2019,14.59439,-0.35621,92,0.05022,0.02441,0.07463,0
23.9,87,2111,2448,1212,2140,2097,14.27830,-0.67205,14,0.00781,0.04707,0.05488,0
22.4,88,2137,2479,1229,2163,1989,14.79344,-0.15309,151,0.08040,0.01035,0.09075,1
23.0,88,2137,2479,1229,2163,2042,14.57139,-0.35646,99,0.05352,0.02446,0.07798,0
23.9,88,2137,2479,1229,2163,2121,14.26887,-0.68295,16,0.00883,0.04786,0.05670,1
22.4,89,2157,2504,1240,2186,2011,14.71259,-0.19539,146,0.07729,0.01328,0.09057,0
23.0,89,2157,2504,1240,2186,2065,14.51421,-0.42469,94,0.05044,0.02926,0.07970,1
23.9,89,2157,2504,1240,2186,2145,14.21672,-0.73228,12,0.00657,0.05151,0.05808,0
22.4,90,2181,2532,1254,2210,2034,14.66577,-0.27451,147,0.07720,0.01872,0.09591,0
23.0,90,2181,2532,1254,2210,2088,14.43872,-0.48035,93,0.04961,0.03327,0.08287,0
23.9,90,2181,2532,1254,2210,2169,14.15068,-0.79993,12,0.00653,0.05653,0.06306,1
22.4,91,2207,2560,1268,2236,2056,14.67861,-0.25100,151,0.07836,0.01710,0.09546,1
23.0,91,2207,2560,1268,2236,2111,14.49064,-0.45836,96,0.05046,0.03163,0.08209,1
23.9,91,2207,2560,1268,2236,2192,14.17940,-0.76665,18,0.00967,0.05407,0.06374,1
22.4,92,2231,2589,1283,2259,2078,14.70315,-0.23599,153,0.07840,0.01605,0.09445,0
23.0,92,2231,2589,1283,2259,2134,14.49027,-0.45334,97,0.05044,0.03129,0.08172,1
23.9,92,2231,2589,1283,2259,2216,14.16736,-0.74872,17,0.00904,0.05285,0.06189,0
22.4,93,2251,2614,1294,2282,2101,14.65935,-0.27113,150,0.07626,0.01850,0.09476,1
23.0,93,2251,2614,1294,2282,2157,14.47617,-0.47572,94,0.04840,0.03286,0.08126,1
23.9,93,2251,2614,1294,2282,2240,14.15905,-0.78922,11,0.00579,0.05574,0.06153,1
22.4,94,2277,2643,1309,2307,2123,14.71922,-0.23318,157,0.07865,0.01584,0.09449,0
23.0,94,2277,2643,1309,2307,2180,14.50224,-0.44738,103,0.05237,0.03085,0.08322,1
23.9,94,2277,2643,1309,2307,2264,14.20335,-0.74818,13,0.00675,0.05268,0.05943,0
22.4,95,2299,2669,1321,2331,2146,14.69291,-0.25641,153,0.07598,0.01745,0.09343,1
23.0,95,2299,2669,1321,2331,2203,14.49680,-0.45564,96,0.04832,0.03143,0.07975,0
23.9,95,2299,2669,1321,2331,2288,14.15405,-0.75205,11,0.00567,0.05313,0.05880,0
22.4,96,2329,2704,1342,2354,2168,14.71309,-0.22097,164,0.08048,0.01502,0.09550,0
23.0,96,2329,2704,1342,2354,2226,14.51485,-0.43871,104,0.05173,0.03022,0.08196,0
23.9,96,2329,2704,1342,2354,2312,14.18511,-0.75548,18,0.00916,0.05326,0.06242,1
22.4,97,2349,2729,1353,2377,2190,14.70455,-0.24730,159,0.07727,0.01682,0.09409,1
23.0,97,2349,2729,1353,2377,2249,14.49443,-0.45691,101,0.04979,0.03152,0.08132,1
23.9,97,2349,2729,1353,2377,2336,14.16337,-0.74249,13,0.00656,0.05242,0.05898,0
22.4,98,2373,2757,1367,2401,2213,14.74012,-0.21344,160,0.07677,0.01448,0.09126,1
23.0,98,2373,2757,1367,2401,2272,14.53717,-0.41428,101,0.04914,0.02850,0.07764,0
23.9,98,2373,2757,1367,2401,2360,14.20191,-0.73200,14,0.00697,0.05154,0.05851,1
22.4,99,2397,2784,1380,2426,2235,14.73100,-0.21083,162,0.07700,0.01431,0.09131,0
23.0,99,2397,2784,1380,2426,2295,14.52569,-0.42791,102,0.04916,0.02946,0.07862,1
23.9,99,2397,2784,1380,2426,2384,14.21445,-0.73861,13,0.00640,0.05196,0.05837,1
22.4,100,2421,2813,1395,2449,2258,14.76054,-0.18249,164,0.07701,0.01236,0.08938,0
23.0,100,2421,2813,1395,2449,2318,14.51602,-0.40030,103,0.04918,0.02758,0.07676,1
23.9,100,2421,2813,1395,2449,2408,14.22802,-0.70460,13,0.00633,0.04952,0.05586,0
22.4,101,2441,2838,1406,2472,2280,14.75629,-0.19706,161,0.07488,0.01335,0.08823,0
23.0,101,2441,2838,1406,2472,2341,14.54116,-0.40853,101,0.04767,0.02809,0.07576,1
23.9,101,2441,2838,1406,2472,2431,14.22691,-0.71011,11,0.00531,0.04991,0.05522,0
22.4,102,2469,2868,1422,2498,2302,14.72609,-0.21346,167,0.07706,0.01450,0.09156,1
23.0,102,2469,2868,1422,2498,2364,14.52665,-0.41997,105,0.04912,0.02891,0.07803,1
23.9,102,2469,2868,1422,2498,2455,14.22238,-0.72518,16,0.00764,0.05099,0.05863,0
22.4,103,2491,2894,1434,2522,2325,14.81469,-0.12283,166,0.07541,0.00829,0.08370,0
23.0,103,2491,2894,1434,2522,2387,14.59459,-0.33173,104,0.04795,0.02273,0.07068,0
23.9,103,2491,2894,1434,2522,2479,14.31196,-0.64074,12,0.00564,0.04477,0.05041,0
22.4,104,2517,2925,1451,2545,2347,14.83365,-0.10791,170,0.07638,0.00727,0.08366,0
23.0,104,2517,2925,1451,2545,2410,14.63167,-0.31935,109,0.04965,0.02183,0.07148,0
23.9,104,2517,2925,1451,2545,2503,14.30777,-0.63419,14,0.00652,0.04432,0.05085,1
22.4,105,2537,2950,1462,2568,2370,14.77961,-0.17175,167,0.07459,0.01162,0.08621,0
23.0,105,2537,2950,1462,2568,2433,14.56430,-0.38965,108,0.04895,0.02675,0.07571,1
23.9,105,2537,2950,1462,2568,2527,14.25868,-0.69091,12,0.00556,0.04846,0.05401,1
22.4,106,2561,2978,1476,2592,2392,14.76649,-0.18250,170,0.07528,0.01236,0.08764,1
23.0,106,2561,2978,1476,2592,2456,14.56424,-0.37680,106,0.04759,0.02587,0.07346,0
23.9,106,2561,2978,1476,2592,2551,14.24886,-0.69952,10,0.00459,0.04909,0.05368,1
22.4,107,2591,3008,1492,2620,2414,14.78452,-0.16408,177,0.07755,0.01110,0.08865,1
23.0,107,2591,3008,1492,2620,2479,14.57311,-0.37074,112,0.04979,0.02544,0.07523,1
23.9,107,2591,3008,1492,2620,2575,14.26494,-0.67454,16,0.00727,0.04729,0.05455,0
22.4,108,2615,3037,1507,2643,2437,14.85502,-0.09154,179,0.07734,0.00616,0.08350,1
23.0,108,2615,3037,1507,2643,2502,14.63220,-0.31250,113,0.04956,0.02136,0.07092,1
23.9,108,2615,3037,1507,2643,2599,14.33862,-0.61461,19,0.00850,0.04286,0.05137,1
22.4,109,2635,3062,1518,2666,2459,14.83477,-0.09785,176,0.07545,0.00660,0.08204,0
23.0,109,2635,3062,1518,2666,2525,14.62851,-0.31275,112,0.04869,0.02138,0.07007,0
23.9,109,2635,3062,1518,2666,2623,14.30883,-0.62541,12,0.00533,0.04371,0.04904,0
22.4,110,2661,3091,1533,2691,2482,14.83814,-0.10683,182,0.07729,0.00720,0.08449,1
23.0,110,2661,3091,1533,2691,2548,14.65490,-0.29036,113,0.04859,0.01981,0.06840,0
23.9,110,2661,3091,1533,2691,2647,14.34279,-0.60525,14,0.00615,0.04220,0.04835,1
22.4,111,2683,3117,1545,2715,2504,14.84066,-0.10527,180,0.07574,0.00709,0.08283,1
23.0,111,2683,3117,1545,2715,2571,14.64341,-0.29246,112,0.04776,0.01997,0.06773,0
23.9,111,2683,3117,1545,2715,2670,14.33692,-0.60226,13,0.00566,0.04201,0.04767,0
22.4,112,2711,3150,1564,2738,2526,14.84427,-0.09426,186,0.07755,0.00635,0.08390,0
23.0,112,2711,3150,1564,2738,2594,14.63178,-0.31917,117,0.04949,0.02181,0.07130,1
23.9,112,2711,3150,1564,2738,2694,14.32936,-0.62194,18,0.00777,0.04340,0.05118,1
22.4,113,2731,3175,1575,2761,2549,14.87935,-0.07560,182,0.07503,0.00508,0.08011,0
23.0,113,2731,3175,1575,2761,2617,14.65802,-0.29454,114,0.04771,0.02009,0.06780,0
23.9,113,2731,3175,1575,2761,2718,14.33686,-0.60923,13,0.00556,0.04249,0.04806,1
22.4,114,2755,3203,1589,2785,2571,14.90234,-0.05106,185,0.07548,0.00343,0.07891,0
23.0,114,2755,3203,1589,2785,2640,14.66210,-0.27363,115,0.04769,0.01866,0.06635,1
23.9,114,2755,3203,1589,2785,2742,14.36748,-0.58302,13,0.00550,0.04058,0.04608,1
22.4,115,2779,3230,1602,2810,2594,14.82047,-0.13455,185,0.07524,0.00908,0.08432,0
23.0,115,2779,3230,1602,2810,2663,14.62976,-0.32526,116,0.04779,0.02223,0.07002,0
23.9,115,2779,3230,1602,2810,2766,14.30436,-0.64882,14,0.00590,0.04536,0.05126,0
22.4,116,2803,3259,1617,2833,2616,14.84372,-0.09487,187,0.07528,0.00639,0.08167,0
23.0,116,2803,3259,1617,2833,2686,14.63421,-0.31191,117,0.04777,0.02131,0.06909,1
23.9,116,2803,3259,1617,2833,2790,14.33463,-0.61826,13,0.00542,0.04313,0.04855,0
22.4,117,2823,3284,1628,2856,2638,14.82703,-0.12323,185,0.07392,0.00831,0.08223,1
23.0,117,2823,3284,1628,2856,2709,14.61788,-0.33436,115,0.04661,0.02287,0.06948,1
23.9,117,2823,3284,1628,2856,2814,14.31494,-0.63745,9,0.00372,0.04453,0.04825,0
22.4,118,2853,3315,1645,2883,2661,14.77852,-0.15373,195,0.07751,0.01040,0.08791,0
23.0,118,2853,3315,1645,2883,2732,14.57748,-0.36555,121,0.04876,0.02508,0.07383,1
23.9,118,2853,3315,1645,2883,2838,14.26339,-0.68655,16,0.00659,0.04813,0.05472,1
22.4,119,2875,3341,1657,2907,2683,14.76602,-0.17506,192,0.07574,0.01186,0.08759,1
23.0,119,2875,3341,1657,2907,2755,14.58481,-0.36782,124,0.04952,0.02522,0.07474,1
23.9,119,2875,3341,1657,2907,2862,14.27900,-0.67274,13,0.00530,0.04711,0.05242,0
22.4,120,2901,3372,1674,2930,2706,14.79351,-0.11725,195,0.07614,0.00793,0.08406,0
23.0,120,2901,3372,1674,2930,2778,14.58758,-0.33810,123,0.04870,0.02318,0.07188,0
23.9,120,2901,3372,1674,2930,2886,14.29667,-0.65370,15,0.00606,0.04572,0.05178,1
22.4,121,2921,3397,1685,2953,2728,14.75780,-0.18415,193,0.07492,0.01248,0.08739,0
23.0,121,2921,3397,1685,2953,2801,14.55362,-0.39855,120,0.04723,0.02738,0.07462,1
23.9,121,2921,3397,1685,2953,2909,14.24176,-0.70355,15,0.00603,0.04940,0.05543,0
22.4,122,2945,3425,1699,2977,2750,14.78376,-0.17134,197,0.07571,0.01159,0.08730,0
23.0,122,2945,3425,1699,2977,2824,14.54757,-0.38789,121,0.04726,0.02666,0.07392,1
23.9,122,2945,3425,1699,2977,2933,14.26308,-0.69091,15,0.00598,0.04844,0.05442,0
22.4,123,2971,3453,1713,3003,2773,14.78858,-0.16664,198,0.07545,0.01127,0.08672,0
23.0,123,2971,3453,1713,3003,2847,14.56532,-0.37892,125,0.04836,0.02602,0.07438,1
23.9,123,2971,3453,1713,3003,2957,14.26433,-0.68414,15,0.00593,0.04796,0.05389,0
22.4,124,2995,3482,1728,3026,2795,14.84083,-0.11409,200,0.07533,0.00769,0.08302,1
23.0,124,2995,3482,1728,3026,2870,14.63743,-0.31761,126,0.04812,0.02170,0.06982,0
23.9,124,2995,3482,1728,3026,2981,14.31987,-0.63510,14,0.00547,0.04435,0.04982,1
22.4,125,3015,3507,1739,3049,2818,14.77152,-0.17872,202,0.07583,0.01210,0.08793,1
23.0,125,3015,3507,1739,3049,2893,14.56501,-0.38004,122,0.04645,0.02609,0.07254,0
23.9,125,3015,3507,1739,3049,3005,14.28218,-0.67339,10,0.00388,0.04715,0.05103,0
22.4,126,3041,3536,1754,3074,2840,14.78264,-0.16654,201,0.07480,0.01127,0.08607,1
23.0,126,3041,3536,1754,3074,2916,14.56481,-0.36313,125,0.04721,0.02493,0.07214,0
23.9,126,3041,3536,1754,3074,3029,14.26931,-0.68552,12,0.00463,0.04804,0.05267,1
22.4,127,3063,3562,1766,3098,2862,14.83791,-0.11014,201,0.07393,0.00742,0.08136,1
23.0,127,3063,3562,1766,3098,2939,14.63304,-0.31821,126,0.04700,0.02175,0.06874,0
23.9,127,3063,3562,1766,3098,3053,14.30437,-0.62839,10,0.00382,0.04393,0.04775,0
22.4,128,3097,3601,1791,3121,2885,14.82537,-0.12895,212,0.07744,0.00870,0.08613,1
23.0,128,3097,3601,1791,3121,2962,14.60728,-0.32644,135,0.05005,0.02235,0.07240,0
23.9,128,3097,3601,1791,3121,3077,14.29625,-0.65020,20,0.00758,0.04548,0.05306,1
22.4,129,3117,3626,1802,3144,2907,14.88174,-0.07160,210,0.07582,0.00481,0.08063,0
23.0,129,3117,3626,1802,3144,2985,14.66501,-0.28605,132,0.04836,0.01951,0.06787,1
23.9,129,3117,3626,1802,3144,3101,14.35557,-0.59818,16,0.00599,0.04167,0.04766,1
22.4,130,3141,3654,1816,3168,2930,14.82222,-0.12282,211,0.07590,0.00829,0.08419,1
23.0,130,3141,3654,1816,3168,3008,14.57514,-0.32447,134,0.04902,0.02226,0.07128,0
23.9,130,3141,3654,1816,3168,3125,14.30670,-0.64131,17,0.00634,0.04483,0.05116,0
22.4,131,3165,3681,1829,3193,2952,14.76842,-0.17619,213,0.07631,0.01193,0.08824,1
23.0,131,3165,3681,1829,3193,3031,14.58043,-0.37500,134,0.04863,0.02572,0.07435,0
23.9,131,3165,3681,1829,3193,3148,14.24038,-0.70092,17,0.00632,0.04922,0.05554,1
22.4,132,3189,3710,1844,3216,2974,14.77686,-0.17415,216,0.07676,0.01179,0.08854,1
23.0,132,3189,3710,1844,3216,3054,14.57122,-0.38378,137,0.04937,0.02634,0.07571,1
23.9,132,3189,3710,1844,3216,3172,14.26457,-0.68718,17,0.00626,0.04817,0.05443,0
22.4,133,3209,3735,1855,3239,2997,14.80672,-0.14922,212,0.07462,0.01008,0.08470,0
23.0,133,3209,3735,1855,3239,3077,14.58645,-0.36923,132,0.04716,0.02531,0.07248,0
23.9,133,3209,3735,1855,3239,3196,14.27397,-0.68155,17,0.00621,0.04775,0.05395,0
22.4,134,3237,3765,1871,3265,3019,14.71334,-0.22786,223,0.07840,0.01549,0.09389,1
23.0,134,3237,3765,1871,3265,3100,14.51197,-0.44228,137,0.04883,0.03048,0.07931,1
23.9,134,3237,3765,1871,3265,3220,14.20726,-0.74842,17,0.00619,0.05268,0.05887,1
22.4,135,3259,3791,1883,3289,3042,14.76195,-0.19360,217,0.07548,0.01311,0.08859,0
23.0,135,3259,3791,1883,3289,3123,14.54705,-0.40437,136,0.04800,0.02780,0.07580,0
23.9,135,3259,3791,1883,3289,3244,14.24873,-0.70709,15,0.00541,0.04962,0.05503,0
22.4,136,3285,3822,1900,3312,3064,14.77451,-0.18132,222,0.07658,0.01227,0.08885,0
23.0,136,3285,3822,1900,3312,3146,14.56192,-0.39169,142,0.04970,0.02690,0.07660,0
23.9,136,3285,3822,1900,3312,3268,14.23551,-0.71169,17,0.00609,0.04999,0.05608,1
22.4,137,3305,3847,1911,3335,3086,14.76804,-0.18592,219,0.07503,0.01259,0.08762,1
23.0,137,3305,3847,1911,3335,3169,14.56030,-0.39260,136,0.04726,0.02696,0.07422,0
23.9,137,3305,3847,1911,3335,3292,14.24809,-0.70509,13,0.00462,0.04949,0.05410,1
22.4,138,3329,3875,1925,3359,3109,14.80279,-0.14522,220,0.07465,0.00981,0.08446,1
23.0,138,3329,3875,1925,3359,3192,14.59340,-0.35716,138,0.04750,0.02447,0.07197,1
23.9,138,3329,3875,1925,3359,3316,14.28574,-0.66795,14,0.00492,0.04676,0.05168,1
22.4,139,3357,3904,1940,3386,3131,14.82791,-0.10621,227,0.07634,0.00716,0.08350,0
23.0,139,3357,3904,1940,3386,3215,14.63301,-0.32235,142,0.04839,0.02203,0.07042,0
23.9,139,3357,3904,1940,3386,3340,14.29875,-0.64472,17,0.00593,0.04509,0.05102,1
22.4,140,3381,3933,1955,3409,3154,14.83239,-0.11609,227,0.07577,0.00783,0.08360,1
23.0,140,3381,3933,1955,3409,3238,14.62537,-0.31939,147,0.04976,0.02184,0.07160,0
23.9,140,3381,3933,1955,3409,3364,14.30749,-0.63856,17,0.00588,0.04463,0.05051,1
22.4,141,3401,3958,1966,3432,3176,14.83029,-0.12304,225,0.07458,0.00830,0.08288,1
23.0,141,3401,3958,1966,3432,3261,14.62365,-0.33035,141,0.04740,0.02259,0.06999,0
23.9,141,3401,3958,1966,3432,3387,14.29862,-0.64435,14,0.00481,0.04506,0.04988,1
22.4,142,3427,3987,1981,3457,3198,14.75770,-0.19540,229,0.07574,0.01324,0.08899,1
23.0,142,3427,3987,1981,3457,3284,14.54171,-0.39833,143,0.04800,0.02739,0.07539,0
23.9,142,3427,3987,1981,3457,3411,14.25286,-0.70345,17,0.00582,0.04936,0.05518,0
22.4,143,3449,4013,1993,3481,3221,14.80251,-0.15246,232,0.07597,0.01030,0.08627,1
23.0,143,3449,4013,1993,3481,3307,14.57259,-0.36183,142,0.04723,0.02483,0.07206,1
23.9,143,3449,4013,1993,3481,3435,14.26639,-0.67052,15,0.00510,0.04700,0.05210,0
22.4,144,3477,4046,2012,3504,3243,14.86741,-0.06525,234,0.07576,0.00439,0.08015,0
23.0,144,3477,4046,2012,3504,3330,14.66309,-0.28901,147,0.04826,0.01971,0.06797,1
23.9,144,3477,4046,2012,3504,3459,14.36370,-0.59100,18,0.00603,0.04115,0.04718,1
22.4,145,3497,4071,2023,3527,3266,14.81021,-0.14110,231,0.07456,0.00953,0.08409,0
23.0,145,3497,4071,2023,3527,3353,14.60003,-0.35044,144,0.04715,0.02400,0.07115,1
23.9,145,3497,4071,2023,3527,3483,14.29516,-0.66031,15,0.00502,0.04619,0.05121,0
22.4,146,3521,4099,2037,3551,3288,14.77920,-0.16852,234,0.07517,0.01140,0.08657,1
23.0,146,3521,4099,2037,3551,3376,14.58161,-0.37182,145,0.04721,0.02550,0.07271,0
23.9,146,3521,4099,2037,3551,3507,14.26796,-0.68290,14,0.00466,0.04786,0.05252,0
22.4,147,3545,4126,2050,3576,3310,14.84154,-0.11242,235,0.07466,0.00757,0.08224,0
23.0,147,3545,4126,2050,3576,3399,14.63264,-0.32207,146,0.04705,0.02201,0.06906,0
23.9,147,3545,4126,2050,3576,3531,14.30825,-0.63085,16,0.00527,0.04409,0.04936,0
22.4,148,3569,4155,2065,3599,3333,14.89568,-0.05918,237,0.07452,0.00397,0.07849,0
23.0,148,3569,4155,2065,3599,3422,14.67885,-0.26949,147,0.04690,0.01836,0.06526,0
23.9,148,3569,4155,2065,3599,3555,14.36428,-0.58224,14,0.00456,0.04053,0.04510,1
22.4,149,3589,4180,2076,3622,3355,14.83357,-0.12109,236,0.07401,0.00816,0.08218,1
23.0,149,3589,4180,2076,3622,3445,14.62021,-0.33405,144,0.04582,0.02285,0.06867,1
23.9,149,3589,4180,2076,3622,3579,14.31761,-0.63588,11,0.00357,0.04441,0.04799,0
22.4,150,3621,4212,2094,3650,3378,14.81931,-0.13334,248,0.07733,0.00900,0.08633,0
23.0,150,3621,4212,2094,3650,3468,14.62263,-0.33379,153,0.04835,0.02283,0.07118,0
23.9,150,3621,4212,2094,3650,3603,14.30100,-0.65143,18,0.00582,0.04555,0.05137,0
22.4,151,3643,4238,2106,3674,3400,14.77390,-0.17436,246,0.07643,0.01180,0.08824,0
23.0,151,3643,4238,2106,3674,3491,14.57306,-0.38238,154,0.04851,0.02624,0.07475,0
23.9,151,3643,4238,2106,3674,3626,14.24912,-0.68768,17,0.00548,0.04826,0.05374,0
22.4,152,3669,4269,2123,3697,3422,14.84201,-0.10795,248,0.07620,0.00727,0.08347,1
23.0,152,3669,4269,2123,3697,3514,14.64063,-0.31194,155,0.04828,0.02131,0.06958,1
23.9,152,3669,4269,2123,3697,3650,14.31939,-0.62238,25,0.00796,0.04346,0.05143,0
22.4,153,3689,4294,2134,3720,3445,14.80371,-0.15092,244,0.07467,0.01019,0.08487,1
23.0,153,3689,4294,2134,3720,3537,14.58231,-0.36049,153,0.04753,0.02472,0.07225,1
23.9,153,3689,4294,2134,3720,3674,14.26673,-0.66927,15,0.00476,0.04691,0.05167,0
22.4,154,3713,4322,2148,3744,3467,14.80229,-0.15412,247,0.07511,0.01041,0.08552,0
23.0,154,3713,4322,2148,3744,3560,14.59531,-0.36117,153,0.04718,0.02475,0.07193,0
23.9,154,3713,4322,2148,3744,3698,14.28085,-0.67172,15,0.00473,0.04704,0.05176,0
22.4,155,3739,4350,2162,3770,3490,14.82300,-0.12980,249,0.07512,0.00876,0.08388,0
23.0,155,3739,4350,2162,3770,3583,14.60987,-0.34236,156,0.04775,0.02343,0.07118,1
23.9,155,3739,4350,2162,3770,3722,14.29756,-0.65188,17,0.00532,0.04559,0.05091,1
22.4,156,3763,4379,2177,3793,3512,14.77319,-0.18345,251,0.07549,0.01242,0.08791,0
23.0,156,3763,4379,2177,3793,3606,14.55639,-0.39658,157,0.04792,0.02724,0.07517,1
23.9,156,3763,4379,2177,3793,3746,14.23105,-0.70419,17,0.00531,0.04948,0.05479,0
22.4,157,3783,4404,2188,3816,3534,14.81008,-0.14090,249,0.07423,0.00951,0.08374,0
23.0,157,3783,4404,2188,3816,3629,14.59472,-0.35569,156,0.04719,0.02437,0.07156,1
23.9,157,3783,4404,2188,3816,3770,14.28742,-0.66668,13,0.00402,0.04666,0.05068,1
22.4,158,3809,4433,2203,3841,3557,14.82367,-0.12556,252,0.07458,0.00847,0.08305,0
23.0,158,3809,4433,2203,3841,3652,14.60714,-0.34148,159,0.04775,0.02338,0.07113,1
23.9,158,3809,4433,2203,3841,3794,14.30211,-0.65204,17,0.00521,0.04559,0.05081,1
22.4,159,3831,4459,2215,3865,3579,14.83899,-0.11782,252,0.07403,0.00794,0.08197,0
23.0,159,3831,4459,2215,3865,3675,14.61980,-0.33530,156,0.04652,0.02293,0.06945,1
23.9,159,3831,4459,2215,3865,3818,14.31321,-0.63831,13,0.00396,0.04460,0.04856,0
22.4,160,3861,4494,2236,3888,3602,14.80980,-0.14505,262,0.07664,0.00979,0.08643,1
23.0,160,3861,4494,2236,3888,3698,14.58202,-0.36013,164,0.04872,0.02470,0.07342,1
23.9,160,3861,4494,2236,3888,3842,14.29855,-0.65819,19,0.00576,0.04603,0.05179,0
22.4,161,3881,4519,2247,3911,3624,14.77253,-0.17584,257,0.07490,0.01190,0.08680,1
23.0,161,3881,4519,2247,3911,3721,14.57813,-0.37546,160,0.04725,0.02576,0.07301,0
23.9,161,3881,4519,2247,3911,3865,14.27096,-0.68471,16,0.00483,0.04798,0.05281,0
22.4,162,3905,4547,2261,3935,3646,14.81203,-0.13648,262,0.07568,0.00921,0.08490,1
23.0,162,3905,4547,2261,3935,3744,14.61424,-0.34253,161,0.04714,0.02344,0.07057,0
23.9,162,3905,4547,2261,3935,3889,14.30830,-0.64804,17,0.00508,0.04529,0.05037,0
22.4,163,3929,4574,2274,3960,3669,14.84943,-0.10427,261,0.07474,0.00702,0.08176,1
23.0,163,3929,4574,2274,3960,3767,14.64616,-0.31054,162,0.04704,0.02120,0.06824,0
23.9,163,3929,4574,2274,3960,3913,14.30577,-0.63004,16,0.00476,0.04404,0.04880,1
22.4,164,3953,4603,2289,3983,3691,14.82154,-0.11900,263,0.07500,0.00803,0.08303,1
23.0,164,3953,4603,2289,3983,3790,14.61825,-0.32259,163,0.04713,0.02207,0.06920,0
23.9,164,3953,4603,2289,3983,3937,14.31529,-0.63586,16,0.00472,0.04442,0.04914,1
22.4,165,3973,4628,2300,4006,3714,14.81382,-0.13820,259,0.07345,0.00933,0.08278,1
23.0,165,3973,4628,2300,4006,3813,14.60375,-0.34498,162,0.04660,0.02362,0.07022,0
23.9,165,3973,4628,2300,4006,3961,14.29824,-0.65586,13,0.00382,0.04587,0.04969,0
22.4,166,4001,4658,2316,4032,3736,14.79298,-0.15696,269,0.07593,0.01061,0.08654,0
23.0,166,4001,4658,2316,4032,3836,14.59067,-0.36633,165,0.04722,0.02511,0.07233,0
23.9,166,4001,4658,2316,4032,3985,14.27966,-0.67665,16,0.00468,0.04739,0.05206,0
22.4,167,4023,4684,2328,4056,3758,14.80934,-0.12659,265,0.07427,0.00855,0.08282,1
23.0,167,4023,4684,2328,4056,3859,14.61715,-0.33616,164,0.04657,0.02300,0.06957,1
23.9,167,4023,4684,2328,4056,4009,14.29222,-0.64934,14,0.00407,0.04543,0.04950,1
22.4,168,4049,4715,2345,4079,3781,14.79703,-0.15725,268,0.07473,0.01063,0.08535,1
23.0,168,4049,4715,2345,4079,3882,14.59121,-0.36167,168,0.04750,0.02479,0.07229,0
