xi2: 2-adic precision (bits) = 4931
xi2 valuation = -1
xi2 mod 2^40  = 638147118555/2
xi2 mod 2^80  = 2221961521540699540440539/2
Zudilin tail v_2(xi2 - P_m/Q_m) vs 8m-1-4s_2(m):
  m=40  v_2=311  8m-1-4s_2(m)=311  match=1
  m=80  v_2=631  8m-1-4s_2(m)=631  match=1
  m=120  v_2=943  8m-1-4s_2(m)=943  match=1
  m=160  v_2=1271  8m-1-4s_2(m)=1271  match=1
  m=200  v_2=1587  8m-1-4s_2(m)=1587  match=1
  m=240  v_2=1903  8m-1-4s_2(m)=1903  match=1

k,n,v2ZudForm,v2NestForm,v2Nesttail,v2mixed,v2MOD,logq,archrate,v2qxip,d2,dinf,dad,incone
23.0,21,512,593,287,536,495,14.05896,-0.84794,17,0.03991,0.06031,0.10023,0
23.9,21,512,593,287,536,513,13.68924,-1.16179,3,0.00723,0.08487,0.09210,0
22.4,22,547,627,305,569,506,14.58348,-0.33695,42,0.09074,0.02310,0.11384,0
23.0,22,547,627,305,569,520,14.28961,-0.58450,27,0.05953,0.04090,0.10043,0
23.9,22,547,627,305,569,539,13.98122,-0.91017,8,0.01803,0.06510,0.08313,1
22.4,23,569,653,317,593,529,14.47707,-0.43507,40,0.08327,0.03005,0.11332,0
23.0,23,569,653,317,593,543,14.23917,-0.67723,27,0.05714,0.04756,0.10471,1
23.9,23,569,653,317,593,563,13.94513,-0.97057,9,0.01945,0.06960,0.08905,1
22.4,24,595,684,334,616,551,14.30118,-0.45648,47,0.09492,0.03192,0.12684,1
23.0,24,595,684,334,616,566,14.28422,-0.64473,29,0.05863,0.04514,0.10377,1
23.9,24,595,684,334,616,587,13.97173,-0.94896,11,0.02274,0.06792,0.09066,1
22.4,25,615,709,345,639,574,14.37208,-0.54677,41,0.07910,0.03804,0.11714,1
23.0,25,615,709,345,639,589,14.11453,-0.69932,26,0.05107,0.04955,0.10062,0
23.9,25,615,709,345,639,611,13.85035,-0.96217,4,0.00801,0.06947,0.07748,0
22.4,26,639,737,359,663,596,14.30998,-0.56590,43,0.08011,0.03955,0.11965,1
23.0,26,639,737,359,663,612,14.13781,-0.77543,27,0.05091,0.05485,0.10576,1
23.9,26,639,737,359,663,635,13.86535,-1.06529,4,0.00769,0.07683,0.08452,0
22.4,27,665,765,373,689,618,14.43071,-0.49863,47,0.08361,0.03455,0.11817,0
23.0,27,665,765,373,689,635,14.18957,-0.74398,34,0.06151,0.05243,0.11394,0
23.9,27,665,765,373,689,659,13.81963,-1.06481,6,0.01115,0.07705,0.08820,1
22.4,28,689,794,388,712,641,14.51024,-0.38702,48,0.08189,0.02667,0.10856,1
23.0,28,689,794,388,712,658,14.27089,-0.60129,31,0.05377,0.04213,0.09591,1
23.9,28,689,794,388,712,683,14.03043,-0.86481,9,0.01588,0.06164,0.07752,0
22.4,29,709,819,399,735,663,14.56027,-0.36773,47,0.07715,0.02526,0.10241,0
23.0,29,709,819,399,735,681,14.38523,-0.55008,28,0.04652,0.03824,0.08476,0
23.9,29,709,819,399,735,707,13.97561,-0.90276,3,0.00513,0.06460,0.06973,0
22.4,30,735,848,414,760,686,14.44457,-0.45109,49,0.07838,0.03123,0.10961,1
23.0,30,735,848,414,760,704,14.27139,-0.64986,31,0.05019,0.04554,0.09572,0
23.9,30,735,848,414,760,731,13.88676,-0.93543,4,0.00666,0.06736,0.07402,0
22.4,31,757,874,426,784,708,14.58000,-0.35675,49,0.07515,0.02447,0.09961,0
23.0,31,757,874,426,784,727,14.31130,-0.57082,31,0.04843,0.03989,0.08832,0
23.9,31,757,874,426,784,754,14.04710,-0.87234,3,0.00478,0.06210,0.06688,0
22.4,32,787,909,447,807,730,14.56535,-0.33730,58,0.08625,0.02316,0.10941,1
23.0,32,787,909,447,807,750,14.38667,-0.54981,39,0.05872,0.03822,0.09694,0
23.9,32,787,909,447,807,778,14.05523,-0.85360,12,0.01849,0.06073,0.07923,1
22.4,33,807,934,458,830,753,14.65885,-0.22671,54,0.07738,0.01547,0.09284,1
23.0,33,807,934,458,830,773,14.39222,-0.43829,34,0.04962,0.03045,0.08007,1
23.9,33,807,934,458,830,802,14.10780,-0.70174,5,0.00744,0.04974,0.05719,0
22.4,34,831,962,472,854,775,14.66575,-0.25442,58,0.08063,0.01735,0.09797,1
23.0,34,831,962,472,854,796,14.39589,-0.35831,35,0.04957,0.02489,0.07446,0
23.9,34,831,962,472,854,826,14.13795,-0.75002,6,0.00865,0.05305,0.06170,1
22.4,35,855,989,485,879,798,14.49354,-0.44255,57,0.07789,0.03053,0.10842,1
23.0,35,855,989,485,879,819,14.27816,-0.65855,36,0.04993,0.04612,0.09606,1
23.9,35,855,989,485,879,850,13.95727,-0.95344,5,0.00709,0.06831,0.07541,1
22.4,36,879,1018,500,902,820,14.50625,-0.41415,62,0.08229,0.02855,0.11084,1
23.0,36,879,1018,500,902,842,14.30031,-0.60585,37,0.04982,0.04237,0.09218,0
23.9,36,879,1018,500,902,874,13.96436,-0.95851,5,0.00689,0.06864,0.07553,1
22.4,37,899,1043,511,925,842,14.37148,-0.55611,57,0.07430,0.03870,0.11300,1
23.0,37,899,1043,511,925,865,14.17417,-0.76001,34,0.04494,0.05362,0.09856,0
23.9,37,899,1043,511,925,898,13.83918,-1.07888,1,0.00135,0.07796,0.07931,1
22.4,38,927,1073,527,951,865,14.51062,-0.42442,62,0.07794,0.02925,0.10719,1
23.0,38,927,1073,527,951,888,14.29078,-0.62243,42,0.05361,0.04355,0.09716,1
23.9,38,927,1073,527,951,922,13.96499,-0.96992,5,0.00653,0.06945,0.07598,1
22.4,39,949,1099,539,975,887,14.64723,-0.28275,62,0.07523,0.01930,0.09454,1
23.0,39,949,1099,539,975,911,14.41630,-0.51333,39,0.04808,0.03561,0.08369,1
23.9,39,949,1099,539,975,946,14.12145,-0.80506,10,0.01259,0.05701,0.06960,1
22.4,40,975,1130,556,998,910,14.57838,-0.36207,65,0.07726,0.02484,0.10210,0
23.0,40,975,1130,556,998,934,14.35221,-0.58865,41,0.04950,0.04101,0.09052,1
23.9,40,975,1130,556,998,970,14.02082,-0.88854,6,0.00742,0.06337,0.07079,1
22.4,41,995,1155,567,1021,932,14.61995,-0.32224,63,0.07285,0.02204,0.09489,1
23.0,41,995,1155,567,1021,957,14.42881,-0.50138,40,0.04687,0.03475,0.08162,0
23.9,41,995,1155,567,1021,993,14.11509,-0.81253,2,0.00240,0.05756,0.05996,0
22.4,42,1019,1183,581,1045,954,14.67297,-0.26484,65,0.07311,0.01805,0.09116,0
23.0,42,1019,1183,581,1045,980,14.43489,-0.48680,39,0.04459,0.03372,0.07831,1
23.9,42,1019,1183,581,1045,1017,14.17008,-0.77290,3,0.00349,0.05454,0.05804,0
22.4,43,1054,1216,598,1079,979,14.65703,-0.28438,77,0.08468,0.01940,0.10409,0
23.0,43,1054,1216,598,1079,1005,14.38513,-0.50813,52,0.05827,0.03532,0.09359,0
23.9,43,1054,1216,598,1079,1043,14.09999,-0.80924,11,0.01258,0.05739,0.06997,0
22.4,44,1078,1245,613,1102,1001,14.68048,-0.25375,78,0.08370,0.01729,0.10099,1
23.0,44,1078,1245,613,1102,1028,14.43965,-0.49061,50,0.05455,0.03398,0.08853,1
