k,n,idx,len,parity,logt,logtlo,logthi,marglo,marghi,marg,dstar,logh11,logh22,pqnext,pqat
23.9,18,183,370,1,38.253125,37.186554,45.889290,0.533285,3.818082,0.533285,112.8529,27.15274,0.30807,7,2
22.4,19,191,381,1,40.840256,38.660309,41.062475,1.089974,0.111110,0.111110,119.8036,26.15926,0.60470,2,54
23.0,19,211,405,1,40.840256,31.811853,41.737308,4.514202,0.448526,0.448526,119.1976,26.59704,0.60470,10,1
23.9,19,201,414,1,40.840256,33.919725,61.245223,3.460265,10.202483,3.460265,118.3103,27.21722,0.60470,892,1
22.4,20,203,373,1,43.427386,41.005035,53.271354,1.211176,4.921984,1.211176,125.0357,26.29476,0.27726,20,3
23.0,20,222,413,0,43.427386,39.904614,49.592022,1.761386,3.082318,1.761386,124.8731,26.71065,0.27726,9,1
23.9,20,224,417,0,43.427386,38.511740,43.454510,2.457823,0.013562,0.013562,126.9866,27.33448,0.27726,3,13
22.4,21,213,403,1,46.014514,40.305058,48.598860,2.854728,1.292173,1.292173,131.2771,26.01841,0.29706,7,34
23.0,21,235,447,1,46.014514,44.164117,49.680929,0.925198,1.833208,0.925198,131.4222,26.44750,0.29706,3,5
23.9,21,225,440,1,46.014514,42.898194,46.245555,1.558160,0.115520,0.115520,132.3258,27.04163,0.29706,2,3
22.4,22,223,452,1,47.215346,43.800505,56.587247,1.707421,4.685950,1.707421,137.4257,26.63303,0.18904,23,4
23.0,22,247,452,1,47.215346,38.937366,47.583140,4.138990,0.183897,0.183897,138.3934,27.07412,0.18904,7,2
23.9,22,244,451,0,47.215346,44.023448,51.181550,1.595949,1.983102,1.595949,137.4550,27.67275,0.18904,6,20
22.4,23,235,474,1,49.802472,49.290932,59.506949,0.255770,4.852239,0.255770,144.5197,26.53577,0.18082,11,2
23.0,23,240,455,0,49.802472,43.058283,52.355523,3.372095,1.276526,1.276526,143.8216,26.95768,0.18082,9,1
23.9,23,240,463,0,49.802472,43.865130,51.463845,2.968671,0.830687,0.830687,144.0081,27.56042,0.18082,6,33
22.4,24,256,517,0,52.389596,49.911268,71.486050,1.239164,9.548227,1.239164,150.1040,26.53446,0.20217,207,2
23.0,24,278,530,0,52.389596,52.388838,55.002459,0.000379,1.306431,0.000379,153.6182,26.96768,0.20217,1,3
23.9,24,266,515,0,52.389596,46.192999,53.183796,3.098299,0.397100,0.397100,150.5983,27.57419,0.20217,4,1
22.4,25,282,519,0,54.976720,45.745685,60.258712,4.615517,2.640996,2.640996,156.0450,26.40019,0.22181,37,7
23.0,25,293,539,1,54.976720,47.176018,56.321263,3.900351,0.672272,0.672272,156.6392,26.81608,0.22181,9,9
23.9,25,293,538,1,54.976720,48.443340,60.710226,3.266690,2.866753,2.866753,156.0093,27.42605,0.22181,20,1
22.4,26,288,564,0,57.563842,55.797212,64.129084,0.883315,3.282621,0.883315,162.7902,26.28241,0.21328,7,6
23.0,26,284,546,0,57.563842,53.402276,59.794462,2.080783,1.115310,1.115310,162.6889,26.70896,0.21328,4,4
23.9,26,281,528,1,57.563842,56.376219,60.594741,0.593812,1.515449,0.593812,162.9627,27.32213,0.21328,2,1
22.4,27,263,520,1,60.150964,56.237805,64.518095,1.956580,2.183565,1.956580,168.7144,26.37173,0.15403,6,1
23.0,27,315,590,1,60.150964,59.338747,63.721606,0.406109,1.785321,0.406109,169.3972,26.80815,0.15403,3,4
23.9,27,300,581,0,60.150964,58.527934,65.897917,0.811515,2.873476,0.811515,169.0966,27.42429,0.15403,6,3
22.4,28,302,563,0,62.738086,57.973575,69.908350,2.382255,3.585132,2.382255,174.8985,26.72866,0.17329,17,2
23.0,28,328,625,0,62.738086,58.724334,73.168767,2.006876,5.215341,2.006876,174.9730,27.14950,0.17329,35,2
23.9,28,313,606,1,62.738086,56.490200,63.719457,3.123943,0.490686,0.490686,175.5847,27.76838,0.17329,5,1
22.4,29,311,604,1,65.325206,62.885933,73.885891,1.219637,4.280342,1.219637,181.4588,26.62775,0.19121,13,1
23.0,29,305,593,1,65.325206,58.414663,74.353445,3.455272,4.514120,3.455272,181.0066,27.05798,0.19121,52,12
23.9,29,331,617,1,65.325206,61.013673,66.838229,2.155767,0.756511,0.756511,181.6663,27.67942,0.19121,3,2
22.4,30,312,592,0,67.912327,67.281428,72.060665,0.315449,2.074169,0.315449,188.3157,26.56140,0.16173,3,2
23.0,30,333,626,1,67.912327,66.597698,69.340466,0.657314,0.714070,0.657314,187.9969,26.97729,0.16173,1,1
23.9,30,319,621,1,67.912327,54.095232,72.769277,6.908547,2.428475,2.428475,187.4293,27.60112,0.16173,101,2
22.4,31,319,616,1,70.499446,68.824071,79.635909,0.837688,4.568231,0.837688,194.1612,26.49216,0.38303,14,2
23.0,31,333,643,1,70.499446,65.347437,71.470123,2.576005,0.485338,0.485338,194.3982,26.91700,0.38303,4,2
23.9,31,331,648,1,70.499446,70.022962,73.814398,0.238242,1.657476,0.238242,194.7072,27.52070,0.38303,2,27
22.4,32,326,640,0,73.086566,72.162439,77.037751,0.462063,1.975593,0.462063,200.6891,26.74356,0.17329,2,1
23.0,32,355,642,1,73.086566,72.237728,78.783668,0.424419,2.848551,0.424419,200.7261,27.17677,0.17329,5,4
23.9,32,374,686,0,73.086566,72.298315,75.430987,0.394125,1.172210,0.394125,200.7582,27.78328,0.17329,2,1
22.4,33,350,698,0,75.673685,74.822443,82.874085,0.425621,3.600200,0.425621,206.9944,26.98507,0.18904,7,2
23.0,33,382,729,0,75.673685,75.172346,90.300269,0.250669,7.313292,0.250669,207.2243,27.40516,0.18904,42,1
23.9,33,363,680,1,75.673685,69.096827,80.765037,3.288429,2.545676,2.545676,206.2176,28.01429,0.18904,17,5
22.4,34,364,681,0,78.260803,69.067801,87.194734,4.596501,4.466966,4.466966,212.2430,27.00850,0.18348,90,3
23.0,34,369,747,1,78.260803,66.575624,87.025200,5.842589,4.382198,4.382198,212.2514,27.43662,0.18348,164,6
23.9,34,394,741,0,78.260803,74.563224,88.262943,1.848790,5.001070,1.848790,212.6262,28.04823,0.18348,29,3
22.4,35,394,758,0,80.847922,69.285802,84.749077,5.781060,1.950578,1.950578,218.8725,26.63673,0.15843,44,1
23.0,35,386,741,0,80.847922,67.687304,85.858315,6.580309,2.505197,2.505197,218.7638,27.05262,0.15843,91,3
23.9,35,390,746,0,80.847922,76.331681,87.708411,2.258120,3.430245,2.258120,218.8089,27.66655,0.15843,16,5
22.4,36,374,738,0,83.435040,80.717487,86.394639,1.358776,1.479800,1.358776,225.2991,26.61774,0.17329,3,3
23.0,36,389,735,1,83.435040,76.022881,85.243124,3.706079,0.904042,0.904042,225.4761,27.04133,0.17329,8,1
23.9,36,426,809,0,83.435040,76.775720,89.700858,3.329660,3.132909,3.132909,224.9363,27.65746,0.17329,24,5
22.4,37,374,774,0,86.022157,83.692601,86.527606,1.164778,0.252724,0.252724,232.2992,26.28814,0.18734,1,1
23.0,37,401,779,1,86.022157,83.837490,92.661828,1.092333,3.319835,1.092333,231.6635,26.71901,0.18734,8,6
23.9,37,392,779,0,86.022157,85.698394,87.320652,0.161882,0.649247,0.161882,232.4927,27.33723,0.18734,1,1
22.4,38,390,749,0,88.609275,80.382285,92.131635,4.113495,1.761180,1.761180,237.7257,26.65896,0.14593,16,1
23.0,38,400,797,0,88.609275,86.579475,93.452211,1.014900,2.421468,1.014900,237.9650,27.07849,0.14593,5,2
23.9,38,418,837,0,88.609275,76.370929,95.830950,6.119173,3.610838,3.610838,237.4139,27.69868,0.14593,119,1
22.4,39,420,795,0,91.196392,88.720593,91.715123,1.237900,0.259366,0.259366,244.8272,26.88905,0.14218,2,3
23.0,39,424,782,0,91.196392,85.772458,95.010840,2.711967,1.907224,1.907224,243.9607,27.31560,0.14218,9,2
23.9,39,440,850,0,91.196392,90.029740,91.916477,0.583326,0.360042,0.360042,244.6847,27.93765,0.14218,1,8
22.4,40,435,835,1,93.783509,91.984287,100.974783,0.899611,3.595637,0.899611,250.5566,26.72463,0.15596,9,4
23.0,40,448,857,0,93.783509,82.384248,95.063655,5.699630,0.640073,0.640073,250.7045,27.14052,0.15596,22,3
23.9,40,438,845,0,93.783509,93.581836,97.862888,0.100836,2.039689,0.100836,251.5071,27.76435,0.15596,2,2
22.4,41,422,834,0,96.370626,81.237174,99.162733,7.566726,1.396054,1.396054,256.6354,26.74024,0.26297,86,1
23.0,41,449,883,1,96.370626,95.673504,110.221356,0.348561,6.925365,0.348561,257.2380,27.16289,0.26297,36,1
23.9,41,445,871,1,96.370626,92.549244,96.399276,1.910691,0.014325,0.014325,258.6242,27.77151,0.26297,1,1
22.4,42,475,887,1,98.957742,96.672801,103.491473,1.142471,2.266866,1.142471,262.9921,26.87852,0.16504,4,1
23.0,42,416,870,0,98.957742,98.740440,101.086717,0.108651,1.064487,0.108651,264.0139,27.30762,0.16504,1,1
23.9,42,477,894,1,98.957742,94.443704,103.498208,2.257019,2.270233,2.257019,262.6964,27.91825,0.16504,9,3
22.4,43,443,852,1,100.158564,96.411774,103.615261,1.873395,1.728348,1.728348,269.0819,26.90030,0.09672,5,6
23.0,43,487,932,1,100.158564,96.136384,100.792230,2.011090,0.316833,0.316833,269.8187,27.31942,0.09672,3,5
23.9,43,487,930,1,100.158564,94.419740,101.543480,2.869412,0.692458,0.692458,269.4791,27.93196,0.09672,5,1
22.4,44,438,876,0,102.745681,98.187304,105.005404,2.279188,1.129861,1.129861,275.5361,26.78707,0.30466,4,1
23.0,44,512,945,0,102.745681,94.836075,109.984182,3.954803,3.619251,3.619251,275.0305,27.21241,0.30466,41,1
23.9,44,478,940,0,102.745681,100.903274,107.518062,0.921203,2.386190,0.921203,275.6248,27.82679,0.30466,4,2
22.4,45,474,911,0,105.332797,93.678498,105.747151,5.827149,0.207177,0.207177,282.5424,26.92319,0.12323,18,2
23.0,45,482,922,0,105.332797,105.080047,108.925859,0.126375,1.796531,0.126375,282.7571,27.33907,0.12323,2,65
23.9,45,516,1005,0,105.332797,104.979771,111.261584,0.176513,2.964394,0.176513,282.6120,27.95521,0.12323,3,1
22.4,46,535,994,1,107.919913,99.731633,113.329145,4.094140,2.704616,2.704616,287.6962,26.74400,0.17364,28,9
23.0,46,508,973,0,107.919913,107.783131,111.800873,0.068391,1.940480,0.068391,289.2934,27.16592,0.17364,1,1
