cat,20,448,203,1,-1,-0.57706,-0.51715,3.3142
cat,20,449,221,1,0,-0.57706,-0.55172,1.6600
cat,20,450,204,0,0,-0.58236,-0.57706,1.1117
cat,20,451,206,0,1,-0.61701,-0.58166,2.0281
cat,20,452,214,0,1,-0.65167,-0.58166,4.0562
cat,20,453,204,0,0,-0.65167,-0.61533,2.0684
cat,20,454,220,0,0,-0.65167,-0.64902,1.0545
cat,20,455,199,1,0,-0.68367,-0.65203,1.8829
cat,20,456,192,0,0,-0.68669,-0.68367,1.0622
cat,20,457,208,0,1,-0.72135,-0.68406,2.1079
cat,20,458,218,0,1,-0.75601,-0.68530,4.1125
cat,20,459,218,0,1,-0.79066,-0.68530,8.2249
cat,20,460,222,0,0,-0.79066,-0.71970,4.1343
cat,20,461,202,0,0,-0.79066,-0.75435,2.0672
cat,20,462,204,0,0,-0.79066,-0.78588,1.1003
cat,20,463,187,1,0,-0.82054,-0.79301,1.7341
cat,20,464,190,0,0,-0.82767,-0.82054,1.1533
cat,20,465,208,0,0,-0.84678,-0.83661,1.2257
cat,20,466,222,0,1,-0.88144,-0.83661,2.4515
cat,20,467,224,0,0,-0.88144,-0.87008,1.2550
cat,20,468,222,0,0,-0.90474,-0.88144,1.5936
cat,20,469,212,0,1,-0.93940,-0.88307,3.0853
cat,20,470,214,0,0,-0.93940,-0.91772,1.5426
cat,20,471,209,1,0,-0.95238,-0.93940,1.2965
cat,20,472,201,1,1,-0.98704,-0.93940,2.5930
cat,20,473,207,1,0,-0.98704,-0.97159,1.3620
cat,20,474,212,0,0,-1.00625,-0.98704,1.4684
cat,20,475,221,1,0,-1.02072,-1.00625,1.3358
cat,20,476,219,1,1,-1.05538,-1.00976,2.4901
cat,20,477,233,1,0,-1.05538,-1.04442,1.2451
cat,20,478,224,0,0,-1.06695,-1.06633,1.0125
cat,20,479,212,0,1,-1.10160,-1.06633,2.0250
cat,20,480,204,0,1,-1.13626,-1.06749,3.9565
cat,20,481,206,0,1,-1.17092,-1.06749,7.9131
cat,20,482,206,0,0,-1.17092,-1.06749,7.9131
cat,20,483,206,0,0,-1.17092,-1.06749,7.9131
cat,20,484,206,0,0,-1.17092,-1.06749,7.9131
cat,20,485,206,0,0,-1.17092,-1.06749,7.9131
cat,20,486,206,0,0,-1.17092,-1.06749,7.9131
cat,20,487,206,0,0,-1.17092,-1.06749,7.9131
cat,20,488,206,0,0,-1.17092,-1.06749,7.9131
cat,20,489,206,0,0,-1.17092,-1.06749,7.9131
cat,20,490,206,0,0,-1.17092,-1.06749,7.9131
cat,20,491,206,0,0,-1.17092,-1.06749,7.9131
cat,20,492,206,0,0,-1.17092,-1.06749,7.9131
cat,20,493,206,0,0,-1.17092,-1.06749,7.9131
cat,20,494,206,0,0,-1.17092,-1.06749,7.9131
cat,20,495,206,0,0,-1.17092,-1.06749,7.9131
cat,20,496,206,0,0,-1.17092,-1.06749,7.9131
cat,20,497,206,0,0,-1.17092,-1.06749,7.9131
cat,20,498,206,0,0,-1.17092,-1.06749,7.9131
cat,20,499,206,0,0,-1.17092,-1.06749,7.9131
cat,20,500,206,0,0,-1.17092,-1.06749,7.9131
cat,20,501,206,0,0,-1.17092,-1.06749,7.9131
cat,20,502,206,0,0,-1.17092,-1.06749,7.9131
