NMAX = 1597
        D: [6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
r=22: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=23: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=24: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=25: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=26: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=27: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=28: [0, 0, 0, 0, 0, 0, 0, 0, 3, 7]
r=29: [0, 0, 0, 0, 0, 0, 0, 5, 10, 15]
r=30: [0, 0, 0, 0, 0, 0, 5, 11, 17, 23]
r=31: [0, 0, 0, 0, 0, 3, 10, 17, 24, 31]
r=32: [0, 0, 0, 0, 0, 7, 15, 23, 31, 39]
r=33: [0, 0, 0, 0, 3, 11, 20, 29, 38, 47]
r=34: [0, 0, 0, 0, 6, 15, 25, 35, 45, 55]
r=35: [0, 0, 0, 0, 9, 19, 30, 41, 52, 63]
r=36: [0, 0, 0, 1, 12, 23, 35, 47, 59, 71]
r=37: [0, 0, 0, 3, 15, 27, 40, 53, 66, 79]
r=38: [0, 0, 0, 5, 18, 31, 45, 59, 73, 87]
r=39: [0, 0, 0, 7, 21, 35, 50, 65, 80, 95]
r=40: [0, 0, 0, 9, 24, 39, 55, 71, 87, 103]
r=41: [0, 0, 0, 11, 27, 43, 60, 77, 94, 111]
r=42: [0, 0, 0, 13, 30, 47, 65, 83, 101, 119]
r=43: [0, 0, 0, 15, 33, 51, 70, 89, 108, 127]
r=44: [0, 0, 0, 17, 36, 55, 75, 95, 115, 135]
r=45: [0, 0, 0, 19, 39, 59, 80, 101, 122, 143]
r=46: [0, 0, 0, 21, 42, 63, 85, 107, 129, 151]
r=47: [0, 0, 1, 23, 45, 67, 90, 113, 136, 159]
r=48: [0, 0, 2, 25, 48, 71, 95, 119, 143, 167]
r=49: [0, 0, 3, 27, 51, 75, 100, 125, 150, 175]
r=50: [0, 0, 4, 29, 54, 79, 105, 131, 157, 183]
