rows r (shift order) = 14..40, cols D (poly degree) = 5..14
        D: [5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
r=14: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=15: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=16: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=17: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=18: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=19: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=20: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=21: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=22: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=23: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
r=24: [0, 0, 0, 0, 0, 0, 0, 2, 5, 8]
r=25: [0, 0, 0, 0, 0, 0, 4, 8, 12, 16]
r=26: [0, 0, 0, 0, 0, 4, 9, 14, 19, 24]
r=27: [0, 0, 0, 0, 3, 8, 14, 20, 26, 32]
r=28: [0, 0, 0, 0, 6, 12, 19, 26, 33, 40]
r=29: [0, 0, 0, 2, 9, 16, 24, 32, 40, 48]
r=30: [0, 0, 0, 4, 12, 20, 29, 38, 47, 56]
r=31: [0, 0, 0, 6, 15, 24, 34, 44, 54, 64]
r=32: [0, 0, 0, 8, 18, 28, 39, 50, 61, 72]
r=33: [0, 0, 0, 10, 21, 32, 44, 56, 68, 80]
r=34: [0, 0, 0, 12, 24, 36, 49, 62, 75, 88]
r=35: [0, 0, 1, 14, 27, 40, 54, 68, 82, 96]
r=36: [0, 0, 2, 16, 30, 44, 59, 74, 89, 104]
r=37: [0, 0, 3, 18, 33, 48, 64, 80, 96, 112]
r=38: [0, 0, 4, 20, 36, 52, 69, 86, 103, 120]
r=39: [0, 0, 5, 22, 39, 56, 74, 92, 110, 128]
r=40: [0, 0, 6, 24, 42, 60, 79, 98, 117, 136]
