[0;31m  ***   Warning: new maximum stack size = 6000001024 (5722.047 Mbytes).[0m
#rows read: 2620
ROW|2|2|33|22|9|6|-17|-12|2|2|0|0|1|64.638247318194364919881846203954843299|0.52554894598627384624469427134148557014|1.90277234430248052625575882701430023294|0.0154707165105715998929107596276579614733|-2.00000000000000000000000000000000000000|1|0.406059125298017237488794567121842115676
ROW|2|2|-22|-22|-6|-6|-12|-8|2|3|0|0|1|53.5480773744448906788589120321266527101|0.435379002236799605221760099513294981534|9.1873975994469937147671753448138903557|0.074699227238902641130023412200532627128|-2.69314718055994530941723212145817656808|2|-0.287088055261928071928437554336334452400
ROW|2|2|-22|-11|-6|-3|-6|-4|2|2|0|0|1|37.8642086309719195804523901878915169436|0.307859444867874043633814221584838079368|6.4964711440259773836393464994212454108|0.0528203301300229204579224657279242750373|-2.34657359027997265470861606072908828404|1|0.0594855350180445827801785063927538316382
ROW|2|2|-22|0|-6|0|-4|0|2|3|0|1|1|22.1803398874989484820458683436563811772|0.180339887498948482045868343656381177203|22.1803398874989484820458683436563811772|0.180339887498948482045868343656381177203|-2.69314718055994530941723212145817656808|1|-0.287088055261928071928437554336334452400
ROW|2|2|11|11|3|3|-3|-2|2|2|0|0|1|26.7740386872224453394294560160633263551|0.217689501118399802610880049756647490767|4.5936987997234968573835876724069451778|0.0373496136194513205650117061002663135642|-2.00000000000000000000000000000000000000|2|0.406059125298017237488794567121842115676
ROW|2|2|0|-11|0|-3|-2|0|2|2|0|0|1|15.6838687434729710984065218442351357664|0.127519557368925561587945877928456902166|15.6838687434729710984065218442351357664|0.127519557368925561587945877928456902166|-2.34657359027997265470861606072908828404|1|0.0594855350180445827801785063927538316382
ROW|2|2|-11|0|-3|0|-1|0|2|2|0|1|1|11.0901699437494742410229341718281905886|0.090169943749474241022934171828190588602|11.0901699437494742410229341718281905886|0.090169943749474241022934171828190588602|-2.00000000000000000000000000000000000000|1|0.406059125298017237488794567121842115676
ROW|2|2|2|0|1|0|1|0|2|2|1|1|1|1.00000000000000000000000000000000000000|1.00000000000000000000000000000000000000|1.00000000000000000000000000000000000000|1.00000000000000000000000000000000000000|-2.00000000000000000000000000000000000000|1|-2.00000000000000000000000000000000000000
ROW|2|2|2|0|21|0|1|0|2|2|1|1|1|1.00000000000000000000000000000000000000|1.00000000000000000000000000000000000000|1.00000000000000000000000000000000000000|1.00000000000000000000000000000000000000|-2.00000000000000000000000000000000000000|1|-2.00000000000000000000000000000000000000
ROW|2|2|2|0|57|0|1|0|2|2|1|1|1|1.00000000000000000000000000000000000000|1.00000000000000000000000000000000000000|1.00000000000000000000000000000000000000|1.00000000000000000000000000000000000000|-2.00000000000000000000000000000000000000|1|-2.00000000000000000000000000000000000000
