n,m,digits_correct,X2_bitlen,Y2_bitlen,X2,Y2
52,260,543.0929435414517,3430,3430,2170481601001741165143065204914659498937148164427034257997984550461831403479461474312886027590856694784484910645014425147311894837178632263338907959832255546879142614333830775509735206404933320263776555252395600738301612868822132636571228446686718768222771395697870184036975205240152749213520517228582121002687240756298548368630581246568952976309690388942062465681488722807343369778879093151340307956297828777545390838135888431952057808779923705060470185027402379148291819379159592382781527536958081441641476928704239609612941133238027799665883256077633287936605379041864224383954603423246241404613717062798067879004719155341881929542158169471853093564320820712233838529691305714083141372773432185047614946236953061840678800809327191892234485849910317622730311907144425781720099632162521083673092771334645501362670245651107006209234962637300250571097847444511799450236158353967624729473001564161796358896588458492503455170495163291062240070369676110761466422559982995857141829089589830905533172219984396572892364432569977012224000000,1988086469312281452888187322482757702184382593494583281751920983794134471084433005225965895646643844620873544400793373613252034581641589640912967233435917484644096045710188200400944469070688111298544486515006710079902426021324404764107417942272050338988881301179436102675582875086722995242010821525028540498757319634641175644495706042997749861845241615275296925434437978126419338441537694004255325362687679626262133273714139244844356589192919411346360561105746952576083123783460885832481099216289842999414600319444072865253781420460021270786412459179656242849806974557817010310675338604149308897195228425044630438000332992937684073138143922452793403489119695661351697476315905201498142947043728756951061546758435771227812061603205573798356467462535929612771408336653691704718698021483528659138110525946367378479325809080736260670234802739229956780986551215710082800687069148991394449166406343574381459961715343613823220428450121367489142592445740525204491646170731061857343714724169662605389109223050646975151007201551474124759498752
53,265,553.5423185120761,3512,3512,14713357158577681092145875481904441617967579384845490683814406462889165036432167119856689705647027518858033971142344021042608846867130763301916626011654799859766389770791590648362425822685434960788501202028477647921781245891096468610374483477798066301970539513433635031758830321433563476668319165401350493600858459861176853897059767176962036556829737447511549113940529239191771988301903642569135674294471752297407454208044341397797180962310290670085907604791417202462857940061542964395469776472592613131535674901097721675398279442423902553582711920463419254332393526316394568531710748649003870879896618461612767236483133739152474011781541441907363063502052050705962333802420984221438313230373878648716676138381670277126121669495383752841094920905710334392385922294572445405804160576311737168071106894977755726729055457833402573317160815331773468957828109603702154111175760364830738698387216959109295717931717115827662372562140772882831917031952833303220878586634636025167736190251295727367169786084112855790816937146524126021707804158878883010748350464000000,13476928932098244520499702031880751467461189282421734479791521738295971513964540402506924801411258744589786909160356834852442131358835212817664895597563492282209124991944534702887854744010778850951804215217989845549035816062725494374108339334161217006740965911389831907749165977369609559311024271031986868593936761307420523179323544688627247764841653148161582527419757084865069469628825253841533422982015839332527928808072365746715015744510869711456819165749909774663500257487298538056545670640066184111398121861637669663551842077479764236334957402405159692752960181027169881778308122092187031968216654763682405187951175596011422263729295951270362811457537348705346939001168754442239370514711896587778550152893482699348247646186547627628390748105742777823674753340514941528848730157169788243710005464452806545643750663208041945587364635832199902983241385726346333748322578885737206308884950976073198863748273960893426804040584511158169215063610143578382224271427169299207059787222563896090380648132038194623397529960399415698175919589170316833319903582748672
54,270,563.9916937434134,3550,3550,2540314472647367370521998395660787181587999585845553563357042520414513134770077075499868946540240993319077186829714357781792059407335507005654635303337113459525222762116382523734063971029845905790396366427570156305560631929071926918292570217674322650885831464586140884738088380347934421998593805282299802247871548459836582592387278101155674102290462672711649903190104193306831137814228904394123894233723362890596747027624800072805740157334831248822494814123587118016344880101595886683171744030885263346758960261096466861441585320191386108211759713035413222224597666652362041828368947833428241219034150148660747996572581773835610587521011255535342448288041248103914274674179446601567043273340661650386558579882766700353725320298076956017552005405324134284251960160891755761408669768845202128229751332270878841331134365986816400120298907269009166439940390627990592623998096474491223958617283435040934091051637371441586160229454311089127419677159979674717423501924673265957924672554203032687659362923008229734803050651957176226404561712610217491982210051047660978176000000,2326840655335434634847921337535680536746881838157698297879867564919835732119508701709323515971452187614966736119021222257981847876088032397358053910813510132996870863003981654487939080044225327820487190601469004043176059804435299126469381218978453023898524764225064883009810748879226098403710144538160421925320474786619396121893966660832583597233882992144638679032975132648988908824025290601446588612202239692962392227425124882585392768541556646491918617390193593470844942658598501674175397831703546673668292109386477778011714350154202654375300471955385610063953523149994009916095885384176093591524767801315724176406157615285487139430888022878195664319341448278314035460276981554549297899676996596124017053902927813942097768143334856273955316836311323661369470079183676354898213455692776872759848321636629326788126062779532320125112827541652361773879902486631241012509199166495910052131514480909888963503883866140809151383295710699321102524401725256263054588586962382772359379492843514465435389542820350766063085466078177542713363831455285817773061327717558710119170048
55,275,574.4410692212484,3623,3623,38422112009996289102827370415106916267850744417506714370024095655972437051985159670876623740550031418569489937974707245536811994664439638064634449868144670695856388940264821516671175475693302989927144105677451284102901979446363501964947243772707616147430015804132035090841330388061255799752723577184213984710453020280619151983979157430628293707941010029542017383089020607704033373359890152922658254074240368491893603889456769571081023506667364993069383939922088769644512391176403234501141834961218397534012620351089508473515589678388815617784574135680224346249716972754395191664593640675917811144715422789441425822170920354088124664715433677970129162706005252165591637554940953901594215277363016755480925189013338707197449920896520564584025990142863436384948163949616437722436276527718937382093241107202692982671033576413358731997429111816719535501736587032088278038512208689738136727892936350751419679555176835269035446872801652614504492189505730679170963232497025745294462082320233581246952953540870588619734801459200181443567935042198208863854163886077379149657639644658632772026368000000,35193332656779913732596194297061300685274995884005526525831888923490155242777679452543348912709258691559958925841670809459190093298041129474271817211070097482989008868910325688085185953834506086565571257687675577926128737780417029302212107969842813923798756943074499135516378962743099390958755371439323039460507709885312526722925343455325225876133189843769359753081680325183835739947896599842231262209107531232076175719254714896265000746255135673316128998101710313763739464572282786477036215659664757923417881890061387526778233825178735490319880656651509058867080241446280164919210930241950732970087798274841056425926602926353773211316670357805433745690868858660906325099349713984870582348408053142899772327959173324650665534452958792041210761702798094354215924067548382733589478035138100945854872916066714666298116003969127378143464986357140388681209675478282869965273811220714262006797154932505294082814191815347148495943788191586718405548682288500030229819936263074840656127164000585760610385265157203777572777124517824871063370865268832050858457668245928979954481863819123751129672843264
56,280,584.8904449323804,3679,3679,2059490023765207216599179010517537778287341655625574676184829735898505214551459207878584468975577264793494303424295341894345844722725636094926142760817939700473921316831160117082825519571699335185091330235318302146651871918280191083991473016769557066795831778023257408105856597528844664280638558909262778498776094743480645420816498079555300117423854288872873065333993066266766326253790414623594876716815337172211838289012736978948873212583491991379228106855477983900464707400844329809820938055376791125286945424428474659146760935567089893916734835093964752173376487320476570663351200206934818215175705056074126171961781744673219789515149826780848016546943727707610529312724506332579147455456526510381596423057273413237205718512572955598444312939801871078563965379387884001710709812715763932081533697488540862694389421534000784426465312240696923648284831726051567650717601395083991125554943757091137366131199947396470790305211612196648329948472940607546293287874742396923276384159019966601482512652595008226062436641708780341426872941941594554845222351952915633048498202247786924739936006035766505373696000000,1886422003320152938211805670743386491980026683910278535020789322940101574600062134077200858074668956854516180425917204658833200394262581153859889710431548661301318905007215689986528070749274380318973912583296498879452939168756925425810003636186905259766915948309774013456962914647635067596774501181158846540685427663832734251528035061803993030589376904926019320261522680136069155745206109342752530801996439600762132088405492058562763644968331550233447275197830772272326709175987630661600117943754585852711731255304105382713919290747351893992387042737985714489410596600201373296963522706090109243892481377181012324588383553050704986872963764643226758399417221288672517356032884727290486863252619153018306764889608372727294324800086530473330437135367489056257441102840705281443905119629632521858910456842303149750808524592966436184793188994856079757548448563862292002548373104753909154214473357094402070984126447963283810850978825952469459059539447977668978556907199848070221454353540085553858241462634714515987598724888164470891241017208489964417146466478149807572031411521048829016263355841018416627458244608
57,285,595.339820864535,3753,3753,36526453354834628112288974350707211658377229529395879611324968737219340637928782697059159327226227739875740976335245269897237408405106795073610381040808382591668047816671793002392975622353839591400672189913166024613787791456725949056397627214604195750191968453889787931983049789031083581818650066842812469258740658283632976801684579500805936936680738049484712677892276982764185307860769427554458575161967094520022759333464865563531822380149655868729044057305755586314524716974399254501284685685711657180821355058718548273529011697428550239556971649462621986007462898416235745070236124869775849733513347840576151380441006914511373604468980005407341312346840009666353898348939839128923159352611377755790640963607872815706755334676701224051708411191844069939098675050180760209297976659265541934286544430930057082001298194232304029230164662219297082855426903651603792894729845360712555235558557323658884926540142880706960885250350014829374782350532581160215105924508786006646489551145361504892256477901084760721628432385708302860630699679178326315820290754430098111660361848464502110434209939635119817711631491772031391936544768000000,33456974550347574997623580113935201191336915247497495299747622382465732863416596809314953445928005400709748691410011024248145187790343144870056525300932531035512622379219642352548447516748757776795794119237803246963776404838130758781371867125575574138817980079107213130335008169540312756999228156724989075306977041324227310303691601128261277414648164807330457656156911993388259370343617494208508115351055670869942345228985976459299189617940940247376115144488949060062594085269436898939866223098449144184034898749631946498867399089877587068897388024863818059141779050399192480172071716096375074532239049213917715684889929685523472314944604459239182747811016221410112984093904790146553074661988502496837997977447150652814661675635857813005647747761079481856618973718172207919357989376024424370179810623137510322591508177477506334515477645226067664820025488891518341758411317966262924603565084804795069417551213610638470728630177837616111929534072025820779532340769697840302066477424554605629821034869627629608710440147671658131246257805532199404939410867917272826289217558335732154112856067516655624834468830947608524336888717246464
58,290,605.7891970062841,3827,3827,685443158573419870579280352290080154267413960472054149010179014300864528492145302459474024858383016269325660678156232731322495026405497623692936137479403478849051665741549488539867403876127142068959686010713725706381803105185476767832213291926669673605466037844464459026239639963128626715441112281531769180281998591491823076517587192987692780223297131432807996665883426737183187543637764766250763452328636677139765543818503283124594346371002168805629779027019014813399438221616421071560241906537483902741436512014549934899025498175300150160977711952696117158982277618826119189466735380114369703404797547715307997713790451881381346603306889285618499160838697212161073212790167013311036560949045534231923133897363353040964359674606150663096415384133986554980526615698612821973134793620542413775649537174066227838464245108232897078530009590534348275190449012372075591547710298215215519344866723455266902744588038464471625212657994401553757188385815127468286915744068049696924776749976671794721238333845225155520652999025968123335396723643926758155135164142637640200909338553934267349086605561615727281444728427969350121676747238073370268241005379584000000,627842350017412285804851532367864334076620733185836530387371034181742803228400762612357358024930991770500842697129516843084297172926882984635062379761259417768316816689780598680840542137543300739715575283380055036296966641957458093721522818128221194051007189359000409165108229468516448147116605259028815650724002366382482308636008888692963340136480136140987770181632892254362751290148551366516876941981532397255033678816132804484153796468166363727027017807229368532048908285645863389425853403661258247883340432506206221105748196921931118444830051914301373997801776528101806370728783699332402123581085348996108709714614693135271954465903495787632942477739196172100017348391099283475082861714257724181519687074335494920498026858477143155860031548942728717393384963416687369112271234968265101517142460138235070247198937571137384971683285438892486536842028860373790578691870505077462947294583210698974316311834740416097718346929751185529879717455479443449863457467377165946110349097000826286882353998788890819599843173824674877352569550480951528432832123345769806049063735099762350207040633287632760390647601964927132738408736417329928906876270775875141632
59,295,616.2385733469738,3883,3882,40842920403687766493759117773568200098693006161255124688275031480797832967806538852550180916883565682805309308742180474278842513711271971224933647045757110604097283606899029189465612435443441542076287335871068039527582904605012921076228014770337406997470201004271443550764334309257761579322408761713114509996194228110557512505897627073159206109373677843414459260454950966145184510786055701525682702824475990226719178569071018847189180043054705752709526963645777132083259117747218135716685647314209771461027819047077641624474850891131129954857014239037557447960570416142096156666304952487700091090974794373139704327797883364047163324384861958752975782087776393742886905582153780721392348529579898777919908748870979312787338565578725326890871951386532943011442536333256901385402519528490205326900204263598355290750508064419737503659327898028741110323679213862947911178833941635970480702773703022550126665559163383701256840909419519144723177579752844563774484266786267428831511608863717575959145541045784167880055167262306859797813362655861368218046472698087121965668370537736491737470283939515451374377314659556761553224051339401293894504533167591146998734105083904000000,37410709855496726952884482964101289033393434523452107316049053200220993166289388813940062558814980652703402361375193509942308404451612011261997772798925096936970200970645074753623503645285116958609929006768189031150963416888276432730035805848409174634089559197481759080535791983442406834784186547226478606717231977281041004359711175345977839921410799763563166904708424854740818426744770329841266651442651509624007063913558775643188638193484612958898075129485927455914130078487111805474909232596417998308397032185975535678101940272805361473895566291830265290215757782637260277197713189454823987247930788564953137403213721116574895810918380990979936648128803129663129473937099906474395995623961476247704463447626161170448956787207588611952599193947819507189570582145821009957636424307693665434207433447075066818984225710028146939422060160469741186341805277889341129788687811206679557052885988030985696239009079837877368348492766581513072855061657750883005370782392938348643562962063219937259682177402996817285620978059641523569026045108950754338088423964988950833286090630268725836022989517618334086281133945189399632851389516953448406649920012528533224519574005315796992
60,300,626.6879498766605,3957,3957,891402122227233027347763983701423171575431973151554037818722822984802668068131858260717487421243767566845819468271537958893266509872555553525018432189377341967283457834469670858867675067783307424177905252243704105641988101383718930351734997466863406845926477679162011607707262617408132416124780465612188478630630440481709173904954601912895973088000939387751263017429490274361828549913375310197035642958119010583827351705253026215574088622708059077767534959914499641833688867220774285187680795001986119128214762251953620488061771685916142512080403934573835948888100069461224716403585333056076528529157765892007036236539775837699086603926772822971363807023164001460586121475828771905687842303288040609356305347500286717443945813643226340432518253563712885664481503981504413122073403602471474711274797297320198610534116416047730602977241159462729843357433508335354117455118239086073360228574855806197399171771044403706985390007927413856428736980305160786789840952884122159026112632106997649852766612864442333503040416255478770474358860386976980250040002683491472454846059010051811758008194518816756250278596910102552612412712143079591110391208314470645042314831254283863788160520409841664000000,816493674536701508989706414276712794506571024333683385288526135953837939571001646507096209647829775887476006176672082339599133619895217418255172690982709232901431153932646466636144652541589966314510282767895998981489032565133183404579538107357850386644656820769657124024850292645161014003671112566319503558994256434427456045996996322815661740303341668747317941012201173001099561824100877708375227894871747127880604417197376112510578960848889149155534181939639972894519130340843365362091229785950314361258609438026656581440732960750624571803078943057023116045404441027830044105192003091124678051133730229885024958928654779257329065131063382439654869947441087924262649891522240832869788141540424939906221733689595341507014308991090865730812045481730819599665384014095306712605469858713770045780300825651815486554347247577178647464859014237987522918895014181202422774314149794443658078785258221533590915878588108298321472077768194067475880401942966737059474860435020146181395253314160909436866875753206347089975063666441725906998761385694195668245293069200785342815240652891092271952606516209802690257277896706405798787563092014798494106674390411124509807221942466617227832415881915024038428672
61,305,637.1373265860523,4031,4031,20526477014276441013890219440024513558802324181940319695985693329203796029947039481075596739572193019208651221433009812676314067374947991149573654158577997285555068336902459738760951815384581435657354431260368965660242219025456629449455557112003505312070310151485874996986248433982671961889830165938813483768735437263413617823995995966461130545006380419033998839209330924009599137243322261936564164374320125371792971330358909706562330420019433897625010839418080588609064684200693581029798197951530941609569820961788114773650196861414413566707369559223352080960201383873126549081176676500937738818285685944152158406435994887001262817456613824968589431888515344992067503207395994947501252488478418748920630781342418873691759276001679530904497841446104889357779547661031509029426277745380297555134594842426284916660939229785699574540283883778826142185589525753178968068134894668339630456044207502146642193295921660882956293500573393904215672120118475992711145693829734402278979539265758749734321966812938511112983089140283932526117928957641015134579510633158402277273803611535991851257140544607793546196250575867052319439609773871742365570952932885238974672274023740470679050977588834723442629901018768561143808000000,18801546714746748812504946708517909808798705543805834514295286052790832573094902179060947449334174115779005318612070277577743530726219919731202301702503970376103642468510708371464382089976388824701237836488309501352578383012947726622762590258265262449853469823142651168658841872646495612326731175557412533638449001607907494156585054121565507876723686008238128650223003201217021364886579328534179404758800408297613971853708445738251671625275974999931480360633370571005888137064082490680776191941013533857277609152608258258333997297368734427172879805228197138029889732482329671603939005285168193668892309391064898505006834317732799769775227759307329223172921404758602668065167682794862242105926215785649363342667442160772781303133703490869656021329164832039915126538830432001010394292053906250762671615239426018563886952371275522043749559910492669292040783584630682186196079696165105800084628893863708725024754291771769065203523487876534300119546283705435407434097184270606180246052148220946941065723338953596255214864509053383941514168993504324241144303674937648503829943476296937976519483856025297474815778343318339829421030143177991442368068633795230919913092470561045276254050001288708670637921254215750604816384
62,310,647.5867034664567,4124,4124,194723372378351296298082153044130377131828127766535633946594548850797275485228333539471179685442534572661637168956569037535782073806962209889347434730546251416262280320314994749559740554682649513533461977229680646635631669948895972466773283968538300472235918448567734349488680221353799050343146146765927424124133197426965953652706452298885238187922177315496646592354760320250278067862623922528909449900351205973009376940263167657422047884717039374994949794585222078264231705937196106669174375911080594634568885085525155106364652035905520452570717378861718763634349505665174934254580692013665710748791916918693562438840060353647061337145829120422369015222992714531524905302990912142659262220469750821109245097332362986963903940569206924862576973678849623669862010368796962557935357228488016002862913461225245596156667600363010576191308993969089294414965580623662344337072164842125201882902076502816981768943213615439623128006581209809300616058183616933409900192366653224862434298922312271465116714599018598445418685047118042013259937724653026436627886859256023575946837447514586799585687804680244026308055570512441064762879245197374006190800252583534085495289467676079274161993389406320613294509949981221819970734774010674276231320436736000000,178359909480728422115345024999130551360822114890310444931246078446688125967259725370759535768658928094077783235706996884073512465071472132915100288079389893131128129483758711656038676240298191629261340579381562143548956874353797267626159535093870215443709013799459246652106340335691911716772286688924915988049963330677660394819142324315445232781811264570595895923704149163206877659126104341392729218621211312815513686653120447975863043630198133584052223706719944101005520044060817875190609713313106424530158409754311460293506331288341330587299531461398402335740329046248688677860904494453482891477734530568693714139191650190796485274274303130867114478311644001479551834983866540064666077548412435980098399320993391728734908471581091342283149734021282275459362395276193276857372419559603158139264366543215035672229184293137176280449554069310585430830972486210778433250418127261233645974762988752867247358513208926108168694385100884683941770355382963569755219338138208128852787131956536747837597525449928844215767845878726684848902316859073394500500485562162046669666872363231794713076397701852359583006999065771893922060798998474859851616157091003437348013043241749011815151878549393825348541159152480925780683571038069837097791305303382294528
63,315,658.0360805097326,4166,4166,842756501064964352206546597202241405730424877357076791451003029181974553710974788003248021489065750026233305792077357155524246841084074264265744458463550291122940142793194642521298498323573980463153581472931035485066292430879758577218058945189612287658129540211346104225299517443389353599110547833329624768135575243477696839035611804543272951501480634466282246234639434387690345581548238119419063923081623054825399581601863095509586975390328537364893820970311095666423568693346235593385575351766871612368061589362103055813593370483973433016972090764861739716875475315148072574026337181305700259335146082690220584625990986852488224393564152461788643281654390112663445803267863861164088577613322245102066049550984094476652785565264804335172044367431909914763895319108948372088698311459406424862549265135143576818041770208668307043818822583861116487287575500371078541823883255108639504676865158822659945275148118994504907482867157222631282635536368103389237903280645376600597104561670224410615847440595625000803760078500379415175368463446967294968655163837806435649641922258528339087485081391589981734062959074060453273872343782449465512631960109132469700352332724409768189746736202922952132726872361995820249280750545094467284169166837179054712422400000000,771935959244684182507291565293451618598847960073579189231818713363320606704713902545061190981604501837575935690552999424845202455117171854988673200611400489880616598772055837060554087085310090568745641545891947100669032055146257282864895404452766234574231599593592779884516771472087484370101253566191154682401597061172832443731744836054760957295453360868095615633229416134343885124936141002321940281489038289737204012188489164963188965487890939777090858692594747290457007919944913800882506740930088840460878627153400350006325230616786611864968543921386256484348674067054505791951123307181967200301350672235135482628955334167526728865168800195749760317299950657576006221958514152583740542464186290845567582486909113990167985811094067073377113295735282698766590775728770702966483408433745756032379596042021317846123360880691951977597494014175206510472058738284697137850591523182093815856300934464398868777155970400268218690512990364370339339024012501467723597690156284278726260577257893157604745468530269307684708714589258650821741131639242363813758960722547201765743242641519192932757096087979311006087259622071338264591867242824351757241358175144362587004043557726168470412607573028827332832315448683190553438538777575077714717537789055644670858356588544
64,320,668.4854577082482,4222,4222,58105096167814302735414207835066042150055876141774892621392033889529214589253447261331875097207029160779774206102077078256064052287711115624007803222782530695588987836490805897135777705921645888395823536813764050794382603751228023520827194131655326083584939014233032898067449302138064959204911752048259681740244179918587024620612766356254073695152368144847418727149272400446446426847881666891390519901362802107993322356995401906913186456904359199226620501223844930952973108676807633158434404063528210707399785266065580517168969842608732565812501242540941916835128866499406272560219214533526850908501004402241895507893928203286635444379496357963959160493258898758040334804524074565087408032575561757886762191877254156480881858623438979771626844884664870338897976671923364421432883504502594309568712992397169380590351910561984917305593368536221008805277333935965680471561426365273084937680390355855043225971844720283951776929235206409188531607466185053271026571234884317173333343973024838364139195594050652879998127233245638489897093410167336297788595531116621316653320270420241523839831602287498737676293071140839005945917308634008172075647429444024670704000379174820259377040868691408388970154207470538359270975068027789439058107397966146775258421879415189903769600000000,53222268936076479399252567635614495907428055308613160136380935148169276609087973068532757978631634541002039360675257526762053908028428363784085015536473042387423162017327236064227147228208184813020150611101834688795031669822398577198290457449106357365719887477048169372819730603341249258888960518401916569932206888937519566620225034919757146252020256845927449426449100579054267606557699370799537054665979921783683615567436135126059740945050522753495189458176856513157220253752709997033565885195821583764771263792098327719728717273782663793882534567718645454446877624512725842711029962315624642267429935366577676161510854559491242094727103843394663845922593559804918687747112063711960669212226814774163079852732175792730022134823639430487527644954575914872217035975422366019123171040070217907283108484011621595276787120034310640484488112471079542536713641406814555644143424654390439943874297280515575689358794317895518274681312715580950498428057202839216196712925058478194710573325921287492220884525598263402494506195252401682616131341528906199361932299762731356755675285168875621124376374127836458294995354682675829013856818256680008681551844809119872723469254284386238772978654219459616929962424245943302909977081458993588019975327464664635624626632352711371568999038976
65,325,678.9348350548405,4315,4315,715682121833002889318750009810557195554699015004880634884754521312082041480049513523320816749275893610804918917056310942031691085135604104200065550410917382072806532818554755355679466851215275091803624144023415279619300586593670425466951368240080324588124934100576233525817720265416700468205440970176477009173379321401227966279566306528026396460214222544739273354504619188082625022086387038049940745167893397644420593218502107483392652172605067721377313083887560840660137705718270112790303737552970098399915471400490118678929372460558365451728043683065326672150097840464531286756072797718350327599295396508548877232525608839314517312194934800626488704501011691216453534136923341513135909532656545310595544937386376896897607365118487470241048266801781789576241000821364727440721333144745153194765718680352641195118461439804284365307171788917456163269164281902969546528143621673417691548120766292701965544699442172731462273971847868625117219510012268250652445291954025012015476345547575260125471775082733106007256282097721102401181433434188840832610960803814254256926526537205445875500301870146780268792338101004274871977192038632212592820332160774497708734028071097009294089015376486750565403106842659597920414609094549879874056252958807011844144647845577761427378083203836349692097293870694400000000,655540199966779341041998634037204464558278976577207303096305309512950540924694563172028103545396173255601445376404209964174504801034113311762086614340377972910275113179749435938790802167403121781074969310233481137304851278912778983258170999897755985397809232011924076746223364815742933216528700829166211941613400319398209664371531707353053488699187606759424149186051897883654544094304886952394428175742236933570228124220608676895634471123958805605559208171269440360291660749053808345949812506748612807939710894934157638224314540324303704047443888910511360407753774456581828899889258526861845771653349072968979836861696657686082154757056594024737775321774195870953196677439943881615268683913072217138243527185593357422472986282907853966029271374685102000362334477447114679291098286521985608278375999336055161409770034823838578377601392300582112921234084757359881022862315684757584437011634745497621654076362887015091908942597037421866818884505276147518833101586257896918271929348142369832390097741451117320790026404393015172541721475271739913772105866442790213371174591926006160357970528892841070623665590286793610501206264971965491785148583543829757503600753919430695375709120586435518081004625352571487456216698825306818917162387330992649558167934392974309050098377306304396999517897568605505060864
66,330,689.3842125427808,4390,4390,22960401916260132993492889007756418529845211382934497340364065402588117994232306556687104087013866450299251357877536592314995361837333810391361935396062544176068872419480668949325055476617152373443783015650791838426431158153442879656058909540241309657888905724233896027748077803079577039263782469742786944458673859741770278098448733482383923625625112537296907541063198376079355311964920201993800796709473654649290335477765167870974332626163512134436249396729295696249717014106559261409006246946470803437247052617289322202808858490007447453350962222001629612503950346440984990975728510608022213513086472962576987429406910720077134943080734946998977287304515024549706984898174941310274047071287440999950507887812353883700259048409399132632442819611638184468963845218623343057131758832093861495930447832992382519604129597725088335641806750173734671759702125811191740839344418347101335438293020780008905383452368561110035672728228734879268176393743121626451608104636130351556821818298507133925432486695036920736235688459248306274306568914274979452937750932857598554869392976819934108632891840060469145690006749717653134333831728419946932984486048263440020247675058955657423874256457896381128811374918319546972759141426964128357742543442714986183404121340742598449246418376258936710927811717509955012445478248956873932800000000,21030938183774970788761164116529540628722525904395539389257295570884485585805775277100926980429690046338272638670842214382855478233432658879387529371354429447665894795168262991853420340987819882283619281908673628279253237561816454155606883155143859815315025665166149666085678068438885896197991059336994767667130396978416545686579445707539857349992469846673289840547159881231450430972231673444540882691060395786552828024589923415987113948446502193708525661339764845184578466560368694563739711331620850513004076321735978252567974466995938361524960512235590144739897751812422513657745755235371677448069400591697029082404546240341158876920738438238725554029045743255700608766038728542819182081160199209053264515042897729628517150207489008080147432599600947251832574780726811133135896641438334708089718377736436730868328537099199395678925282062946066020697779310382838749963779377197588550948964588892825663961165725838217758152742050703044657612383685175664133283484580926631128177827618430134570638667689697510706691887198945437890311702712674726071925210416858665925719431279063356916261775703674203422601488277176882659493778520616221095860109457521145726132759821916607686961314509969434182269017706658711428018649557215568587725218580146800386818896705221807122009280032826048422017239688037151574045908802297670683066368
67,335,699.8335901657422,4446,4446,1738377888545092166676811113773117623131260508937897504332589836679679193439164396458653625242258883868406503574562335393198022812053819592502830828795691075117848766621563858132664276906708491878925892906373030601690819022023330955316740502031534936644760355711828450666852465699887794944083871193929308330445760092132474266759219421888692547514054216990383102713241851436373189628154472990401353557066124720069883876074338931770703851387923311312405430997732839115748182316268849549099506170730722325246597956205696756810391493500782160205215529680527850052145317674812920093976195456892145532363646533693377243680980728060874242627468735659949638799116034493657663764811847394949370892315307816314778634113571592267683082612855528395132946867555874070585330751992842309260709406932891145955685933957799158014163036228406518992794791150703451483487814239548462680674144769671858331174723320101622980724703639254066615980827158054541286739798372720121161758568306277178067345058850481291734993741094339653541045232382450279126751338765575857014974328552361813066216330619989709586999525528277017550699440415299633997601384626012147156049739882386469947279665840751312820271310264568360332087083790857894981335568373461382934837550412689351284208400035673201337265723659865395252368037014849596037554439492410829562120579038419353600000000,1592294335585744759435534857710973855382204709191980490314584327554999153017821844726166647239357248266052309830755553567333264338799780127080959171575919611368370095985785198517274428125365708065097771575821921384589222395591286635303495900300594049908859819523854269254083369846577169963198530775968351431256654530452688514584665388395737939702659656710278031828419148609911612573266963581306231806652945824800324242288646713085645518810763624978104325524479554241045134824063347920949343425665326244170216051168353878725759533503528999796263647516243513720749258318149294205753767475834689742498818050260804186903194973454593744370254122196689804704557834427189754792454077729705121294419442677327492503271439836711978594438868564706497513467086115920617704383001036241457614132861784825196726099560251848799493790935380874778407224774365601316696511003506840148806932106350436123932885772257605685849066120866624922662979362108287301765546518419514163953719834190354617548413030370621789094707130826480882112421717979172068931386587381019103024818155305564575978742869340071264757887751654718405751656459499517303231331531384274144380556827730948623887915091800962694159236471677778376979800001312983612281010564437859357266991637003663318990874516240545278135814372688589096974727221809454129852629537878485989636007770612950699606016
68,340,710.2829679177694,4521,4521,62547527344560348919050924060512901730180236055605284042013419063967469126945949899193555070270549274406293711888071272911837155155783747196545438572235813632864943261432830079628937480477974090117350086087031724824194504273199298936166164092525198251384885826056319595450636713322191638167427815418931767708412199276718280123294657937035473905518036951662697042107610752869064506904504032224703984624719087426641980476243462749381087249964562544848159230826155708387955140492598556008037833151742248745488650631959117801810078943634771130970594214236488359070639402467657809328165749690831760386336506185200067367593699508481321477192231377559129878168136626942181092169235584883434217254820008583432680476178589170252202671548152607453028162451358764549804090574366467816548920000030636304111866977285554004316516518870851487517394597987682971931607518031357312008782630332343027588536449259953385785515925063149624256766197023774487174994128699486849031269537913957858936734565395690329200329960168351423768606244361368082839905473021562329127883534200817825650073707285580073082558303246404727050661492366343493773715239247870909027402167654138192874774457865451674694715011624409691496775126139834527052144797024903289990452358062317711643692612657803383757359002585109289988961021191278089480347747574247427171960714472612769364451219664570364723200000000,57291383048476073856589603060169515975118039908634131126106139512513236417137372398674115356627244967407772324618758972210519837954694899993063072418109577302320600147523252922107461642869693428551688616621263179247216899472691227466058579119277440633271754124640743133490484712727189763080683462180423015407054979663543087728400158715401604623155828749755183120284050400482427453591589383270729465561732841427435566964858922630121633480662483638908443038738118266935389865182638560643970881599076790141435212291711863135539540930005051543469935481648160235815291338001613023282156797639068610634488748115269054024036798059190780360720965899800094221018559538866648331283349344040863900604258648709392248656062669004511441175973514902843837384429803138819632440477590699366103052310959655147047557982761901320207040818946332224986276574257171040666333612903278107762651012126677832800046420847364834905967189335104597001765416374690356678571437165995618802080117663725659020487670944223077323533473500671178574485930501282723156545636671049624143146614825090867488076602845705992982067003084527966150777149997770635078493124817695163504565946585237078780085244550338785927342317988460922859250844973793121403820785663294349508136718335817187990302313175243998434313452484110698843712523243850321449582946500317639819923231219612102802716631880743152479992020992
