n,m,digits_correct,X2_bitlen,Y2_bitlen,X2,Y2
21,105,219.1626517776253,1381,1380,27035647036183090658366942867007331476923418150710591194056437528408552454439853596847936653169565111063588391512138644386935230274145435205485309272624326399262292980091798158090081877987716928863628881918935882358707638088542521769007537808248960529598991184546470175436553922268894239734767075823480055276122916300113477289269857650168598525069670195944951062914725178055138828925760169135483243526191316992000000,24763722501463014866763205935920814120430117879932766005652866395363050795186039848273885588150920573801529479192549524133400665813618856946614677006458519085740717117498675306052686671789760800368051330787865800920756047654887931726663425336300849804825914869191888634126322647688573648681768865694042982516267281021470983350081920882615254823597196392306252016593086250516387027971706876588313296143675166910578688
22,110,229.61199182933595,1433,1433,202118366715027189720440776316895156658580667498951917599952339762455572810586162356086828494024090100855448262162501036772817742284586531244763083843235743073002717477833989397985174216109904708791938420636730391959351906799042582104165259181357630283271110594732290429602393495435782124031431904679864340562094128916341205335401250342272044480645562702708453076425449021994715223418381669147361469576159791817888348204171264000000,185133469862258926432116507136433718934210184876254966973301447990916340066920609445242574945548855445823713900257173009634656541938139891861523754057932707010724691001946909219803779226373203229402721016021330106972111276101875796698492971303443550817637182946441148094571450089173405738206719800416957682013071831509346936537308038199712228891299889517616724264981297673908302515172668334762871614003150028118257440894052567351296
23,115,240.0613355265975,1517,1517,4570240742798053262158040332010121260187930703539103434300901314151673057290288419233802708876657179635940786213381351574524890833071492549405652615754354232152242223902341517008818025278793467459490282558108255206922343586304026752981957692448513742006379269486765875944407724514144587008554549420329751812850276418712423200066059152749539553881765087007142589976502937942432211060291125094024944212929533955916039429886029956838328910013868357451776000000,4186183277509953641317317686266756367539716195664114397727990880200925125591598221609283749356210003059398840321629605368637289216464654619042886058511765915642866282580040559142684710151822552151187808784672548630062396183739473309466888711622939653246422646288771069501541597765851172146926248605996326291386252464870240770904427093760218182493515658483075194983794042139006233332662925294295122063903868936952783021273914807791912154555832464734802673664
24,120,250.5106824141023,1586,1586,2389285806788264445522435352644682022958313079093528155915946517045109500311003604540780608588714084378850910513448562556133326468145134231829390532813516954992595219504655509852278762223409418407720112397757652179837251856691283122577840218067048673311969833130466599541074504793442815006944487048531517720551595072978397845195200447108336526593631821461460001145828181674611964720895308866397114303301219379470063124265724004464267667260265627402634672658609116373057536000000,2188503593674008752434998079935489208731359621707275435620500020543318599615981362262345143904373624624842498952262000348850507094668562308437614053106755009145727583236119650878432972381124283469162855992884935111110678491627068672491218242141565660514687711684943774736370890056372789533565246234091395949704501332472918848950180024490551008990365608806408344705735746710365562883184629677991427294511050219780247249493448817759397529269781562755380175325812902398908698722304
25,125,260.96003210933236,1643,1642,210920896778545708990714347398306872048442754351180904268797602866693279503017787425104191770397083297466708158770646309101339458207546825554365591533054077321485568512664263854787447692415515900733433187263372803696407578418587175987209979038444271040772606219017971903015019445134464927181111668993252278350758998003679116366157251675818718308485807823090154037282279618835542658074220766585005094309011221480581783112881758036041188755515801912571172173503470102737028678835196299051008000000,193196284542152500373358373715622717749494505770262383119988498433670555603424225498286538739451409000240807678390844557956350911434841777475013618168248620548538189384996800992140234088830957120498218567943971146613702567499163502207697619514581057262917730987946024363213208520406272855472026739866754543490504690529560936820943826662116668847087072440990871924023894518199470466633008954318737900324494930762872239408094193859369414578347390781341922564111949600191338628509590173682608635904
26,130,271.4093842885724,1715,1715,1187661405193665435014644638096433709212542029136963733152735387445845944308588587305983085620359239392579121840387276180380052269331104323585449539183855022608225671676140578623049941180959847659985181023878465701655257000508658806734717701265855097356481021756576173206384061129908587213612249019793039345931029101671391202448132618186305406901990350116005008245700143381349167028244880018317814012512424089209539275074484965703643904974227499563325050888657765075418597489581477624334002511909711013067358208000000,1087856984689566629667245134538865371553381485582230814561203965577285035920373787903472816759981675240258096320085116039463280662290306181108150456350578673516719563420010853317257288340239093551558370370424365724523693436472034191556388097736596565464050440938739875500736758800029579845426025910763739926717061975946641597155191681274490563226076311510111522355758446886244176788599543040298116059677423733724301909808268917571295377443731288939140384265810372040517572171491841704771760479585271168058673283989504
27,135,281.8587386760289,1784,1784,1006978294721752051342932400532964016274334067543124490274001769034399022434513411625279544404914108790636634630058859607350066927036124303885859118723059688559520481028538935383227868618933643291493725508132418979301650402379223794283664054029650847107910399407729482300819996181504542538325360996228481531353814006845258323237209259200648950250462296342199483020126513124705299733368624017886857075700159802761201642783245592492668575498273038504697656776754374987262535218604097809534495289504508054157048525878001543904392904704000000,922357472048372384001000725921672085114426058065834816930593889153947319832864608571095692906207994764964042358606224106374214411547964203279413914493745600784334547179614432340664771787439278329794330072406430184353698621912101251439649155249299777678260018252463873145985072119017055831181485353468486187895347667734700912165643327814280250656713943456439514923015833420250548052690219633355163661439881438598732832371610263164994755329550053805135039038187393284766079548722237663713286066325937478992137929807133666548347808411287552
28,140,292.30809503527865,1854,1854,962553790320033315688713926040823987875345761152264920080580836255047403411899619216427533668398093044527563159362553787066795790018645127452148262917378396383518784438752193462821378156005136454877295819582707434160426253999757451272070814871823197734541986614238501597414271298810401169905582960899459160745142535012220411633137125485180857020553704701135321166853260743030043064257529151797704710451068429405266063946075733943843869245710731865278208614302768566281400128295775333460060079547277101864683419159246608348884931132325991540266018799616000000,881666154478023600762194029598556204386933958198898480177781544672640446879048916600407073917894211498904397348016262554188755117391957508525436074690692067798806139389766179584650420078420122960473308235794599263774679725464852976301572114338845271110143332035230657129103986640150482282005484212477674056098014232851949928955136189313414740340950056545787918301999346837831280600421500330040191624933058668622205111752649097873780410124525924617250029128021732491004636300087503400251454671240835237074156569933867948489217747177398686010825313547303518208
29,145,302.7574531624856,1932,1932,298791847535846744270362171418722306400520393364598171767644597295644953579089408053658743495436872356296418083532248490932941614425452242760138853365268447705273494055053080739985931843078899080793435549253313073953981189108003062667443331575878213829870655587446013039227239558733603728158026337729340963948171057005721325898643753686242445010606627289169157067522119078245999836209684535274326789852210370173165817602304098102627856856688766781661763755812780654970716849286471456511827961484299326253568383634718911879914995577855527042444545240407256481612264740501848064000000,273683052163480896335216405257828522089186605891538615503208198550310276786492977193274420486187406460553223615889214779732185719496755447474036021247986840696545617465999249742801470974680195197755858349005209414395441573241014246223407182233331393135096705139137645819905541477015926701435668912149159633437265589898269748746790363938237216229059968783547237340043101791653579668168985816187752997755936654788406191672908552539897611341856593202635993928409183146105537870548036166079706421131586543986493386521434084054676121945347305241893941920374074587217571751077046629957632
30,150,313.20681288097353,1986,1986,4361947632121796629181277748124056546844388659295027175259378928328583823667541111549714924108882685305479922086156278811367038448667528567706792827199283175793270894706758076064524493782161189381520588698921799525134887056456237057232432891428909459232622473608322194603294775035613399360132326495813502923770464189738347693542727829913136523215338382983218684526782118067961657750206979419461366301629295050882932470283953193515085428997436576968652824852966757454742109715246490355905960541122967898949329615707273697873340937221951444020886036656185747427991161616431367863856810795466752000000,3995393954626354992879611637558100175749813182728373432884336847088635826172406857211071395625294057467436249645335138058590422613701694544779505593978468330709983473109209999713018595822497372999174089198431960312142986401398908394859166669950218258552292331986920102505087630845666090696625554191739823704477355192939396398888336824213658548248331348224066495633102198996151893340627403929384941781779537832162364838872548264095698834029864009988849022383572691755347852405310046073039340187497189418380196704790865288315981676150269317565620435791224847516230323234099421552943689360574959845376
31,155,323.6561740368481,2040,2040,69986763662312227881676050303357368290753220156548605944142864719261111659320489340122549633724694608925783103670400649780223615397791123335507069515766594707474275789304087242502438073625987446089373137385239466551515002636567552849716983735487534410777634501291897292068118409209788637499411149859910039128619124631499330123325805442705113436309310768947776411632006605351611196296273171996023463196972075770453108900032777478142479387447083545431426906964310576518987535881210838834258360093385907891276310957137926167190383958006981141554644950453936460787144322526830501798376512765855693691167067602944000000,64105467562490420548197054074039081635321806998541403592912170950844688075029045206106501284788576825318746178102414041971855992994457068968281956732673516585379862738141300887988526842630423689327458879672210010355364866988965881620799370115918035754176130985875925302316845772808689613213000116442756566543064407649905624904110886334906840069120272380877476911556387103830017491193001729469025707145222035521314788440288767128841284847071753186619237979797951356836943183090516771015201392702181682109440639293463203757771114854169673197776617083389287770412945246212431737168989494734742943591079998980695785472
