n,k,digits_correct,X1_bitlen,Y1_bitlen,X1,Y1
23,184,55.300663626001615,1202,1201,34716818262839278618677840567825156868052975382442387584528086590039162109596039433979300188700591489196492557704509975742175568917220006368942647995850456460463730685695465141636895708670793890368452488421941085712518902606550010115937461579900129568111016946299296683426174074817353343175160577867589816537066565491788740687428582987079417704444491530240000000,31799411068064108304858796094877724561256364344103583935446470976543601810366952115428463937253892984605348656147159079634514525224777621470171445261176661095017339904017455184170717135538398475214457136224774258457408873920753452762850162214958102894099949216361716635434912668906034099859399373825680605365062922744094207721643931024825469765769123540374650880
24,192,57.70880573310807,1257,1257,1730945977613526340474134122814192849870477936184243038980622793374292383634804822082822974377720041859970033622205010823555761257067217512495613734200689181444396567555008651285217136064888089483274819689849153341937854959777073556741423368088212201985937346413399374774707611731272670708233478823354861953221807355341628035548732259796316709521964244204002318368996659200000000,1585486960873440898152433426710322185841912006377366945092035554381402943378637787752886629892356639670407766822070118272553701541459634556889918175345346274950019244212916174714826424197063576712575372825217390806994351057645971600638987676347178622444678541405928169270178859725344295956849321688084664857943579053628699625574630642056368825501714997971047221474224884295270400
25,200,60.11695565183488,1300,1300,14573060392322720828154524551769685363189166315986993221811500415738816151565550596367737925436569757624670745586006317444223989483508468093770688085811373411505742684702302403333278555742292350709336199676135706204418955030511880610366164778187974198057501019396362925854532424469332995295475835007839342318231095495178755670041835230035855996638142786692387141820198320961331026214912000000,13348421921234377432115417472877561848156634257660992070653046974334353900087955905490861773282655013325608015724930518400060839325564801816203478131888465574835275632795070812313601946023515071784528644361093717590006388289101856663379383132184980061239031076181203532291351960446379573242121166017440910298837742586423429738754601740026430670653625413743888081152814956587465850396943581184
26,208,62.52511248264243,1358,1358,3913006626705509053968936389777328659507096144040091196682189117386763802132014163605923414356580856966576762116167849004940480900072894517928616853503290440189354461118342890282288724783447783734315709396144453135097721728539417078874996161871713923064416763123908698411371363582914102900638076191157917005931719475287916748768681832615936169022403833467980712539764825062376868466563840676944853139456000000,3584179439849707043977921803200395362532324817890100647135875247071557519588761743617513886684304630870659522981986273126187751895228487722960759792010096885189263541298845245071488695942811806855660011065226113227308766708727455165587954161168206385155612981277602417867018735098491919898784306932978327882176446443630966501987536816891727865055366066590492275453091137682631918970230973026464897917981294592
27,216,64.93327545901147,1414,1414,316414040992880652724046515524333428360355229044259348109562750076381453236309955376814279895753797464805421643829538554673540875077291924883737134520942944438896903829245429334531789710453136233045615086128777804813933404305726544006644692385398558174739577364198632069155513921905535881091594841450659219059475349554582866692791014316588652175895166239496161796470987964470515497070491436612406208653468131032427659264000000,289824375064058861537694234776359637326502689750113542495834839212590725211259257916539082070666964604258512032751082112943969974397751820054739189778239276993322757986721426822570158959477381859251114077164924410196836274362174953944890202639852121720617956091383672234667255463118928601192354916851582774794832276955789870980475570371847064386862952197676294729595427764610395736241808971526121898654636892000027313803624448
28,224,67.34144392372954,1470,1470,28845572475830297139601591000407474434468713027698476262492538300208620884224502415853989568599936588528545723762948621199000945257682283603134288971452287594854419464056006872342858887416129223616112713652736243860981988957728569007463082062076015032702218459184769705794300648269043139119742833082409430403005260835497247122046506996245180300103862269868529467897107339545907422398272282844907055506350957004361634667932526226116247552000000,26421551932205932705524498437687965746067731441862247973503992911013828695366094139787927077368400004767831744862878895329224869903179069777851750684268432234203585730837988274963667221387035089679565482652920903563839725496189760942653331891700443755839592434704195545521730746051911377997195014275987125251350045592608950257244168728948470201469073092150237493411037921313319356871478080069776039414446167111167092464819924293969940959985664
29,232,69.7496173100762,1535,1535,853969079833991042899120456073544251292212297190007718070783344445069537372052216935042176009816514591079007487261237956016206704845664883728110512489023414296236549019609706898406695915554477788154639671612182166100113411709039700730426945551526515762555947378970998098236853279952451977127395599615675046782549682720972557691380351434305970308777904229708321106088029254575104513395142214936103241202332869275672152728913991868393652362028178055989821440000000,782206295619114586215038320168869388128311823644414178696568542327224376251216809475806270502392495854458338339330385690836171666011832668330762375805958466698044937069708485423484204865521858976677441223040016425534974825624085360169063294189530028672975113645281134122745417809284368136650648047347307090444187176481223141545385479775064570647839897835662391991292981243311408058936256852656718370135705050994412248468086958675972113689429292784496860546990080
30,240,72.15779512676527,1575,1575,1188977829072590165401670765989672581233304534678843200454540958929469945066044897274591566640844331504326873001686740944078710641087611962820083544911288962047158848108169689447712148928488123428215169491996688278015877817798734224293758937917545358421286588075522413304899685891218678108816802729155855258313413381771592735763487309846262495858026995521232958564668143752650021857210456519425292124586145090975162928735046490614441650375765103063415193093301573255168000000,1089062783670014999760704773017375436240660310176897926287794583598298223691852594881288707090899880058900403684466408516214648501086474796434169904300178766912563195380780393079872733441898402838296953578729217118862380843902336745475308065282995499052051807238584888122663781018558810796812675725260222865650482895934237720837046618152014813232675841612559536707925399763815568164339251922807129751260655666330946692509256059685292742029285320218266270933767244480486834176
31,248,74.56597694579725,1616,1616,1819406409508084004955357263009628984498311530517318588441318975098513123881321303124554744889226761045153211141215691639740509928477212145636238091548478555079525747162817133778823169290189038767750332692478765290990095518930295594323212359684360331570028418486716739547583945888195577785162501824874130541454763198852559894371408485396621782958733377813636223967002316471848949371598304827413354795474483126806387736944432388135601162923469252300986637976979071716282007716626432000000,1666513672934912825277888025839922598973013793131617183383335110622954957082673180235799187998856606170161041158581072039804868064402722206369733682248338300082174553946785780184940172744418388272751442749466140477253238105500166635237058816511327951346978594515378212511766043653028142188855074200245297063839696459165567460430614463457898633660632496966481498638746031276320578282023721251400417211777218889865286827750947913857256363824559869790624592548620395599392477233163769217024
32,256,76.97416239258608,1690,1689,28157175527783990492752530493177360367894198671548878922552410984376799123173339936643462169918162455784918101010617472400532968025840905100354724195349783375051662763222746984690681206957574670302092846464364611325255354533408415939363762288026512618321231466726792304274763691247628763345718069208068839579446618802310432359713423286799034832929535103938392498595891007309868269895482000965787127103676953207891200417774902014032214906402498429070626615225532318078236524715270042853574022529158778880000000,25791004012658913269137888970466395509720020001563881363590040460247662490517974413589156071275020255470266612201099016197290531381455452769018476514412776971237470259917105949762628368417073519571630516454511561116029628658158720982282254486286986509305224047597659958661366155590474476788357952734585837435664446704471100393350280510813612265206173688947491838357029394951746740526947803818342139409973590214388008237213018890074507489805786363906923748098322587965724739470440034013289081381814180641112064
33,264,79.38235113787837,1713,1713,458083681788849247799688352999435816550528291392997668923516843037394363387080988347514341435718518400910420325934656777655387982091848245573269220517849803020166085616566086172161671384589987450405195331897607271237247462490533334433699020440389831618524499650126699913091695046415771686575994353860660675501388094027961977249514205015936372676196554040747744554531509631729806677248436030411211932852775817545629409551091158150518479627381598449384425516531253178341009349230429651792215695070224850141593600000000,419588891772611422736501016107400517848076350042403291362927628796514331920917926222827270644796521050927210183614626363389713388593956682840593187745233436931030806815411789031355925382129344777669975252063260999840469447731736581435757032287904605994364183819671312535739553363562443968685082971918370834415752849033025472945592872351873839652268484570401462391026781283190606470169575611857883728627961506747231407567077060456851938391621043619523580663028777520665823439456414522543263781702681415837468870574080
34,272,81.79054289109669,1771,1771,92814396612408086015743568553258462246492532639428752335086931504883288111616031214011356428764720778459125075286852996953179023223613314752037180159977782177267685565548105495781406117203412718191690195245731214758002813262125531177431534642252049429555888658808752912680131797366733737859685409499351666460286701443974513693044314525323897696373124801898643212448093573888051710011833468533009863919082712281337662354241460221762561818969312149352774937251094317674588007080082419325808689471960775744432759538816982155673600000000,85014793941284436228351941194676303869701740259703829741250663665524295592812719861634777912371466139426428706789630418821511368652142404674909925572873905325901552174548509821744801274429516763239605199332073928923466058181465859500345115950068565290699777949939692899341635194458037510868992879445953058567932187322495482428782012802090235355715247210265311673199369823433447257713966367527298125061700021087693825963588795809990907965996491993265748227657866205043014074986469007039051633838863185849845769266835679748871964590080
35,280,84.19873739482242,1834,1834,1087055780418707073990489555779737811821162435371459954111141530957712154480850819157478968030068511490361893397295143239769152889643387784910176637943096185721212836728305553352704146695165564701982881917704447724487178690998289369704616206406527208402205017428018676154454053676446031625624672713407014640260518056500877450471680190102197798252910279056623176036417884114901624178345634178799209521129290925036253946545435746380450951764281647120310699859331379954803330154300994783961599021299558675662418390573080100292364535532815634539806720000000,995705693815001548454917338075137691176237870934323998876628318863346280491489721577934295095749890132237062524828437957119704300244832968971872187004033365905880559183300020047968499827095802989071842597971628554869425044683965752784732777527886191097078750644639015579480771028943101192643908159192860705109633806933736744055090791007267512809870449044248724552755977916498591356254325119230295258508161599744124477769564087610460389179090168863695216500884119421707790256471018416222218568393481505316704965214137132392429735050181372572699696562176
36,288,86.60693442019688,1892,1892,284757664943009194526571584712210494697276771952346336507903058386794564374571975547722766504814621064818686697876691749668403230937814386481723046179479299025995238178028637091687857911221764037231398244243752138674827509974432086346021087645126927136692913252520445566992932429509330410696155009113759430702326837095949108520393123452647266178242737893461474778636075783283460930112453620087637197021075686719349482765227670786316240966576126340691741755017852550973029229958941686204975294239322214820276426365292936257379259293787470488230510562363726351974400000000,260828223766040865922441580374210046367583142542497867454524810604883198391154693466381672985152406042003862509402323983382065837619569372689408001977365090763222100125969000645175172092896198914725892490286074348708967004214624090232034133217576945980248445823588110643085052154162547282991339399018015546195115686225794697647408298824660208576514198177278392436966465536222929320258083378110569588025033671100691671855301919469005641108046154079871070849090210075241569016997742849657881881718866719226570004366876884643871202592629353012732408874996187271269405163520
37,296,89.01513376306723,1942,1942,226013970197119336346693149078974461694150349524195699402923053269618242992327203423234909189861292404233616681672063633465319635027877181270258242035051972759957383527005467620991847257989480330561458397019750955289894893028866599115278608098767360971511006440283449797833309389210598323684087713457777747717807886076125776834711627308867491244302108241187888458147051424644430296197108369817170614003382899405478168541058625737045576814947122786370608914145733358782223032375167570954068199811011817227973444144360689217639012584529809101652209951405200532974568772698095288320000000,207021020503956683192598582053253877170190261348686527947838716364395476978402795816143908160016273712001370151636252945037422575050175677337481057259653721606862899019468141584976682014639326199869712703115026980239156637318174053776673488301674638803667925385003088647290801474271717804125651863453183169547376295111704045357150928873369856575013035577194150507845050893243850778071764101124641236389972385919480885678369929125120722089502152699461944826369308105459424809116584153849370049162267300054625873451496745431824337446525386985311828018001370779291312128624815773849747456
