m,v2_denom_Qm,e_m_bound,denom_bitlen,numerator_bitlen
398,1582,1604,1583,2953
399,1584,1608,1585,2958
400,1594,1612,1595,2972
401,1596,1616,1597,2977
402,1600,1620,1601,2985
403,1602,1624,1603,2990
404,1608,1628,1609,3000
405,1610,1632,1611,3005
406,1614,1636,1615,3013
407,1616,1640,1617,3018
408,1624,1644,1625,3030
409,1626,1648,1627,3035
410,1630,1652,1631,3042
411,1632,1656,1633,3048
412,1638,1660,1639,3057
413,1640,1664,1641,3063
414,1644,1668,1645,3070
415,1646,1672,1647,3076
416,1658,1676,1659,3091
417,1660,1680,1661,3097
418,1664,1684,1665,3104
419,1666,1688,1667,3110
420,1672,1692,1673,3119
421,1674,1696,1675,3125
422,1678,1700,1679,3132
423,1680,1704,1681,3138
424,1688,1708,1689,3149
425,1690,1712,1691,3154
426,1694,1716,1695,3162
427,1696,1720,1697,3167
428,1702,1724,1703,3177
429,1704,1728,1705,3182
430,1708,1732,1709,3190
431,1710,1736,1711,3195
432,1720,1740,1721,3209
433,1722,1744,1723,3214
434,1726,1748,1727,3222
435,1728,1752,1729,3227
436,1734,1756,1735,3237
437,1736,1760,1737,3242
438,1740,1764,1741,3250
439,1742,1768,1743,3255
440,1750,1772,1751,3267
441,1752,1776,1753,3272
442,1756,1780,1757,3279
443,1758,1784,1759,3285
444,1764,1788,1765,3294
445,1766,1792,1767,3300
446,1770,1796,1771,3307
447,1772,1800,1773,3313
448,1786,1804,1787,3330
449,1788,1808,1789,3336
450,1792,1812,1793,3343
451,1794,1816,1795,3349
452,1800,1820,1801,3358
453,1802,1824,1803,3364
454,1806,1828,1807,3371
455,1808,1832,1809,3377
456,1816,1836,1817,3388
457,1818,1840,1819,3393
458,1822,1844,1823,3401
459,1824,1848,1825,3406
460,1830,1852,1831,3416
461,1832,1856,1833,3421
462,1836,1860,1837,3429
463,1838,1864,1839,3434
464,1848,1868,1849,3448
465,1850,1872,1851,3453
466,1854,1876,1855,3461
467,1856,1880,1857,3466
468,1862,1884,1863,3476
469,1864,1888,1865,3481
470,1868,1892,1869,3489
471,1870,1896,1871,3494
472,1878,1900,1879,3505
473,1880,1904,1881,3511
474,1884,1908,1885,3518
475,1886,1912,1887,3524
476,1892,1916,1893,3533
477,1894,1920,1895,3539
478,1898,1924,1899,3546
479,1900,1928,1901,3552
480,1912,1932,1913,3567
481,1914,1936,1915,3573
482,1918,1940,1919,3580
483,1920,1944,1921,3586
484,1926,1948,1927,3595
485,1928,1952,1929,3601
486,1932,1956,1933,3608
487,1934,1960,1935,3614
488,1942,1964,1943,3625
489,1944,1968,1945,3630
490,1948,1972,1949,3638
491,1950,1976,1951,3643
492,1956,1980,1957,3653
493,1958,1984,1959,3658
494,1962,1988,1963,3666
495,1964,1992,1965,3671
496,1974,1996,1975,3685
497,1976,2000,1977,3690
498,1980,2004,1981,3698
499,1982,2008,1983,3703
500,1988,2012,1989,3713
