| host | scenario / objective | m | a | n2 | top | Se | maxe | tau^flat | tau^# | tau | entry@ceil | entry@contour | margin@contour | margin@ceil |
| H2 Catalan lvl8 | C nu=1, unlimited top : max entry | 3 | 1 | 0 | 1 | 0 | 0 | 2.8889 | 0.0000 | 2.8889 | +1.2700 | +0.8067 | -8.039 | -6.649 |
| H2 Catalan lvl8 | C nu=1, unlimited top : max margin | 3 | 1 | 0 | 1 | 0 | 0 | 2.8889 | 0.0000 | 2.8889 | +1.2700 | +0.8067 | -8.039 | -6.649 |
| H2 Catalan lvl8 | C nu=1, unlimited top : max margin@ceil | 110 | 1 | 0 | 108 | 0 | 0 | 3.9992 | 0.0000 | 3.9992 | +0.1597 | -0.3036 | -43.850 | +7.109 |
| H2 Catalan lvl8 | D nu=2, unlimited top : max entry | 4 | 2 | 0 | 1 | 0 | 0 | 2.7500 | 0.0000 | 2.7500 | +1.4089 | +0.9456 | -6.676 | -4.823 |
| H2 Catalan lvl8 | D nu=2, unlimited top : max margin | 6 | 4 | 0 | 1 | 2 | 1 | 2.5556 | 0.4583 | 3.0139 | +1.1450 | +0.6817 | -6.368 | -3.589 |
| H2 Catalan lvl8 | D nu=2, unlimited top : max margin@ceil | 110 | 2 | 0 | 107 | 0 | 0 | 3.9983 | 0.0000 | 3.9983 | +0.1605 | -0.3027 | -43.759 | +7.200 |
| H2 Catalan lvl8 | D nu=3, unlimited top : max entry | 5 | 3 | 0 | 1 | 0 | 0 | 2.6400 | 0.0000 | 2.6400 | +1.5189 | +1.0556 | -5.181 | -2.864 |
| H2 Catalan lvl8 | D nu=3, unlimited top : max margin | 11 | 9 | 0 | 1 | 9 | 2 | 2.3306 | 0.7587 | 3.0893 | +1.0696 | +0.6064 | -3.789 | +1.307 |
| H2 Catalan lvl8 | D nu=3, unlimited top : max margin@ceil | 110 | 3 | 0 | 106 | 0 | 0 | 3.9972 | 0.0000 | 3.9972 | +0.1617 | -0.3016 | -43.632 | +7.328 |
| H2 Catalan lvl8 | E nu=inf (absurd) : max entry | 42 | 40 | 0 | 1 | 0 | 0 | 2.0930 | 0.0000 | 2.0930 | +2.0659 | +1.6026 | +56.852 | +76.310 |
| H2 Catalan lvl8 | E nu=inf (absurd) : max margin | 42 | 40 | 0 | 1 | 0 | 0 | 2.0930 | 0.0000 | 2.0930 | +2.0659 | +1.6026 | +56.852 | +76.310 |
| H2 Catalan lvl8 | E nu=inf (absurd) : max margin@ceil | 42 | 40 | 0 | 1 | 0 | 0 | 2.0930 | 0.0000 | 2.0930 | +2.0659 | +1.6026 | +56.852 | +76.310 |
| H3 X1(5) Sym^2 | B measured, g=1 : max entry | 3 | 1 | 0 | 1 | 0 | 0 | 4.0000 | 0.0000 | 4.0000 | +1.5452 | +1.0819 | -8.599 | -7.209 |
| H3 X1(5) Sym^2 | B measured, g=1 : max margin | 7 | 2 | 3 | 1 | 1 | 1 | 4.1224 | 0.2653 | 4.3878 | +1.1574 | +0.6942 | -6.986 | -3.743 |
| H3 X1(5) Sym^2 | B measured, g=1 : max margin@ceil | 9 | 2 | 5 | 1 | 3 | 1 | 4.1728 | 0.3848 | 4.5576 | +0.9876 | +0.5243 | -7.126 | -2.957 |
| H3 X1(5) Sym^2 | B measured, g=2 : max entry | 3 | 1 | 0 | 1 | 0 | 0 | 4.0000 | 0.0000 | 4.0000 | +1.5452 | +1.0819 | -8.599 | -7.209 |
| H3 X1(5) Sym^2 | B measured, g=2 : max margin | 7 | 2 | 3 | 1 | 1 | 1 | 4.1224 | 0.2653 | 4.3878 | +1.1574 | +0.6942 | -6.986 | -3.743 |
| H3 X1(5) Sym^2 | B measured, g=2 : max margin@ceil | 9 | 2 | 5 | 1 | 3 | 1 | 4.1728 | 0.3848 | 4.5576 | +0.9876 | +0.5243 | -7.126 | -2.957 |
| H3 X1(5) Sym^2 | B measured, g=3 : max entry | 3 | 1 | 0 | 1 | 0 | 0 | 4.0000 | 0.0000 | 4.0000 | +1.5452 | +1.0819 | -8.599 | -7.209 |
| H3 X1(5) Sym^2 | B measured, g=3 : max margin | 7 | 2 | 3 | 1 | 1 | 1 | 4.1224 | 0.2653 | 4.3878 | +1.1574 | +0.6942 | -6.986 | -3.743 |
| H3 X1(5) Sym^2 | B measured, g=3 : max margin@ceil | 9 | 2 | 5 | 1 | 3 | 1 | 4.1728 | 0.3848 | 4.5576 | +0.9876 | +0.5243 | -7.126 | -2.957 |
| H3 X1(5) Sym^2 | C nu=1, unlimited top : max entry | 3 | 1 | 0 | 1 | 0 | 0 | 4.0000 | 0.0000 | 4.0000 | +1.5452 | +1.0819 | -8.599 | -7.209 |
| H3 X1(5) Sym^2 | C nu=1, unlimited top : max margin | 110 | 1 | 107 | 1 | 0 | 0 | 4.0354 | 0.0000 | 4.0354 | +1.5098 | +1.0465 | +103.274 | +154.234 |
| H3 X1(5) Sym^2 | C nu=1, unlimited top : max margin@ceil | 110 | 1 | 107 | 1 | 0 | 0 | 4.0354 | 0.0000 | 4.0354 | +1.5098 | +1.0465 | +103.274 | +154.234 |
| H3 X1(5) Sym^2 | D nu=2, unlimited top : max entry | 4 | 2 | 0 | 1 | 0 | 0 | 3.6250 | 0.0000 | 3.6250 | +1.9202 | +1.4569 | -6.017 | -4.164 |
| H3 X1(5) Sym^2 | D nu=2, unlimited top : max margin | 110 | 2 | 106 | 1 | 0 | 0 | 4.0345 | 0.0000 | 4.0345 | +1.5106 | +1.0474 | +103.365 | +154.325 |
| H3 X1(5) Sym^2 | D nu=2, unlimited top : max margin@ceil | 110 | 2 | 106 | 1 | 0 | 0 | 4.0345 | 0.0000 | 4.0345 | +1.5106 | +1.0474 | +103.365 | +154.325 |
| H3 X1(5) Sym^2 | D nu=3, unlimited top : max entry | 8 | 6 | 0 | 1 | 3 | 1 | 2.9062 | 0.4297 | 3.3359 | +2.2092 | +1.7460 | +2.123 | +5.829 |
| H3 X1(5) Sym^2 | D nu=3, unlimited top : max margin | 110 | 3 | 105 | 1 | 0 | 0 | 4.0334 | 0.0000 | 4.0334 | +1.5118 | +1.0485 | +103.492 | +154.452 |
| H3 X1(5) Sym^2 | D nu=3, unlimited top : max margin@ceil | 110 | 3 | 105 | 1 | 0 | 0 | 4.0334 | 0.0000 | 4.0334 | +1.5118 | +1.0485 | +103.492 | +154.452 |
| H3 X1(5) Sym^2 | E nu=inf (absurd) : max entry | 42 | 40 | 0 | 1 | 0 | 0 | 2.1871 | 0.0000 | 2.1871 | +3.3581 | +2.8948 | +109.738 | +129.195 |
| H3 X1(5) Sym^2 | E nu=inf (absurd) : max margin | 110 | 40 | 68 | 1 | 0 | 0 | 3.7582 | 0.0000 | 3.7582 | +1.7870 | +1.3237 | +133.765 | +184.725 |
| H3 X1(5) Sym^2 | E nu=inf (absurd) : max margin@ceil | 110 | 40 | 68 | 1 | 0 | 0 | 3.7582 | 0.0000 | 3.7582 | +1.7870 | +1.3237 | +133.765 | +184.725 |
