46 3 5 140 139
[1, 5, -13, 3, 2, 5, 6, -9, 11, -16, 1, 0, -11, 5, -2, 11, 8, 6, 1, -1, -2, 8, -21, 7, -5, -10, -6, -38, 14, 11, 42, -10, 16, -10, 9, -13, -5, -29, -18, 24, 17, 14, 31, 38, 4, -35, -47, 2, 6, -20, -13, 26, 3, -33, -10, 31, -28, 25, 36, 6, -20, -27, -22, -8, -56, 10, 20, -35, -7, 13, 12, 46, -42, 65, 67, -43, 52, 10, -37, -56, 4, 37, -17, -11, 59, -8, 11, -48, 18, -49, 70, -14, -22, 8, 2, -16, -3, 41, -60, 21, 16, -35, 4, -9, -25, -39, -6, 4, -37, 16, -31, 47, 36, -8, -59, 9, 73, -18, -7, -41, -14, 9, 19, 11, 76, 12, 1, -14, -9, 1, -42, -10, -53, 21, -34, 34, -38, 14, 45, -26, 1, -8, 68, -48, -44, 15, 55, 13, -86493, -2727013, 86651, -1063442, 9677492, 20686524, -18585783, -19926787, -10229562, -4027031, 21649124, 20096682, 14574905, -32747147, -15022100, 22796298, 5813078, -27099502, 15432676, 3458976, -41481414, 61923374, 31607672, 6253088, -23707730, -36819103, -25957660, -55595283, -23786304, 2785561, -4566677, 53990377, 136824578, 57956226, 48390018, -32586776, -64417241, -25544492, -64075120, -118043616, -36247692, -9882519, -7874721, 88322180, 26412247, 28862468, 13071542, 76641582, 56690833, 14971553, -22655408, -18091976, -37068992, -14988813, 24551173, -59411094, -49578083, -21334196, -64752491, 3536524, 64323586, -106645485, 67401015]
[0, 0, 0, -2, 8, -5, -3, 1, -5, 9, -3, -1, -1, -5, 13, 3, -3, -2, -8, 2, 1, -7, -1, 15, -1, -3, -4, 5, 2, -2, -3, 5, -6, -2, -3, -4, 8, 2, 0, 3, -1, 7, 14, -1, 3, -5, -5, 6, -14, -3, 2, -8, 6, -1, 5, -1, -6, 7, 4, -13, -7, 2, 2, 9, 1, 3, -10, 10, -15, 5, 3, -6, 22, 2, 4, 0, 2, 5, 4, -6, 7, 2, 10, -1, -9, 8, 10, 7, 4, 9, -6, -3, -11, 0, -4, 2, -3, -4, -13, -4, 5, 7, -9, -3, -5, 12, 17, -11, -10, 2, 3, -3, 0, 11, -7, 6, 17, -7, 10, -8, -1, 7, -6, 8, 9, 8, -2, -19, -2, -3, 2, 7, -1, -11, -10, -6, -2, -2, 11, -2, 7, 0, -3, -14, 12, 3, -3, -13, 1091963, -618201, -2613938, 1230674, 2320415, -1438642, 977231, -3935920, -6534912, 9432827, 9865100, 4123875, -5877426, -6064626, -2224883, -9910042, -2210421, 2921866, -14342155, 3004640, 25878360, 2187636, 25300209, 15927482, -17571553, -27735698, -20362728, -9097804, 16358765, -6694165, -6615064, 10150803, -6674599, 35078375, -31302257, 12572963, 12798014, -4120944, 8000459, 25925222, -16744578, 5878367, 56260250, -70547720, -23001124, -23957119, -7875210, -62478789, -2301262, 22489291, 47489550, 37408035, 51930728, 41874858, -15192046, 52652421, -46715277, -45855910, -39018626, -360337, -72665162, 40843247, -47533684]
[0, -2, 4, 2, -6, -2, 5, 2, -5, 1, -1, 6, 2, -12, 9, 3, -3, -3, -10, 3, 0, 1, 8, 8, -6, 1, -7, 2, 8, -6, 5, -3, -4, 6, 1, -4, 15, -6, -10, 1, -4, 4, 11, -9, -1, -3, -1, 5, -10, 6, -4, 8, 11, 11, -2, 4, -2, -2, 1, -9, -1, 0, 1, 1, 5, -12, -4, -3, -4, 12, 2, 3, 10, 16, 16, -7, 0, -2, -3, -7, -3, -3, -2, 22, -3, -4, 12, 3, -4, 6, 8, 3, -5, 3, -3, 0, 5, -13, 3, -2, -8, -9, 13, 21, 3, 12, 10, 0, -4, 18, 2, -4, 9, 20, 7, 0, -11, -4, -2, -18, 10, -2, -1, 2, 3, 10, -2, -11, 8, -1, -3, 0, 8, -16, -3, 5, 2, -19, 1, 0, -8, 9, 8, -16, -4, -11, -1, -8, 861019, -711803, -2007645, 827185, 2538522, 510683, -726439, -4515720, -5829155, 7103673, 9358753, 4694521, -3688523, -7363351, -2924144, -5758832, -1069943, 180545, -9710988, 2449533, 16993445, 6408503, 21904507, 12625643, -15399414, -24467336, -17862480, -11090333, 10648132, -4845394, -5673085, 12318027, 5457419, 31937525, -20174115, 7287467, 4816404, -5149542, 989010, 10001370, -15920068, 3460612, 43039830, -47709618, -15453151, -16141438, -4270086, -41823298, 2758448, 18710015, 34289290, 27445429, 36736037, 31455567, -9873019, 35697310, -40004041, -37385204, -35791358, 111978, -50672091, 23150551, -31240106]
[0, -2, 6, -4, -4, 4, -1, 2, -4, 0, 1, 0, -1, 0, 9, 3, 2, 1, -13, 0, 4, 1, -1, 8, -4, -11, 1, 2, 0, 6, 2, -19, -2, -1, 3, -6, 11, 6, -9, 4, -1, 5, 5, -4, -10, 14, 4, 0, 5, 7, -1, -4, 2, 7, -11, -7, 1, -3, 10, 9, -11, 4, -7, 0, 3, -4, 0, 5, 9, -11, 12, 19, -13, -9, -4, 8, 6, -12, 3, -11, 14, 1, -11, 1, 3, -17, -10, -2, 14, 0, -3, -6, 9, 5, 12, 2, -5, -13, 4, -20, -5, 7, 10, 12, -3, 1, 2, -6, 0, 20, -4, -5, 4, -5, -3, -1, -14, 9, 2, 1, 8, 4, 14, -16, 5, -12, -4, -10, -2, 0, 10, -12, 4, 14, 3, 7, -5, -2, -11, -1, 6, -10, 2, 0, -1, 19, -4, 6, 1056586, 46396, -2420965, 1352132, -158356, -6142828, 5210280, 1039711, -3647465, 9824209, 4147784, -873694, -9018354, 1837676, 1335579, -14433399, -3207643, 9041056, -16754764, 1923402, 33814502, -12440317, 16067854, 13149681, -10785151, -17301565, -13032389, 4656758, 20657709, -6768099, -5263085, -2758339, -38076192, 19394230, -39974434, 19322800, 26630504, 2056664, 22277006, 50715498, -7302559, 7324444, 54253297, -86150456, -27090081, -28760932, -9750347, -75276369, -15143315, 17618436, 48909894, 38913025, 56120077, 42790360, -20092277, 62307375, -31946906, -37944672, -21902102, -1076644, -81734811, 62537662, -59320635]
[0, -3, 5, 3, -6, -3, 2, 4, -1, -3, -1, 3, 5, 9, -8, -5, -9, -3, 5, 1, -1, -3, 17, -4, -6, 2, 5, 5, 6, -5, -2, 1, -16, 2, 4, 4, 3, -7, 0, 1, 4, 3, -3, -8, -11, 0, 2, 16, 7, 1, -9, 1, -2, 2, -6, 0, 5, -4, 15, 8, 6, 6, -6, 8, 4, -5, -7, 0, -11, 5, 9, -5, -10, 6, -1, 6, -8, 1, -3, -13, -1, 10, -1, -2, -3, 16, 1, 2, 9, 2, -7, -5, 14, -2, 6, -3, -5, 3, 11, 6, -9, -17, 8, 6, 14, -9, 12, -9, 15, 10, 7, 12, -10, -1, 7, 2, 7, 7, -15, 7, 2, -8, 6, 3, -6, 0, 2, 9, -10, 11, -27, 2, 1, -9, 10, 11, -15, -14, 3, 15, -4, -2, 15, 14, 19, 0, 16, 0, 723891, -31900, -1670681, 915140, 89940, -3893934, 3318232, 399013, -2740942, 6805216, 3229630, -327034, -6187305, 662176, 640317, -9498865, -1956303, 5900590, -11302084, 1267220, 22963340, -7663118, 11695446, 9147238, -7946748, -12855738, -9608901, 2389183, 13859771, -4631962, -3890093, -749943, -24125166, 14833838, -26688084, 13105032, 17308667, 971550, 14203167, 32656774, -5884087, 4561897, 37777924, -58502705, -18141657, -19481674, -6121437, -50852228, -9406863, 12742629, 33293499, 26821397, 38147167, 29890660, -13574163, 42017173, -23241628, -27050110, -16940036, -637369, -55482848, 41697445, -39928794]
[0, 2, -3, -4, 2, 7, 2, -4, 0, -6, -5, 3, 7, -2, 1, 7, -6, -2, 9, 1, -1, 1, -11, 1, 0, 6, -1, -10, -1, 3, 2, -7, 7, -8, 0, -2, 3, -2, 13, 4, 1, 6, -12, 5, -3, 2, 12, -7, -5, 3, -4, 1, -2, -10, -8, 3, -5, 11, 6, 7, -1, -2, -9, 9, 12, 0, 2, 4, 15, -8, -8, -1, -2, -5, 17, -3, -12, -11, 4, -5, 2, -14, -7, -10, 16, -13, -1, -7, 5, 10, 10, 17, -3, 0, -5, 2, -3, 11, 7, -3, -18, 3, -1, 8, 19, -2, -16, 5, 0, 13, -2, 9, 2, -2, 0, 2, 1, -7, 17, 0, 4, 4, -5, -7, 15, 3, 2, -3, -1, -14, 17, 7, -12, 12, 2, 11, 1, -5, -18, 18, 10, -21, -1, 17, -2, -11, -10, 2, -376591, 44740, 831770, -420274, -128580, 1643496, -1345539, 49502, 1436683, -3288123, -1932626, -154421, 2767691, 113455, -128940, 4460194, 1012996, -2416893, 5339071, -757461, -10600268, 2859510, -6112463, -4618123, 4131986, 6616215, 4967475, -425694, -6486828, 2210468, 1897800, -177838, 9952105, -7736072, 12610696, -5708884, -7694539, -186203, -6199587, -14655622, 3215028, -2431164, -18217370, 27241362, 8685973, 9060884, 2928809, 23791548, 4014597, -6157525, -15997454, -12726200, -18198335, -13993927, 6248315, -19908012, 11769434, 13249493, 8641367, 234996, 26324654, -18758325, 18745242]
[0, -1, 1, 2, 3, -9, -3, 6, 1, 3, -2, 3, -4, -3, 1, -3, 13, -3, -3, 0, -4, 6, -7, 2, 0, 0, -3, 7, 5, -4, 0, 5, -7, -10, -1, -10, 3, 9, -4, 16, 3, -2, 7, 0, -8, -13, 4, 7, 1, 3, 9, -5, -1, -16, -6, 1, 6, 1, 11, 3, -4, 6, -5, 7, -4, 9, -15, 1, 12, -7, -9, -6, 16, -10, 3, -6, -4, 0, 10, -3, -7, 12, -1, 8, -2, 4, 10, 6, 5, -5, -18, 3, -15, -3, 10, 3, -4, 9, -6, -5, 1, -2, -12, -31, 17, 5, 18, 6, -7, -6, -3, 0, 6, -2, -4, 11, 20, 6, 4, 8, -8, 8, 6, -11, 6, -9, 4, -4, -13, 4, -4, 2, 9, -17, -16, 0, 6, 18, 1, -1, 14, 14, 1, 4, 1, 8, -4, 7, 806471, -484798, -1908709, 878416, 1761977, -905098, 598877, -2998424, -4868126, 6977191, 7389879, 3126240, -4358142, -4763446, -1796728, -7040712, -1430409, 2014423, -10345960, 2157369, 18880365, 1964916, 18788515, 11636924, -13101031, -20780010, -15263546, -6956077, 11800502, -4861556, -5037952, 8096050, -4003734, 26476146, -22413406, 9156642, 8814786, -3238835, 5355288, 17686455, -12725262, 3904376, 41490161, -51380465, -16443381, -17331200, -5280505, -45142381, -1180714, 16837617, 34455210, 27423134, 37536776, 31066280, -11138641, 38026380, -34815136, -34135059, -29705722, -189573, -52606335, 29257697, -34243483]
[0, -3, 4, 6, -3, -7, -3, 0, 2, 0, 10, -6, 1, 15, -8, -4, -9, 0, -5, 3, 4, -2, 8, 0, -2, 6, 5, -4, -10, 3, 6, -3, -12, -2, 1, 4, -19, 17, 4, 16, -3, -7, -5, 6, 1, -2, 10, 9, -8, -1, -1, -7, 2, -5, -17, 7, 8, 2, -12, 2, 13, -5, 8, -2, 1, -3, -6, -1, 7, -7, 9, 3, -3, -7, -22, 14, -5, 13, 14, -4, -11, 10, 6, -2, 19, 9, 13, 1, -1, -5, -7, 2, -3, -6, -3, -10, -4, 4, -10, 8, -10, -1, -11, -10, -14, -15, 2, 1, 14, -14, -15, 3, -9, 11, 1, 4, 4, -1, -5, 12, 7, -10, -6, -9, -7, -4, 9, 21, 10, 5, -9, -1, 0, -5, -3, 1, -4, -4, 14, 2, 12, 1, 2, 8, -1, -12, 4, -6, -1762534, 4294669, 4220715, -708030, -15074073, -21279278, 19543322, 29023013, 22743718, -11931390, -41244706, -29339467, -4989781, 48264497, 21203533, -10438354, -4488766, 25299682, 5600459, -7906297, 2088209, -73490773, -78279009, -32807323, 56881105, 90334184, 64894579, 77381768, 408959, 7629493, 17768761, -80987878, -144442655, -128268954, -4816210, 14197776, 52746827, 36212491, 61049295, 96581137, 71125414, 4663662, -87550595, 19451367, 6324568, 7092300, -6293039, 15568040, -62113700, -57075751, -50766202, -42912917, -42258177, -56977154, -1737046, -18342906, 136671655, 104366880, 145169376, -3897491, 46253007, 52514580, 1427222]
[0, 2, -5, 1, 4, 1, -2, -2, 3, -4, 2, -3, -3, 13, 1, -9, -3, 0, 2, 6, -2, -10, 0, 4, 2, -2, 7, 4, 2, -4, 5, -7, -8, -1, 7, 2, -7, -5, 11, 9, -5, -3, 4, -5, -3, 3, -5, 0, 12, -1, -13, -4, 1, 5, -7, 2, 15, -3, -6, -10, 15, 6, -4, 5, -7, 0, -9, -7, 12, -1, -8, -1, -2, 20, -7, -1, -9, 7, 3, -3, -6, 8, 0, 1, -2, 7, 13, -8, 0, 3, -2, 3, 15, -27, 14, -6, 1, 9, 4, 7, -2, 5, -3, -23, -4, -17, 0, -2, -4, 2, -1, -7, 13, 0, -3, 13, -4, -6, 4, 4, 5, 0, 20, 14, 13, -4, 0, 7, 0, 5, -4, -10, 11, -10, -27, 6, 3, -2, -14, 9, -9, -10, -12, 13, 19, -17, 0, -2, -282006, 157070, 703123, -327865, -678426, 212052, -74812, 1230442, 1761151, -2284682, -2765670, -1323646, 1127906, 1704905, 603823, 2555454, 837468, -378300, 3728565, -971455, -6058392, -1221576, -6831988, -4389810, 4665251, 7171436, 5246014, 2987796, -4122133, 1771737, 1491691, -2569745, 485791, -8935460, 8181979, -2604791, -3018806, 1196434, -1722377, -6717515, 4293122, -2154938, -14099711, 17149747, 6230940, 6021219, 2652020, 15900948, 420895, -5470760, -12552265, -9353604, -13722650, -9869484, 3454185, -13589511, 12128401, 11433361, 9436792, 121515, 18821723, -9585101, 12174034]
[0, 0, 1, -3, 1, 5, 4, -11, -5, 8, -1, 7, -2, -7, 5, 4, -10, -1, 2, -8, 2, 8, 4, -6, 3, 8, -5, -3, -3, 6, -1, 10, 5, -6, -3, -6, -5, 9, -3, 6, 3, -3, 2, 10, 7, -10, -7, -11, -15, 7, 8, 2, 6, 8, 4, 1, -14, 2, -5, 13, -17, 3, -1, -9, 3, 9, 4, 11, 9, -11, -1, -12, 13, -2, 16, 6, -5, -5, -3, 5, 9, 6, 7, -6, -4, 6, 9, 7, -11, 18, 4, 9, -15, 15, 3, 1, 6, -11, -2, 8, 2, -8, -4, 9, -2, 8, 5, -18, 8, 1, -2, -5, 0, 3, 0, -9, 0, -15, 9, -9, -9, 18, -14, -10, -7, 10, 6, 23, -6, -13, 6, -10, -4, 5, 10, -20, 6, 4, 11, -6, 2, 14, 14, -5, 7, 3, -8, 0, -446784, 1194713, 1028413, -110035, -4078789, -5998512, 5460199, 7824695, 6028296, -3035689, -10995289, -7873327, -1344332, 13310785, 5906396, -3546572, -1684608, 7025218, 718379, -1885877, 1437246, -20186392, -20563922, -8148982, 15079738, 24172148, 17368127, 20882114, 980293, 1731567, 4935060, -22608058, -40372681, -34719238, -3309489, 4169090, 15525201, 9956474, 17548175, 29194847, 19375590, 2321826, -22181339, 2515430, 145174, 756012, -2979659, 974552, -17668047, -15306242, -11354547, -10366526, -8647775, -14779416, -894223, -2155351, 36205297, 27553954, 39844700, -1187728, 8852279, 16459264, -2258149]
